Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=1600 frames=439..2038 melonDS=1.0 sha=DE80E46BDCF1FD98 git=65ec85428f3+dirty(4) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,118,208  1,678,592   1.50  1,183,630  1,117,184  5,873,792   100.0
FTR       303,232    306,816   1.01    295,772    169,216  4,499,072    27.1
STG       168,768    173,248   1.03    169,150    165,056    179,648    15.1
BG          4,160      4,224   1.02      4,141      3,904      4,352     0.4
AUD         2,624      6,720   2.56      7,823      1,088    150,592     0.2
HUD           896    417,344 465.79     33,953        832  2,076,864     0.1
SRC       281,472    454,016   1.61    294,111     11,008  1,254,336    25.2
MISC      104,576    176,832   1.69    119,770     72,192    893,056     9.4
OTHR      251,200    459,456   1.83    258,910     20,928    579,520    22.5
WAIT      231,360    439,360   1.90    239,006        896    559,296    20.7
WORK      910,976  1,320,832   1.45    944,624    662,208  5,455,616    81.5
SHDT        4,160      6,784   1.63      9,289          0    286,784     0.4
SWRM          832        960   1.15        863        640      1,024     0.1
GCRA      276,224    448,704   1.62    288,775      6,848  1,248,960    24.7
SCPU       25,152     40,512   1.61     19,322          0     55,360     2.2
SCAT        1,216      1,408   1.16      1,209          0     26,240     0.1
SPRM        1,920      2,112   1.10      3,258          0    796,288     0.2
SINT      126,336    225,792   1.79    129,319          0    778,112    11.3
SPHD       55,296     78,208   1.41     54,586          0    866,560     4.9
SPHC          768        896   1.17        753          0      1,152     0.1
WORK-H    899,136  1,087,616   1.21    910,671    654,144  5,168,512    80.4

named=924,720 (78.1% of ALL)  VBI 2:1829 3:193 4:2 5+:15 max:26 total:2039  slips=0
