WARNING: Tick-HUD samples repeated a presented frame (5 of 1600). EVERY duplicate is a ring-stop seam whose recorded skew explains the label collision, and no payload repeats, so these are distinct real iterations that share a frame LABEL. Percentiles are over the iterations and stand; the frame ids at those seams do not. Seam rows: 287,479,672,1343,1535.
Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=1600 frames=439..2038 melonDS=1.0 sha=DE80E46BDCF1FD98 git=f3fdd3d79cd+dirty(4) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,118,208  1,678,656   1.50  1,215,833  1,115,328  3,359,296   100.0
FTR       303,232    306,560   1.01    291,741    172,416    311,424    27.1
STG       172,096    176,128   1.02    172,367    167,872    181,504    15.4
BG          4,224      4,288   1.02      4,219      4,032      4,352     0.4
AUD         2,816      7,168   2.55      8,760      1,152    154,880     0.3
HUD           960    424,320 442.00     35,231        832  2,079,808     0.1
SRC       327,232    546,752   1.67    348,564     10,752  1,327,680    29.3
MISC      103,296    189,376   1.83    113,785     81,344    322,496     9.2
OTHR      223,424    524,544   2.35    241,168     21,952    580,736    20.0
WAIT      203,456    506,112   2.49    221,326      2,112    560,256    18.2
WORK      948,672  1,369,408   1.44    994,507    608,768  3,025,216    84.8
SHDT        4,352    168,896  38.81     17,450          0    465,472     0.4
SWRM          832        960   1.15        859        640      1,024     0.1
GCRA      321,728    541,504   1.68    343,249      6,464  1,322,368    28.8
SCPU       40,960    108,416   2.65     44,058          0    143,040     3.7
SCAT        1,344      1,472   1.10      1,286          0      4,672     0.1
SPRM        2,048      2,240   1.09      4,789          0    619,712     0.2
SINT      147,328    315,200   2.14    160,855          0    605,184    13.2
SPHD       57,920     95,552   1.65     67,602          0    750,720     5.2
SPHC          704        832   1.18        689          0        960     0.1
WORK-H    937,728  1,197,952   1.28    959,277    600,640  2,073,856    83.9

named=974,667 (80.2% of ALL)  VBI 2:1712 3:304 4:10 5+:12 max:26 total:2038  slips=0
extras: gNdsFighterEffectKindMask0=3,091,965,952  gNdsFighterEffectKindMask1=2,051  gNdsFighterEffectKindMask2=0  gNdsFighterEffectKindMask3=0  gNdsFighterProjectileProofSpawnSuccessCount=10
