Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=1600 frames=439..2038 melonDS=1.0 sha=DE80E46BDCF1FD98 git=2d4a376c76b+dirty(5) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,118,208  1,678,592   1.50  1,184,878  1,115,008  5,872,640   100.0
FTR       300,096    303,424   1.01    292,763    168,384  4,494,336    26.8
STG       169,536    173,824   1.03    169,947    165,952    179,264    15.2
BG          4,096      4,160   1.02      4,076      3,904      4,288     0.4
AUD         2,688      6,784   2.52      7,882      1,216    148,288     0.2
HUD           960    417,856 435.27     33,979        832  2,481,728     0.1
SRC       280,192    454,912   1.62    295,323     10,688  4,473,728    25.1
MISC      103,296    174,208   1.69    118,038     71,616    890,752     9.2
OTHR      254,016    459,904   1.81    262,870     20,800    578,496    22.7
WAIT      234,048    439,680   1.88    243,105        768    558,528    20.9
WORK      904,832  1,311,680   1.45    941,774    659,072  5,568,128    80.9
SHDT        4,160      6,720   1.62      9,290          0    285,888     0.4
SWRM          960      1,088   1.13        982        704      1,152     0.1
GCRA      275,136    449,728   1.63    290,093      6,656  4,468,352    24.6
SCPU       25,408     41,024   1.61     19,364          0     55,808     2.3
SCAT        1,152      1,280   1.11      1,151          0     25,728     0.1
SPRM        1,984      2,112   1.06      3,282          0    795,456     0.2
SINT      124,992    222,848   1.78    128,039          0    783,104    11.2
SPHD       55,680     79,040   1.42     54,880          0    868,672     5.0
SPHC          704        832   1.18        676          0        896     0.1
WORK-H    893,568  1,088,640   1.22    907,795    650,944  5,308,608    79.9

named=922,008 (77.8% of ALL)  VBI 2:1835 3:184 4:4 5+:15 max:26 total:2038  slips=0
extras: gNdsFighterModelPartSetCount=18  gNdsFighterModelPartOnCount=18  gNdsFighterModelPartResetCount=18  gNdsFighterProjectileProofSpawnSuccessCount=17
