"sample","presented_frame","pc","symbol"
"0","601","0x1ffc450 <ndsRendererNativeEmitProductionRawTexturedRun+92>","ndsRendererNativeEmitProductionRawTexturedRun"
"1","602","0x209d1f0 <memcmp+44>","memcmp"
"2","604","0x1ffd0ec <ndsRendererNativeShadeProductionActions+2496>","ndsRendererNativeShadeProductionActions"
"3","607","0x20216f6 <syMatrixLookAtReflectF+78>","syMatrixLookAtReflectF"
"4","608","0x1ffc450 <ndsRendererNativeEmitProductionRawTexturedRun+92>","ndsRendererNativeEmitProductionRawTexturedRun"
"5","610","0x1ffc424 <ndsRendererNativeEmitProductionRawTexturedRun+48>","ndsRendererNativeEmitProductionRawTexturedRun"
"6","612","0x200e6bc <ndsRendererLoadHardwareMatrixPair+484>","ndsRendererLoadHardwareMatrixPair"
"7","614","0x1ffc444 <ndsRendererNativeEmitProductionRawTexturedRun+80>","ndsRendererNativeEmitProductionRawTexturedRun"
"8","616","0x201351c <ndsRendererNativeApplyStateSpan+4>","ndsRendererNativeApplyStateSpan"
"9","618","0x200b718 <ndsRendererHardwarePrepareLitDirection+132>","ndsRendererHardwarePrepareLitDirection"
"10","620","0x20135d8 <ndsRendererNativeApplyStateSpan+192>","ndsRendererNativeApplyStateSpan"
"11","622","0x20993ae <__ieee754_sqrtf+90>","__ieee754_sqrtf"
"12","624","0x200fcec <ndsRendererNativeApplyMaterial+220>","ndsRendererNativeApplyMaterial"
"13","626","0x200a85c <ndsRendererSyncTextureTile+140>","ndsRendererSyncTextureTile"
"14","628","0x200e5ec <ndsRendererLoadHardwareMatrixPair+276>","ndsRendererLoadHardwareMatrixPair"
"15","630","0x200e5c4 <ndsRendererLoadHardwareMatrixPair+236>","ndsRendererLoadHardwareMatrixPair"
"16","632","0x1ffdc04 <ndsRendererExecuteNativeFighterOwnerProduction+180>","ndsRendererExecuteNativeFighterOwnerProduction"
"17","634","0x20152fc <ndsRendererMtxMul20p12+96>","ndsRendererMtxMul20p12"
"18","636","0x2015308 <ndsRendererMtxMul20p12+108>","ndsRendererMtxMul20p12"
"19","638","0x20152f0 <ndsRendererMtxMul20p12+84>","ndsRendererMtxMul20p12"
"20","640","0x2015348 <ndsRendererMtxMul20p12+172>","ndsRendererMtxMul20p12"
"21","642","0x1ffccbc <ndsRendererNativeShadeProductionActions+1424>","ndsRendererNativeShadeProductionActions"
"22","644","0x1ff8308 <__aeabi_fmul+60>","__aeabi_fmul"
"23","646","0x200b2d4 <ndsRendererNativeApplyProductionPreamble+4>","ndsRendererNativeApplyProductionPreamble"
"24","649","0x209b98c <_ntrcardRomReadSector+272>","_ntrcardRomReadSector"
"25","650","0x1ff8330 <__aeabi_fmul+100>","__aeabi_fmul"
"26","652","0x200e7c0 <ndsRendererLoadHardwareRawComposedMatrix+112>","ndsRendererLoadHardwareRawComposedMatrix"
"27","654","0x1ffcb84 <ndsRendererNativeShadeProductionActions+1112>","ndsRendererNativeShadeProductionActions"
"28","656","0x20993be <__ieee754_sqrtf+106>","__ieee754_sqrtf"
"29","658","0x200a860 <ndsRendererSyncTextureTile+144>","ndsRendererSyncTextureTile"
"30","660","0x2013578 <ndsRendererNativeApplyStateSpan+96>","ndsRendererNativeApplyStateSpan"
"31","662","0x20993aa <__ieee754_sqrtf+86>","__ieee754_sqrtf"
"32","664","0x1ffdec0 <ndsRendererExecuteNativeFighterOwnerProduction+880>","ndsRendererExecuteNativeFighterOwnerProduction"
"33","666","0x200e7d8 <ndsRendererLoadHardwareRawComposedMatrix+136>","ndsRendererLoadHardwareRawComposedMatrix"
"34","668","0x1ffd028 <ndsRendererNativeShadeProductionActions+2300>","ndsRendererNativeShadeProductionActions"
"35","670","0x200cfd8 <ndsRendererNativeStageLoadNoZMatrix+4>","ndsRendererNativeStageLoadNoZMatrix"
"36","672","0x1ffc444 <ndsRendererNativeEmitProductionRawTexturedRun+80>","ndsRendererNativeEmitProductionRawTexturedRun"
"37","674","0x209db2c <memset+76>","memset"
"38","676","0x1ffd7f0 <ndsRendererNativePrepareProductionRun+1324>","ndsRendererNativePrepareProductionRun"
"39","678","0x200fcf8 <ndsRendererNativeApplyMaterial+232>","ndsRendererNativeApplyMaterial"
"40","680","0x1ffc440 <ndsRendererNativeEmitProductionRawTexturedRun+76>","ndsRendererNativeEmitProductionRawTexturedRun"
"41","682","0x1ffdd8c <ndsRendererExecuteNativeFighterOwnerProduction+572>","ndsRendererExecuteNativeFighterOwnerProduction"
"42","684","0x1ffc440 <ndsRendererNativeEmitProductionRawTexturedRun+76>","ndsRendererNativeEmitProductionRawTexturedRun"
"43","686","0x1ffc434 <ndsRendererNativeEmitProductionRawTexturedRun+64>","ndsRendererNativeEmitProductionRawTexturedRun"
"44","688","0x201c05c <ndsRendererCommitNativeStageSegment+512>","ndsRendererCommitNativeStageSegment"
"45","690","0x201530c <ndsRendererMtxMul20p12+112>","ndsRendererMtxMul20p12"
"46","692","0x1ffc440 <ndsRendererNativeEmitProductionRawTexturedRun+76>","ndsRendererNativeEmitProductionRawTexturedRun"
"47","694","0x200a880 <ndsRendererSyncTextureTile+176>","ndsRendererSyncTextureTile"
"48","696","0x1ffd998 <ndsRendererNativePrepareProductionRun+1748>","ndsRendererNativePrepareProductionRun"
"49","698","0x200e548 <ndsRendererLoadHardwareMatrixPair+112>","ndsRendererLoadHardwareMatrixPair"
"50","700","0x1ffd430 <ndsRendererNativePrepareProductionRun+364>","ndsRendererNativePrepareProductionRun"
"51","702","0x2010818 <ndsRendererHardwareResolveOrBindTexture+220>","ndsRendererHardwareResolveOrBindTexture"
"52","704","0x209db28 <memset+72>","memset"
"53","706","0x200b774 <ndsRendererHardwarePrepareLitDirection+224>","ndsRendererHardwarePrepareLitDirection"
"54","708","0x201c168 <ndsRendererCommitNativeStageSegment+780>","ndsRendererCommitNativeStageSegment"
"55","710","0x209cc9a <memcpy+102>","memcpy"
"56","712","0x2010ff4 <ndsRendererHardwareResolveOrBindTexture+2232>","ndsRendererHardwareResolveOrBindTexture"
"57","714","0x1ffd100 <ndsRendererNativeShadeProductionActions+2516>","ndsRendererNativeShadeProductionActions"
"58","717","0x1ffe8b0 <__aeabi_fadd+84>","__aeabi_fadd"
"59","719","0x2078302 <ftComputerGetObjectiveStatus+434>","ftComputerGetObjectiveStatus"
"60","720","0x202c37c <ndsRendererAdapterBuildNativeMaterialSnapshot+328>","ndsRendererAdapterBuildNativeMaterialSnapshot"
"61","722","0x200ab50 <ndsRendererCombineUsesColor>","ndsRendererCombineUsesColor"
"62","724","0x201530c <ndsRendererMtxMul20p12+112>","ndsRendererMtxMul20p12"
"63","726","0x200e554 <ndsRendererLoadHardwareMatrixPair+124>","ndsRendererLoadHardwareMatrixPair"
"64","728","0x2017094 <ndsRendererMtxMulAffine20p12+508>","ndsRendererMtxMulAffine20p12"
"65","730","0x201349c <ndsRendererNativeApplyStateDelta+496>","ndsRendererNativeApplyStateDelta"
"66","732","0x1ffdc0c <ndsRendererExecuteNativeFighterOwnerProduction+188>","ndsRendererExecuteNativeFighterOwnerProduction"
"67","734","0x1ffdc60 <ndsRendererExecuteNativeFighterOwnerProduction+272>","ndsRendererExecuteNativeFighterOwnerProduction"
"68","736","0x200c164 <ndsRendererCaptureTextureLoad+72>","ndsRendererCaptureTextureLoad"
"69","738","0x1ffdc3c <ndsRendererExecuteNativeFighterOwnerProduction+236>","ndsRendererExecuteNativeFighterOwnerProduction"
"70","740","0x209db02 <memset+34>","memset"
"71","742","0x200e5a4 <ndsRendererLoadHardwareMatrixPair+204>","ndsRendererLoadHardwareMatrixPair"
"72","744","0x200c5a4 <ndsRendererNativeApplyRootLightPreamble+36>","ndsRendererNativeApplyRootLightPreamble"
"73","746","0x200c9c0 <ndsRendererBuildShiftedRawHardwareMatrix+104>","ndsRendererBuildShiftedRawHardwareMatrix"
"74","748","0x1ffdc64 <ndsRendererExecuteNativeFighterOwnerProduction+276>","ndsRendererExecuteNativeFighterOwnerProduction"
"75","750","0x2013408 <ndsRendererNativeApplyStateDelta+348>","ndsRendererNativeApplyStateDelta"
"76","752","0x2015304 <ndsRendererMtxMul20p12+104>","ndsRendererMtxMul20p12"
"77","754","0x1ffc444 <ndsRendererNativeEmitProductionRawTexturedRun+80>","ndsRendererNativeEmitProductionRawTexturedRun"
"78","756","0x200af5c <ndsRendererHardwareTextureKeyHash+152>","ndsRendererHardwareTextureKeyHash"
"79","758","0x1ffd118 <ndsRendererNativeShadeProductionActions+2540>","ndsRendererNativeShadeProductionActions"
"80","760","0x1ffd104 <ndsRendererNativeShadeProductionActions+2520>","ndsRendererNativeShadeProductionActions"
"81","762","0x20993aa <__ieee754_sqrtf+86>","__ieee754_sqrtf"
"82","764","0x20993be <__ieee754_sqrtf+106>","__ieee754_sqrtf"
"83","766","0x200d028 <ndsRendererNativeStageLoadNoZMatrix+84>","ndsRendererNativeStageLoadNoZMatrix"
"84","768","0x209db26 <memset+70>","memset"
"85","770","0x200e590 <ndsRendererLoadHardwareMatrixPair+184>","ndsRendererLoadHardwareMatrixPair"
"86","772","0x2015304 <ndsRendererMtxMul20p12+104>","ndsRendererMtxMul20p12"
