frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
502,1680320,382336,177472,3904,3328,318400,462912,72576,259392,240192,1440128,1121728
503,1680192,221504,183040,3968,4096,324288,308224,73984,561088,541760,1138432,814144
504,1119424,223488,177280,4032,4992,896,458496,74304,175936,157440,961984,961088
505,1120064,223744,181568,3968,3200,1024,313792,74240,318528,299456,820608,819584
506,1120064,221952,184448,3904,1472,960,315392,74624,317312,298368,821696,820736
507,1119552,221248,182080,3968,1472,960,309376,74496,325952,307136,812416,811456
508,1119680,221440,177536,3968,1408,896,304896,69504,340032,321344,798336,797440
509,1120192,223872,176768,3968,1472,960,308480,70272,334400,315904,804288,803328
510,1119616,221696,173952,3904,1408,960,264064,70016,383616,364864,754752,753792
511,1119872,223232,179392,3904,1408,896,564672,70528,75840,57536,1062336,1061440
512,1119936,387904,183872,3904,1408,960,417152,59392,65344,46656,1073280,1072320
513,1120192,381888,180736,3968,1408,896,349568,60032,141696,122816,997376,996480
514,1119936,386560,183232,4032,1408,896,355456,59456,128896,109824,1010112,1009216
515,1119424,385344,182144,3904,1408,960,358144,60352,127168,108672,1010752,1009792
516,1120064,382400,181056,3840,1472,960,355456,59776,135104,116224,1003840,1002880
517,1679936,385280,182784,3968,1536,960,618048,60416,426944,408384,1271552,1270592
518,1680064,385664,177600,3968,1472,321344,326464,60032,403520,384832,1295232,973888
519,1119552,384768,176832,3968,1408,960,329856,60416,161344,142912,976640,975680
520,1120320,386048,176192,4032,1472,960,326528,60544,164544,145600,974720,973760
521,1119680,386304,173760,3968,93376,960,329920,60864,70528,51264,1068416,1067456
522,1119744,385984,173824,4032,1408,960,329536,60160,163840,145152,974592,973632
523,1119744,382208,174528,3968,1408,960,331712,60544,164416,145792,973952,972992
524,1120448,384128,177536,3968,1408,960,329088,60736,162624,143296,977152,976192
525,1119488,388544,175104,3968,1472,960,328320,60736,160384,141504,977984,977024
526,1120384,385984,174144,3904,1472,70720,331904,63936,88320,68992,1051392,980672
527,1119488,383552,175808,3968,1472,960,340352,59968,153408,134592,984896,983936
528,1119808,383936,174784,3968,1472,960,324672,60608,169408,150400,969408,968448
529,1119872,386688,177664,3904,1408,960,327168,60352,161728,142528,977344,976384
530,1119680,387456,174720,3968,1472,960,329088,59840,162176,143488,976192,975232
531,1120064,386112,175488,4032,1472,960,330304,59200,162496,143808,976256,975296
532,1119808,384832,174656,3968,1472,896,331712,58752,163520,144896,974912,974016
533,1680320,385984,175616,3968,1472,319680,329024,59776,404800,385472,1294848,975168
534,1119616,385152,174528,3968,1536,960,333632,59008,160832,141952,977664,976704
535,1119744,385536,176704,3904,1472,960,330496,59968,160704,142016,977728,976768
536,1120512,386176,174912,3904,1472,960,331904,59776,161408,141952,978560,977600
537,1119360,382848,175360,4032,1408,960,328640,58624,167488,148352,971008,970048
538,1679872,383232,175424,4096,1536,960,599424,59520,455680,437120,1242752,1241792
539,1119808,384064,175552,3968,1472,960,333504,59648,160640,141760,978048,977088
540,1119872,386240,176256,4032,1408,960,338304,60096,152576,134080,985792,984832
541,1120000,383680,175296,3712,1408,960,357120,62720,135104,116160,1003840,1002880
542,1119808,384384,177152,3968,92992,960,333248,59840,67264,47936,1071872,1070912
543,1119680,386240,176384,4032,1472,960,335808,61056,153728,135232,984448,983488
544,1680384,384448,176576,3968,1408,960,604096,59008,449920,430848,1249536,1248576
545,1119680,383104,175232,3968,1472,960,327360,58880,168704,149696,969984,969024
546,1119936,386304,175232,4032,1472,960,329280,60224,162432,143424,976512,975552
547,1680384,383296,175744,3968,1408,319232,330112,59136,407488,388032,1292352,973120
548,1119424,385280,178752,4032,1408,960,332992,60096,155904,137088,982336,981376
549,1120128,384704,174336,4032,1408,960,330048,59072,165568,146624,973504,972544
550,1119872,384128,176128,3904,1536,960,328704,60096,164416,145536,974336,973376
551,1119616,385152,175424,4096,1536,896,327040,59008,166464,147712,971904,971008
552,1119808,386624,176000,4032,1472,896,326720,59648,164416,145856,973952,973056
553,1680128,382912,175872,4032,2624,960,468160,130496,515072,496000,1184128,1183168
554,1119872,386432,176960,3968,2624,960,303040,132288,113600,94848,1025024,1024064
555,1119744,382272,176128,4032,2624,896,307008,132864,113920,95168,1024576,1023680
556,1120256,382400,176128,4032,2624,69888,303808,133632,47744,28288,1091968,1022080
557,1119680,384512,175744,3968,4928,960,302464,130496,116608,97152,1022528,1021568
558,1119872,383488,175424,3968,4992,960,305152,78464,167424,148544,971328,970368
559,1120064,384320,175872,3968,3328,1024,299520,77184,174848,155584,964480,963456
560,1119808,385472,175424,3968,1536,896,302784,77952,171776,152512,967296,966400
561,1680192,385216,174272,3968,1472,319424,300800,77248,417792,398720,1281472,962048
562,1119552,383616,176192,3968,92544,960,309952,77696,74624,55232,1064320,1063360
563,1119808,385792,176128,3904,1472,960,309376,78016,164160,145408,974400,973440
564,1680000,385472,177984,3968,1472,1024,577088,79424,453568,434624,1245376,1244352
565,1119936,384960,178496,3968,1472,960,296384,77568,176128,156992,962944,961984
566,1120000,379840,176192,3968,1472,896,298624,77504,181504,162368,957632,956736
567,1119680,383936,176128,3840,1536,960,287296,72640,193344,174720,944960,944000
568,1119680,383232,176000,3968,1408,960,283456,59584,211072,192192,927488,926528
569,1119936,384384,179776,3904,1536,960,306240,59264,183872,164928,955008,954048
570,1119616,381632,182080,3904,1472,960,386432,59584,103552,84864,1034752,1033792
571,1120128,383808,183168,4032,1408,896,254592,59008,233216,214144,905984,905088
572,1119872,382528,182784,3904,1408,960,254528,59136,234624,215808,904064,903104
573,1120000,382720,180608,4032,1408,960,254656,59392,236224,217088,902912,901952
574,1119808,384640,181056,3968,1344,960,257664,59520,230656,211712,908096,907136
575,1680256,386048,179456,3968,1408,318464,443456,59264,288192,268992,1411264,1092800
576,1119232,385984,175488,3968,1408,960,253056,59456,238912,220160,899072,898112
577,1120256,385728,174208,3968,1408,960,276864,58688,218432,199488,920768,919808
578,2240448,381952,178304,3904,4416,70144,1139648,185792,276288,256960,1983488,1913344
579,1119232,383424,175488,3968,4480,960,168832,185856,196224,177408,941824,940864
580,1120512,381632,184128,3968,4352,896,204736,183168,157632,138496,982016,981120
581,1119424,381120,182592,3904,4352,960,253888,182208,110400,91584,1027840,1026880
582,1120128,382784,185536,4032,4544,960,323776,143872,74624,55552,1064576,1063616
583,1680064,382784,179200,4096,130880,960,308992,98496,574656,555776,1124288,1123328
584,1119872,381184,184576,4032,2944,960,294656,92672,158848,139712,980160,979200
585,1119808,384768,182208,3968,3008,960,290880,91072,162944,144192,975616,974656
586,1120000,384832,182144,3904,2816,70912,307584,95040,72768,53568,1066432,995520
587,1119488,380992,175616,3968,4992,1024,279488,78464,194944,176192,943296,942272
588,1119936,384960,174592,3968,5184,960,284352,78464,187456,168448,951488,950528
589,1680384,386368,176576,3968,4224,316736,287424,77632,427456,408192,1272192,955456
590,1119296,387968,177920,3968,2752,1024,289024,78016,178624,160192,959104,958080
591,1120192,383872,177088,3904,2752,1024,280768,78400,192384,173696,946496,945472
592,1120000,386624,176128,3968,2752,1024,281408,70464,197632,178560,941440,940416
593,1119616,387328,174400,3968,2880,960,278848,59648,211584,192704,926912,925952
594,1119808,389952,176448,4032,2752,1024,278720,59456,207424,188416,931392,930368
595,1119872,387328,175872,3968,2880,1024,259648,59712,229440,210752,909120,908096
596,1120256,387776,173824,3968,2688,896,253056,59008,239040,220160,900096,899200
597,1119808,383936,174848,3904,2816,960,237376,59200,256768,237952,881856,880896
598,1119424,385472,175936,3968,2880,960,234368,60160,255680,237120,882304,881344
599,1119808,387456,177664,3968,2944,1024,234688,58688,253376,234880,884928,883904
600,1120064,386240,175488,3968,2752,1024,235328,59520,255744,236736,883328,882304
601,1120000,388992,175488,3968,2944,960,235584,58624,253440,234496,885504,884544
602,1680064,387456,176704,3968,2880,960,499776,131072,477248,458624,1221440,1220480
603,2240448,383424,177472,3968,131584,319424,668160,132224,424192,404736,1835712,1516288
604,1119360,383616,176000,3968,4032,960,311104,132288,107392,88064,1031296,1030336
605,1680192,383232,176640,3968,5312,960,560384,132160,417536,398464,1281728,1280768
606,1119616,386368,175744,3968,5760,960,337472,132096,77248,58304,1061312,1060352
607,1680064,385088,176384,3904,2560,960,608704,89024,413440,394624,1285440,1284480
608,1119872,384640,179904,4032,2688,960,385984,89344,72320,53760,1066112,1065152
609,1119936,384640,177152,3968,2560,960,373696,89024,87936,68992,1050944,1049984
610,1119744,384640,176320,4032,2624,960,372928,89344,88896,70016,1049728,1048768
611,1120000,382208,175424,4032,2688,1024,376832,90304,87488,69184,1050816,1049792
612,1120064,384192,176576,3904,2496,960,375744,88832,87360,68032,1052032,1051072
613,1119552,386304,176128,3968,2560,960,383296,88896,77440,58624,1060928,1059968
614,1120320,388928,176640,3968,2752,960,371264,89792,86016,67072,1053248,1052288
615,1119808,385216,175680,3904,2624,960,359296,89600,102528,83520,1036288,1035328
616,1119680,385216,176064,3968,2688,71104,355648,86784,38208,18816,1100864,1029760
617,1680256,384384,175488,4032,2560,319552,355456,78336,360448,341312,1338944,1019392
618,1679488,384000,176384,3840,2752,960,556352,85696,469504,450880,1228608,1227648
619,1120320,383680,175296,4032,4992,960,336000,85056,130304,111232,1009088,1008128
620,1119552,383808,177344,3904,5696,960,346624,85504,115712,96704,1022848,1021888
621,1680448,382272,175808,3968,4928,960,465344,78720,568448,549312,1131136,1130176
622,1679744,384256,174144,3904,128448,960,348992,72320,566720,547392,1132352,1131392
623,1119616,386240,175104,3968,1408,960,343616,73472,134848,116288,1003328,1002368
624,1119488,386432,173696,3904,1472,960,345920,73408,133696,115520,1003968,1003008
625,1120512,386944,177536,3904,1472,1024,347776,72832,129024,110080,1010432,1009408
626,1119616,383552,173440,3968,1536,896,345792,58944,151488,133056,986560,985664
627,1120064,385152,175232,3904,1408,960,447040,59904,46464,27648,1092416,1091456
628,1679808,385408,176512,3904,2048,960,483904,72768,554304,535680,1144128,1143168
