frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
502,1680576,392384,174336,3968,3200,322432,464384,72704,247168,226944,1453632,1131200
503,1680256,226048,182272,3904,3840,322944,309120,74304,557824,538432,1141824,818880
504,1119488,229312,178240,3968,4608,1088,463424,74112,164736,145408,974080,972992
505,1119936,227968,182016,3968,3072,1024,314496,74368,313024,293440,826496,825472
506,1119552,226432,182912,3968,1344,1088,317440,74624,311744,292672,826880,825792
507,1119872,225600,182656,3904,1280,1088,310400,73216,321728,302848,817024,815936
508,1119680,226880,175552,3904,1408,960,304256,68992,337728,318720,800960,800000
509,1120000,227776,174464,3968,1408,1024,311168,70592,329600,310336,809664,808640
510,1119360,227392,175872,3968,1408,1024,265536,69312,374848,356096,763264,762240
511,1120000,228800,180352,3904,1344,1024,570368,70464,63744,44800,1075200,1074176
512,1120064,388864,180480,3968,1344,1024,420480,60480,63424,44032,1076032,1075008
513,1119744,393216,180992,3904,1280,1152,349312,60672,129216,109952,1009792,1008640
514,1119872,393408,181632,3904,1408,1088,356864,60544,121024,102080,1017792,1016704
515,1119808,393728,181120,3968,1280,1088,359296,60032,119296,100288,1019520,1018432
516,1119616,392768,178560,3968,1344,1024,357888,60096,123968,105152,1014464,1013440
517,1680256,390784,180864,4032,1408,1088,625152,59968,416960,398208,1282048,1280960
518,1680128,391936,172992,4032,1408,325440,325248,60672,398400,379200,1300928,975488
519,1119552,393472,178176,3968,1344,1088,329856,60288,151360,132544,987008,985920
520,1120000,391424,174976,3968,92480,1088,327488,59200,69376,49792,1070208,1069120
521,1119680,391296,174336,4032,1280,1024,331136,59456,157120,138304,981376,980352
522,1119744,393024,173824,3968,1280,1088,329664,59904,156992,137728,982016,980928
523,1119808,390144,172608,3840,1344,1088,332864,60672,157248,138176,981632,980544
524,1120064,392128,174720,3968,1280,1024,329472,60672,156800,137408,982656,981632
525,1119808,392832,173440,3968,1280,1088,329024,60224,157952,138752,981056,979968
526,1119936,392192,176704,4032,1408,72768,330944,63616,78272,58880,1061056,988288
527,1119488,391936,176064,3968,1344,960,340288,61056,143872,125120,994368,993408
528,1120128,392128,173056,4032,1344,1088,326784,60032,161664,142784,977344,976256
529,1119616,393408,176768,3840,1344,960,328384,60032,154880,135808,983808,982848
530,1120256,393600,174592,3904,1344,960,331584,60608,153664,134144,986112,985152
531,1119616,393152,175744,4032,1280,960,330688,60160,153600,134336,985280,984320
532,1119680,393856,171392,3904,1280,1024,330432,60608,157184,138176,981504,980480
