frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
501,1120064,225216,188992,4032,2560,832,334080,80768,283584,264448,855616,854784
502,1120000,225600,188096,3968,4544,896,308224,80704,307968,288768,831232,830336
503,1119680,222336,187520,3968,4608,896,312192,73280,314880,295744,823936,823040
504,1119680,227712,186240,3968,3520,832,464384,72896,160128,141504,978176,977344
505,1120256,225088,190848,4032,4416,896,316288,72512,306176,286976,833280,832384
506,1119680,222016,189440,3968,4416,896,318656,73664,306624,287360,832320,831424
507,1119680,224768,187712,4032,1280,896,312896,73344,314752,296192,823488,822592
508,1119744,223232,181952,3904,1344,960,308288,68608,331456,312512,807232,806272
509,1120384,223552,180672,4032,1344,960,311424,68608,329792,310656,809728,808768
510,1119424,222976,181120,4032,1344,832,267136,68288,373696,354880,764544,763712
511,1120128,225664,182784,3904,1280,21248,570688,68672,45888,26240,1093888,1072640
512,1119424,384320,187776,3968,1280,832,422848,62528,55872,37248,1082176,1081344
513,1680448,385472,189952,4032,127616,832,354176,59136,559232,539648,1140800,1139968
514,1119872,385920,188416,4032,1344,960,360640,59520,119040,99904,1019968,1019008
515,1119552,383424,187456,4032,1344,896,363136,58432,120832,101696,1017856,1016960
516,1119808,382976,186944,3904,1408,896,361152,58880,123648,105024,1014784,1013888
517,1680384,385408,188608,3968,1344,832,623552,59520,417152,397888,1282496,1281664
518,1119616,389312,181440,3968,1280,896,330560,59008,153152,134080,985536,984640
519,1119936,385664,177728,3904,1408,896,332928,59392,158016,139072,980864,979968
520,1120000,384064,180288,4096,1280,896,330624,58816,159936,141056,978944,978048
521,1119552,387264,180160,3904,1344,896,333120,58432,154432,135552,984000,983104
522,1120128,382336,180032,3968,1216,896,333056,58688,159936,140864,979264,978368
523,1119680,383232,180736,3968,1344,832,335168,59712,154688,136192,983488,982656
524,1120256,383168,181760,4032,1344,896,332352,58944,157760,138752,981504,980608
525,1119872,385536,180288,4096,1344,960,330560,59520,157568,138368,981504,980544
526,1120448,382400,180096,3968,1344,85376,334592,62080,70592,50880,1069568,984192
527,1119232,382080,178560,3968,1344,896,343872,58880,149632,130560,988672,987776
528,1120064,384576,181376,4032,1280,960,328960,59584,159296,140032,980032,979072
529,1119680,387008,180096,3968,1344,832,331328,59392,155712,136832,982848,982016
530,1119936,383680,179008,3840,1280,896,334784,59392,157056,138176,981760,980864
531,1120000,383744,179648,4032,1280,896,334656,58880,156864,137600,982400,981504
532,1119872,383808,179584,3904,1280,896,334784,59328,156288,137024,982848,981952
533,1119616,389824,181376,4032,1344,832,332928,58752,150528,131328,988288,987456
534,1119936,384448,179456,4032,93248,896,335808,59072,62976,43840,1076096,1075200
535,1120064,383616,179840,4032,1280,832,333120,57792,159552,140160,979904,979072
536,1120128,380864,180480,3904,1344,960,334784,59456,158336,138944,981184,980224
537,1119424,386240,180736,3968,1280,896,333120,59456,153728,134976,984448,983552
538,1680064,382592,180672,3968,1280,896,604544,58048,448064,428864,1251200,1250304
539,1119872,384064,181440,3904,1280,832,336832,58048,153472,134336,985536,984704
540,1119808,385472,181376,4032,1280,832,343104,58432,145280,126464,993344,992512
