frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
501,1119744,392320,175168,4032,2560,896,260288,60032,224448,205376,914368,913472
502,1120000,391360,175680,4096,2432,896,392512,59392,93632,74368,1045632,1044736
503,1120000,392320,176640,4032,2496,960,248704,59008,235840,216512,903488,902528
504,1119744,391872,176128,4096,2432,960,252608,59520,232128,213056,906688,905728
505,1120064,391168,174528,3968,2496,896,251712,60224,235072,215488,904576,903680
506,1119616,390400,177280,3968,2496,896,406272,59264,79040,59776,1059840,1058944
507,1119744,392320,175936,3968,2496,960,228608,59008,256448,237376,882368,881408
508,1119872,391424,176384,4032,2432,896,236352,58752,249600,230400,889472,888576
509,1119808,389056,176896,4032,2432,960,255552,58944,231936,212864,906944,905984
510,1120256,390400,176512,3968,2496,21696,275264,59456,190464,170560,949696,928000
511,1119552,391424,175744,3968,2432,832,275392,59136,210624,191296,928256,927424
512,1119808,391040,175296,4096,4736,832,397120,60096,86592,67328,1052480,1051648
513,1119872,391104,177088,4096,95680,896,265472,59584,125952,106560,1013312,1012416
514,1119936,391872,176384,3904,2496,896,260800,60416,223168,203968,915968,915072
515,1120000,387392,174656,4032,2432,896,410048,60416,80128,60480,1059520,1058624
516,1119616,392256,176448,4032,4736,960,340480,59136,141568,122432,997184,996224
517,1119872,389888,176960,4096,4928,896,344896,59840,138368,118592,1001280,1000384
518,1119936,390016,176704,3968,1280,896,345344,58752,142976,123520,996416,995520
519,1119936,391104,177856,4032,1216,960,334208,58752,151808,132736,987200,986240
520,1119936,393024,174912,4096,1152,896,332992,59584,153280,133696,986240,985344
521,1119488,389696,174976,3904,1280,960,329728,58816,160128,141120,978368,977408
522,1120192,389760,175616,3968,1280,896,332224,60160,156288,137152,983040,982144
523,1119616,390080,174976,4096,1280,896,331328,59072,157888,138624,980992,980096
524,1120064,389952,173824,3968,1216,960,331072,59456,159616,140352,979712,978752
525,1119744,394304,177024,4032,1216,21824,333440,58624,129280,109696,1010048,988224
526,1119936,390720,176192,3968,1216,71424,334016,63424,78976,59456,1060480,989056
527,1119488,389952,176192,4032,1280,896,332608,59520,155008,135936,983552,982656
528,1120384,390400,175296,3904,1216,960,332992,59712,155904,136256,984128,983168
529,1119360,392576,176192,3968,1280,896,332672,60800,150976,131968,987392,986496
530,1120064,386944,175104,4032,1280,896,340480,60480,150848,131456,988608,987712
531,1119936,391104,175872,4032,1280,960,326272,59584,160832,141568,978368,977408
532,1119424,387968,175488,3968,1280,896,329856,59200,160768,141824,977600,976704
533,1119872,387520,177536,3968,1216,896,332224,59264,157248,138432,981440,980544
534,1120064,387328,177536,3968,1152,896,328512,59456,161216,142016,978048,977152
535,1119808,392960,175808,4032,92288,960,332864,59264,61632,42304,1077504,1076544
536,1120576,390976,176128,3904,1280,960,329088,59520,158720,138880,981696,980736
537,1119232,390848,176384,3968,1280,896,333824,59648,152384,133440,985792,984896
538,1119744,394816,177472,4032,1280,896,332992,58944,149312,130304,989440,988544
539,1119808,387904,176064,3968,1152,896,327808,58560,163456,144512,975296,974400
540,1120128,395008,174784,3968,1216,21760,330688,59648,133056,113536,1006592,984832
