Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=120 frames=439..558 melonDS=1.0 sha=DE80E46BDCF1FD98 git=8ab5997853a+dirty(7) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,118,272  1,678,656   1.50  1,239,564  1,117,440  2,238,720   100.0
FTR       312,640    316,544   1.01    312,592    307,072    321,024    28.0
STG       189,696    191,360   1.01    189,732    186,944    192,384    17.0
BG          4,032      4,096   1.02      4,009      3,904      4,224     0.4
AUD         2,432      5,504   2.26      8,095      1,152    130,176     0.2
HUD         1,152    422,464 366.72     32,252        960    428,416     0.1
SRC       355,456    584,384   1.64    381,601    184,384  1,116,096    31.8
MISC      105,472    129,472   1.23    104,142     80,768    147,264     9.4
OTHR      172,352    529,088   3.07    207,141     22,848    573,696    15.4
WAIT      152,960    509,632   3.33    187,606      2,624    554,432    13.7
WORK      994,368  1,467,968   1.48  1,051,958    838,720  1,739,072    88.9
SHDT        6,656      9,984   1.50      8,467      3,968    165,568     0.6
SWRM          576        640   1.11        552        512        704     0.1
GCRA      350,912    579,840   1.65    377,047    179,712  1,111,488    31.4
SCPU       48,448    120,960   2.50     52,839        832    131,008     4.3
SCAT        1,408      1,536   1.09      1,374      1,152      1,600     0.1
SPRM        1,920      2,112   1.10      3,026      1,728    130,944     0.2
SINT      156,224    375,936   2.41    189,873      8,000    941,568    14.0
SPHD       78,144    101,312   1.30     82,629     56,640    258,240     7.0
SPHC          640        768   1.20        666        512        832     0.1
WORK-H    991,360  1,210,624   1.22  1,019,706    837,504  1,737,984    88.7

named=1,032,423 (83.3% of ALL)  VBI 2:424 3:100 4:16 5+:17 max:20 total:557  slips=0
extras: gNdsR2MtxObservedRoute=3  gNdsR2MtxAffineCallCount=29,554  gNdsR2MtxRowBlockedMulCount=10,049  gNdsR2MtxRowBlockedAffineCount=29,337
