frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
438,1118016,294464,188672,3968,2560,1088,358144,83712,185408,166528,951488,7936,576,353152,76928,1152,1920,163456,103360,704,950400
439,1678464,296768,188544,3968,2624,1024,596800,104192,484544,465472,1212992,4288,576,591872,122432,1280,1920,210688,293760,704,1211968
440,1118272,299072,189056,4032,4480,1152,276608,103808,240064,220608,897664,4480,576,271744,37632,1344,2048,126208,58496,768,896512
441,1118208,297344,188800,3968,3840,1088,279616,103552,240000,220480,897728,4352,576,274880,37632,1216,1984,130304,57856,640,896640
442,1118272,296512,189312,4096,2432,1152,269056,103296,252416,232704,885568,4544,576,264320,37696,1344,2176,119616,57856,576,884416
443,1118016,296896,187520,3904,4800,1216,272064,104000,247616,228096,889920,4224,576,267392,37952,1216,2112,123008,57792,832,888704
444,1118336,298752,188928,4032,4672,1088,271616,105152,244096,224512,893824,4224,576,266624,37248,1216,2048,122432,57344,704,892736
445,1117952,298624,187648,4032,3072,1216,271232,103232,248896,229568,888384,4416,640,266368,38016,1280,1856,122240,57536,640,887168
446,1118144,299648,188480,4032,1408,1216,272128,104000,247232,228096,890048,4352,576,267136,38144,1152,1920,122368,58048,640,888832
447,1118272,298048,188032,4032,1344,1088,266368,104512,254848,235456,882816,4224,640,261568,38528,1280,1984,117824,57664,704,881728
448,1117888,297984,189504,4032,1408,1024,267776,105920,250240,231168,886720,4224,576,263104,37440,1280,2240,118720,57856,832,885696
449,1679232,297472,189248,4032,1408,423040,368256,104064,291712,271552,1407680,4224,512,363328,40512,1344,1920,219776,58112,768,984640
450,1117824,297984,187968,4096,1344,1088,269120,105216,251008,231232,886592,4352,576,264320,42112,1408,1984,121728,56832,640,885504
451,1117824,298304,189120,4032,1344,1088,371008,105408,147520,128256,989568,4672,640,366208,41728,1344,1984,221568,58432,704,988480
452,1118592,298752,190912,3968,1408,1088,359296,107648,155520,136320,982272,4352,640,354368,127616,1280,2112,210112,58112,640,981184
453,1677888,298688,195136,4032,128448,1152,408512,98240,543680,524480,1153408,4416,576,403392,126720,1536,1984,219136,58688,768,1152256
454,1118720,299200,196288,4096,1344,1088,378624,83904,154176,135040,983680,4480,640,373888,126784,1280,1920,218112,57984,832,982592
455,1118080,297216,195648,4032,1408,1152,379520,83712,155392,136256,981824,4160,576,374720,126784,1216,1984,220800,56896,832,980672
456,1118528,298048,193472,4032,1344,1088,377408,84608,158528,139136,979392,4224,640,372480,126400,1280,1856,217664,57600,640,978304
457,1678336,299200,194944,3968,1344,1152,560000,84928,532800,513408,1164928,4224,512,555072,127232,1344,1984,400768,58304,704,1163776
458,1118080,301248,194432,4032,1408,1152,366592,84416,164800,145152,972928,4160,576,361792,127168,1216,2048,208768,57472,768,971776
459,1117568,298816,195584,3968,1408,1088,455616,84480,76608,57728,1059840,4416,576,450816,129792,1344,2112,299136,59200,704,1058752
460,1118720,298624,186240,3968,1280,1152,353152,83968,190336,170880,947840,4096,576,348352,127488,1280,2176,206528,58496,768,946688
461,1117888,299712,188800,3968,1472,1088,356736,84672,181440,162688,955200,4288,576,352000,127616,1280,2112,209280,59328,768,954112
462,1118272,299648,187968,4032,1344,1152,353600,84096,186432,167232,951040,4352,640,348928,126272,1152,2112,207808,58240,704,949888
463,1678528,300416,189888,4032,1344,418944,391104,84288,288512,268992,1409536,4224,512,386304,127936,1216,1856,210368,58944,704,990592
