frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117952,302784,171200,4032,4480,960,307840,95488,231168,212160,905792,4544,640,302656,37568,1408,1920,140800,74752,576,904832
440,1678528,302208,172352,4096,2304,960,651136,128576,416896,397248,1281280,7744,576,646144,38784,1344,2176,432832,85440,768,1280320
441,1118080,302144,170496,4096,2304,896,343936,128128,166080,146688,971392,7616,576,339072,38144,1344,2048,139264,73728,576,970496
442,1118208,299968,170176,4032,2368,960,352896,121088,166720,147584,970624,7680,640,347904,46720,1344,1984,147840,75072,512,969664
443,1118272,302912,169856,4096,2496,1024,353664,121472,162752,143424,974848,7296,640,348736,47168,1536,2048,149888,73792,704,973824
444,1118592,302912,171328,4160,2496,1024,351424,113856,171392,151680,966912,7168,640,346496,47040,1600,2048,149248,71936,640,965888
445,1117632,301184,171968,3968,2368,960,343104,115264,178816,159296,958336,7168,576,338304,42176,1472,1984,141056,73152,640,957376
446,1118720,301888,170496,4160,2496,1024,302656,106432,229568,209920,908800,7232,576,297728,960,1344,2112,98432,75072,832,907776
447,1678784,298432,173056,4160,2432,423104,457856,106496,213248,192960,1485824,7104,640,452864,2304,1408,1920,255232,74176,704,1062720
448,1117504,301120,171584,4096,2368,1024,352064,105728,179520,160064,957440,7168,640,347008,48832,1408,2112,147072,76416,704,956416
449,1678720,304256,172800,4160,2624,1024,585728,119104,489024,468992,1209728,7488,640,580800,22912,1536,2048,356480,96768,896,1208704
450,1117760,301632,169984,4096,2624,960,304704,118144,215616,196224,921536,7296,704,299648,960,1536,2176,91712,83328,576,920576
451,1118720,298240,168448,4288,2624,1024,304832,118080,221184,201536,917184,7232,640,299776,832,1600,1984,93568,81344,704,916160
452,1117696,303360,175808,4160,2624,1024,426176,119360,85184,65984,1051712,7424,576,421248,1472,1664,2048,206592,88384,704,1050688
453,1118656,302144,172096,4160,128576,960,336256,117824,56640,37056,1081600,7168,576,331008,24704,1408,2048,118144,87296,704,1080640
454,1118464,302784,171072,4096,2560,960,354240,112192,170560,150848,967616,7104,640,349312,48512,1408,1984,143424,81088,704,966656
455,1118016,301888,172096,4096,2560,960,345472,112576,178368,158848,959168,7040,640,340416,43072,1344,2112,136448,80448,576,958208
456,1678400,306816,170688,4160,2624,1024,592320,115712,485056,465536,1212864,7040,576,587456,33536,1472,2048,246848,213440,704,1211840
457,1118336,307648,171968,4096,4800,960,355520,123328,150016,130432,987904,7360,576,350144,44672,1280,2176,149248,71168,576,986944
458,1118144,307008,171840,4224,4864,896,380416,124416,124480,104768,1013376,7424,640,375296,61056,1472,2048,173056,74432,640,1012480
459,1118144,305728,171520,4096,2688,960,386944,123520,122688,103168,1014976,7552,576,381952,60608,1472,2112,178112,74880,704,1014016
460,1678528,305216,170560,4096,2752,896,502464,124608,567936,548544,1129984,8704,640,497152,62144,1344,2048,281728,87232,768,1129088
461,1678720,308224,172544,4096,2560,423488,404480,123072,240256,219904,1458816,9088,640,399424,61952,1472,1920,182720,86464,704,1035328
462,1117760,302848,171136,4096,3968,960,424064,124352,86336,66560,1051200,10112,640,418880,61760,1408,1984,189184,100096,640,1050240
463,1118400,302784,172416,4160,3776,960,415616,116416,102272,82432,1035968,8832,576,410624,61632,1600,2048,192512,87552,768,1035008
464,1118272,304768,171840,4032,5504,960,475712,112192,43264,23424,1094848,8960,640,470848,62720,1728,2112,256128,85568,640,1093888
465,1118272,304768,171648,4160,5056,960,407936,112064,111680,91840,1026432,10048,576,402880,62976,1408,2304,175936,97792,576,1025472
466,1118464,302784,170880,4096,2816,68736,392448,115008,61696,41600,1076864,8768,640,387520,64128,1472,1984,174336,86336,768,1008128
467,1117760,305536,170368,4096,4992,896,380608,111936,139328,119616,998144,9024,640,375616,65920,1536,2048,163648,85760,640,997248
468,1117952,303232,172160,4032,3648,960,408576,112448,112896,93504,1024448,9984,576,403584,66304,1536,1984,178112,96832,704,1023488
