Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=1600 frames=439..2038 melonDS=1.0 sha=DE80E46BDCF1FD98 git=458df8ad8e0+dirty(4) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,118,208  1,678,784   1.50  1,224,956  1,115,072  5,872,960   100.0
FTR       303,232    329,472   1.09    297,214    172,992    339,136    27.1
STG       174,656    178,880   1.02    177,629    169,984  4,369,088    15.6
BG          4,096      4,224   1.03      4,100      3,968      4,288     0.4
AUD         2,816      7,232   2.57      8,987      1,088    154,816     0.3
HUD           960    424,192 441.87     35,601        832  2,493,696     0.1
SRC       323,648    580,992   1.80    354,590     10,880  4,588,480    28.9
MISC      105,024    182,336   1.74    112,794     82,624    274,304     9.4
OTHR      213,120    516,928   2.43    234,041     20,736    579,200    19.1
WAIT      193,600    498,816   2.58    214,535        960    559,360    17.3
WORK      953,280  1,390,016   1.46  1,010,421    616,832  5,605,760    85.3
SHDT        4,416     88,000  19.93     14,227          0    519,744     0.4
SWRM          832        896   1.08        836        640        960     0.1
GCRA      318,464    575,936   1.81    349,352      6,848  4,583,424    28.5
SCPU       44,608    112,192   2.52     47,267          0    149,824     4.0
SCAT        1,344      1,536   1.14      1,331          0      1,664     0.1
SPRM        2,048      2,176   1.06      4,710          0    632,576     0.2
SINT      152,000    333,184   2.19    170,675          0  4,443,712    13.6
SPHD       57,920     99,840   1.72     66,416          0    758,208     5.2
SPHC          704        768   1.09        666          0        896     0.1
WORK-H    944,256  1,217,472   1.29    974,821    608,704  5,180,672    84.4

named=990,915 (80.9% of ALL)  VBI 2:1697 3:313 4:15 5+:13 max:26 total:2038  slips=0
Wrote D:\Stuff\DevFolder\Smash64DS_Port\artifacts\performance\2026-08-12_c130-fire-gate\c130-gate.json
