frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1118272,323840,161536,3904,131584,1024,309120,96256,91008,71424,1046848,4032,768,304000,37696,1216,1792,141056,76032,704,1045824
440,1678528,322624,162816,3968,2880,1024,683712,128320,373184,353600,1324928,7104,896,678528,38144,1344,1856,463936,86720,640,1323904
441,1117952,320768,164096,3904,2816,1024,345920,127872,151552,132224,985728,6976,768,340864,38528,1344,1728,138176,75584,704,984704
442,1118080,320640,161792,3968,2816,960,353472,120448,153984,134592,983488,6656,896,348160,46592,1088,1856,147072,75200,704,982528
443,1118272,322624,162752,3968,2880,1024,354240,121088,149696,130048,988224,6528,896,349056,46848,1472,1984,149248,74880,576,987200
444,1118528,320576,163072,3968,2688,960,352896,115456,158912,139072,979456,6656,896,347648,47296,1408,1920,148160,74560,640,978496
445,1117696,321664,163520,3904,2688,960,346752,115328,162880,143104,974592,6400,896,341312,43584,1280,1792,141696,75648,768,973632
446,1118336,322112,164032,4032,2816,1024,303232,107200,213888,194240,924096,6272,896,297920,960,1280,1856,97408,76544,640,923072
447,1118400,321856,161408,4032,2752,960,459968,106816,60608,40448,1077952,6592,960,454656,2688,1280,1856,256064,75136,640,1076992
448,1117824,321024,166208,4032,2880,1024,353280,107264,162112,142336,975488,6656,896,348096,48384,1216,1984,146752,78208,640,974464
449,1678912,318080,163392,4160,3008,427648,583808,120576,58240,37760,1641152,6336,960,578304,22912,1344,1856,354560,96384,576,1213504
450,1117824,319744,161664,3968,2944,960,304832,118144,205568,185664,932160,6400,832,299456,960,1408,1856,91072,83712,576,931200
451,1118016,321024,162240,3968,2880,1024,303616,119552,203712,184384,933632,6720,896,298176,896,1408,1856,91968,80576,640,932608
452,1117888,321344,162688,3904,2880,896,426624,119488,80064,60352,1057536,6400,896,421632,1600,1408,1664,205824,89344,704,1056640
453,1118592,319296,161728,4032,3008,1024,334592,119360,175552,155712,962880,6464,832,329408,25280,1344,1792,116480,87744,704,961856
454,1118144,319616,163328,3968,2944,960,355264,110208,161856,142144,976000,6336,960,350016,48960,1344,1984,142400,82752,640,975040
455,1117760,322624,164736,3968,2880,1024,347712,112448,162368,142656,975104,6144,832,342400,43328,1408,1728,136000,82944,576,974080
456,1678528,297792,162240,4032,2944,1024,626176,117056,467264,447552,1230976,6208,896,620992,34624,1280,1856,248128,245568,768,1229952
457,1118272,297280,164416,3968,5376,1024,356608,124544,165056,145408,972864,6272,896,351424,45120,1472,1856,148608,71616,576,971840
458,1118144,300992,162560,4032,5440,960,382208,123648,138304,118400,999744,6400,896,377088,62912,1216,1792,174528,75136,704,998784
459,1678208,295936,164480,4032,154880,1024,385856,123456,548544,528640,1149568,6336,896,380736,62912,1408,1792,178048,74816,704,1148544
460,1678144,293760,163648,4160,2880,960,513280,122816,576640,557184,1120960,7616,896,508032,62528,1472,1920,290176,88128,768,1120000
461,1118400,300224,163264,3968,3072,960,405760,122240,118912,98944,1019456,8832,960,400384,63360,1344,1856,182272,87808,640,1018496
462,1118208,295168,163008,3968,3136,960,425216,122752,104000,84288,1033920,9280,832,419904,62656,1408,1792,189248,100096,704,1032960
463,1678720,292864,164992,3968,4288,422336,416256,116032,257984,237952,1440768,7872,832,411008,62528,1152,1920,192768,88192,512,1018432
464,1117888,296640,163776,4032,5760,960,478848,111232,56640,37184,1080704,8192,960,473536,63232,1344,1792,256960,86400,640,1079744
465,1118208,292864,162944,4032,5632,1024,407872,111936,131904,111936,1006272,9536,960,402688,63744,1344,1920,176064,97856,576,1005248
466,1118592,294720,161344,4032,5248,70464,392192,114560,76032,55680,1062912,8000,960,386880,64640,1344,1920,172800,87296,704,992448
467,1117696,297920,161920,3968,6208,960,381248,111552,153920,133888,983808,8128,768,376000,66432,1408,1856,163136,86016,576,982848
468,1118208,292736,162880,3904,3008,960,410112,111040,133568,114240,1003968,9920,832,404928,66944,1408,1728,176512,97472,704,1003008
469,1118144,293184,162368,4032,3008,1024,394304,112896,147328,127424,990720,7872,896,389120,67008,1216,1792,175360,87424,576,989696
470,1117824,298176,162688,3840,5568,960,389120,111168,146304,127360,990464,8192,896,383936,66816,1408,1728,171008,86336,512,989504
471,1118272,296832,160768,3840,5312,1024,497792,83584,69120,49600,1068672,7168,896,492608,75328,1344,1856,299200,98432,704,1067648
472,1118208,299200,161344,3904,5696,896,347392,82752,217024,197632,920576,4224,960,342144,70336,1216,1728,182528,75072,576,919680
473,1118208,296256,162368,3904,5312,960,347584,83520,218304,198720,919488,4096,896,342400,71616,1152,1792,187264,71616,640,918528
474,1117952,295552,162112,3904,5824,960,352128,83200,214272,194688,923264,4096,896,346880,71680,1280,1728,187072,74368,704,922304
475,1118336,293440,160960,3840,5824,960,418048,82496,152768,133056,985280,3840,832,412800,72064,1216,1792,251648,76480,640,984320
