frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117824,326464,158784,4096,4864,1024,309888,96768,215936,196608,921216,4608,1088,304576,39232,1280,1792,142784,75648,640,920192
440,1678336,324224,161856,3968,2880,1024,681408,128704,374272,354752,1323584,7616,960,676224,39616,1408,1856,460544,88000,704,1322560
441,1118336,322624,162496,4032,2752,960,346496,129792,149184,129408,988928,7296,960,341248,39232,1408,1984,139392,75712,640,987968
442,1118080,323136,161600,3968,2880,960,357632,121664,146240,126592,991488,7488,960,352512,47552,1344,1856,149248,75840,576,990528
443,1117952,322048,163456,4096,2752,1024,354816,120704,149056,129792,988160,6656,1024,349376,46976,1408,1856,150208,75200,640,987136
444,1118720,323136,164480,4160,2752,960,353024,114432,155776,136064,982656,6976,832,347712,47680,1280,1984,148608,74752,704,981696
445,1117824,323648,162816,3968,2624,1024,349696,115264,158784,139136,978688,7040,960,344448,44416,1408,1856,144256,75712,512,977664
446,1118592,323456,163136,4096,2752,1024,306240,107200,210688,190848,927744,7296,1024,300992,960,1344,1920,98752,77632,640,926720
447,1118400,323392,162496,4096,2752,960,461248,107520,55936,35904,1082496,7168,896,456320,2624,1216,1792,256192,76352,640,1081536
448,1117888,322944,163328,4096,2688,1024,356160,106368,161280,141248,976640,7104,960,350848,49216,1344,1984,149184,78592,576,975616
449,1678784,320896,162688,4032,2944,428480,586304,119040,54400,33856,1644928,6912,1024,580928,23680,1536,1920,357376,98048,576,1216448
450,1118016,322176,162944,4096,2816,1024,305600,118720,200640,180288,937728,6912,1024,300224,1024,1536,1984,91904,84928,640,936704
451,1118016,321216,163072,4160,2880,1024,305408,119360,200896,181312,936704,6464,1024,300096,896,1536,1856,93568,83328,768,935680
452,1117760,318912,162944,4032,2944,960,428736,118592,80640,60928,1056832,7168,960,423488,1472,1472,1856,207168,90560,704,1055872
453,1118592,319488,162944,4096,2816,1088,337792,120832,169536,149696,968896,6848,960,332608,25664,1280,1856,119232,89472,704,967808
454,1118080,322432,163904,4096,2880,960,358208,111168,154432,134848,983232,7104,896,352960,49344,1536,2048,143872,83776,576,982272
455,1118144,322944,163520,4096,2880,1024,349440,112064,162176,142784,975360,7168,1024,344128,44160,1344,1920,138048,83392,704,974336
456,1678720,297856,163008,4160,2880,1024,628352,116928,464512,444736,1233984,6784,960,623104,34880,1408,2048,250624,245696,768,1232960
457,1678080,298880,163008,4160,155904,1024,358784,124096,572224,552256,1125824,7232,960,353600,46080,1472,1984,151168,71936,640,1124800
458,1118272,297728,160448,4096,4096,1024,381824,122368,146688,126720,991552,7104,896,376704,62976,1280,1792,174464,75200,512,990528
459,1118144,298752,161664,4096,2880,1024,389312,124160,136256,116352,1001792,6848,1024,384064,64256,1344,1920,181504,74752,832,1000768
460,1678336,296512,163712,4096,2944,1024,514240,123840,571968,552128,1126208,7872,896,509184,65536,1344,1984,292224,88704,640,1125184
461,1118400,300992,162496,4096,2944,1024,408192,123264,115392,95680,1022720,9024,1024,402944,64320,1216,1920,184704,88000,768,1021696
462,1118016,298240,162624,4096,3072,960,428352,122624,98048,78144,1039872,10176,960,423104,63616,1408,1920,191616,100928,640,1038912
463,1678720,296000,162624,4096,4352,425024,419008,116544,251072,231040,1447680,8320,1024,413824,64512,1536,1984,195392,88256,640,1022656
464,1117824,298432,162944,4096,6208,1152,481856,112704,50432,30528,1087296,8640,896,476672,63360,1408,1856,259008,88128,640,1086144
465,1118208,295936,163200,4096,5440,1024,412352,112512,123648,103872,1014336,10048,960,407296,65088,1280,1920,179072,98496,704,1013312
466,1118656,296128,160512,4032,5504,71424,395904,112832,72320,51584,1067072,8384,960,390784,66304,1472,1856,176256,88064,768,995648
467,1117632,298112,162368,4096,6080,1024,385792,112576,147584,127168,990464,8832,960,380480,67072,1344,1792,165696,86464,704,989440
468,1117952,296704,162752,3968,3072,960,413248,112512,124736,105088,1012864,10304,960,407936,67968,1280,1920,179200,98816,704,1011904
469,1118464,297600,160000,4096,3008,1024,397952,112064,142720,123072,995392,8512,1024,392576,67968,1536,1920,178752,86528,704,994368
470,1117760,299712,162240,4096,5440,1024,391360,111808,142080,122560,995200,8832,1024,386240,67968,1472,1856,173696,87232,576,994176
471,1118656,296576,161600,3968,5632,1024,498688,82688,68480,48768,1069888,7488,896,493440,74880,1408,2048,299648,99456,640,1068864
472,1117952,303168,161728,3968,5504,1024,349568,82752,210240,190336,927616,4352,1024,344384,71616,1344,1984,185600,75264,512,926592
473,1118272,298688,161408,4032,5312,1024,349504,84160,214144,194240,924032,4480,896,344320,72512,1344,1920,188288,72576,576,923008
474,1118208,301440,161344,3968,5952,1024,353600,83136,207744,188160,930048,4416,960,348288,71744,1344,1728,189504,75200,704,929024
475,1118208,292096,160832,4032,5696,960,419072,84032,151488,131840,986368,4288,896,413824,73728,1280,1792,253696,76864,640,985408
476,1118656,294720,160640,4096,4992,1024,525888,83584,43712,23936,1094720,4288,896,520640,72960,1280,1792,360448,76928,704,1093696
477,1117632,295360,164224,4032,3328,1024,327296,84416,237952,218240,899392,4416,1024,321920,71872,1280,1728,161600,76480,704,898368
478,1679168,293696,162176,4032,127360,423168,337088,82048,249600,229184,1449984,4608,960,331776,76032,1344,1984,167616,80128,704,1026816
479,1117568,296704,160448,4096,1664,1088,339136,83328,231104,211456,906112,4224,960,333760,75072,1344,1856,174144,76928,576,905024
480,1118464,295680,160320,4096,1536,1024,355712,84544,215552,195968,922496,4480,896,350528,75456,1408,1856,184704,81728,576,921472
481,1118528,296896,160576,4032,1536,1088,381760,83264,189376,169472,949056,4480,1024,376576,118848,1280,1792,215040,77824,576,947968
482,1678272,295552,161600,4160,1536,1024,566848,82816,564736,545088,1133184,4416,1024,561600,117696,1216,1856,397504,80768,640,1132160
483,1118016,294592,161088,4096,1536,960,379584,83776,192384,172736,945280,4352,896,374464,114944,1472,1856,212416,78784,704,944320
484,1118400,297088,160512,4096,1536,1024,391232,83520,179392,159424,958976,4416,960,386048,113344,1344,1920,222976,78848,640,957952
485,1118016,295424,163072,4096,2048,960,440704,96640,115072,94848,1023168,4288,960,435520,36224,1344,1792,152576,199232,704,1022208
486,1118272,298624,162304,4032,4992,1088,294592,96064,256576,236800,881472,4352,960,289344,37120,1280,1920,146304,57216,640,880384
487,1118208,297280,160832,4096,4992,1024,298560,96448,254976,235264,882944,4416,896,293120,36864,1280,1920,148800,57472,640,881920
488,1678272,294720,162240,4160,3264,1088,557696,95872,559232,539264,1139008,4480,1024,552448,117888,1088,1792,409152,56448,576,1137920
489,1118144,298880,161728,4096,1472,1024,445056,95680,110208,90496,1027648,4672,896,439808,119296,1344,1984,294848,57728,640,1026624
490,1118144,295808,161536,4096,1536,960,367360,96000,190848,171392,946752,4416,896,362176,119424,1216,1984,218304,57792,640,945792
491,1118400,299456,162240,4032,1536,1088,367040,97216,185792,166400,952000,4544,960,361856,118720,1344,1920,217664,58176,640,950912
492,1678848,294976,161920,4096,1600,421760,369280,96768,328448,307840,1371008,4288,832,364288,116992,1216,1792,220032,57984,704,949248
493,1117696,296192,159552,4096,1600,1024,368768,84736,201728,181760,935936,4160,896,363776,115648,1408,1792,219072,57792,640,934912
494,1118016,295936,160448,4096,1472,1024,369600,84032,201408,181568,936448,4352,1024,364160,118144,1216,1792,223232,57280,576,935424
495,1118272,298368,162560,4096,1600,1088,283392,83648,283520,263936,854336,4416,896,278144,34752,1280,1920,136384,57600,704,853248
496,1118848,296320,160384,4160,1664,70656,282944,85120,217600,197248,921600,4608,960,277824,35520,1280,1920,136512,58112,768,850944
497,1117632,298368,161664,4096,1536,1024,285824,82432,282688,262976,854656,4224,896,280640,35392,1216,1920,139712,57472,704,853632
498,1118144,294208,161088,4096,127168,960,287424,83840,159360,139200,978944,4608,896,282112,35520,1152,1920,139776,57920,640,977984
499,1118272,294784,161088,4096,1664,1024,283712,83968,287936,267968,850304,4544,1024,278656,34752,1216,1856,137408,57216,704,849280
500,1117888,296064,161536,4096,1600,960,283456,83264,286912,267264,850624,4800,960,278400,35392,1216,1856,137216,57024,704,849664
501,1118400,298176,162560,4160,1600,1088,289152,82880,278784,258688,859712,4352,1024,284032,35136,1280,1664,142592,57408,768,858624
502,1118144,297472,160768,4096,1472,1088,285056,83200,284992,264896,853248,4416,960,279872,35264,1152,1728,139008,57472,640,852160
503,1117696,297088,162688,4032,1600,1024,283904,82944,284416,265088,852608,4800,1024,278848,36160,1216,1984,137856,56832,704,851584
504,1118592,296384,161344,4096,1536,1024,388096,83456,182656,162816,955776,4544,1024,382784,38400,1344,2048,241216,57344,704,954752
505,1118016,297920,161344,4096,1536,1024,467840,84224,100032,80384,1037632,4352,960,462464,124480,1216,1984,309056,70016,640,1036608
506,1118528,297600,160384,4096,1536,1024,396736,83456,173696,153792,964736,4096,896,391488,127488,1216,1856,230336,77824,640,963712
507,1678528,295488,158144,3968,1600,428096,397888,83392,309952,289472,1389056,4480,896,392576,127680,1152,1792,231808,77376,704,960960
508,1118080,294528,161792,4096,1600,1024,394496,83328,177216,157440,960640,4416,896,389184,127552,1344,1920,226496,78720,704,959616
509,1118144,296640,160960,4096,1536,1024,390208,82752,180928,160896,957248,4160,1088,384896,131072,1280,1728,223488,77952,704,956224
510,1118016,295104,161664,4160,1600,1024,356800,82752,214912,194944,923072,4352,896,351552,90048,1280,1920,189184,78336,640,922048
511,1118208,297472,161088,4096,1536,960,361536,84096,207424,187648,930560,4288,1024,356352,89600,1344,1728,186048,86784,576,929600
512,1117952,299072,161024,4096,1600,1024,357632,84224,209280,189760,928192,4288,1024,352384,89536,1472,1856,190144,78848,640,927168
513,1118080,297728,161024,4032,1600,1088,355072,83200,214336,194944,923136,4352,960,349888,87232,1216,1728,183360,82560,640,922048
514,1118336,298880,159552,4032,1536,960,264768,83200,305408,285760,832576,4480,960,259712,896,1280,1984,97728,78400,640,831616
515,1118272,296128,160512,4160,1664,1024,264192,83584,307008,286976,831296,4416,1088,258880,896,1472,1856,97152,78144,704,830272
516,1118336,293248,162432,4096,1536,1088,376960,95808,183168,163200,955136,4224,960,371904,1792,1152,1792,204736,82880,576,954048
517,1117952,295104,161344,4096,1536,1088,332672,97472,224640,204736,913216,4224,896,327552,41728,1344,1920,165632,76672,768,912128
518,1117952,294528,161280,4224,1536,1024,519360,96192,39808,19904,1098048,4288,896,514304,83840,1216,1792,351744,76608,640,1097024
519,1118464,295296,162688,4224,92544,1088,378816,96384,87424,67200,1051264,4416,896,373696,97984,1408,1856,208128,80128,704,1050176
520,1677952,294720,162560,4096,2688,1088,612992,109440,490368,470784,1207168,4032,1024,607488,832,1088,1920,318528,200000,640,1206080
521,1118464,296000,163072,4160,2624,960,271040,109632,270976,251200,867264,4352,960,265856,960,1344,1792,98432,80448,704,866304
522,1678784,297472,161472,4160,2752,424384,278336,110016,400192,379584,1299200,4480,896,273088,1024,1216,1728,103040,82304,576,874816
523,1678080,289472,161408,4096,2752,1088,539648,142976,536640,516416,1161664,83648,896,534592,1344,1472,1920,225216,135488,704,1160576
