frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117760,324096,166528,3968,4864,1024,306432,95680,215168,195904,921856,4416,960,301120,36352,1472,1984,138432,75456,640,920832
440,1678592,325760,168512,4032,2688,1088,651648,128000,396864,377152,1301440,6784,896,646400,36416,1216,2048,432320,87360,576,1300352
441,1117632,324736,167936,3968,2688,1024,344000,126528,146752,127552,990080,7104,960,338752,36736,1408,2240,136128,75648,640,989056
442,1118336,326080,167552,4032,2752,960,352064,119232,145664,126208,992128,6976,896,346816,44992,1408,2048,145536,75072,704,991168
443,1678272,325056,169088,3968,2880,420352,353856,119552,283520,264064,1414208,6080,960,348480,45120,1344,2048,148160,75200,640,993856
444,1118144,324608,169280,4096,2752,1024,350272,112256,153856,134272,983872,6720,768,344960,44864,1152,2112,145216,74752,704,982848
445,1118080,325376,168512,3904,2816,960,346368,112512,157632,138240,979840,6656,832,341312,41920,1216,2048,140160,75328,768,978880
446,1118080,326912,168064,4096,2752,1088,306176,104896,204096,184576,933504,6272,832,300992,960,1408,2176,99136,78016,704,932416
447,1118336,324352,169664,4096,2816,1088,461120,104896,50304,30592,1087744,6336,896,456000,2496,1472,2176,256128,76672,640,1086656
448,1118272,325504,171072,4032,2816,1024,354304,105216,154304,134528,983744,6784,1024,349056,48448,1344,2112,147328,79232,576,982720
449,1678336,320576,168768,4032,2752,1088,583488,118016,479616,460032,1218304,6336,1024,578176,22144,1408,2176,355520,96640,576,1217216
450,1117952,321728,167296,4032,2880,1088,305152,116608,199168,179776,938176,6208,896,299968,832,1408,2240,89856,85760,704,937088
451,1118144,324608,168704,4096,2688,960,304064,118528,194496,175104,943040,6272,1024,298752,896,1280,2112,91904,83392,704,942080
452,1678272,323328,169216,3968,127360,1088,432704,117952,502656,482816,1195456,6336,1024,427456,1408,1408,2048,205952,95680,512,1194368
453,1118208,322176,168896,4032,2752,1088,336384,117568,165312,146176,972032,6272,896,331200,24256,1344,2112,117248,89472,640,970944
454,1118144,323520,168704,4032,2752,1088,356288,110144,151616,132032,986112,6336,896,350912,47744,1408,2176,141440,83328,640,985024
455,1118144,323328,167872,4032,2816,1024,346560,110272,162240,142976,975168,6144,1024,341248,42112,1408,2112,134976,83072,704,974144
456,1678528,298112,169344,4096,2816,1024,597248,115776,490112,470656,1207872,6400,896,591936,33024,1280,2176,247360,217152,704,1206848
457,1678592,301056,168704,4032,5120,421888,353536,121728,302528,282560,1396032,6144,896,348416,44096,1280,2176,147072,72000,512,974144
458,1117632,298816,167616,4096,4224,1024,380416,121536,139904,120640,996992,6464,960,374848,59776,1344,1920,171520,76416,512,995968
459,1118080,299584,166848,3968,2688,1088,385088,121792,137024,117696,1000384,6208,960,379712,60416,1344,2176,176320,76224,576,999296
460,1678208,300608,168320,3968,2752,1088,502272,121536,577664,558400,1119808,7424,960,497024,60544,1472,2048,278784,89664,576,1118720
461,1118208,304704,169216,4032,2752,960,404160,122368,110016,90560,1027648,8064,960,399040,60736,1408,2240,181376,87936,640,1026688
