frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117824,326912,166464,4032,5120,960,307520,95168,211648,191936,925888,4032,768,302400,36416,1216,1920,140160,75712,576,924928
440,1678848,327360,165312,4032,2880,960,652544,128192,397568,377408,1301440,6912,896,647296,36800,1472,1984,432704,87168,512,1300480
441,1117760,328704,168768,3968,2752,896,344064,126592,142016,122560,995200,7168,896,338880,36864,1216,2048,138432,74752,704,994304
442,1117888,325824,167104,4032,2816,1024,356480,119744,140864,121536,996352,7232,896,351360,45696,1408,1984,148480,75648,768,995328
443,1118336,325696,166592,4096,2816,960,355136,119296,143744,124160,994176,6912,896,350016,45568,1408,1920,148480,75648,640,993216
444,1118400,326720,169472,4160,2944,1024,349632,114304,150144,130240,988160,6592,896,344512,45568,1280,1984,146880,73216,768,987136
445,1117824,325184,166912,3968,2752,960,346112,113024,158912,139328,978496,6656,832,341056,42560,1408,1984,142144,73856,640,977536
446,1118336,326656,167296,4224,2752,896,306176,106368,203968,184128,934208,6912,832,300992,896,1280,2112,99712,76416,704,933312
447,1118080,324032,168384,4160,2816,960,462592,106496,48640,29248,1088832,6400,832,457408,2368,1280,1920,257152,76480,576,1087872
448,1117952,325952,168000,4096,2816,1024,355008,105408,155648,135936,982016,6720,832,350144,48256,1344,1920,147648,78080,640,980992
449,1678464,324736,168320,4160,2816,896,587904,118208,471424,451456,1227008,6720,768,583104,22400,1344,1984,357824,98560,704,1226112
450,1678528,325184,165824,4096,2880,431168,306688,118080,324608,304704,1373824,6720,832,301568,832,1344,2176,91904,85184,640,942656
451,1117952,325632,167552,4160,2944,1024,307520,117184,191936,172096,945856,6656,896,302208,896,1536,2112,92608,84224,768,944832
452,1117760,322304,167360,3968,2816,896,427520,117888,75008,55616,1062144,6464,768,422464,1600,1472,2048,206208,91072,704,1061248
453,1118336,324288,166592,4096,2816,960,335680,117760,166144,146176,972160,6592,960,330496,24384,1216,1984,117248,88512,704,971200
454,1118016,324736,166656,4160,3008,960,355648,110976,151872,132160,985856,6208,896,350464,47104,1280,1856,141888,82624,640,984896
455,1118400,330624,166336,4160,2880,960,346944,111360,155136,134720,983680,6400,896,341952,42368,1472,2112,135680,82816,576,982720
456,1678336,303168,167552,4160,127616,960,599872,115968,359040,339136,1339200,6656,896,594560,33152,1344,2112,248640,217600,640,1338240
457,1118144,300416,167808,4096,5184,960,354368,123776,161536,141504,976640,6400,896,349184,43392,1216,1792,147776,70784,640,975680
458,1118144,303936,166848,4160,5120,960,378368,123584,135168,115136,1003008,6656,832,373248,60224,1344,1984,171264,74240,576,1002048
