pc,cycles,instructions,symbol
0x00000008,3,1,?
0x00000018,21045,7015,?
0x01ff81e8,126595,126595,__floatunsisf
0x01ff81ec,379785,126595,__floatunsisf
0x01ff81f8,126595,126595,__nds_task16_libgcc_i2f_golden
0x01ff81fc,141201,126595,__nds_task16_libgcc_i2f_golden
0x01ff8200,118665,118665,__nds_task16_libgcc_i2f_golden
0x01ff8204,118665,118665,__nds_task16_libgcc_i2f_golden
0x01ff8208,118665,118665,__nds_task16_libgcc_i2f_golden
0x01ff820c,355995,118665,__nds_task16_libgcc_i2f_golden
0x01ff8250,118665,118665,__floatdisf
0x01ff8254,118665,118665,__floatdisf
0x01ff8258,118665,118665,__floatdisf
0x01ff825c,118665,118665,__floatdisf
0x01ff8260,118665,118665,__floatdisf
0x01ff8264,118665,118665,__floatdisf
0x01ff8268,118665,118665,__floatdisf
0x01ff826c,118665,118665,__floatdisf
0x01ff8270,118665,118665,__floatdisf
0x01ff8274,118668,118666,__floatdisf
0x01ff8278,118665,118665,__floatdisf
0x01ff827c,118665,118665,__floatdisf
0x01ff8280,118665,118665,__floatdisf
0x01ff8284,118665,118665,__floatdisf
0x01ff8288,118668,118666,__floatdisf
0x01ff828c,118665,118665,__floatdisf
0x01ff8290,118665,118665,__floatdisf
0x01ff8294,237333,118666,__floatdisf
0x01ff8298,237330,118665,__floatdisf
0x01ff829c,118665,118665,__floatdisf
0x01ff82a0,118665,118665,__floatdisf
0x01ff82a4,237330,118665,__floatdisf
0x01ff82a8,118665,118665,__floatdisf
0x01ff82ac,297677,118665,__floatdisf
0x01ff82cc,2698578,2698540,__mulsf3
0x01ff82d0,2698530,2698524,__mulsf3
0x01ff82d4,2698527,2698523,__mulsf3
0x01ff82d8,2698527,2698523,__mulsf3
0x01ff82dc,2698527,2698523,__mulsf3
0x01ff82e0,4339360,2698524,__mulsf3
0x01ff82e4,1878109,1878107,__mulsf3
0x01ff82e8,1878109,1878107,__mulsf3
0x01ff82ec,1878115,1878109,__mulsf3
0x01ff82f0,1878106,1878106,__mulsf3
0x01ff82f4,3199288,1878108,__mulsf3
0x01ff82f8,1217524,1217520,__mulsf3
0x01ff82fc,1217521,1217519,__mulsf3
0x01ff8300,1217521,1217519,__mulsf3
0x01ff8304,2435036,1217518,__mulsf3
0x01ff8308,1217524,1217520,__mulsf3
0x01ff830c,1217521,1217519,__mulsf3
0x01ff8310,1217518,1217518,__mulsf3
0x01ff8314,1217521,1217519,__mulsf3
0x01ff8318,1217518,1217518,__mulsf3
0x01ff831c,1217518,1217518,__mulsf3
0x01ff8320,1217521,1217519,__mulsf3
0x01ff8324,1217521,1217519,__mulsf3
0x01ff8328,1217518,1217518,__mulsf3
0x01ff832c,1217518,1217518,__mulsf3
0x01ff8330,1217521,1217519,__mulsf3
0x01ff8334,1217518,1217518,__mulsf3
0x01ff8338,3043041,1217519,__mulsf3
0x01ff833c,660588,660588,__mulsf3
0x01ff8340,660588,660588,__mulsf3
0x01ff8344,660591,660589,__mulsf3
0x01ff8348,660591,660589,__mulsf3
0x01ff834c,660594,660590,__mulsf3
0x01ff8350,660591,660589,__mulsf3
0x01ff8354,660588,660588,__mulsf3
0x01ff8358,660591,660589,__mulsf3
0x01ff835c,1689728,660589,__mulsf3
0x01ff83e0,820424,820418,__mulsf3
0x01ff83e4,820418,820416,__mulsf3
0x01ff83e8,820415,820415,__mulsf3
0x01ff83ec,820415,820415,__mulsf3
0x01ff83f0,820415,820415,__mulsf3
0x01ff83f4,820415,820415,__mulsf3
0x01ff83f8,820415,820415,__mulsf3
0x01ff83fc,829975,829975,__mulsf3
0x01ff8400,829978,829976,__mulsf3
0x01ff8404,2060724,829975,__mulsf3
0x01ff8464,301394,301392,__divsf3
0x01ff8468,301391,301391,__divsf3
0x01ff846c,301391,301391,__divsf3
0x01ff8470,301391,301391,__divsf3
0x01ff8474,301391,301391,__divsf3
0x01ff8478,320511,301391,__divsf3
0x01ff847c,291831,291831,__divsf3
0x01ff8480,291834,291832,__divsf3
0x01ff8484,291831,291831,__divsf3
0x01ff8488,291834,291832,__divsf3
0x01ff848c,316685,291831,__divsf3
0x01ff8490,279404,279404,__divsf3
0x01ff8494,279404,279404,__divsf3
0x01ff8498,279407,279405,__divsf3
0x01ff849c,279404,279404,__divsf3
0x01ff84a0,279404,279404,__divsf3
0x01ff84a4,279404,279404,__divsf3
0x01ff84a8,279404,279404,__divsf3
0x01ff84ac,279404,279404,__divsf3
0x01ff84b0,1657891,1657885,__divsf3
