# GDB probe on build-c136-animjoint (control): break ndsRendererSubmitFoxBlasterQuad,
# print presented frame, gSCManagerBattleState->time_remain, gNdsFoxBlasterQuadDrawCount,
# *(float*)(r0+4) = translate.y, *(float*)r0 = translate.x. No build; the capture locks came from here.
# BEAM=<frame>,<time_remain>,<drawCount>,<translate.y>,<translate.x>

TIMEOUT after 600s
BEAM=439,3112,0,2189.746826,-643.692871
BEAM=440,3110,1,2189.746826,-323.692871
BEAM=441,3108,2,2189.746826,-3.692871
BEAM=442,3106,3,2189.746826,316.307129
BEAM=443,3104,4,2189.746826,636.307129
BEAM=444,3102,5,2189.746826,956.307129
BEAM=445,3100,6,2189.746826,1276.307129
BEAM=446,3098,7,2189.746826,1596.307129
BEAM=447,3096,8,2189.746826,1916.307129
BEAM=448,3094,9,2189.746826,2236.307129
BEAM=449,3092,10,2189.746826,2556.307129
BEAM=450,3090,11,2189.746826,2876.307129
BEAM=451,3088,12,2189.746826,3196.307129
BEAM=452,3086,13,2189.746826,3516.307129
BEAM=453,3084,14,2189.746826,3836.307129
BEAM=454,3082,15,2189.746826,4156.307129
BEAM=455,3080,16,2189.746826,4476.307129
BEAM=456,3078,17,2189.746826,4796.307129
BEAM=457,3076,18,2189.746826,5116.307129
BEAM=458,3074,19,2189.746826,5436.307129
BEAM=459,3072,20,2189.746826,5756.307129
BEAM=460,3070,21,2189.746826,6076.307129
BEAM=461,3068,22,2189.746826,6396.307129
BEAM=462,3066,23,2189.746826,6716.307129
BEAM=463,3064,24,2189.746826,7036.307129
BEAM=464,3062,25,2189.746826,7356.307129
BEAM=465,3060,26,2189.746826,7676.307129
BEAM=466,3058,27,2189.746826,7996.307129
BEAM=467,3056,28,2189.746826,8316.306641
BEAM=468,3054,29,2189.746826,8636.306641
BEAM=469,3052,30,2189.746826,8956.306641
BEAM=1148,1694,31,223.398254,88.851242
BEAM=1149,1692,32,223.398254,408.851257
BEAM=1150,1690,33,223.398254,728.851257
BEAM=1151,1688,34,223.398254,1048.851318
BEAM=1152,1686,35,223.398254,1368.851318
BEAM=1153,1684,36,223.398254,1688.851318
BEAM=1468,1054,37,223.398254,1495.756714
