frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117888,325696,162176,3904,4928,960,309184,95296,215744,196544,921344,4096,704,304064,37376,1216,1856,141760,75648,832,920384
440,1678528,325376,163072,3840,2624,1024,676864,126720,379008,359744,1318784,7040,704,672000,38080,1280,2048,457088,86720,704,1317760
441,1118016,323904,163648,3840,2752,960,344832,125440,152640,133248,984768,7232,832,339840,37376,1408,1728,136448,75136,640,983808
442,1118016,324096,162688,3904,2624,1024,356416,119104,148160,128832,989184,6912,768,351424,46464,1408,1728,147968,76032,640,988160
443,1118016,324480,161920,3968,2688,1088,354624,119232,150016,130752,987264,6720,704,349568,45824,1216,1792,149056,74816,832,986176
444,1678848,325120,164096,3968,2880,428160,352960,114624,287040,266944,1411904,6656,832,347904,46528,1344,1856,148224,75072,640,983744
445,1117632,322624,163904,3968,2752,1024,346880,114240,162240,142848,974784,6528,832,341696,43776,1536,1920,142144,74112,704,973760
446,1118016,326016,161472,3968,2688,1088,305280,104128,213376,193728,924288,6784,704,300352,832,1344,1920,98560,76672,704,923200
447,1118208,323968,162624,3904,2624,1024,462080,105216,56768,37248,1080960,6656,704,457152,2496,1344,1856,256192,76032,704,1079936
448,1117952,324992,163072,3904,2752,1024,354752,103488,163968,144384,973568,6784,768,349760,48576,1280,1792,146944,78144,640,972544
449,1678400,321408,163136,4032,2880,1024,585920,117632,482368,462848,1215552,6656,832,581056,22528,1280,1856,356352,97728,704,1214528
450,1118080,321792,161856,4032,2944,1024,306112,116800,203520,184192,933888,6656,704,301184,896,1408,1856,91392,84544,704,932864
451,1118208,321792,161408,4032,2944,1024,305344,117568,204096,184704,933504,6272,768,300352,896,1408,1920,93376,82496,640,932480
452,1117824,322560,162624,3904,2816,1024,427328,117120,80448,61184,1056640,6336,832,422208,1664,1280,1792,206592,89792,832,1055616
453,1118272,322560,162496,4032,2880,960,334208,117504,173632,154496,963776,6272,768,329216,25024,1216,1792,117824,87232,704,962816
454,1118144,322368,162816,4032,2752,1024,354880,110592,159680,140480,977664,6336,832,349952,48384,1408,1920,141568,83072,640,976640
455,1118080,324864,163712,4032,2880,1024,349376,110784,161408,141888,976192,6784,768,344448,42880,1408,1984,136192,83328,640,975168
456,1678592,300160,163904,3968,154240,1088,601088,115008,339136,319040,1359552,6656,640,596032,34496,1344,1856,247680,216576,768,1358464
457,1118080,299584,164224,4032,5056,1024,357760,120576,165824,145984,972096,6592,768,353024,45760,1344,1792,149568,72320,704,971072
458,1678400,296256,162176,3968,5120,424896,380928,121536,283520,263296,1415104,6528,768,375936,62016,1152,1920,173312,75520,704,990208
459,1117824,299776,162560,3968,4224,1024,387328,122816,136128,116672,1001152,6528,768,382272,61888,1216,1984,178432,76160,576,1000128
460,1678528,298304,165376,3968,3008,1152,506240,122496,577984,558528,1120000,8000,768,501184,62976,1344,1728,281856,89472,704,1118848
461,1118016,301184,161728,4032,2944,1024,405248,122368,119488,100224,1017792,8256,768,400320,62144,1280,2112,182720,87744,640,1016768
462,1118272,297152,162944,3968,4160,1024,427008,121152,100864,81088,1037184,9728,768,421888,62272,1344,1792,190528,99904,640,1036160
463,1118144,295424,163136,4032,4224,1088,417472,114304,118464,98816,1019328,8064,768,412480,62848,1344,1920,193792,88256,640,1018240
464,1118272,298112,161408,3968,5824,960,477824,110400,59776,39872,1078400,8448,768,472832,62272,1280,1920,255360,87168,576,1077440
465,1118208,295872,164416,3968,5312,1152,406336,110016,131136,110976,1007232,9152,704,401408,62784,1216,1984,175360,98176,704,1006080
466,1118272,296192,160384,3904,4288,69824,393216,111360,79104,58560,1059712,7744,896,388224,64384,1472,1984,172992,86272,576,989888
467,1117760,300544,163776,3968,5440,960,382016,110336,150720,131200,986560,8320,832,376960,66240,1344,1920,163648,85568,512,985600
468,1118080,297088,164352,3904,4288,960,410112,110784,126592,107264,1010816,9600,832,405120,66624,1408,1984,176896,98944,704,1009856
469,1118400,295872,162432,3968,3008,1088,395200,111104,145728,125888,992512,8192,704,390272,65920,1216,1920,175296,87616,640,991424
470,1117696,302976,163584,3968,5504,960,391680,110144,138880,119552,998144,8000,768,386752,66112,1344,1856,171200,87104,704,997184
471,1118144,298240,162432,3904,5312,896,499008,81728,66624,46912,1071232,7232,768,494208,74688,1344,1856,300480,99392,576,1070336
472,1118272,300160,161472,3904,5504,960,351104,81856,213312,194048,924224,4096,768,345984,71488,1344,1984,185664,75392,704,923264
473,1678272,299392,162368,3968,5120,423872,348736,81920,352896,333184,1345088,4288,768,343680,71296,1216,1792,187328,71552,640,921216
474,1118272,300160,161024,3904,5760,1024,352448,82112,211840,192512,925760,4160,704,347456,71168,1344,1920,188288,74368,640,924736
475,1118080,297920,161088,3904,5696,960,416384,81216,150912,131264,986816,3840,768,411392,71296,1344,1728,250368,76992,576,985856
476,1678976,294528,163264,3968,130880,1088,524032,81984,479232,458944,1220032,4224,704,518848,70784,1280,1856,354240,76544,704,1218944
477,1117376,294720,162176,3968,3328,960,326272,81024,244928,225984,891392,3904,768,321408,70144,1216,1728,160320,77312,640,890432
478,1118400,295680,161216,3968,1664,896,333440,80704,240832,221504,896896,4160,640,328640,73856,1344,1856,165184,78528,704,896000
479,1118336,296064,161088,4032,1472,1088,338112,82240,234240,214272,904064,4096,960,333056,74240,1280,1728,172224,76352,704,902976
480,1118208,294592,162048,3968,1536,1024,350720,80704,223616,204096,914112,4096,704,345728,74560,1280,1792,181760,80192,512,913088
481,1118080,294400,161856,3904,1536,1024,378560,82432,194368,174784,943296,4224,768,373632,115776,1216,1792,212288,76928,768,942272
482,1678272,297088,161792,3904,1536,960,562368,81792,568832,549312,1128960,4288,768,557184,115776,1344,1856,393024,79296,768,1128000
483,1118144,296576,161792,3904,1472,1024,375488,80832,197056,177152,940992,4224,768,370560,112000,1216,1792,209408,77056,640,939968
484,1118016,295552,161536,4032,1600,1024,387072,81728,185472,166016,952000,4096,768,382272,109440,1152,1920,219712,78592,704,950976
485,1118208,294656,163328,4032,2176,960,442688,94208,116160,96832,1021376,4352,832,437696,35200,1344,1920,151040,201344,640,1020416
486,1118208,298112,163264,4032,5120,1088,292864,94528,259200,239936,878272,4224,640,288064,36160,1216,1856,144320,56640,576,877184
487,1678400,297280,161088,3904,4864,427584,296832,94528,392320,372224,1306176,4416,832,291712,35648,1344,1856,147648,56832,640,878592
488,1678016,298368,163520,3968,3328,1088,555456,93888,558400,538304,1139712,4224,704,550528,116672,1280,1920,404032,57920,704,1138624
489,1118208,297024,162176,3904,1536,1024,438848,93632,120064,100992,1017216,4480,768,434048,116288,1152,1792,289408,57344,640,1016192
490,1118080,295616,160256,4032,1600,960,363840,94336,197440,178048,940032,4352,832,358912,115200,1408,1856,214976,57088,704,939072
491,1118208,296128,162752,3968,1664,1088,364032,94016,194560,174912,943296,4352,768,359104,116096,1216,1856,214848,57280,704,942208
492,1118208,298752,161472,4032,1536,1152,367168,94656,189440,169792,948416,4416,768,362112,115904,1216,1920,217600,57792,640,947264
493,1117952,296896,160256,3968,1600,1024,364672,82304,207232,187648,930304,4224,704,359616,113408,1280,1728,215616,57216,704,929280
494,1118400,296640,163008,4032,1664,1024,366912,81664,203456,183744,934656,4352,896,361664,115776,1344,1792,219200,57472,448,933632
495,1117824,298048,161152,4032,1536,960,283008,81856,287232,267840,849984,4480,640,278144,34944,1280,1792,135936,57472,640,849024
496,1118400,297024,161600,3968,1472,71232,282496,87232,213376,193216,925184,4416,832,277504,35264,1216,1856,136000,57024,704,853952
