frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117824,322688,165184,4032,5184,1024,308160,95296,216256,196800,921024,4672,768,303040,37824,1280,2048,140480,75264,832,920000
440,1678528,325312,164800,4032,2752,1088,675712,127680,377152,357248,1321280,7616,640,670656,38336,1280,2112,456128,87808,640,1320192
441,1117952,322048,166336,3904,2816,1024,344896,126208,150720,131008,986944,7872,768,339584,38144,1216,2112,138304,74176,704,985920
442,1118080,326656,165056,3968,2944,1088,353152,119616,145600,126016,992064,7488,832,347904,46272,1344,1920,147072,74944,768,990976
443,1117888,324416,167808,3968,2816,1024,351168,118848,147840,128640,989248,6912,768,346176,46208,1280,1920,147648,74432,704,988224
444,1678912,324928,164992,4096,2752,430016,352064,113792,286272,266112,1412800,7168,832,346816,46656,1344,1920,146944,74688,768,982784
445,1117568,325504,167296,3968,2816,1088,345664,113792,157440,137600,979968,6848,832,340608,43200,1152,2112,141760,74304,768,978880
446,1118528,324992,167360,4032,2752,1024,305856,106688,205824,186176,932352,7296,768,300672,960,1088,2048,98176,77056,768,931328
447,1118144,323264,167872,4032,2944,1152,460992,106560,51328,31680,1086464,6912,768,455872,2496,1344,1984,255296,76544,640,1085312
448,1117952,324800,165888,4032,2752,960,355584,105344,158592,138624,979328,7104,768,350464,50688,1152,1856,149120,78400,832,978368
449,1678400,323840,165120,3968,3136,1024,583488,119488,478336,458880,1219520,7296,768,578688,22656,1408,1984,354816,97856,704,1218496
450,1118144,321152,166016,4032,3072,1024,305856,119232,197760,177984,940160,6976,832,300672,768,1344,2176,91712,84608,640,939136
451,1118208,320128,167232,4032,3008,1088,304384,119040,199296,179392,938816,7040,768,299200,832,1216,2048,92032,82624,768,937728
452,1117888,320960,166272,3904,3072,1024,425792,117504,79360,59776,1058112,7040,768,420544,1600,1216,2112,205888,89216,896,1057088
453,1118144,320704,164352,4032,2944,1024,336384,120384,168320,148800,969344,7360,768,331200,25152,1088,1984,117824,88960,704,968320
454,1118080,322048,165696,4032,2944,1024,357312,113280,151744,132096,985984,7232,768,352192,48704,1280,1984,142912,83136,704,984960
455,1118272,321856,165440,3968,2944,1024,346944,112128,163968,144640,973632,6848,768,341696,43648,1152,1984,135616,83072,704,972608
456,1678464,299840,170304,4096,2944,1024,625472,116352,458432,438464,1240000,6912,768,620096,33856,1280,1984,249408,244032,768,1238976
457,1678208,297856,167104,4032,157248,1088,358400,123584,568896,548992,1129216,7104,768,352896,45696,1280,1920,150016,72128,704,1128128
458,1678464,297984,166400,4096,4352,428544,379840,122432,274816,254656,1423808,7104,832,374656,61568,1152,1920,172352,75200,704,995264
459,1117888,300224,167232,4096,3072,1088,385280,122816,134080,114496,1003392,7168,768,380096,61824,1216,2112,178176,74624,704,1002304
460,1678016,298944,166528,3968,3136,1024,512448,122112,569856,550336,1127680,8384,768,507392,62464,1408,1984,290624,88448,576,1126656
461,1118464,302144,166080,4096,3008,1024,402752,122880,116480,96704,1021760,8768,832,397568,61696,1216,2176,180864,86976,704,1020736
