frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
440,1117824,323328,161216,3904,4864,1088,309568,95808,218048,198720,919104,4480,704,304512,37760,1152,2048,142784,74304,768,918016
441,1678592,325568,163776,4096,2624,1024,676224,128064,377216,357952,1320640,7616,768,671104,37952,1408,1984,458240,85696,640,1319616
442,1117952,325568,164480,3968,2752,960,344000,126784,149440,130304,987648,7680,704,338944,37696,1408,2048,137664,74560,704,986688
443,1118144,321984,163008,4160,2752,1024,353984,118976,152256,132736,985408,7360,704,348864,47424,1344,2112,148288,74112,640,984384
444,1118272,325696,164160,4096,2688,960,352000,118848,149824,130560,987712,6656,704,346880,46784,1152,1984,149376,74112,576,986752
445,1118656,325184,163008,4032,2688,960,351552,113664,157568,137728,980928,6656,768,346432,47488,1280,2048,149120,73728,640,979968
446,1677888,324928,162432,3968,2752,425728,344064,113408,300608,280960,1396928,6784,832,339008,43968,1152,2112,143232,72640,704,971200
447,1118272,324096,162560,3968,2624,1024,304192,105408,214400,194816,923456,6464,704,299072,896,1152,2048,98688,76736,640,922432
448,1118464,323712,162752,4096,2816,1024,462464,104064,57536,38080,1080384,6912,768,457344,2688,1344,2048,258112,76032,768,1079360
449,1117952,320576,162944,3968,2752,1024,351872,105664,169152,149632,968320,6720,832,346752,49024,1152,2112,148032,76992,640,967296
450,1678464,321216,163776,4032,2880,1024,585280,118144,482112,462528,1215936,6656,704,580352,22912,1280,2048,357504,96768,640,1214912
451,1118400,323904,164224,4096,3008,1024,302848,118592,200704,180864,937536,6592,704,297856,960,1408,2048,91776,83328,640,936512
452,1118080,323392,164288,4160,2944,1088,302464,117568,202176,182656,935424,6720,768,297344,832,1408,1984,92864,80512,640,934336
453,1117760,320704,164544,3968,2880,960,425152,118080,81472,62528,1055232,6528,704,420032,1600,1408,2048,207552,88000,640,1054272
454,1118400,321984,162304,4096,2816,1024,336128,119168,170880,151296,967104,6848,768,331200,25408,1408,1920,119040,87744,704,966080
455,1678272,322816,165248,3968,153408,960,356096,111296,564480,544896,1133376,6656,768,351040,49024,1344,2048,143680,82048,768,1132416
456,1118272,324736,164096,4032,2816,960,346496,110208,164928,145152,973120,6848,768,341248,44288,1472,1920,136768,81472,704,972160
457,1678592,297152,163328,4032,2880,1024,593664,116160,500352,480640,1197952,6976,704,588480,34240,1344,2048,248960,213632,704,1196928
458,1117760,299968,165440,4096,4992,960,356352,122496,163456,143744,974016,6912,640,351296,46208,1280,1920,150720,71616,704,973056
459,1678528,299904,162304,4160,5248,425920,380544,123328,277120,257088,1421440,6912,768,375552,62784,1216,1984,174912,73664,640,995520
460,1117888,299264,163328,4032,2880,1024,386496,121728,139136,119872,998016,6912,704,381184,62720,1216,1984,180416,74240,576,996992
461,1118336,296064,164608,3968,2752,1024,505344,122816,21760,1920,1116416,7936,768,500288,64128,1472,2048,283456,88448,768,1115392
462,1118080,300736,162496,4224,3008,960,402944,123328,120384,100544,1017536,8640,704,398080,62080,1408,2048,183808,86400,576,1016576
463,1118208,299200,165440,4096,4224,960,424960,123328,96000,76288,1041920,9984,768,419776,62720,1408,2112,189824,99584,704,1040960
464,1117952,297536,162368,4096,4224,960,412544,115520,120704,101312,1016640,8064,640,407616,62336,1280,1984,192576,86720,640,1015680
465,1118528,298048,166080,3968,5376,960,477504,111040,55552,36224,1082304,8320,832,472448,63872,1344,2112,258240,85888,704,1081344
466,1118016,295872,163264,4032,5312,1024,405952,110784,131776,112320,1005696,9856,832,400640,63808,1280,2112,175936,96832,704,1004672
467,1118592,297600,165184,4096,4288,70912,392704,112448,71360,51328,1067264,8256,832,387584,65728,1344,1984,175104,86080,640,996352
468,1117824,300672,164160,4032,5120,960,382208,110784,149888,130368,987456,8832,768,377216,67840,1216,1984,165120,85248,768,986496
469,1118080,298560,162752,3968,4224,960,408640,110208,128768,108992,1009088,9728,640,403584,67776,1280,2048,177984,97472,640,1008128
470,1118400,297152,163264,3968,2880,1024,395584,111872,142656,123264,995136,8384,704,390592,67264,1344,1984,177600,86080,640,994112
471,1117632,302848,163648,3968,5248,1024,390656,110336,139904,120768,996864,8320,704,385536,67712,1280,2112,173952,85376,704,995840
472,1118528,298368,163840,4032,5440,960,498624,84032,63232,43968,1074560,7872,704,493696,75200,1408,2240,299456,98240,704,1073600
473,1117952,302272,163072,4032,5376,1024,349056,82240,210880,191552,926400,4608,832,344064,72832,1216,1920,185664,74304,576,925376
474,1679040,297920,163136,3904,5184,421056,349632,82752,355456,335360,1343680,4736,768,344704,72832,1152,2176,189568,70976,640,922624
475,1117824,298816,162624,3968,128896,1024,355456,81984,85056,65280,1052544,4544,640,350336,72192,1216,2240,189184,76672,640,1051520
476,1118336,298752,162688,3968,5760,1024,419840,82240,144064,124608,993728,4608,832,414592,73152,1024,2176,254272,76288,768,992704
477,1118912,295936,162560,3968,4864,1024,523264,83584,43712,23488,1095424,4672,704,518400,72448,1408,2112,356928,76352,640,1094400
478,1117248,297408,162112,3968,3328,1024,327168,82240,240000,220800,896448,4736,768,322048,72832,1280,1984,161664,76480,640,895424
479,1118592,294848,162112,4032,1600,960,333056,82368,239616,219968,898624,4864,768,328000,75392,1216,2112,165888,77120,576,897664
480,1117952,296960,161984,4160,1600,960,338688,82240,231360,211712,906240,4992,832,333568,75264,1088,1984,173632,75584,640,905280
481,1118144,294336,162112,4032,1600,960,352384,82368,220352,200768,917376,4416,832,347200,75136,1088,1984,183488,79232,640,916416
482,1118528,294912,163008,4032,1600,960,379776,82112,192128,172544,945984,4800,704,374720,118080,1344,1984,214336,75328,640,945024
483,1678080,297728,161344,3968,1600,1024,567616,82368,562432,543040,1135040,4480,704,562560,119616,1280,2048,398656,79360,640,1134016
484,1118272,295616,161344,4032,1536,1024,376448,82048,196224,176960,941312,4608,768,371520,114752,1216,2048,210752,76096,640,940288
485,1118336,296640,161024,4160,1600,1024,388352,82112,183424,163712,954624,4672,768,383232,112640,1408,1984,221376,76608,576,953600
486,1118144,296832,162368,3968,2176,960,440704,94976,116160,96320,1021824,4672,704,435840,35904,1088,2176,151808,199232,704,1020864
487,1117952,299520,161280,4032,4736,1088,292800,95936,258560,239360,878592,4736,768,287808,36608,1152,2048,145728,55104,704,877504
