frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117760,329216,166080,3776,4992,960,306816,97024,208896,189120,928640,4032,960,301696,37888,1280,2112,139072,77312,704,927680
440,1678848,326848,168896,3968,2624,1088,677056,129280,369088,348992,1329856,6976,832,671744,37888,1408,2048,456704,88320,768,1328768
441,1117888,327360,169728,3904,2560,1088,344256,127680,141312,121472,996416,6720,896,339072,38464,1280,2112,136768,76480,640,995328
442,1117888,329536,167552,3904,2560,1024,354432,121152,137728,117568,1000320,6784,832,349312,46784,1408,1984,146752,76608,704,999296
443,1678336,328448,168192,3904,2624,421632,353408,121280,278848,258368,1419968,6208,896,348288,46592,1408,2048,148544,76224,640,998336
444,1118080,328192,168896,4032,2560,1024,351872,115200,146304,126080,992000,6272,832,346688,47104,1216,2048,147200,75776,640,990976
445,1117696,328640,167360,3840,2624,1088,346176,114112,153856,134272,983424,6528,896,341056,44544,1408,2112,142400,75200,832,982336
446,1118336,329792,169024,3968,2560,1024,302848,106368,202752,182272,936064,6144,896,297728,832,1344,2176,96640,78016,768,935040
447,1118144,324480,167680,3904,2624,1088,460160,106368,51840,31808,1086336,6272,832,454912,2496,1344,2112,255552,77184,704,1085248
448,1117632,328384,167424,3968,2560,1024,350336,105856,158080,138496,979136,6144,832,345088,48704,1344,2240,145344,78528,704,978112
449,1678272,325248,168256,4032,2752,1088,585280,119744,471872,452032,1226240,6080,768,580160,22784,1344,2112,356416,99008,640,1225152
450,1118144,327488,167488,3968,2816,960,304000,119936,191488,171584,946560,6272,832,298624,768,1344,2048,90304,85184,576,945600
451,1118016,325632,167808,3968,2688,1024,304512,120768,191616,171392,946624,6528,832,299456,896,1472,2112,92288,83136,640,945600
452,1117696,323712,168512,3776,2688,1024,426816,120832,70336,50624,1067072,6336,896,421568,1536,1344,1984,205184,91200,832,1066048
453,1678464,325120,166912,3904,151936,960,340352,121152,568128,547712,1130752,6336,896,335296,24896,1408,1984,116928,95168,576,1129792
