elapsed,name,topChanged,bottomChanged,topColors
10,f00010s-E433370F.png,0.000000,0.000000,3
15,f00015s-E433370F.png,0.000000,0.000000,3
20,f00020s-E433370F.png,0.000000,0.000000,3
25,f00025s-139AB882.png,0.994233,0.130117,3951
30,f00030s-6CF9AE96.png,0.947783,0.039008,3603
35,f00035s-2676715A.png,0.890450,0.039267,3363
40,f00040s-0988E933.png,0.817850,0.028633,3081
46,f00046s-6DDAC5FE.png,0.769425,0.024083,3108
51,f00051s-0051D1A0.png,0.937467,0.030217,2835
56,f00056s-B4B572C8.png,0.958058,0.025683,3719
61,f00061s-526A3E94.png,0.908383,0.026542,3182
66,f00066s-C86CA76C.png,0.909850,0.028983,3531
71,f00071s-25E02A68.png,0.758383,0.025875,3219
76,f00076s-D085AF36.png,0.878592,0.034617,3861
81,f00081s-D6E98000.png,0.885267,0.027900,4032
86,f00086s-086EC47A.png,0.901008,0.029367,3712
91,f00091s-3D8A1CC4.png,0.882783,0.034900,3727
96,f00096s-86ED28FC.png,0.990275,0.071575,1517
101,f00101s-0C9B5415.png,0.097575,0.000000,1547
106,f00106s-4F721C74.png,0.105950,0.000000,1547
111,f00111s-9B659985.png,0.082617,0.000000,1463
116,f00116s-4077CD4C.png,0.111883,0.000000,1528
121,f00121s-80E170F8.png,0.098508,0.000000,1533
126,f00126s-EA9C80AC.png,0.105942,0.000000,1543
131,f00131s-2E840AC6.png,0.106025,0.000000,1494
136,f00136s-53427327.png,0.088858,0.000000,1508
142,f00142s-215AA963.png,0.104300,0.000000,1552
147,f00147s-60AD7062.png,0.070858,0.000000,1533
152,f00152s-241DC3E9.png,0.105167,0.000000,1497
157,f00157s-FB34DBA7.png,0.097817,0.000000,1545
162,f00162s-46F1A1F3.png,0.101575,0.000000,1558
168,f00168s-FB1ABF1D.png,0.952750,0.000000,1317
174,f00174s-FEF559EC.png,0.993608,0.078892,3560
180,f00180s-89B3B315.png,0.963225,0.045192,2085
185,f00185s-B40717DD.png,0.547817,0.033875,2047
190,f00190s-70E4D9B0.png,0.000000,0.009908,2047
195,f00195s-010E1E0C.png,0.000000,0.020458,2047
200,f00200s-BF0AD689.png,0.000000,0.014542,2047
205,f00205s-49967078.png,0.000000,0.013083,2047
210,f00210s-2C510416.png,0.000000,0.016658,2047
215,f00215s-AD9093C8.png,0.000000,0.013625,2047
220,f00220s-A70A267D.png,0.000000,0.019142,2047
225,f00225s-158F8725.png,0.000000,0.014242,2047
230,f00230s-2B34C1DF.png,0.000000,0.015908,2047
235,f00235s-C26176F3.png,0.000000,0.014583,2047
240,f00240s-3C8A70D4.png,0.000000,0.017775,2047
245,f00245s-D29CBD16.png,0.000000,0.015417,2047
250,f00250s-3F94D6BE.png,0.000000,0.011183,2047
255,f00255s-B7A97141.png,0.000000,0.010808,2047
260,f00260s-B5742C57.png,0.000000,0.009883,2047
266,f00266s-45B6F7EE.png,0.000000,0.011017,2047
271,f00271s-122D0B36.png,0.000000,0.016267,2047
276,f00276s-43125820.png,0.000000,0.015367,2047
281,f00281s-CB6B914E.png,0.000000,0.013883,2047
286,f00286s-220ED5F7.png,0.000067,0.016583,2047
291,f00291s-1CA2F318.png,0.000067,0.017950,2047
296,f00296s-547ECBA4.png,0.000000,0.017433,2047
301,f00301s-116684B1.png,0.000000,0.017692,2047
306,f00306s-84D8E970.png,0.000000,0.012883,2047
311,f00311s-D664BF61.png,0.000000,0.015475,2047
316,f00316s-D0566422.png,0.000000,0.015650,2047
322,f00322s-E243C656.png,0.000000,0.016892,2047
328,f00328s-88895F7D.png,0.957725,0.020092,3578
334,f00334s-3F51E369.png,0.948242,0.041733,1518
339,f00339s-5CCE401C.png,0.642742,0.031358,1522
344,f00344s-7BD16889.png,0.000000,0.018867,1522
349,f00349s-094B395C.png,0.000000,0.014950,1522
354,f00354s-3DD54E43.png,0.000000,0.018600,1522
359,f00359s-6BE6E656.png,0.000000,0.018158,1522
364,f00364s-E4CF3CFA.png,0.000000,0.013858,1522
369,f00369s-F8E49AF4.png,0.000000,0.018458,1522
374,f00374s-9401E74B.png,0.000000,0.014683,1522
379,f00379s-8A6B1FDF.png,0.000000,0.018383,1522
384,f00384s-9DCC90E3.png,0.000000,0.015525,1522
389,f00389s-71FB9CFF.png,0.000083,0.019083,1522
395,f00395s-C831CD83.png,0.000083,0.020575,1522
400,f00400s-14BDB42E.png,0.000000,0.014575,1522
405,f00405s-DBF1C944.png,0.000233,0.018008,1522
410,f00410s-7B8352B8.png,0.000233,0.018408,1522
415,f00415s-F3854932.png,0.000000,0.014917,1522
420,f00420s-FD9F57FC.png,0.000000,0.011367,1522
425,f00425s-2F78C527.png,0.000000,0.014058,1522
430,f00430s-8CB3A500.png,0.000000,0.012683,1522
435,f00435s-3E25B930.png,0.000000,0.015733,1522
440,f00440s-5D2E7F69.png,0.000000,0.017500,1522
445,f00445s-E1F2A137.png,0.000000,0.017025,1522
450,f00450s-BF100404.png,0.000000,0.017775,1522
455,f00455s-B3EA2E0D.png,0.000000,0.017775,1522
460,f00460s-09ABC6B4.png,0.000000,0.014983,1522
465,f00465s-866EED04.png,0.000117,0.014933,1522
470,f00470s-25090A92.png,0.000133,0.019175,1522
476,f00476s-1393F341.png,0.000017,0.014558,1522
482,f00482s-703FBFBC.png,0.915542,0.016733,2593
488,f00488s-558F2E89.png,0.903800,0.041683,2046
493,f00493s-48E8AD85.png,0.898350,0.031283,2725
498,f00498s-71BB55AF.png,0.977925,0.024450,3101
503,f00503s-679E0982.png,0.902533,0.028867,2980
508,f00508s-20B40100.png,0.787083,0.026850,3120
513,f00513s-08CD6483.png,0.868417,0.031308,4051
519,f00519s-5F090962.png,0.971825,0.028992,4611
524,f00524s-AD443D2B.png,0.820458,0.031033,3724
529,f00529s-3F9FB625.png,0.972550,0.035142,2655
534,f00534s-C4A65E4C.png,0.940708,0.030342,3424
539,f00539s-426960CE.png,0.949800,0.029142,3160
544,f00544s-5B763EE8.png,0.945583,0.029400,3257
549,f00549s-DB8E044D.png,0.967967,0.025775,3896
554,f00554s-42C9F826.png,0.964633,0.037017,4414
559,f00559s-4E4D4677.png,0.985508,0.037600,5408
564,f00564s-2E907365.png,0.992617,0.070933,1368
569,f00569s-6782518C.png,0.133083,0.000000,1544
574,f00574s-284246BC.png,0.098575,0.000000,1526
579,f00579s-86F4958F.png,0.072300,0.000000,1541
584,f00584s-B4191C79.png,0.050983,0.000000,1545
589,f00589s-633004A3.png,0.070783,0.000000,1543
594,f00594s-D1FE1E5B.png,0.059308,0.000000,1543
599,f00599s-57A67645.png,0.074142,0.000000,1539
604,f00604s-5A6A5B4C.png,0.093533,0.000000,1518
