elapsed,name,topChanged,bottomChanged,topColors
10,f00010s-B510319A.png,0.000000,0.000000,3
15,f00015s-B510319A.png,0.000000,0.000000,3
20,f00020s-B510319A.png,0.000000,0.000000,3
25,f00025s-FB27C094.png,0.994267,0.129375,4052
31,f00031s-EEAA4B73.png,0.957258,0.038142,3579
36,f00036s-8D68B83E.png,0.908575,0.040825,3225
41,f00041s-B1D774D5.png,0.899517,0.028133,2582
46,f00046s-904A4E29.png,0.880025,0.023217,3003
51,f00051s-1A2FE3F8.png,0.956042,0.027075,2454
56,f00056s-94EF65ED.png,0.954800,0.023750,3713
61,f00061s-C07B8F99.png,0.968292,0.028025,3315
66,f00066s-0308B42D.png,0.884633,0.027483,3819
71,f00071s-A996F8F7.png,0.949950,0.025125,3572
76,f00076s-F8D6F56A.png,0.914508,0.023342,3415
81,f00081s-A0207DF5.png,0.875600,0.031692,3903
86,f00086s-13836BA8.png,0.833425,0.025508,3780
91,f00091s-FE666DE4.png,0.882550,0.029050,3728
96,f00096s-65B5953F.png,0.882508,0.033250,3727
101,f00101s-F94209D3.png,0.991675,0.071575,1383
107,f00107s-5A797F7C.png,0.135167,0.000000,1547
112,f00112s-6B17C77B.png,0.070200,0.000000,1554
117,f00117s-17B3EC5F.png,0.065758,0.000000,1517
123,f00123s-7FC52DF5.png,0.073058,0.000000,1511
128,f00128s-6575ACC1.png,0.089442,0.000000,1557
134,f00134s-E91B2C91.png,0.046608,0.000000,1551
139,f00139s-1E635F80.png,0.070967,0.000000,1544
144,f00144s-B2715D9D.png,0.090208,0.000000,1532
150,f00150s-4D50F232.png,0.940942,0.000000,1305
155,f00155s-4F8F6B87.png,0.993225,0.075983,4008
160,f00160s-9BC59556.png,0.959483,0.041458,3559
165,f00165s-2CFF79A8.png,0.916183,0.034908,3420
170,f00170s-F7FBE6F1.png,0.847258,0.030708,2805
175,f00175s-D5712DC2.png,0.914925,0.025500,2985
180,f00180s-91606DAA.png,0.859225,0.032550,2929
185,f00185s-894CC5B8.png,0.970008,0.024058,3493
190,f00190s-09139BCB.png,0.918633,0.024567,3931
195,f00195s-65EA964F.png,0.936792,0.028792,3722
200,f00200s-AF679EE4.png,0.928208,0.027417,2845
205,f00205s-6694B0F9.png,0.848533,0.026567,2980
210,f00210s-9F4B465C.png,0.952708,0.025200,3102
216,f00216s-4D5A724B.png,0.913133,0.027375,3589
221,f00221s-A89A2AF3.png,0.946225,0.026142,3111
226,f00226s-741A601B.png,0.906458,0.024325,3553
231,f00231s-7CF43124.png,0.942467,0.048842,3434
236,f00236s-E9A619EB.png,0.972817,0.051400,2989
241,f00241s-5C7D4076.png,0.919800,0.034058,3001
246,f00246s-0E2B23BD.png,0.975075,0.031933,3919
251,f00251s-16213843.png,0.993050,0.071517,1615
257,f00257s-FA4A8B90.png,0.970858,0.000000,1371
262,f00262s-85984D65.png,0.993075,0.080125,4052
267,f00267s-949E5302.png,0.957000,0.039908,3567
272,f00272s-9D34899D.png,0.859575,0.036025,2979
277,f00277s-1EBFF5E4.png,0.728817,0.032625,3083
282,f00282s-E77D4D36.png,0.905233,0.026775,3202
287,f00287s-746BF510.png,0.895717,0.028250,3654
292,f00292s-B01815AD.png,0.900692,0.030733,3260
298,f00298s-A2E23F20.png,0.875017,0.029450,2808
303,f00303s-2622F204.png,0.856892,0.024675,2595
308,f00308s-C7E13E01.png,0.912825,0.027575,4134
313,f00313s-C169F585.png,0.957417,0.027117,3143
318,f00318s-828CFDF0.png,0.860433,0.026392,2609
323,f00323s-2A6150B4.png,0.938792,0.036142,4660
328,f00328s-6C119F66.png,0.926550,0.029408,2702
333,f00333s-0414EE26.png,0.935925,0.030233,4391
338,f00338s-14B5D736.png,0.991875,0.071633,1402
344,f00344s-CC9DE6C8.png,0.134067,0.000000,1555
349,f00349s-86CD2FC4.png,0.100808,0.000000,1557
354,f00354s-3C8A7142.png,0.098675,0.000000,1529
359,f00359s-EFF6BEA4.png,0.102200,0.000000,1555
365,f00365s-F659497B.png,0.090358,0.000000,1541
370,f00370s-186978AA.png,0.105217,0.000000,1497
375,f00375s-FFB5514C.png,0.084850,0.000000,1516
380,f00380s-5FFDC0FD.png,0.099167,0.000000,1573
386,f00386s-28F0FCB9.png,0.968117,0.000000,1339
392,f00392s-B25F01C3.png,0.993333,0.075783,3951
397,f00397s-7D4C0C50.png,0.942917,0.038167,3636
402,f00402s-0B70422D.png,0.959283,0.044850,2496
408,f00408s-0B70422D.png,0.000000,0.000000,2496
413,f00413s-0B70422D.png,0.000000,0.000000,2496
418,f00418s-9C2DF21C.png,0.000000,0.000000,2496
423,f00423s-9C2DF21C.png,0.000000,0.000000,2496
429,f00429s-9C2DF21C.png,0.000000,0.000000,2496
434,f00434s-9C2DF21C.png,0.000000,0.000000,2496
439,f00439s-9C2DF21C.png,0.000000,0.000000,2496
444,f00444s-9C2DF21C.png,0.000000,0.000000,2496
450,f00450s-9C2DF21C.png,0.000000,0.000000,2496
455,f00455s-9C2DF21C.png,0.000000,0.000000,2496
460,f00460s-9C2DF21C.png,0.000000,0.000000,2496
465,f00465s-9C2DF21C.png,0.000000,0.000000,2496
471,f00471s-0B70422D.png,0.000000,0.000000,2496
476,f00476s-0B70422D.png,0.000000,0.000000,2496
481,f00481s-0B70422D.png,0.000000,0.000000,2496
486,f00486s-9C2DF21C.png,0.000000,0.000000,2496
492,f00492s-0B70422D.png,0.000000,0.000000,2496
497,f00497s-9C2DF21C.png,0.000000,0.000000,2496
502,f00502s-9C2DF21C.png,0.000000,0.000000,2496
507,f00507s-9C2DF21C.png,0.000000,0.000000,2496
514,f00514s-0B70422D.png,0.000000,0.000000,2496
519,f00519s-0B70422D.png,0.000000,0.000000,2496
