frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1118144,332544,174144,4096,4928,960,308480,97600,195392,176064,942080,4352,832,303424,37888,1344,1984,140672,75968,704,941120
440,1678400,331392,172096,4288,2624,1024,675776,131776,359424,340032,1338368,7680,832,670784,38272,1344,1984,457728,86656,640,1337344
441,1118016,332416,174592,4096,2752,960,345088,129728,128384,109504,1008512,7488,832,339840,38016,1408,1920,138368,75328,640,1007552
442,1118336,329536,172224,4160,2560,1024,355200,121600,132032,112704,1005632,7680,960,350080,46272,1408,2112,148352,75712,640,1004608
443,1678656,329344,174272,4096,2688,412032,354240,121344,280640,260672,1417984,6912,896,349120,47488,1344,1920,149312,74432,704,1005952
444,1118336,330944,173312,4096,2688,960,354112,115264,136960,117184,1001152,7232,960,348992,46976,1472,2048,148032,75520,704,1000192
445,1117824,331456,171904,4096,2560,960,347840,116352,142656,123648,994176,7040,960,342656,44544,1280,1984,144128,74304,704,993216
446,1118720,332032,174336,4160,2560,1024,304832,106048,193728,174208,944512,7168,832,299584,896,1344,1920,98944,76672,704,943488
447,1117952,331456,171072,4160,2752,960,461184,107712,38656,19136,1098816,7360,896,455872,2688,1472,2112,255680,76032,512,1097856
448,1118464,331712,174336,4096,2496,960,355584,107904,141376,121600,996864,6976,896,350400,49536,1408,2048,148416,79168,576,995904
449,1678272,329344,173952,4160,2816,960,587328,119552,460160,440704,1237568,6912,896,582144,23232,1408,1856,356928,99264,704,1236608
450,1118144,328960,172352,4160,2688,1024,306176,119744,183040,163584,954560,6976,960,301056,960,1152,1984,91712,84928,576,953536
451,1118208,329344,172672,4160,2816,1024,305792,120000,182400,162752,955456,6976,896,300672,896,1728,2176,92224,83136,640,954432
452,1118080,333248,173248,4096,2752,960,426624,119808,57344,37952,1080128,6848,896,421504,1600,1344,2048,205824,90432,704,1079168
453,1118400,327488,172864,4160,126976,960,337280,120896,27776,7488,1110912,7168,896,332032,25536,1344,1984,118656,88128,704,1109952
454,1117696,330944,172800,4096,2688,1024,354624,112640,138880,119680,998016,6912,896,349504,49024,1280,1984,143104,82048,768,996992
455,1118272,330944,172480,4224,2880,960,347712,113728,145344,125824,992448,6720,896,342656,43456,1472,2112,136448,83328,704,991488
456,1678400,307904,172480,4160,2880,960,596352,117632,476032,456512,1221888,6848,896,591232,34048,1472,2176,249600,215360,640,1220928
457,1678848,308224,173696,4096,5120,422912,357248,125376,282176,261824,1417024,7424,960,352256,45312,1280,1984,149888,71296,704,994112
458,1117888,305472,172672,4096,3968,1024,382272,124480,123904,103936,1013952,7104,960,377216,62336,1408,2176,174080,75776,576,1012928
459,1117824,308416,173376,4224,2816,1024,386688,123904,117376,97920,1019904,7040,896,381568,62720,1344,1984,178880,75328,640,1018880
460,1678592,302336,173632,4160,2688,960,505344,124480,564992,545472,1133120,8192,832,500160,63360,1344,2048,282432,88640,768,1132160
461,1118272,306944,173248,4096,2880,960,405440,124480,100224,80768,1037504,8512,896,400320,62592,1280,1984,184128,87296,768,1036544
462,1118144,305536,173824,4096,4032,1024,425664,125248,78720,59328,1058816,9856,896,420672,63040,1536,2048,190400,100480,512,1057792
463,1118336,303296,173056,4160,4096,960,417600,118656,96512,77056,1041280,8704,896,412544,62528,1472,1984,193344,88768,640,1040320
464,1118336,304256,174144,4096,5760,960,477760,112512,38848,19392,1098944,8768,832,472704,62848,1472,1984,257728,86976,640,1097984
465,1118144,302656,174208,4096,4992,960,407680,112320,111232,91776,1026368,9792,896,402560,63936,1152,1984,176768,98304,704,1025408
466,1118592,303104,174080,4096,4224,71296,394112,113920,53760,33728,1084864,8512,832,388928,65024,1344,1920,173888,86656,576,1013568
467,1117888,308992,174016,4160,4992,1024,383424,113536,127744,108416,1009472,8832,1024,378368,67648,1344,2048,164736,86272,576,1008448
468,1118144,303168,174080,4096,4032,960,409728,114560,107520,88192,1029952,10304,896,404352,67392,1280,2112,177344,97280,704,1028992
