pc,cycles,pct_fn,executions,cyc_per_insn,cyc_per_frame_1601,instruction
0x020013c0,685144,1.012,111944,6.12,427.9,"push {r4, r5, r6, r7, lr}"
0x020013c2,111944,0.165,111944,1.00,69.9,"mov r7, sl"
0x020013c4,276804,0.409,111944,2.47,172.9,"mov lr, fp"
0x020013c6,111947,0.165,111945,1.00,69.9,"mov r6, r9"
0x020013c8,111944,0.165,111944,1.00,69.9,"mov r5, r8"
0x020013ca,447776,0.661,111944,4.00,279.7,"push {r5, r6, r7, lr}"
0x020013cc,142420,0.210,111944,1.27,89.0,"ldr r3, [r0, #116]	@ 0x74"
0x020013ce,491570,0.726,111944,4.39,307.0,"ldr r2, [pc, #560]	@ (2001600 <gcPlayDObjAnimJoint+0x240>)"
0x020013d0,237084,0.350,111944,2.12,148.1,"movs r7, r0"
0x020013d2,111944,0.165,111944,1.00,69.9,"sub sp, #12"
0x020013d4,111944,0.165,111944,1.00,69.9,"cmp r3, r2"
0x020013d6,111944,0.165,111944,1.00,69.9,beq.n 200144c <gcPlayDObjAnimJoint+0x8c>
0x020013d8,961461,1.420,111944,8.59,600.5,"ldr r2, [r0, #4]"
0x020013da,755332,1.116,111944,6.75,471.8,"ldr r6, [r2, #124]	@ 0x7c"
0x020013dc,366954,0.542,111944,3.28,229.2,"ldr r2, [r0, #120]	@ 0x78"
0x020013de,229133,0.338,111944,2.05,143.1,"lsls r1, r2, #1"
0x020013e0,116407,0.172,111944,1.04,72.7,"mov fp, r2"
0x020013e2,111944,0.165,111944,1.00,69.9,"lsrs r1, r1, #24"
0x020013e4,120870,0.179,111944,1.08,75.5,beq.n 200145a <gcPlayDObjAnimJoint+0x9a>
0x020013e6,111944,0.165,111944,1.00,69.9,"cmp r1, #255	@ 0xff"
0x020013e8,308685,0.456,111944,2.76,192.8,bne.n 20013ec <gcPlayDObjAnimJoint+0x2c>
0x020013ec,111944,0.165,111944,1.00,69.9,"movs r4, #128	@ 0x80"
0x020013ee,111944,0.165,111944,1.00,69.9,"lsls r0, r2, #9"
0x020013f0,111944,0.165,111944,1.00,69.9,"lsrs r0, r0, #9"
0x020013f2,111944,0.165,111944,1.00,69.9,"lsls r4, r4, #16"
0x020013f4,111944,0.165,111944,1.00,69.9,"orrs r4, r0"
0x020013f6,111944,0.165,111944,1.00,69.9,"movs r0, r1"
0x020013f8,111944,0.165,111944,1.00,69.9,"subs r0, #138	@ 0x8a"
0x020013fa,111944,0.165,111944,1.00,69.9,bpl.n 20013fe <gcPlayDObjAnimJoint+0x3e>
0x020013fc,602659,0.890,111944,5.38,376.4,b.n 20015c4 <gcPlayDObjAnimJoint+0x204>
0x02001412,111944,0.165,111944,1.00,69.9,"mov r2, fp"
0x02001414,111944,0.165,111944,1.00,69.9,"cmp r2, #0"
0x02001416,964718,1.425,111944,8.62,602.6,bge.n 200145e <gcPlayDObjAnimJoint+0x9e>
0x02001420,121,0.000,52,2.33,0.1,"mov r1, fp"
0x02001422,52,0.000,52,1.00,0.0,blx 1fff2ec <__aeabi_fadd>
0x02001426,52,0.000,52,1.00,0.0,"mov r3, sl"
0x02001428,52,0.000,52,1.00,0.0,"str r0, [r4, #12]"
0x0200142a,52,0.000,52,1.00,0.0,"cmp r3, #0"
0x0200142c,324,0.000,52,6.23,0.2,bne.n 20014c6 <gcPlayDObjAnimJoint+0x106>
0x0200143a,1862871,2.752,142044,13.11,1163.6,"ldr r4, [r4, #0]"
0x0200143c,359168,0.531,142044,2.53,224.3,"cmp r4, #0"
0x0200143e,283746,0.419,142044,2.00,177.2,bne.n 2001484 <gcPlayDObjAnimJoint+0xc4>
0x02001440,291155,0.430,111944,2.60,181.9,"ldr r3, [r7, #116]	@ 0x74"
0x02001442,583875,0.863,111944,5.22,364.7,"ldr r2, [pc, #456]	@ (200160c <gcPlayDObjAnimJoint+0x24c>)"
0x02001444,280588,0.414,111944,2.51,175.3,"cmp r3, r2"
0x02001446,222194,0.328,111944,1.98,138.8,bne.n 200144c <gcPlayDObjAnimJoint+0x8c>
0x02001448,3700,0.005,1894,1.95,2.3,"ldr r3, [pc, #436]	@ (2001600 <gcPlayDObjAnimJoint+0x240>)"
0x0200144a,1894,0.003,1894,1.00,1.2,"str r3, [r7, #116]	@ 0x74"
0x0200144c,111944,0.165,111944,1.00,69.9,"add sp, #12"
0x0200144e,742375,1.097,111944,6.63,463.7,"pop {r4, r5, r6, r7}"
0x02001450,236793,0.350,111944,2.12,147.9,"mov fp, r7"
0x02001452,111944,0.165,111944,1.00,69.9,"mov sl, r6"
0x02001454,111944,0.165,111944,1.00,69.9,"mov r9, r5"
0x02001456,111944,0.165,111944,1.00,69.9,"mov r8, r4"
0x02001458,1060241,1.566,111944,9.47,662.2,"pop {r4, r5, r6, r7, pc}"
0x0200145e,707237,1.045,111944,6.32,441.7,"ldr r4, [r7, #108]	@ 0x6c"
0x02001460,300591,0.444,111944,2.69,187.8,"cmp r4, #0"
0x02001462,111944,0.165,111944,1.00,69.9,beq.n 2001442 <gcPlayDObjAnimJoint+0x82>
0x02001464,134141,0.198,111944,1.20,83.8,"ldr r1, [pc, #424]	@ (2001610 <gcPlayDObjAnimJoint+0x250>)"
0x02001466,112444,0.166,111944,1.00,70.2,"movs r2, #1"
0x02001468,131250,0.194,111944,1.17,82.0,"adds r3, r3, r1"
0x0200146a,111944,0.165,111944,1.00,69.9,"subs r1, r3, #1"
0x0200146c,131250,0.194,111944,1.17,82.0,"sbcs r3, r1"
0x0200146e,111944,0.165,111944,1.00,69.9,"lsls r6, r6, #30"
0x02001470,131250,0.194,111944,1.17,82.0,"lsrs r6, r6, #31"
0x02001472,111944,0.165,111944,1.00,69.9,"eors r6, r2"
0x02001474,131220,0.194,111944,1.17,82.0,"lsls r6, r6, #1"
0x02001476,111944,0.165,111944,1.00,69.9,"orrs r6, r3"
0x02001478,131250,0.194,111944,1.17,82.0,"movs r3, #0"
0x0200147a,111944,0.165,111944,1.00,69.9,"ands r2, r6"
0x0200147c,207369,0.306,111945,1.85,129.5,"mov r9, r2"
0x0200147e,111944,0.165,111944,1.00,69.9,"mov r8, r3"
0x02001480,123720,0.183,111944,1.11,77.3,"ldr r3, [pc, #400]	@ (2001614 <gcPlayDObjAnimJoint+0x254>)"
0x02001482,111944,0.165,111944,1.00,69.9,"str r3, [sp, #0]"
0x02001484,15200176,22.454,572768,26.54,9494.2,"ldrb r5, [r4, #5]"
0x02001486,3745360,5.533,572775,6.54,2339.4,"cmp r5, #0"
0x02001488,1214554,1.794,572767,2.12,758.6,beq.n 200143a <gcPlayDObjAnimJoint+0x7a>
0x0200148a,430723,0.636,430723,1.00,269.0,"mov r3, r9"
0x0200148c,432417,0.639,430723,1.00,270.1,"cmp r3, #0"
