pc,cycles,pct_fn,executions,cyc_per_insn,cyc_per_frame_1601,instruction
0x020660f0,3890792,6.289,430671,9.03,2430.2,"push {r4, r5, r6, r7, r8, r9, sl, fp, lr}"
0x020660f4,430671,0.696,430671,1.00,269.0,"ldrb r2, [r0, #5]"
0x020660f8,569216,0.920,430671,1.32,355.5,"ldr lr, [r0, #12]"
0x020660fc,870826,1.408,430671,2.02,543.9,"cmp r2, #5"
0x02066100,445821,0.721,430671,1.04,278.5,"ldr ip, [r0, #8]"
0x02066104,691582,1.118,430671,1.61,432.0,"ldr r3, [r0, #16]"
0x02066108,526695,0.851,430671,1.22,329.0,"sub sp, sp, #12"
0x0206610c,1120428,1.811,430671,2.60,699.8,beq 2066394 <ndsR2AnimValueQ+0x2a4>
0x02066110,561996,0.908,235824,2.38,351.0,"ldr r4, [r0, #24]"
0x02066114,281508,0.455,235824,1.19,175.8,"cmp r2, #6"
0x02066118,337015,0.545,235824,1.43,210.5,"asr r2, r4, #31"
0x0206611c,253065,0.409,235824,1.07,158.1,"mov r5, lr"
0x02066120,253035,0.409,235824,1.07,158.0,"asr fp, lr, #31"
0x02066124,253035,0.409,235824,1.07,158.0,"asr r9, r3, #31"
0x02066128,429421,0.694,235824,1.82,268.2,"str r2, [sp]"
0x0206612c,287960,0.465,235824,1.22,179.9,beq 2066334 <ndsR2AnimValueQ+0x244>
0x02066130,238780,0.386,225700,1.06,149.1,"cmp lr, #4194304	@ 0x400000"
0x02066134,238780,0.386,225700,1.06,149.1,bgt 2066460 <ndsR2AnimValueQ+0x370>
0x02066138,348587,0.563,225700,1.54,217.7,"cmn lr, #4194304	@ 0x400000"
0x0206613c,244420,0.395,225700,1.08,152.7,blt 2066408 <ndsR2AnimValueQ+0x318>
0x02066140,244420,0.395,225700,1.08,152.7,"mov r1, #33554432	@ 0x2000000"
0x02066144,244450,0.395,225700,1.08,152.7,"mov r2, #0"
0x02066148,470120,0.760,225700,2.08,293.6,"smlal r1, r2, ip, lr"
0x0206614c,238180,0.385,225700,1.06,148.8,"lsr r1, r1, #26"
0x02066150,244420,0.395,225700,1.08,152.7,"orr r1, r1, r2, lsl #6"
0x02066154,244450,0.395,225700,1.08,152.7,"cmp r1, #131072	@ 0x20000"
0x02066158,329916,0.533,225700,1.46,206.1,bgt 2066424 <ndsR2AnimValueQ+0x334>
0x0206615c,244014,0.394,225660,1.08,152.4,"cmn r1, #131072	@ 0x20000"
0x02066160,244014,0.394,225660,1.08,152.4,blt 20663cc <ndsR2AnimValueQ+0x2dc>
0x02066164,244014,0.394,225660,1.08,152.4,"mov ip, #32768	@ 0x8000"
0x02066168,244044,0.394,225660,1.08,152.4,"mov r2, #0"
0x0206616c,469674,0.759,225660,2.08,293.4,"smlal ip, r2, r1, r1"
0x02066170,237896,0.385,225660,1.05,148.6,"lsr ip, ip, #16"
0x02066174,244014,0.394,225660,1.08,152.4,"orr ip, ip, r2, lsl #16"
0x02066178,330108,0.534,225660,1.46,206.2,"asr r2, r2, #16"
0x0206617c,244263,0.395,225660,1.08,152.6,"mul r2, r1, r2"
0x02066180,463722,0.750,225660,2.05,289.6,"asr lr, r1, #31"
0x02066184,244293,0.395,225660,1.08,152.6,"sub r6, ip, ip, lsl #2"
0x02066188,244263,0.395,225660,1.08,152.6,"mla r2, ip, lr, r2"
0x0206618c,463722,0.750,225660,2.05,289.6,"sub lr, ip, r1, lsl #1"
0x02066190,469923,0.760,225660,2.08,293.5,"umull r7, ip, r1, ip"
0x02066194,238062,0.385,225660,1.05,148.7,"add r8, lr, #65536	@ 0x10000"
0x02066198,330780,0.535,225660,1.47,206.6,"add r1, r1, lr"
0x0206619c,244386,0.395,225660,1.08,152.6,"adds lr, r7, #32768	@ 0x8000"
0x020661a0,244356,0.395,225660,1.08,152.6,"adc r2, r2, ip"
0x020661a4,244356,0.395,225660,1.08,152.6,"lsr lr, lr, #16"
0x020661a8,244356,0.395,225660,1.08,152.6,"orr lr, lr, r2, lsl #16"
0x020661ac,244356,0.395,225660,1.08,152.6,"rsb r2, r6, #0"
0x020661b0,244356,0.395,225660,1.08,152.6,"add ip, r6, lr, lsl #1"
0x020661b4,244356,0.395,225660,1.08,152.6,"sub r6, r2, lr, lsl #1"
0x020661b8,325466,0.526,225661,1.44,203.3,"add ip, ip, #65536	@ 0x10000"
0x020661bc,243288,0.393,225660,1.08,152.0,"str r6, [sp]"
0x020661c0,243288,0.393,225660,1.08,152.0,"asr r6, r6, #31"
0x020661c4,243288,0.393,225660,1.08,152.0,"mov r2, r8"
0x020661c8,243288,0.393,225660,1.08,152.0,"asr lr, r8, #31"
0x020661cc,243288,0.393,225660,1.08,152.0,"asr sl, ip, #31"
0x020661d0,243288,0.393,225660,1.08,152.0,"asr r8, r1, #31"
0x020661d4,243291,0.393,225661,1.08,152.0,"str r6, [sp, #4]"
0x020661d8,349050,0.564,225700,1.55,218.0,"mul r6, ip, r9"
0x020661dc,462008,0.747,225700,2.05,288.6,"mla r6, r3, sl, r6"
0x020661e0,687678,1.112,225700,3.05,429.5,"umull r9, r3, ip, r3"
0x020661e4,236278,0.382,225700,1.05,147.6,"mul ip, r5, r8"
0x020661e8,461978,0.747,225700,2.05,288.6,"add sl, r6, r3"
0x020661ec,493624,0.798,225700,2.19,308.3,"ldr r8, [sp, #4]"
0x020661f0,365156,0.590,225700,1.62,228.1,"ldr r3, [r0, #20]"
0x020661f4,238741,0.386,225700,1.06,149.1,"mul lr, r5, lr"
0x020661f8,538151,0.870,225700,2.38,336.1,"mul r8, r3, r8"
0x020661fc,462020,0.747,225700,2.05,288.6,"ldr r7, [sp]"
0x02066200,241585,0.390,225700,1.07,150.9,"mla lr, r2, fp, lr"
0x02066204,462020,0.747,225700,2.05,288.6,"mla ip, r1, fp, ip"
0x02066208,462050,0.747,225700,2.05,288.6,"asr fp, r3, #31"
0x0206620c,241585,0.390,225700,1.07,150.9,"mla r6, fp, r7, r8"
0x02066210,687690,1.112,225700,3.05,429.5,"umull r7, r8, r3, r7"
0x02066214,456695,0.738,225700,2.02,285.3,"add r3, r6, r8"
0x02066218,540642,0.874,225701,2.40,337.7,"umull r2, r8, r5, r2"
0x0206621c,236258,0.382,225700,1.05,147.6,"adds r7, r7, r9"
0x02066220,241522,0.390,225700,1.07,150.9,"adc r6, sl, r3"
