region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2759673,6723454,2.436,0,520841,1812355,1741320,1180897,861101,297878,19602,0,197776,612525,0,0
51,1989910,5600994,2.815,0,771503,604108,2129265,982777,165598,67458,38680,0,269753,1343355,0,0
1301,1190680,4482998,3.765,0,632603,630771,1303313,863964,169545,78191,16470,0,151635,1269109,0,0
398,1055083,3362986,3.187,0,373707,530308,1128056,723353,142574,73599,16802,0,144425,603869,0,0
1076,959271,3362806,3.506,0,688539,648009,1024934,678002,111374,78937,17554,0,113257,690739,0,0
1074,900848,3362246,3.732,0,951207,662625,863163,592326,101352,80424,17482,0,93673,951201,0,0
518,755378,3362238,4.451,0,1082531,500244,801999,588115,111528,77085,16470,0,90462,1176335,0,0
1498,699463,3362164,4.807,0,1109725,404011,880239,599583,125186,77073,19602,0,98270,1158200,0,0
737,913602,3362152,3.680,0,957545,675896,837098,588134,107409,85620,16470,0,93986,957539,0,0
1168,759200,3362084,4.428,0,1055449,455539,896622,640301,113554,74746,16470,0,109409,1055443,0,0
1132,800978,3362044,4.197,0,1094707,559202,837268,583618,96387,77628,17770,0,93470,1096701,0,0
478,904747,3361956,3.716,0,959421,656625,862954,590280,97888,80839,16470,0,95389,961511,0,0
958,853330,3361876,3.940,0,1086749,615101,818087,559137,95240,79994,16470,0,91104,1086743,0,0
538,1084268,3361760,3.100,0,308925,530981,1217450,778065,147659,74273,16502,0,150584,446246,0,0
1043,743288,3361752,4.523,0,699175,469560,888270,600817,102726,75827,16886,0,99458,1108208,0,0
547,811024,3361746,4.145,0,865649,461343,963924,727555,129295,72581,16470,0,122521,868057,0,0
1233,723809,3361744,4.645,0,1063861,410935,831589,648074,119407,73026,16470,0,106643,1155600,0,0
991,861557,3361742,3.902,0,938309,581104,909213,627557,106029,78051,16470,0,103039,940279,0,0
58,727709,3361730,4.620,0,1008465,448476,896503,613354,121417,69224,16470,0,96101,1100185,0,0
1153,1107217,3361580,3.036,0,413453,540926,1232770,756970,125273,75013,16822,0,151794,462012,0,0
400,923550,3361570,3.640,0,210667,541052,1089032,779530,144955,77187,16802,0,122362,590650,0,0
558,939014,3361560,3.580,0,563829,581130,998873,692702,127513,78218,16470,0,112958,753696,0,0
1026,873891,3361540,3.847,0,864903,587887,953114,643630,108671,78270,16802,0,106039,867127,0,0
1320,714677,3361534,4.704,0,1080895,412016,824421,634120,124764,74059,16470,0,102997,1172687,0,0
494,835104,3361530,4.025,0,887629,430462,984424,666283,128953,75895,19676,0,118879,936958,0,0
370,826851,3361528,4.065,0,319407,535271,945899,692123,129697,76286,17866,0,104374,860012,0,0
1116,844103,3361506,3.982,0,920717,556793,941242,631786,109118,77185,17790,0,104775,922817,0,0
715,968217,3361504,3.472,0,586851,475052,1079511,692615,111813,74072,16534,0,140464,771443,0,0
111,1103031,3361468,3.047,0,246717,486224,1251532,759290,144678,75545,19602,0,149189,475408,0,0
1149,1127636,3361446,2.981,0,97923,528948,1288189,792333,127621,74572,16770,0,155902,377111,0,0
588,655305,3361426,5.130,0,1048815,436819,789216,604813,108089,75559,16470,0,87801,1242659,0,0
739,896309,3361408,3.750,0,981453,654986,831338,588938,108344,85803,16470,0,94082,981447,0,0
1114,899503,3361352,3.737,0,990969,665510,833116,584834,96156,79672,17670,0,91439,992955,0,0
537,1010097,3361342,3.328,0,624909,478915,1116373,698864,122333,72859,16534,0,138065,717399,0,0
265,709927,3361332,4.735,0,1094105,427561,875416,635297,130697,75515,19914,0,102833,1094099,0,0
1042,862123,3361328,3.899,0,1069333,640060,806786,564021,96262,79818,16882,0,88172,1069327,0,0
736,953059,3361298,3.527,0,220927,614425,1013869,724531,140647,83249,16470,0,119780,648327,0,0
915,735734,3361290,4.569,0,808393,468756,883439,655067,117498,76029,16470,0,99217,1044814,0,0
1134,876582,3361218,3.834,0,1034613,644216,820965,577653,95608,79613,17686,0,90870,1034607,0,0
1135,761804,3361192,4.412,0,1079915,479900,888503,609777,106565,75783,17718,0,100859,1082087,0,0
1383,587769,3361138,5.718,0,1096637,378693,695353,585583,104098,73703,16470,0,81941,1425297,0,0
454,839253,3361118,4.005,0,788253,618458,787997,603891,105601,79602,16470,0,87980,1061119,0,0
327,711298,3361078,4.725,0,997705,442188,850492,625886,115587,74383,17686,0,98091,1136765,0,0
1040,774107,3361074,4.342,0,934063,515518,809883,590757,108902,77245,16782,0,90625,1151362,0,0
791,686822,3361072,4.894,0,1099357,407248,853064,634726,125153,75235,16470,0,101454,1147722,0,0
1296,773411,3361032,4.346,0,999481,460711,820307,592730,110687,77085,16470,0,95168,1187874,0,0
343,752238,3361020,4.468,0,980163,456237,882682,630738,120614,74399,17718,0,101214,1077418,0,0
44,588608,3360974,5.710,0,1094995,377720,697441,585705,104364,73717,16470,0,81786,1423771,0,0
1474,669590,3360890,5.019,0,1058263,407496,824421,609203,131183,76489,19602,0,93857,1198639,0,0
495,958176,3360848,3.508,0,459449,482375,1076557,739299,144700,73934,16470,0,133638,693875,0,0
1493,680721,3360840,4.937,0,1091507,424509,835297,601398,122014,76129,19602,0,94734,1187157,0,0
324,745719,3360824,4.507,0,1081083,457953,873152,636843,114985,73917,17766,0,105131,1081077,0,0
603,785499,3360768,4.279,0,865465,459641,926402,685961,128576,74087,16470,0,112421,957210,0,0
248,702795,3360762,4.782,0,1101577,419990,872602,635474,132699,75543,19794,0,103089,1101571,0,0
1389,628546,3360750,5.347,0,1005469,389230,846384,622653,130474,65287,16470,0,94031,1196221,0,0
393,882321,3360736,3.809,0,959417,527834,908936,634785,104442,73117,16782,0,135429,959411,0,0
913,864546,3360638,3.887,0,814383,640998,810099,616052,107758,79588,16470,0,89405,1000268,0,0
735,741270,3360542,4.533,0,969475,431644,891682,630850,138102,86032,16470,0,103651,1062111,0,0
738,906381,3360476,3.708,0,886565,667154,834596,590666,107403,85853,16470,0,94502,963832,0,0
989,1186569,3360474,2.832,0,432861,832439,1021497,713329,97474,78881,16470,0,167529,432855,0,0
1075,871023,3360288,3.858,0,1041651,637692,819457,576241,96559,80054,17514,0,91126,1041645,0,0
807,763658,3360218,4.400,0,971255,467997,908675,675712,130555,76222,16470,0,111162,973425,0,0
719,1122112,3360038,2.994,0,73651,552036,1275216,822410,145460,81605,16470,0,159071,307770,0,0
458,676136,2243250,3.318,0,296653,464782,704293,513529,89989,76555,16470,0,80985,296647,0,0
278,610980,2242950,3.671,0,194987,397268,732708,548292,104074,73961,17062,0,82987,286598,0,0
1528,622626,2242876,3.602,0,124571,380600,809808,570490,124532,76573,19602,0,88146,173125,0,0
1298,774155,2242640,2.897,0,188591,566990,701416,518161,90956,79086,16470,0,80976,188585,0,0
867,554006,2242610,4.048,0,475417,347263,667016,495614,88631,73068,16470,0,79137,475411,0,0
1063,594385,2242462,3.773,0,376235,374873,704914,521989,90257,73613,17490,0,83097,376229,0,0
578,601417,2242402,3.729,0,386237,386856,697852,509057,89942,73353,16470,0,82641,386231,0,0
998,557423,2242396,4.023,0,516195,346814,635088,489158,87226,73136,16470,0,78315,516189,0,0
761,656852,2242390,3.414,0,223231,412659,770809,559288,92873,74144,16470,0,92922,223225,0,0
174,562473,2242362,3.987,0,387097,348513,710663,513975,107053,75218,19602,0,80247,387091,0,0
986,534054,2242290,4.199,0,471303,328818,630761,482883,89734,72784,16470,0,76552,544288,0,0
698,698269,2242248,3.211,0,103853,425613,803190,610882,107798,73000,16470,0,101448,103847,0,0
1222,549328,2242226,4.082,0,539629,344466,620433,482966,89152,72826,16470,0,76290,539623,0,0
1118,577893,2242158,3.880,0,454745,372227,667522,487185,92084,73796,17798,0,76807,454739,0,0
938,513912,2242140,4.363,0,595861,326855,615252,458082,84406,73537,16582,0,71571,595855,0,0
1338,436410,2242134,5.138,0,639137,282172,542800,404458,66997,55601,16470,0,62304,811332,0,0
148,603000,2242092,3.718,0,270171,368429,774240,536847,110975,76051,19602,0,85783,270165,0,0
