symbol,entry_pc,size,calls_whole_match,calls_per_region,calls_on_p95_set,calls_per_p95_region,calls_off_p95_set,calls_per_body_region,p95_regions_with_a_call,p95_regions_total,body_regions_with_a_call,body_regions_total,presence_ratio
lbRelocGetForceExternHeapFile,0x0205ab64,888,299,0.1869,89,1.1125,210,0.1382,62,80,174,1520,8.052
lbRelocGetStatusBufferFile,0x0205aedc,208,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
lbRelocGetExternHeapFile,0x0205a718,332,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRelocAssetLoadIntoZeroedHeap,0x0200b5cc,252,15,0.0094,15,0.1875,0,0.0,13,80,0,1520,inf
ndsRelocAssetReadHeaderFromFile,0x0200b33c,160,15,0.0094,15,0.1875,0,0.0,13,80,0,1520,inf
ndsRelocAssetFindEntry,0x0200b21c,220,314,0.1963,104,1.3,210,0.1382,62,80,174,1520,9.41
ndsRelocAssetGetPath,0x0200b2f8,14,299,0.1869,89,1.1125,210,0.1382,62,80,174,1520,8.052
ndsRelocAssetIDForToken,0x0203757c,1632,1197,0.7481,357,4.4625,840,0.5526,62,80,174,1520,8.075
ndsR2AnimCacheFind,0x0203a1ec,140,299,0.1869,89,1.1125,210,0.1382,62,80,174,1520,8.052
ndsRelocRegisterLoadedFile,0x02039ed0,268,299,0.1869,89,1.1125,210,0.1382,62,80,174,1520,8.052
ndsRelocApplyWordByteSwap,0x02039ad0,196,15,0.0094,15,0.1875,0,0.0,13,80,0,1520,inf
ndsRelocNormalizeFighterAObj16File,0x0203aedc,724,314,0.1963,104,1.3,210,0.1382,62,80,174,1520,9.41
ndsRelocFinalizeLoadedFile,0x0203d574,1934,299,0.1869,89,1.1125,210,0.1382,62,80,174,1520,8.052
ndsRelocApplyInternalPointerFixups,0x0203b1b0,316,314,0.1963,104,1.3,210,0.1382,62,80,174,1520,9.41
ndsRelocAddStatusNode.part.0,0x02037cd0,84,885,0.5531,261,3.2625,624,0.4105,60,80,172,1520,7.947
ndsRelocRemoveFighterAObj16LoadedAliases.part.0,0x02039324,236,299,0.1869,89,1.1125,210,0.1382,62,80,174,1520,8.052
f_open,0x020b8b68,1024,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
f_read,0x020b8f68,676,5053,3.1581,4716,58.95,337,0.2217,55,80,118,1520,265.887
f_lseek,0x020b9844,664,248,0.155,146,1.825,102,0.0671,55,80,97,1520,27.196
get_fat.isra.0,0x020b6b7c,352,106276,66.4225,57106,713.825,49170,32.3487,55,80,118,1520,22.067
disk_read,0x020b60e8,44,1915,1.1969,898,11.225,1017,0.6691,55,80,118,1520,16.777
