frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
440,1117504,330368,169024,4096,4864,960,304832,96576,206784,187392,930112,4160,896,299776,36288,1408,1984,137984,75264,704,929152
441,1678848,328640,172224,4224,2560,896,675904,129344,365056,345536,1333312,7360,896,670656,37504,1280,1856,454464,87296,640,1332416
442,1117760,327872,171776,4096,2752,1024,342656,128320,139264,119744,998016,7232,832,337664,36672,1280,1984,134784,74688,576,996992
443,1118208,327872,173184,4160,2752,960,353728,121280,134272,114944,1003264,7360,960,348736,44928,1280,1856,144704,74560,704,1002304
444,1118144,327552,171136,4096,2624,1024,353536,121088,137088,117504,1000640,6656,896,348480,45440,1344,1856,146752,74752,704,999616
445,1118336,328192,173824,4224,2688,1024,352320,113984,142080,122560,995776,6656,832,347200,45312,1344,1984,145216,74240,960,994752
446,1117760,328320,172288,4160,2688,960,345792,113664,149888,130688,987072,6464,896,340608,42112,1280,2048,140160,74688,704,986112
447,1118464,327744,171136,4288,2688,1088,305472,105856,200192,180416,938048,6528,960,300352,960,1152,1856,97408,76992,768,936960
448,1118144,326656,173248,4224,2624,1024,457728,106496,46144,26496,1091648,6592,896,452736,2432,1344,1856,251712,75904,640,1090624
449,1678656,327040,173888,4160,2688,427712,352704,106560,283904,263488,1415168,6464,960,347456,48320,1408,1728,145344,77312,704,987456
450,1678272,327360,172544,4224,2752,1024,584256,119744,466368,446208,1232064,6400,896,579136,21952,1280,1856,352512,98752,640,1231040
451,1117824,326848,172416,4160,2688,960,305920,120960,183872,164352,953472,6592,896,300544,768,1280,1984,90048,84544,704,952512
452,1118016,324288,172480,4288,2624,1088,306112,121088,186048,166528,951488,6656,896,300736,896,1280,1920,91584,83072,768,950400
453,1118208,324928,172864,4096,2624,1024,426624,119040,67008,47168,1071040,6336,960,421504,1792,1216,1920,204736,89536,704,1070016
454,1118144,324160,172416,4224,2752,1024,335296,119616,158656,138880,979264,6592,896,330368,24576,1344,1856,116672,87616,768,978240
455,1118016,324736,172672,4288,2752,1088,356672,112064,143744,124352,993664,6272,832,351424,47744,1344,1920,141440,83136,704,992576
456,1118080,324928,171776,4160,2624,1024,348032,111936,153600,133696,984384,6656,896,342656,42624,1344,1920,134336,82816,640,983360
457,1678336,302272,172672,4224,127104,1024,627456,117120,326464,306752,1371584,6528,832,622336,32512,1216,1984,245504,244224,768,1370560
458,1118080,301760,172864,4160,4992,1088,355072,123392,154752,135104,982976,6592,960,350016,43328,1344,1856,147072,71808,832,981888
459,1118208,302848,173760,4160,5056,1024,379840,123840,127680,107712,1010496,6528,960,374784,60224,1280,1984,169536,75200,640,1009472
460,1117824,302720,170240,4160,2752,1024,383296,123840,129792,110336,1007488,6592,960,378112,59904,1472,1856,173696,76032,576,1006464
461,1678144,301504,171520,4224,2624,1024,510080,123584,563584,543872,1134272,7936,960,504960,60736,1280,1920,284224,89600,640,1133248
462,1678848,306112,172672,4224,2752,428288,402112,122048,240640,220416,1458432,8384,896,396992,61056,1408,1920,178240,87808,640,1030144
463,1117824,302784,173312,4160,3840,1088,424960,121280,86400,66240,1051584,9920,832,419904,60800,1216,2048,186240,100480,640,1050496
464,1118080,300288,170624,4160,4032,1024,413824,116224,107904,87808,1030272,7808,768,408832,61440,1472,1920,190016,87424,704,1029248
