pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2868,685968779,17208,0,0,0,0,0,0,685951556,412,51996448,2472,0,0,0,0,0,0,51993976
0x02006fb4,49152,241114,-23507,4067,198570,61984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff4f6,757755,9089831,756213,0,0,8333618,0,0,0,0,32795,362210,32755,0,0,329455,0,0,0,0
0x01fff4f4,757747,8674347,750362,0,0,7923985,0,0,0,0,32795,345595,32460,0,0,313135,0,0,0,0
0x01fff4f2,757751,8522694,743377,0,0,7779317,0,0,0,0,32795,339378,32216,0,0,307162,0,0,0,0
0x02006fb8,49152,157308,-42073,157357,0,42024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fffb74,62640,4723401,-186084,0,4704277,205208,0,0,0,0,16304,1254045,-48678,0,1251011,51712,0,0,0,0
0x01fff4f0,757748,6749770,164247,0,0,6585523,0,0,0,0,32795,269508,9216,0,0,260292,0,0,0,0
0x01fff592,718011,4818897,4288759,0,0,474842,55296,0,0,0,40313,360367,321174,0,0,39193,0,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fb6,49152,68592,68592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff590,717997,13196845,-751714,0,6935787,7012772,0,0,0,0,40313,1240793,-54765,0,524997,770561,0,0,0,0
0x01fff5be,91936,560361,495721,0,0,64640,0,0,0,0,3645,21588,18358,0,0,3230,0,0,0,0
0x01fff538,191747,1049242,1009691,0,0,39551,0,0,0,0,7584,41824,40146,0,0,1678,0,0,0,0
0x01fff560,191745,1005224,135572,0,838951,30701,0,0,0,0,7584,43980,5467,0,35096,3417,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fb2,49153,49155,49155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006faa,49152,49152,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fb0,49152,49152,0,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fba,49152,49152,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020bee58,23957,448717,32610,87815,298305,3528,0,0,26459,0,3559,69986,2732,11765,50870,724,0,0,3895,0
0x01fff594,717998,2754705,-123976,0,1824359,1054322,0,0,0,0,40313,187773,-8725,0,105980,90518,0,0,0,0
0x01fff544,191745,570543,570543,0,0,0,0,0,0,0,7584,22306,22306,0,0,0,0,0,0,0
0x01fff564,191745,525337,191745,333592,0,0,0,0,0,0,7584,20356,7584,12772,0,0,0,0,0,0
0x01fff59c,717996,885697,23133,0,828701,33863,0,0,0,0,40313,46897,-365,0,45598,1664,0,0,0,0
0x01fff598,717996,843254,27158,0,748604,67492,0,0,0,0,40313,59899,-705,0,46392,14212,0,0,0,0
0x01fff5a0,717995,748715,748715,0,0,0,0,0,0,0,40313,40313,40313,0,0,0,0,0,0,0
0x02048912,12396,37196,12404,24792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff5bc,91932,1560209,-69445,0,624730,1004924,0,0,0,0,3645,62293,-2605,0,24536,40362,0,0,0,0
0x02012cdc,9472,47629,0,28650,0,0,0,0,18979,0,1024,5159,0,3106,0,0,0,0,2053,0
0x02048932,12396,32726,12396,20330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02048820,10354,31115,0,31115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
