pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2868,685968779,17208,0,0,0,0,0,0,685951556,702,65808605,4212,0,0,0,0,0,0,65804393
0x02006fb4,49152,241114,-23507,4067,198570,61984,0,0,0,0,49152,241114,-23507,4067,198570,61984,0,0,0,0
0x01fff4f6,757755,9089831,756213,0,0,8333618,0,0,0,0,55510,687285,55456,0,0,631829,0,0,0,0
0x01fff4f4,757747,8674347,750362,0,0,7923985,0,0,0,0,55509,662680,55068,0,0,607612,0,0,0,0
0x01fff4f2,757751,8522694,743377,0,0,7779317,0,0,0,0,55509,654467,54735,0,0,599732,0,0,0,0
0x02006fb8,49152,157308,-42073,157357,0,42024,0,0,0,0,49152,157308,-42073,157357,0,42024,0,0,0,0
0x01fffb74,62640,4723401,-186084,0,4704277,205208,0,0,0,0,29184,2196885,-86823,0,2188672,95036,0,0,0,0
0x01fff4f0,757748,6749770,164247,0,0,6585523,0,0,0,0,55509,516144,12512,0,0,503632,0,0,0,0
0x01fff592,718011,4818897,4288759,0,0,474842,55296,0,0,0,63325,636807,512454,0,0,69057,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff590,717997,13196845,-751714,0,6935787,7012772,0,0,0,0,63325,1803570,-92250,0,804844,1090976,0,0,0,0
0x01fff5be,91936,560361,495721,0,0,64640,0,0,0,0,18912,97755,93001,0,0,4754,0,0,0,0
