pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2455,764612498,14730,0,0,0,0,0,0,764597768,599,71380872,3594,0,0,0,0,0,0,71377278
0x02006fcc,49152,245506,-23490,4050,201802,63144,0,0,0,0,49152,245506,-23490,4050,201802,63144,0,0,0,0
0x02065d8e,159964,558357,188733,0,363556,6068,0,0,0,0,128709,417771,136828,0,276475,4468,0,0,0,0
0x01fff4f6,754083,9693858,753676,0,0,8940182,0,0,0,0,92077,1173121,92036,0,0,1081085,0,0,0,0
0x01fff4f4,754083,9226556,752044,0,0,8474512,0,0,0,0,92074,1124643,91796,0,0,1032847,0,0,0,0
0x01fff4f2,754085,9072344,741470,0,0,8330874,0,0,0,0,92074,1108384,90794,0,0,1017590,0,0,0,0
0x02006fd0,49152,156924,-43802,156967,0,43759,0,0,0,0,49152,156924,-43802,156967,0,43759,0,0,0,0
0x01fff4f0,754077,7172844,129565,0,0,7043279,0,0,0,0,92072,875005,18294,0,0,856711,0,0,0,0
0x02065d92,159963,479889,159963,319926,0,0,0,0,0,0,128708,386124,128708,257416,0,0,0,0,0,0
0x01fff596,599384,2206347,1620874,0,0,530177,55296,0,0,0,87481,430033,276066,0,0,98671,55296,0,0,0
0x02065d90,159964,382979,2,159964,0,0,0,0,223013,0,128709,303154,2,128709,0,0,0,0,174443,0
0x02006fc4,49152,98327,0,98327,0,0,0,0,0,0,49152,98327,0,98327,0,0,0,0,0,0
0x02006fd6,49152,98112,49152,48960,0,0,0,0,0,0,49152,98112,49152,48960,0,0,0,0,0,0
0x01fffb74,40000,3027726,-119574,0,3009316,137984,0,0,0,0,20080,1498043,-59886,0,1488385,69544,0,0,0,0
