region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2836163,6722754,2.370,0,514419,1821468,1830896,1191916,824452,298024,16470,0,225115,514413,0,0
605,865153,4482818,5.182,0,792403,526081,1023059,850022,160871,76663,16470,0,123115,1706537,0,0
1474,1045091,4482586,4.289,0,550447,664458,1177915,924895,186568,80977,17926,0,129342,1300505,0,0
1413,1184351,4482516,3.785,0,697823,675646,1322337,897983,171368,77693,17370,0,153933,1166186,0,0
1202,1467163,4482232,3.055,0,452713,617429,1578467,1018109,186200,74421,16470,0,211710,779426,0,0
1172,1070853,4482204,4.186,0,356035,616853,1237719,893148,175040,78217,16502,0,142856,1321869,0,0
1103,1137011,4482056,3.942,0,899273,612068,1240818,829438,142764,78343,16470,0,149003,1413152,0,0
1193,1498824,4481922,2.990,0,151105,654195,1686983,1128106,178653,75815,16502,0,216604,525064,0,0
911,1681531,4481546,2.665,0,46813,470065,1887242,978554,168061,67005,38680,0,219472,652467,0,0
1441,1271690,4481318,3.524,0,1064115,605221,1401405,915092,170690,80813,17626,0,180991,1109480,0,0
1440,1155980,4481290,3.877,0,1009479,588616,1321646,904391,157450,81356,17634,0,167948,1242249,0,0
718,947268,3362894,3.550,0,839959,700208,892591,627183,101926,82692,16470,0,101871,839953,0,0
1033,749973,3362656,4.484,0,955189,451665,865883,676734,123053,73518,16470,0,109492,1045841,0,0
658,873716,3362598,3.849,0,660933,534542,1022317,697045,134938,82361,16470,0,119018,755907,0,0
458,808975,3362588,4.157,0,848707,506447,892833,664719,142137,87019,16470,0,113260,939703,0,0
148,801039,3362552,4.198,0,1067881,556903,845648,601135,97978,77126,16470,0,99417,1067875,0,0
418,766681,3362432,4.386,0,1029477,513641,869455,636581,116737,77277,17790,0,101480,1029471,0,0
1408,701208,3362430,4.795,0,434271,461301,826376,597384,106143,75386,17218,0,94997,1183625,0,0
838,734101,3362416,4.580,0,1023395,471840,854564,619465,111515,75212,16470,0,97869,1115481,0,0
358,817702,3362386,4.112,0,806839,506112,952369,672919,128146,75241,17782,0,109515,900302,0,0
404,791386,3362298,4.249,0,770931,558903,830182,645110,124909,78036,17866,0,94989,1012303,0,0
708,778925,3362298,4.317,0,808335,517681,891186,683828,120853,77300,16470,0,105950,949030,0,0
1242,707247,3362258,4.754,0,1105355,450928,823142,593960,105006,75135,16470,0,94045,1203572,0,0
1258,740349,3362194,4.541,0,928873,487825,891714,646911,114846,75830,16470,0,103203,1025395,0,0
281,996961,3362116,3.372,0,426559,640318,1026609,729807,136532,80068,16554,0,116697,615531,0,0
1397,725555,3362090,4.634,0,1096961,450716,854155,647430,114184,73910,16986,0,107754,1096955,0,0
