frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1678080,333696,174016,4288,2688,1152,857024,95104,210112,190656,1487424,4288,960,851648,117568,1408,1920,222208,543616,768,1486272
440,1118080,329920,171456,4224,4736,1088,304192,95360,207104,187648,930432,4672,1024,298560,36480,1344,1856,138112,75072,832,929344
441,1678912,330880,173696,4288,2752,1024,1007744,128576,29952,10560,1668352,7360,1024,1002176,37120,1408,1856,787648,87232,640,1667328
442,1117824,332032,174656,4224,2688,960,342336,127104,133824,114496,1003328,7232,1024,336960,36608,1536,1984,135424,74752,704,1002368
443,1118272,332160,173632,4160,2688,960,352000,119168,133504,114368,1003904,7104,896,346560,46080,1216,1920,145344,74624,832,1002944
444,1118016,329856,174464,4160,2624,1024,349696,121088,135104,115904,1002112,6784,960,344320,45248,1216,1792,146176,74240,704,1001088
445,1118848,331840,173504,4352,2688,1088,348672,113600,143104,123392,995456,6848,960,343424,45824,1280,1920,144320,74048,768,994368
446,1117824,330560,172864,4224,2752,1024,344896,112896,148608,129024,988800,6912,960,339392,42304,1344,1920,139584,73856,704,987776
447,1118464,331392,172544,4288,2688,1024,304192,106176,196160,176704,941760,6912,1024,298816,960,1216,2048,97280,76736,768,940736
448,1678400,329472,172800,4352,2880,1024,745344,106240,316288,296512,1381888,7040,960,739712,2688,1408,1792,539712,76416,704,1380864
449,1118144,328512,171712,4288,2752,1024,351488,105728,152640,133248,984896,6656,960,345984,48384,1344,1920,144704,78080,640,983872
450,1678464,332416,174720,4352,2560,1024,887168,118272,157952,138240,1540224,7040,960,881728,22016,1472,1792,657344,97024,640,1539200
451,1678784,329856,173760,4352,128640,417600,305216,116672,202688,182400,1496384,6592,1088,299712,896,1344,1856,90624,84608,704,1078784
452,1118016,329408,172736,4224,2816,1024,304448,117120,186240,166592,951424,6848,896,299008,896,1344,1856,91264,82944,768,950400
453,2798336,328576,171968,4224,2688,1152,2063680,117568,108480,89152,2709184,6848,1024,2058176,1536,1344,1856,1840128,90880,704,2708032
454,1118464,329728,172864,4288,2816,1088,334400,118464,154816,135296,983168,6912,1024,328896,24448,1344,1856,115520,88256,832,982080
455,1118080,331392,174272,4352,2752,1024,353536,110656,140096,120896,997184,6976,1024,348288,47616,1280,1984,140096,82880,704,996160
456,1118400,330880,172928,4224,2816,1088,347968,111360,147136,127424,990976,6784,960,342592,42496,1344,1920,135168,83584,768,989888
457,3919296,304384,172544,4416,2752,960,2774656,114560,545024,525312,3393984,6976,1024,2769024,32896,1472,1920,754432,1886144,768,3393024
458,1118144,305344,173696,4224,4992,960,355968,122752,150208,130496,987648,7104,1024,350464,43968,1472,1792,146304,72384,704,986688
459,1118144,306304,173824,4352,4032,1152,376640,121408,130432,110784,1007360,6912,896,371072,60096,1344,2048,168000,75328,704,1006208
