frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1678656,329664,173056,4416,2816,1088,551296,94976,521344,501824,1176832,4288,896,546048,116992,1280,1856,220800,239424,704,1175744
440,1117632,329536,173184,4288,4928,960,304896,96128,203712,184640,932992,4672,1024,299392,36480,1280,1984,137472,75200,704,932032
441,1678912,329408,171648,4288,2688,960,650944,128064,390912,371136,1307776,7296,1024,645440,36672,1408,1920,430784,86464,512,1306816
442,1118016,336064,173696,4288,2688,1024,342656,125760,131840,112448,1005568,7360,1024,337408,37760,1472,1920,135808,74432,768,1004544
443,1678528,329984,173056,4480,127296,960,351168,118592,572992,552960,1125568,7104,960,345536,45376,1472,1792,145280,73920,576,1124608
444,1118080,332224,173632,4224,2624,1024,349632,118528,136192,116800,1001280,7232,960,344384,45376,1216,1856,145408,73728,768,1000256
445,1679040,329344,172672,4352,2752,412224,348480,114048,295168,275136,1403904,6976,1024,343104,46080,1408,1856,145344,73216,576,991680
446,1117440,326080,174016,4224,2752,1024,345024,114112,150208,130816,986624,7040,896,339648,42624,1472,1920,140224,73408,832,985600
447,1118848,331136,173376,4288,2816,960,305344,105536,195392,175552,943296,6976,960,299904,1024,1280,1792,97152,76736,704,942336
448,1117952,329984,172416,4352,2560,1024,463872,105216,38528,19328,1098624,6784,1024,458304,2624,1536,1920,258624,75904,768,1097600
449,1118336,332608,174336,4352,2752,960,353664,105088,144576,125184,993152,6784,960,348224,48512,1216,2112,145152,78592,704,992192
450,1678592,329472,174400,4288,2560,1024,555264,117248,494336,474560,1204032,7104,960,549888,22080,1280,2048,324992,97600,640,1203008
451,1117952,328768,175168,4288,2880,1024,304000,116928,184896,165504,952448,6464,1024,298624,896,1472,1792,89920,83648,640,951424
452,1118272,329280,173248,4352,2880,1024,305344,117952,184192,164480,953792,6912,960,299840,1088,1536,1728,91520,83008,704,952768
453,2798528,327104,172544,4160,2752,1024,2055936,118144,116864,97920,2700608,6400,960,2050496,1600,1408,2048,1835776,89536,768,2699584
