soak match timer: canonical 1-minute match (harness default, no override)
soak: smash64ds-battle-playable-tickhud-hwtri.nds [build-c165-keepcache-bp1] slot 2, hashing the window every 10s for 0.5m; trip at 8 identical frames

verdict: NO-FREEZE
  note: this ROM does not define 33 counter(s); dropped gNdsParticleGeneratorStartCount, gNdsRendererTask36RendererRejectReason, gNdsRendererTask36PrepareRunRejectReason, gNdsR2StageKeyMissInvalid, gNdsR2StageKeyMissGeneration, gNdsR2StageKeyMissStamp, gNdsR2StageKeyMissConfig, gNdsR2StageKeyMissAssets, gNdsR2StageRejectCounts[1], gNdsR2StageRejectCounts[2], gNdsR2StageRejectCounts[3], gNdsR2StageRejectCounts[4], gNdsR2StageRejectCounts[5], gNdsR2StageRejectCounts[6], gNdsR2TexRejectCensusValid, gNdsR2TexRejectCensusFree, gNdsR2TexRejectCensusLive, gNdsR2TexRejectCensusPinned, gNdsR2TexRejectCensusThisFrame, gNdsR2TexRejectCensusEvictable, gNdsFtPublicProcUpdateCount, gNdsFtPublicPlayCommonCount, gNdsFtPublicLastCommonFGM, gNdsFtPublicCallStartCount, gNdsFtPublicLastCallFGM, gNdsR2CollisionOracleSamples, gNdsR2CollisionOracleSingular, gNdsR2CollisionOracleMaxDevQ12[0], gNdsR2CollisionOracleMaxDevQ12[1], gNdsR2CollisionOracleMaxDevQ12[2], gNdsR2CollisionOracleOverBoundCount, gNdsR2CollisionOracleScaleMinQ12, gNdsR2CollisionOracleScaleMaxQ12
progress over the run:
    sVBlankCount                             913
    gNdsBattlePlayablePacingPresentedFrames  0
    dSYTaskmanUpdateCount                    0
    gNdsVSResultsStartCount                  0
    gNdsVSResultsTickCount                   0
    gNdsSyMallocOverflowCount                0
    gNdsTaskmanArenaChosenSize               1564672
    gNdsTaskmanArenaAllocFailCount           17
    gSCManagerTransferBattleState.time_limit 1
    gNdsR2AnimCacheArenaUsedBytes            291664
    gNdsR2AnimCacheArenaOverflows            0
    gNdsR2AnimCacheFills                     2
    gNdsR2AnimCacheHits                      0
    gNdsR2AnimCacheRejects                   0
    gNdsBattlePackState                      0
    gNdsBattlePackClips                      0
    gNdsBattlePackBytes                      0
    gNdsBattlePackHits                       0
    gNdsBattlePackMisses                     2
    gNdsBattlePackLoadSteps                  0
    gNdsBattlePackResidentBytes              0
    gNdsBattlePackLoadFails                  0
    gNdsBattlePackDrops                      0
    gNdsR2AnimCacheArenaReserveCount         1
    gNdsR2AnimCacheArenaReserveFailCount     0
    gNdsR2AnimCacheArenaReservedBytes        550080
    gNdsR2AnimCacheArenaGenerationMismatches 0
    gNdsR2AnimCacheArenaRangeFaults          0
    gNdsR2AnimCacheArenaInvalidations        0
    gNdsR2AnimCacheArenaOverflowLastSize     0
    gNdsR2AnimCacheArenaOverflowLastUsed     0
    gNdsSCVSBattleRebudgetCount              1
    gNdsSCVSBattleRebudgetGraphicsBytes      53248
    gNdsParticleQuadAlphaBreaks              0
    gNdsVSResultsTransitionTicks             0
    gNdsVSResultsFuncStartTicks              0
    gNdsVSResultsSetupFilesTicks             0
    gNdsVSResultsSetupFilesCalls             0
    gNdsVSResultsToWallpaperTicks            0
    gNdsVSResultsToResultsTicks              0
    gNdsVSResultsRematchCount                0
    gNdsVSResultsInputPollCount              0
    gNdsVSResultsPadMask                     0
    gNdsVSResultsInputSeenMask               0
    gNdsVSResultsInputTapMask                0
    gNdsControllerReadCount                  0
    gNdsControllerReadEdgeCount              0
    gNdsControllerPublishCount               6
    gNdsControllerPublishSuppressedCount     0
    gNdsControllerPublishTapNonzeroCount     0
    gNdsControllerEdgeSeenMask               0
    gNdsControllerPublishedTapMask           0
    gNdsRendererBattleStaticTexturePrepareCount 0
    gNdsRendererBattleStaticTextureViolationCount 0
    gNdsSCVSBattleSuddenDeathPrepareCount    0
    gNdsRendererSceneTextureVramResetCount   0
    gNdsSCVSBattlePlacementInitCount         0
    sIFCommonBattlePlace                     0
    gNdsRelocSceneReentryEvictCount          1
    gNdsIFCommonNativeOamTextureDiscardCount 0
    gNdsR2StagePrepareReuseCount             0
    gNdsR2StagePrepareBuildCount             0
    gNdsR2StagePreflightElideCount           0
    sGCCommonsMaxNum                         4294967295
    sGCCommonsActiveNum                      41
    gNdsParticleBankLoadResult               1
    gNdsParticleBankScriptsUnpacked          26
    gNdsParticleBankScriptsRejected          0
    gNdsParticleScriptStartCount             0
    gNdsParticleRejectCount                  0
    gNdsParticleDrawSeamCount                0
    gNdsParticleStructsLive                  0
    gNdsParticleStructsMax                   0
    gNdsParticleGeneratorsLive               0
    gNdsParticleGeneratorsMax                0
    gNdsParticleTransformsMax                0
    gNdsParticleRootSpawnCount               0
    gNdsParticleTextureUseMask[0]            0
    gNdsParticleTextureUseMask[1]            0
    gNdsParticleDrawVisibleCount             0
    gNdsParticleDrawVisibleMax               0
    gNdsParticleQuadEmitCount                0
    gNdsParticleQuadEmitMax                  0
    gNdsParticleQuadMissCount                0
    gNdsParticleQuadMissMask[0]              0
    gNdsParticleQuadMissMask[1]              0
    gNdsParticleQuadMissFrameMask            0
    gNdsParticleQuadStrideCount              0
    gNdsParticleBankEFCommonID               1
    gNdsParticleInitAllCount                 1
    gNdsParticleBankRegisterCount            2
    gNdsRendererParticleAtlasPrepareCount    0
    gNdsRendererParticleAtlasFailCount       0
    gNdsRendererParticleAtlasBytes           0
    gNdsParticleRejectRingCount              0
    gNdsParticleRejectRingScripts[0]         0
    gNdsParticleRejectRingBanks[0]           0
    gNdsParticleRejectRingReasons[0]         0
    gNdsParticleRejectRingCounts[0]          0
    gNdsParticleRejectRingScripts[1]         0
    gNdsParticleRejectRingBanks[1]           0
    gNdsParticleRejectRingReasons[1]         0
    gNdsParticleRejectRingCounts[1]          0
    gNdsParticleRejectRingScripts[2]         0
    gNdsParticleRejectRingBanks[2]           0
    gNdsParticleRejectRingReasons[2]         0
    gNdsParticleRejectRingCounts[2]          0
    gNdsParticleRejectRingScripts[3]         0
    gNdsParticleRejectRingBanks[3]           0
    gNdsParticleRejectRingReasons[3]         0
    gNdsParticleRejectRingCounts[3]          0
    gNdsParticleRejectRingScripts[4]         0
    gNdsParticleRejectRingBanks[4]           0
    gNdsParticleRejectRingReasons[4]         0
    gNdsParticleRejectRingCounts[4]          0
    gNdsParticleRejectRingScripts[5]         0
    gNdsParticleRejectRingBanks[5]           0
    gNdsParticleRejectRingReasons[5]         0
    gNdsParticleRejectRingCounts[5]          0
    gNdsParticleBankPupupuID                 0
    gNdsParticlePupupuScriptsPacked          5
    gNdsRendererTask36ReplayArenaStaleCount  0
    gNdsRendererProfileTextureRejectReasonMask 0
    gNdsFighterProjectileProofSpawnCallCount 0
    gNdsFighterProjectileProofSpawnSuccessCount 0
    gNdsFighterProjectileProofWeaponCountMax 0
    gNdsFighterProjectileProofSpawnFailGObjCount 0
    gNdsFighterProjectileProofSpawnFailPoolCount 0
    gNdsFighterProjectileProofSpawnFailGObjMax 0
    gNdsFighterProjectileProofSpawnFailGObjActive 0
    gNdsFighterProjectileProofSpawnFailHeapFree 0
    gNdsWeaponStructBytes                    704
    gNdsWeaponPoolEntries                    3
    gNdsTaskmanGeneralHeapFreeMin            4294967295
    gNdsGCDrawsActiveMax                     0
    gNdsEffectPoolDepth                      12
    gNdsEffectPoolFreeMin                    4294967295
    gNdsEFDescResolveCount                   42
    gNdsEFDescDisabledCount                  1
    gNdsEFDescUnknownFileCount               1
    gNdsEFDescEffectsSpan[0]                 52736
    gNdsEFDescEffectsSpan[1]                 28352
    gNdsEFDescEffectsSpan[2]                 13616
    gNdsKOBurstAttemptCount                  0
    gNdsKOBurstCompleteCount                 0
    gNdsKOBurstDropMask                      0
    gNdsStarKOSparkleCount                   0
    gNdsStarKOSparkleLastX                   0
    gNdsStarKOSparkleLastY                   0
    gNdsStarKOSparkleLastZ                   0
    gNdsAudioFgmPrematureRetireCount         0
    gNdsAudioFgmPrematureRetireLastID        0
    gNdsAudioFgmPoolExhaustCount             0
    gNdsAudioFgmGenerationMismatchCount      0
    sGCDrawsActiveNum                        119
    gNdsFtPublicActorMakeCount               1
    gNdsFtPublicCommonCheckCount             0
    gNdsAudioFgmLoaded                       1
    gNdsAudioFgmResult                       1179077937
    gNdsAudioFgmOpenFailCount                0
    gNdsAudioFgmReadFailCount                0
    gNdsAudioFgmFormatFailCount              0
    gNdsAudioFgmResidentBytes                207632
    gNdsAudioFgmIncludedLookupFailCount      0
    gNdsAudioFgmSupportedCount               88
    gNdsAudioFgmPlayCalls                    0
    gNdsAudioFgmSupportedPlayCount           0
    gNdsAudioFgmUnsupportedCallCount         0
    gNdsAudioFgmPlayFailCount                0
    gNdsAudioFgmMaxActiveHandles             0
    gNdsAudioFgmPoolExhaustCount             0
    gNdsAudioFgmDurationStopCount            0
    gNdsAudioFgmPrematureRetireCount         0
    gNdsAudioFgmPrematureRetireLastID        0
    gNdsRelocHeapDeclineCount                0
    gNdsObjmanPanicCount                     0
    gNdsObjmanPanicMask                      0
    gNdsObjAnimRunawayCount                  0
    gNdsObjAnimRunawayMask                   0
    gNdsObjAnimRunawayScript                 0
    gNdsObjAnimRunawayOpcode                 0
    gNdsRelocResolveOffsetCount              0
    gNdsRelocResolveMisalignCount            0
    gNdsRelocResolveMisalignValue            0
    gNdsAudioFgmReleaseRampCount             0
    gNdsAudioFgmGenerationMismatchCount      0
    gNdsAudioFgmStaleStopCount               0
    gNdsAudioFgmStopAllCalls                 0
