soak match timer: canonical 1-minute match (harness default, no override)
soak: smash64ds-battle-playable-tickhud-hwtri.nds [build-c165-keepcache-bp1] slot 2, hashing the window every 10s for 2.5m; trip at 8 identical frames
  t+   60s  alive, 6 distinct frames so far
  t+  120s  alive, 12 distinct frames so far

verdict: NO-FREEZE
  note: this ROM does not define 33 counter(s); dropped gNdsParticleGeneratorStartCount, gNdsRendererTask36RendererRejectReason, gNdsRendererTask36PrepareRunRejectReason, gNdsR2StageKeyMissInvalid, gNdsR2StageKeyMissGeneration, gNdsR2StageKeyMissStamp, gNdsR2StageKeyMissConfig, gNdsR2StageKeyMissAssets, gNdsR2StageRejectCounts[1], gNdsR2StageRejectCounts[2], gNdsR2StageRejectCounts[3], gNdsR2StageRejectCounts[4], gNdsR2StageRejectCounts[5], gNdsR2StageRejectCounts[6], gNdsR2TexRejectCensusValid, gNdsR2TexRejectCensusFree, gNdsR2TexRejectCensusLive, gNdsR2TexRejectCensusPinned, gNdsR2TexRejectCensusThisFrame, gNdsR2TexRejectCensusEvictable, gNdsFtPublicProcUpdateCount, gNdsFtPublicPlayCommonCount, gNdsFtPublicLastCommonFGM, gNdsFtPublicCallStartCount, gNdsFtPublicLastCallFGM, gNdsR2CollisionOracleSamples, gNdsR2CollisionOracleSingular, gNdsR2CollisionOracleMaxDevQ12[0], gNdsR2CollisionOracleMaxDevQ12[1], gNdsR2CollisionOracleMaxDevQ12[2], gNdsR2CollisionOracleOverBoundCount, gNdsR2CollisionOracleScaleMinQ12, gNdsR2CollisionOracleScaleMaxQ12
progress over the run:
    sVBlankCount                             11813
    gNdsBattlePlayablePacingPresentedFrames  2043
    dSYTaskmanUpdateCount                    2932
    gNdsVSResultsStartCount                  1
    gNdsVSResultsTickCount                   2932
    gNdsSyMallocOverflowCount                0
    gNdsTaskmanArenaChosenSize               1548288
    gNdsTaskmanArenaAllocFailCount           0
    gSCManagerTransferBattleState.time_limit 1
    gNdsR2AnimCacheArenaUsedBytes            291664
    gNdsR2AnimCacheArenaOverflows            0
    gNdsR2AnimCacheFills                     11
    gNdsR2AnimCacheHits                      149
    gNdsR2AnimCacheRejects                   0
    gNdsBattlePackState                      0
    gNdsBattlePackClips                      0
    gNdsBattlePackBytes                      0
    gNdsBattlePackHits                       197
    gNdsBattlePackMisses                     160
    gNdsBattlePackLoadSteps                  18
    gNdsBattlePackResidentBytes              0
    gNdsBattlePackLoadFails                  0
    gNdsBattlePackDrops                      1
    gNdsR2AnimCacheArenaReserveCount         2
    gNdsR2AnimCacheArenaReserveFailCount     0
    gNdsR2AnimCacheArenaReservedBytes        451776
    gNdsR2AnimCacheArenaGenerationMismatches 1
    gNdsR2AnimCacheArenaRangeFaults          0
    gNdsR2AnimCacheArenaInvalidations        1
    gNdsR2AnimCacheArenaOverflowLastSize     0
    gNdsR2AnimCacheArenaOverflowLastUsed     0
    gNdsSCVSBattleRebudgetCount              1
    gNdsSCVSBattleRebudgetGraphicsBytes      53248
    gNdsParticleQuadAlphaBreaks              3183
    gNdsVSResultsTransitionTicks             26326144
    gNdsVSResultsFuncStartTicks              23888064
    gNdsVSResultsSetupFilesTicks             12001344
    gNdsVSResultsSetupFilesCalls             2
    gNdsVSResultsToWallpaperTicks            44259712
    gNdsVSResultsToResultsTicks              70966336
    gNdsVSResultsRematchCount                0
    gNdsVSResultsInputPollCount              2932
    gNdsVSResultsPadMask                     0
    gNdsVSResultsInputSeenMask               0
    gNdsVSResultsInputTapMask                0
    gNdsControllerReadCount                  0
    gNdsControllerReadEdgeCount              0
    gNdsControllerPublishCount               0
    gNdsControllerPublishSuppressedCount     2931
    gNdsControllerPublishTapNonzeroCount     0
    gNdsControllerEdgeSeenMask               0
    gNdsControllerPublishedTapMask           0
    gNdsRendererBattleStaticTexturePrepareCount 1
    gNdsRendererBattleStaticTextureViolationCount 0
    gNdsSCVSBattleSuddenDeathPrepareCount    0
    gNdsRendererSceneTextureVramResetCount   1
    gNdsSCVSBattlePlacementInitCount         1
    sIFCommonBattlePlace                     1
    gNdsRelocSceneReentryEvictCount          1
    gNdsIFCommonNativeOamTextureDiscardCount 1
    gNdsR2StagePrepareReuseCount             2041
    gNdsR2StagePrepareBuildCount             2
    gNdsR2StagePreflightElideCount           10205
    sGCCommonsMaxNum                         4294967295
    sGCCommonsActiveNum                      40
    gNdsParticleBankLoadResult               1
    gNdsParticleBankScriptsUnpacked          26
    gNdsParticleBankScriptsRejected          0
    gNdsParticleScriptStartCount             198
    gNdsParticleRejectCount                  0
    gNdsParticleDrawSeamCount                16966
    gNdsParticleStructsLive                  37
    gNdsParticleStructsMax                   40
    gNdsParticleGeneratorsLive               8
    gNdsParticleGeneratorsMax                8
    gNdsParticleTransformsMax                2
    gNdsParticleRootSpawnCount               295
    gNdsParticleTextureUseMask[0]            458226695
    gNdsParticleTextureUseMask[1]            8742
    gNdsParticleDrawVisibleCount             106586
    gNdsParticleDrawVisibleMax               25
    gNdsParticleQuadEmitCount                106520
    gNdsParticleQuadEmitMax                  25
    gNdsParticleQuadMissCount                29
    gNdsParticleQuadMissMask[0]              268435456
    gNdsParticleQuadMissMask[1]              0
    gNdsParticleQuadMissFrameMask            350895
    gNdsParticleQuadStrideCount              3688
    gNdsParticleBankEFCommonID               0
    gNdsParticleInitAllCount                 2
    gNdsParticleBankRegisterCount            3
    gNdsRendererParticleAtlasPrepareCount    1
    gNdsRendererParticleAtlasFailCount       0
    gNdsRendererParticleAtlasBytes           33024
    gNdsParticleRejectRingCount              0
    gNdsParticleRejectRingScripts[0]         0
    gNdsParticleRejectRingBanks[0]           0
    gNdsParticleRejectRingReasons[0]         0
    gNdsParticleRejectRingCounts[0]          0
    gNdsParticleRejectRingScripts[1]         0
    gNdsParticleRejectRingBanks[1]           0
    gNdsParticleRejectRingReasons[1]         0
    gNdsParticleRejectRingCounts[1]          0
    gNdsParticleRejectRingScripts[2]         0
    gNdsParticleRejectRingBanks[2]           0
    gNdsParticleRejectRingReasons[2]         0
    gNdsParticleRejectRingCounts[2]          0
    gNdsParticleRejectRingScripts[3]         0
    gNdsParticleRejectRingBanks[3]           0
    gNdsParticleRejectRingReasons[3]         0
    gNdsParticleRejectRingCounts[3]          0
    gNdsParticleRejectRingScripts[4]         0
    gNdsParticleRejectRingBanks[4]           0
    gNdsParticleRejectRingReasons[4]         0
    gNdsParticleRejectRingCounts[4]          0
    gNdsParticleRejectRingScripts[5]         0
    gNdsParticleRejectRingBanks[5]           0
    gNdsParticleRejectRingReasons[5]         0
    gNdsParticleRejectRingCounts[5]          0
    gNdsParticleBankPupupuID                 0
    gNdsParticlePupupuScriptsPacked          5
    gNdsRendererTask36ReplayArenaStaleCount  2043
    gNdsRendererProfileTextureRejectReasonMask 0
    gNdsFighterProjectileProofSpawnCallCount 7
    gNdsFighterProjectileProofSpawnSuccessCount 7
    gNdsFighterProjectileProofWeaponCountMax 1
    gNdsFighterProjectileProofSpawnFailGObjCount 0
    gNdsFighterProjectileProofSpawnFailPoolCount 0
    gNdsFighterProjectileProofSpawnFailGObjMax 0
    gNdsFighterProjectileProofSpawnFailGObjActive 0
    gNdsFighterProjectileProofSpawnFailHeapFree 0
    gNdsWeaponStructBytes                    704
    gNdsWeaponPoolEntries                    3
    gNdsTaskmanGeneralHeapFreeMin            52864
    gNdsGCDrawsActiveMax                     128
    gNdsEffectPoolDepth                      12
    gNdsEffectPoolFreeMin                    5
    gNdsEFDescResolveCount                   44
    gNdsEFDescDisabledCount                  1
    gNdsEFDescUnknownFileCount               3
    gNdsEFDescEffectsSpan[0]                 52736
    gNdsEFDescEffectsSpan[1]                 28352
    gNdsEFDescEffectsSpan[2]                 13616
    gNdsKOBurstAttemptCount                  2
    gNdsKOBurstCompleteCount                 2
    gNdsKOBurstDropMask                      0
    gNdsStarKOSparkleCount                   0
    gNdsStarKOSparkleLastX                   0
    gNdsStarKOSparkleLastY                   0
    gNdsStarKOSparkleLastZ                   0
    gNdsAudioFgmPrematureRetireCount         0
    gNdsAudioFgmPrematureRetireLastID        0
    gNdsAudioFgmPoolExhaustCount             0
    gNdsAudioFgmGenerationMismatchCount      0
    sGCDrawsActiveNum                        54
    gNdsFtPublicActorMakeCount               1
    gNdsFtPublicCommonCheckCount             23
    gNdsAudioFgmLoaded                       1
    gNdsAudioFgmResult                       1179077937
    gNdsAudioFgmOpenFailCount                0
    gNdsAudioFgmReadFailCount                1
    gNdsAudioFgmFormatFailCount              0
    gNdsAudioFgmResidentBytes                207632
    gNdsAudioFgmIncludedLookupFailCount      0
    gNdsAudioFgmSupportedCount               88
    gNdsAudioFgmPlayCalls                    187
    gNdsAudioFgmSupportedPlayCount           185
    gNdsAudioFgmUnsupportedCallCount         1
    gNdsAudioFgmPlayFailCount                1
    gNdsAudioFgmMaxActiveHandles             5
    gNdsAudioFgmPoolExhaustCount             0
    gNdsAudioFgmDurationStopCount            173
    gNdsAudioFgmPrematureRetireCount         0
    gNdsAudioFgmPrematureRetireLastID        0
    gNdsRelocHeapDeclineCount                0
    gNdsObjmanPanicCount                     0
    gNdsObjmanPanicMask                      0
    gNdsObjAnimRunawayCount                  0
    gNdsObjAnimRunawayMask                   0
    gNdsObjAnimRunawayScript                 0
    gNdsObjAnimRunawayOpcode                 0
    gNdsRelocResolveOffsetCount              3629
    gNdsRelocResolveMisalignCount            0
    gNdsRelocResolveMisalignValue            0
    gNdsAudioFgmReleaseRampCount             458
