frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
440,1117760,329728,172416,4096,4928,1024,306560,94080,204928,185536,932224,4800,1088,300928,37184,1280,2048,137600,76736,640,931200
441,1678720,328192,174464,4160,2624,1088,652544,128704,386944,367296,1311424,7424,1088,647040,37440,1408,1920,431680,87552,768,1310336
442,1678528,329408,176960,4160,2688,419136,344064,126976,275136,255360,1423168,7296,1088,338368,37120,1536,2048,135616,76224,704,1004032
443,1117632,331072,175552,4096,2624,960,353152,119808,130368,111040,1006592,7232,1024,347520,44928,1536,2176,145344,75456,768,1005632
444,1118528,331264,174912,4032,2560,1024,351552,120960,132224,112832,1005696,6976,1024,346112,45440,1472,2304,144960,75264,576,1004672
445,1118528,332416,173312,4160,2624,1024,349312,113280,142400,122752,995776,6720,1024,343872,44992,1408,2048,144128,75008,704,994752
446,1118016,330624,173120,4096,2688,1088,343936,114112,148352,128960,989056,6976,1152,338560,42624,1344,2112,138880,74560,704,987968
447,1118656,332544,173568,4160,2688,1088,306240,104704,193664,173568,945088,6912,1088,300416,960,1344,2048,97984,78080,704,944000
448,1118016,329664,174528,4224,2624,1088,461440,104000,40448,20992,1097024,6656,1024,455808,2496,1536,1984,254912,77440,640,1095936
449,1118272,330496,174208,4160,2624,1088,352448,105280,147968,128192,990080,6720,1088,346944,48768,1280,2112,144896,78848,576,988992
450,1678592,329728,173248,4224,2688,1024,586368,117568,463744,443904,1234688,6592,960,580864,22272,1408,2048,355520,98432,576,1233664
451,1118272,329984,174080,4224,2752,1152,305792,115968,184320,164224,954048,6720,1088,300224,1088,1280,1984,90496,85248,640,952896
452,1118144,330176,173056,4160,2752,1024,304000,117440,185536,165888,952256,6720,1088,298432,1088,1280,2048,90176,83072,768,951232
453,1678336,328640,174656,4096,2752,1152,739776,117952,309312,289600,1388736,6720,1024,734208,1664,1472,2240,516992,90496,768,1387584
454,1118464,332032,175296,4096,2752,1152,336960,118528,147648,128064,990400,6976,1024,331264,24832,1536,1920,115392,89792,704,989248
455,1118336,334144,172992,4224,2752,1152,355904,110592,136576,116864,1001472,7232,1152,350400,47552,1408,2176,140672,83072,768,1000320
456,1678400,331392,173568,4224,128960,420672,347072,110720,161792,141760,1536640,6720,1088,341632,41792,1472,2048,133440,83840,704,1115968
457,1678592,307264,173696,4096,2752,1088,601088,115904,472704,452416,1226176,6848,960,595456,32896,1472,2304,246016,221312,704,1225088
458,1118016,306496,174464,4096,4992,1024,355840,122560,148544,128512,989504,6656,1024,350400,43648,1408,2240,146240,72512,704,988480
459,1118208,305792,174656,4224,4928,1024,378304,121728,127552,107904,1010304,6912,1024,372672,60288,1472,1984,168384,76672,704,1009280
460,1118400,307584,174336,4032,2752,1088,382336,123264,123008,103296,1015104,7104,1088,376960,60352,1344,2048,172736,75904,640,1014016
461,1678336,305856,173120,4224,2816,1088,499200,122496,569536,549888,1128448,7936,1088,493888,61504,1408,2176,274624,89024,576,1127360
462,1118144,307008,173504,4160,2880,1024,401984,121984,105600,85696,1032448,9088,1088,396160,60480,1472,2176,177664,88256,768,1031424
463,1118400,304256,173888,4096,3008,1088,425152,120960,85952,66432,1051968,9856,1152,419712,60544,1472,1984,186624,100864,576,1050880
464,1118208,304576,174720,4224,3968,960,413760,113920,102080,82176,1036032,8384,1088,408192,60800,1344,2048,188800,88768,704,1035072
465,1118336,306432,173888,4096,5568,1088,477056,109632,40576,20928,1097408,8448,1152,471552,61760,1216,2240,254720,87232,576,1096320
466,1118208,302272,175360,4224,4992,1024,405568,110400,114368,94592,1023616,10240,1152,400064,61056,1536,1920,172544,98560,768,1022592
467,1118400,303104,174336,4160,4096,70848,391552,112896,57408,36736,1081664,8192,1088,386112,63360,1408,2112,170624,86080,704,1010816
468,1118272,304704,173184,4032,4992,1024,379904,110080,140352,120320,997952,8768,1024,374272,64448,1472,2176,159808,86912,576,996928
469,1118080,301952,174848,4160,4928,1024,406976,109568,114624,94848,1023232,9856,1088,401536,64768,1536,1920,174016,98624,640,1022208
470,1678720,303040,173440,4096,3968,422336,395008,110208,266624,246464,1432256,8064,1152,389568,64128,1408,2176,174080,87232,704,1009920
471,1118208,307136,173568,4032,5568,1024,388800,110080,128000,107904,1010304,8448,1024,382912,64064,1472,2176,166912,87104,512,1009280
472,1117888,304448,174528,4096,5120,1024,496448,80960,51264,31680,1086208,7744,1088,490880,72512,1216,2176,297856,99328,576,1085184
473,1118272,311552,174912,4160,5568,1088,346304,80896,193792,174208,944064,4416,1088,340608,70144,1344,2176,181760,75456,576,942976
474,1118272,304512,172480,4032,5504,1088,344896,80576,205184,185728,932544,4608,1024,339136,69888,1280,2112,183104,72256,576,931456
475,1118144,309824,177088,4032,5504,1088,345728,81664,193216,173504,944640,4672,1088,340224,68992,1280,2048,181888,74176,640,943552
476,1678784,303680,172992,4096,134208,1024,415616,82112,565056,545408,1133376,4544,1088,409664,70144,1088,1984,249408,76288,576,1132352
477,1118720,302848,172864,4096,4800,1024,523008,81472,28608,8128,1110592,4352,1024,517568,70208,1472,2112,356480,77568,640,1109568
478,1117760,301120,171968,4160,3456,1088,324352,81600,230016,210496,907264,4608,1088,318848,69312,1344,2048,157568,77504,704,906176
479,1118464,302592,172928,4096,1536,1024,330496,81152,224640,204864,913600,4480,1024,324928,72320,1216,2112,162944,78976,704,912576
480,1118080,303872,172416,4224,1536,1088,336512,81280,217152,197312,920768,4416,1088,330944,72320,1344,2112,169600,77824,704,919680
481,1118144,303488,173248,4160,1664,1088,348032,81408,205056,185472,932672,4672,1024,342528,72256,1280,2048,177216,81600,640,931584
482,1118080,302400,173952,4224,1600,1088,374784,81728,178304,158784,959296,4608,1088,369408,113664,1152,2048,208768,77504,640,958208
483,1678656,305088,174208,4160,1600,1152,566208,81536,544704,524608,1154048,4416,1088,560448,114880,1344,2112,396032,81216,640,1152896
484,1678272,300416,175232,4096,1408,419264,374400,81856,321600,301824,1376448,4544,1024,368576,110208,1280,2048,204928,79872,640,957184
485,1118272,303360,174144,4096,1600,960,382784,80384,170944,151360,966912,4544,1088,377408,107072,1408,2112,213824,79168,768,965952
486,1118208,300480,175040,4096,2112,1088,441152,94656,99584,79936,1038272,4544,1024,435712,34944,1280,2112,149184,202944,640,1037184
487,1118272,303232,174592,4096,4800,1024,290816,95616,244096,224576,893696,4864,1152,285120,35200,1408,2112,142336,56320,704,892672
488,1118208,303680,173888,4160,4800,1024,294144,94592,241920,222080,896128,4928,960,289024,35136,1472,1920,145152,56768,768,895104
489,1678272,304320,173504,4160,3264,1024,555392,94528,542080,522560,1155712,4672,1024,549760,115072,1344,1920,404864,57536,640,1154688
490,1118400,305088,172864,4224,1664,1088,440128,95360,97984,78464,1039936,4736,1152,434496,115136,1280,1984,289920,57920,512,1038848
491,1118272,304768,173312,4096,1536,1024,361984,95552,176000,156416,961856,4544,1024,356480,114688,1472,2048,213184,57024,576,960832
492,1118080,305216,172864,4224,1664,1088,362816,95232,174976,155840,962240,4608,1088,357248,114688,1344,2048,213120,57408,832,961152
493,1118272,304320,173312,4160,1472,1024,363072,96000,174912,155776,962496,4480,1024,357440,114304,1216,2048,214464,57344,704,961472
494,1118336,302592,171840,4224,1536,1088,362240,81536,193280,173632,944704,4544,1024,356864,111936,1280,2112,212928,57024,768,943616
495,1118528,304384,171840,4160,1536,960,364224,81088,190336,169856,948672,4928,1024,358784,114752,1408,1984,217408,57024,704,947712
496,1118016,304576,171968,4224,127808,1088,284544,82240,141568,121920,996096,4672,1024,279040,34752,1408,2112,134592,57152,768,995008
497,1118464,305024,172864,4160,1536,72064,279552,83200,200064,179840,938624,4672,1088,273984,34624,1408,1984,134336,56256,576,866560
498,1118016,302656,173312,4160,1600,1024,281024,81280,272960,253440,864576,4544,1152,275328,33728,1216,2112,135424,56448,576,863552
499,1678656,304512,172352,4096,1600,417920,282560,80576,415040,395072,1283584,4608,960,276864,34432,1344,2048,137280,56192,576,865664
500,1117952,303232,171968,4160,1664,960,281728,81152,273088,253760,864192,4800,1088,276352,34688,1344,1984,135680,57280,640,863232
501,1118208,302528,173248,4224,1536,960,281088,81152,273472,253760,864448,4800,1024,275392,34368,1408,2048,134528,56832,512,863488
502,1118336,306752,172352,4224,1536,1024,284992,81088,266368,246656,871680,4800,1152,279424,33984,1344,1984,138624,56384,640,870656
503,1118208,307712,172992,4224,1600,1088,282560,80704,267328,247616,870592,4608,1024,276928,34560,1216,2048,136640,57152,704,869504
504,1117888,304960,173312,4224,1536,896,279680,81984,271296,251776,866112,4672,1024,274368,34560,1280,2112,134400,56448,640,865216
505,1118592,306752,172160,4224,1536,1088,383040,82112,167680,147904,970688,4608,1024,377408,36544,1280,1984,237312,56512,704,969600
506,1118272,305280,172608,4224,1536,1024,463104,80704,89792,69824,1048448,4608,1024,457536,120576,1344,2176,303488,70464,640,1047424
507,1118208,304896,172480,4096,1600,1024,388096,81792,164224,144384,973824,4736,1024,382848,121024,1216,1984,219968,78336,704,972800
508,1118016,302080,172672,4160,1536,1088,391616,80512,164352,145088,972928,4672,1024,386048,121856,1344,2048,224064,78336,512,971840
509,1118784,306176,174592,4160,1472,1088,387200,81216,162880,143168,975616,4672,1088,381376,123008,1280,2112,220480,77760,704,974528
510,1118016,301824,172288,4224,1600,1088,384832,80768,171392,152000,966016,4352,1088,379392,127040,1216,2048,217280,79168,704,964928
511,1118272,302144,171392,4224,1600,1088,352064,81152,204608,185152,933120,4608,1024,346624,87872,1344,2048,183552,78464,576,932032
512,1118016,305280,172800,4288,1600,1088,358720,81856,192384,172928,945088,4864,1024,353152,86592,1408,2304,181888,87424,640,944000
513,1118464,304832,172352,4096,1664,1088,352640,81408,200384,180736,937728,4480,1152,347264,86592,1408,1984,185152,78592,640,936640
514,1678656,307904,175680,4160,1600,417152,348672,81792,341696,321664,1356992,4544,1088,343040,82688,1280,2112,176896,82560,768,939840
515,1117952,304384,172224,4224,1536,1088,262208,80640,291648,272128,845824,4672,960,256704,960,1280,2112,94592,78464,704,844736
516,1118080,303168,173824,4160,1664,1088,261184,82240,290752,271552,846528,4544,1024,255744,832,1472,2112,93504,78656,640,845440
517,1118464,302336,173312,4160,93632,1024,380736,95552,67712,47744,1070720,4416,1088,375040,1792,1536,2240,203520,83008,576,1069696
518,1118016,305408,171328,4224,1536,1088,327104,95424,211904,192832,925184,4672,1088,321408,40704,1472,2176,160000,76160,576,924096
519,1678400,305152,174848,4288,1600,1024,519936,96320,575232,555776,1122624,4544,1088,514560,81664,1344,2048,351040,77440,640,1121600
520,1118208,305344,173760,4160,1536,1024,371456,96896,164032,144576,973632,4608,1024,366016,96000,1280,2112,203776,76416,768,972608
521,1678464,302720,173760,4288,2752,1088,610688,108736,474432,454912,1223552,4608,1088,605056,832,1344,1856,317504,198656,704,1222464
522,1118144,303040,176320,4288,2752,960,268416,109056,253312,233600,884544,4672,1024,262912,832,1344,2048,95872,80000,640,883584
523,1118464,304256,173120,4160,2688,1088,274176,107584,251392,231872,886592,4480,960,268736,1024,1344,1984,99648,81536,640,885504
524,1678848,299072,175232,4160,2880,1024,513920,143744,538816,518784,1160064,84864,1088,508480,1472,1152,2112,200064,134464,704,1159040
525,1117824,304064,174400,4160,2816,1024,449728,129600,52032,32192,1085632,167296,1024,444288,1472,1472,2176,102016,79168,704,1084608
526,1118208,303808,173120,4160,2880,1024,335680,119936,177600,157824,960384,8000,1152,330368,49216,1472,2240,145344,82176,640,959360
527,1678848,302464,173760,4096,5056,481792,280768,123136,307776,287488,1391360,7616,1024,275392,1600,1408,2048,95616,78656,640,909568
528,1117952,302592,172800,4096,4096,1024,283456,120320,229568,210048,907904,7552,1024,278208,1536,1472,2176,96768,79104,704,906880
529,1118400,304896,174848,4160,2752,1088,303936,119552,207168,187584,930816,7424,1024,298176,24128,1344,2176,117632,79744,704,929728
530,1118272,301056,175104,4224,2880,1024,336000,133952,164032,144192,974080,7488,1088,330368,46656,1216,2048,144256,78528,512,973056
531,1118016,305024,174656,4224,2752,1024,327936,127232,175168,155840,962176,7744,1024,322432,45632,1344,2176,144320,76992,640,961152
532,1118464,303104,174848,4160,2560,1088,325056,125760,181888,162112,956352,7104,1088,319552,46144,1600,2176,143168,77056,704,955264
533,5312576,300224,175040,4224,3904,960,4520832,127232,180160,160256,5152320,7040,1024,4515264,46336,1408,2112,4339200,76224,640,5151360
534,1118272,304896,174272,4096,1472,1024,325120,126208,181184,161152,957120,7360,1024,319424,40832,1344,2112,143040,77952,704,956096
535,1118272,303424,174528,4160,1600,1088,329920,108032,195520,175680,942592,7488,1152,324416,48064,1280,2176,146176,78144,704,941504
536,1118080,304576,173184,4160,1664,1088,328448,94976,209984,190464,927616,7424,1152,322944,48960,1344,2176,146816,77504,512,926528
537,1118848,307520,173248,4096,1600,1088,332544,95232,203520,183680,935168,7232,1024,327104,49024,1408,2112,149120,80512,576,934080
538,1678464,303168,173440,4224,129024,421760,332928,94720,219200,198976,1479488,7232,1088,327680,49856,1344,2176,152512,78400,512,1057728
539,1117632,303232,173312,4032,1536,1088,461952,94400,78080,58560,1059072,7360,1088,456128,96384,1344,2176,280768,77760,704,1057984
540,1118400,304320,174208,4224,1664,1024,334784,95360,202816,183424,934976,7296,1088,329280,49216,1536,2048,150912,80960,576,933952
541,1118400,305600,174592,4224,1472,1024,401664,94592,135232,115328,1003072,7488,1088,396160,46016,1472,2112,220992,77440,640,1002048
542,1118272,303168,173440,4160,1600,1088,284288,94784,255744,235648,882624,7232,1088,278720,1152,1408,2240,96384,84480,640,881536
543,1678400,305600,172992,4160,1600,1088,773696,108416,310848,290944,1387456,7296,1024,768192,1728,1408,2240,587904,76352,640,1386368
544,1118144,304576,174272,4224,1536,1088,300800,107456,224192,204480,913664,7296,1088,295424,22912,1280,2240,123200,75328,768,912576
545,1678784,305344,173504,4288,2176,71552,460480,121280,540160,519424,1159360,57216,1024,454720,1024,1472,116928,103296,86656,640,1087808
546,1117824,307072,174336,4160,2752,1088,207808,123328,297280,277568,840256,10560,1024,202304,832,1344,2112,7872,66496,576,839168
547,1118016,306048,175872,4160,2688,1152,184256,122304,321536,302144,815872,10688,1024,178752,1536,1152,1984,8128,65920,704,814720
548,1118464,303488,173888,4160,2624,1024,338944,127744,166592,146560,971904,10432,1088,333120,42944,1408,1984,136320,92160,640,970880
549,1118336,301760,175168,4160,2752,1088,305216,128256,199936,180288,938048,10432,1088,299776,1408,1600,2240,101632,92352,768,936960
550,1678208,304064,175040,4096,2880,1024,487360,145792,557952,538368,1139840,7424,1088,481920,40384,1472,2240,142976,232512,704,1138816
551,1118464,306624,173632,4224,4864,1024,268032,135552,224512,204288,914176,7296,1024,262464,1728,1216,2112,100992,57152,768,913152
552,1679040,305344,175552,4224,3840,420928,301632,129280,338240,317504,1361536,7296,1088,296192,41024,1344,2112,136576,56768,704,940608
553,1117568,301888,175488,4160,2560,960,272320,138496,221696,201984,915584,7424,1088,266624,832,1408,2112,100992,58880,640,914624
554,1118336,306624,176512,4160,2816,1024,267840,128064,231296,211648,906688,7744,1152,262272,960,1280,2176,99200,57280,704,905664
555,1117888,306176,174080,4224,2816,1088,260032,126080,243392,224384,893504,7040,1152,254336,1664,1536,2112,98112,56512,704,892416
556,1118592,307456,173760,4160,2688,1024,257344,127296,244864,225024,893568,7680,1024,251584,1472,1536,2368,95104,56512,704,892544
557,1678656,307648,174784,4032,129600,71744,351296,131456,508096,487744,1190912,7296,1024,345984,89280,1472,2176,189376,56384,704,1119168
558,1118208,306496,175232,4096,2688,960,300864,128320,199552,179776,938432,7680,1024,295488,40000,1536,2048,138816,56768,704,937472
559,1118016,305408,172800,4288,2624,1088,258432,114496,258880,239232,878784,7232,1024,252864,960,1344,2112,97024,56000,704,877696
560,1118272,306560,173696,4160,2752,1024,263616,114496,251968,232128,886144,7488,1024,258112,960,1472,2368,102208,56320,704,885120
561,1118016,303936,176320,4096,2752,1088,261312,114112,254400,234752,883264,7168,1024,255808,1728,1408,2176,99968,56128,512,882176
562,1118592,303616,174144,4032,2560,1024,268800,113344,251072,231360,887232,7232,1088,262976,2176,1280,2240,100480,55936,704,886208
563,1118080,305792,174784,4160,2688,1024,355712,113024,160896,141312,976768,7296,1024,350080,85568,1280,2176,182784,56128,576,975744
564,1118528,305280,177792,4160,2624,1088,403392,107584,116608,96768,1021760,7232,1024,397952,108864,1472,2304,207168,56320,768,1020672
565,1117952,305152,181440,4224,2624,1024,326272,94720,202496,182912,935040,7040,1088,320512,40000,1408,2304,140544,55424,896,934016
566,1678656,303808,179584,4160,2752,415488,291008,95488,386368,366208,1312448,7296,1152,285440,1024,1472,2176,97984,56704,576,896960
567,1117824,304512,179200,4160,2816,1088,294976,94720,236352,216896,900928,7296,1024,289536,1600,1344,2304,99456,57408,640,899840
568,1118144,304704,180480,4096,2624,1088,292544,94912,237696,218432,899712,7360,1024,286848,1472,1408,2048,95424,57280,704,898624
569,1118592,307392,181696,4160,2624,1088,334272,94976,192384,172416,946176,7040,1152,328640,39808,1472,2240,136832,59520,704,945088
570,1678400,306816,180224,4160,2944,1024,680576,95168,407488,387904,1290496,7040,1152,674816,1280,1408,2048,483584,61056,640,1289472
571,1118336,306496,172928,4096,2880,1088,289152,95744,245952,226304,892032,7040,1024,283584,1408,1280,2176,104448,58048,768,890944
572,1678464,306240,176000,4288,2816,960,506048,113856,568256,548672,1129792,7488,1088,500416,24512,1280,2240,299392,76736,768,1128832
573,1118464,303232,175040,4160,4864,1088,416128,113216,100736,80512,1037952,7168,1088,410496,1664,1408,2112,215296,77888,576,1036864
574,1118208,305792,174656,4160,4032,1088,305536,113920,209024,189440,928768,7168,1088,299776,1408,1472,2176,97280,85504,768,927680
575,1118144,306432,180736,4160,2880,1024,375040,113472,134400,114688,1003456,7296,1088,369472,42688,1408,2240,142528,83072,704,1002432
576,1118336,308032,181632,4160,3968,1088,325504,113152,180800,160832,957504,7232,960,320000,896,1408,2112,112384,78464,640,956416
577,1678208,299776,181952,4096,129856,1024,497792,121280,442432,422272,1255936,7424,1088,492352,1408,1344,2048,110784,240000,768,1254912
578,1118656,301248,179456,4160,5184,1088,310528,123904,193088,173568,945088,7232,1024,304832,1600,1408,2048,91200,71168,832,944000
579,1678464,301952,182208,4160,3840,416256,344640,125440,299968,279296,1399168,7680,1088,339072,48896,1344,2368,136256,70336,768,982912
580,1118016,304512,179712,4160,2752,1088,299648,125632,200512,180864,937152,7232,1088,294208,896,1344,2112,90624,72256,704,936064
581,1118208,304064,180480,4224,2688,1024,284224,125888,215616,195840,922368,7360,1024,278592,960,1536,2240,91392,71360,704,921344
582,1118272,302464,176000,4160,2816,1088,278144,125888,227712,208128,910144,7168,1088,272512,960,1344,2304,97600,71808,768,909056
583,1678592,303296,174592,4160,2688,1088,697728,125632,369408,349184,1329408,7552,1088,692096,1280,1408,2112,519296,70208,704,1328320
584,1118208,306048,173632,4160,4864,1088,360640,125824,141952,122688,995520,7424,1024,355008,1472,1280,2112,181120,70464,640,994432
585,1118400,304896,173056,4160,4736,1152,442176,125312,62912,42624,1075776,7488,1024,436480,42944,1472,2176,263616,69376,576,1074624
586,1678336,299136,175808,4096,3840,1088,604800,139200,450368,430784,1247552,14144,1024,599168,42112,1344,2176,357248,130752,576,1246464
587,1678656,300032,174720,4224,2624,72000,429056,131840,564160,543872,1134784,15744,1024,423680,89728,1344,2112,192832,118080,640,1062784
588,1678144,295680,173760,4096,2752,1024,589312,131200,480320,460544,1217600,183040,1024,583936,45952,1280,2112,166848,137344,704,1216576
589,1678528,294976,174464,4160,2752,1088,837184,121728,242176,222528,1456000,349056,1088,831616,960,1472,2240,244544,139904,704,1454912
590,1678080,299008,175104,4032,2688,1088,533184,119936,543040,524032,1154048,199680,1024,527616,1600,1408,2304,109312,122560,768,1152960
591,1679232,296960,174080,4160,2624,413248,531584,121344,135232,114816,1564416,199040,1024,526208,1344,1408,2432,104704,126976,768,1151168
592,1677888,299904,174656,4096,2816,1024,573184,107456,514752,494976,1182912,197568,1088,567488,42624,1408,2304,146048,127104,640,1181888
593,1678336,298432,174976,4160,4864,1024,552000,107264,535616,515648,1162688,169728,1152,546496,42624,1408,2304,151744,131072,704,1161664
594,1118144,299904,175936,4224,132672,1024,363072,102208,39104,19392,1098752,7616,1152,357312,37504,1408,2112,139840,116736,832,1097728
595,1118400,300864,171968,4288,2624,960,346944,94016,196736,177024,941376,7616,1024,341312,30336,1216,1984,134784,116736,576,940416
596,1118272,300608,173120,4224,2688,1024,344448,93824,198336,178176,940096,7488,1088,338944,31040,1216,2048,133760,115968,704,939072
597,1118784,305600,172608,4224,2688,1024,345664,92672,194304,173952,944832,4416,1088,340288,54784,1216,2048,159808,94720,640,943808
598,1117632,305536,172096,4224,2688,1088,366336,93760,171904,151872,965760,4224,1024,360704,72128,1408,2048,180672,94080,704,964672
599,1118272,303616,172992,4160,2752,960,493312,101632,38848,18880,1099392,4800,1024,487872,71744,1408,2112,177792,223424,704,1098432
600,1118016,306880,174272,4160,5056,1088,356544,101888,168128,148544,969472,4544,1088,351040,73600,1280,2048,184384,79104,704,968384
601,1678592,305600,176256,4160,2880,1024,551936,267456,369280,349696,1328896,4544,1088,546432,63808,1344,2176,370560,86976,704,1327872
602,1118208,307392,177536,4096,2752,1088,427072,162752,35520,15936,1102272,4608,1088,421312,38912,1280,2048,248384,84480,512,1101184
603,1118080,306816,173824,4160,2880,1024,420288,161920,47168,27648,1090432,4672,1088,414848,38528,1280,2048,240448,87616,704,1089408
604,1118144,306240,174016,4032,5056,1088,417984,161728,48000,28352,1089792,4864,960,412416,38144,1408,1920,240768,85504,768,1088704
605,1678784,307584,174464,4096,3904,416896,484736,163392,123712,103680,1575104,4736,1024,479232,38208,1344,2048,304512,87872,576,1158208
606,1118144,306240,175424,4096,2752,960,399360,162432,66880,47040,1071104,4608,1024,393536,38592,1408,2048,222976,84352,640,1070144
607,1678720,303936,173504,4096,2752,1024,573952,163776,455680,435584,1243136,4480,1024,568320,55680,1408,1920,244352,237440,704,1242112
608,1117824,307328,174656,4096,4928,1088,346176,168960,110592,90944,1026880,4672,1088,340736,960,1472,2048,188544,62400,704,1025792
609,1118400,306816,173760,4160,3968,1024,432512,102208,93952,74240,1044160,4352,1024,427008,1152,1344,2176,279616,60224,704,1043136
610,1118528,304704,175040,4160,2624,1088,261056,102080,267776,248256,870272,4608,1024,255616,8960,1408,2240,111104,57408,704,869184
611,1117952,306880,172928,4160,3712,1024,253056,101952,274240,254912,863040,4544,1152,247424,1408,1280,2176,103424,57792,832,862016
612,1118464,306432,173376,4160,4800,1152,245184,101760,281600,262016,856448,4480,1088,239616,1600,1280,2432,95296,57664,704,855296
613,1118080,305792,173184,4160,3328,1024,287040,100416,243136,223360,894720,4864,1024,281600,38144,1408,2112,136832,57536,768,893696
614,1118336,304832,172352,4160,1664,1088,283840,101952,248448,228864,889472,4608,1024,278144,37120,1344,2368,133056,57920,640,888384
615,1678464,305664,173952,4096,128960,1024,481408,102080,481280,461504,1216960,4800,1088,476160,45056,1408,2048,332096,56768,640,1215936
616,1118272,304896,175360,4160,1600,1088,299840,102592,228736,209152,909120,4544,1088,294144,52160,1408,1920,151680,56000,704,908032
617,1118208,305920,173696,4160,1536,70976,294528,103808,163584,143552,974656,4800,1024,288704,44928,1408,2112,144000,57536,704,903680
618,1118016,305728,172864,4032,1600,1088,306368,100992,225344,205696,912320,4608,1024,300992,51648,1280,2112,158656,56640,576,911232
619,1678912,304512,175232,4224,1536,416576,307648,100672,368512,347904,1331008,4672,1088,302080,59072,1344,2112,158912,56704,576,914432
