frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
438,1678208,332416,173248,4224,2624,960,854208,93632,216896,197248,1480960,4416,1024,848768,115840,1152,1792,220352,543872,704,1480000
439,1117824,331648,172544,4096,4992,1088,304128,94208,205120,186048,931776,4032,1024,298624,35904,1216,1856,137280,75904,640,930688
440,1678784,333120,172928,4288,2752,1088,1006272,128128,30208,10176,1668608,7168,1024,1000896,36608,1280,1920,786624,87488,768,1667520
441,1117888,330624,172608,4096,2624,1024,343104,127424,136384,117312,1000576,7232,1024,337728,36032,1216,1856,137088,74816,768,999552
442,1118080,332416,174016,4096,2624,1024,352128,119936,131840,112448,1005632,6720,960,346752,45056,1280,1984,144768,76544,832,1004608
443,1118336,330624,173504,4096,2688,1088,350208,117952,138176,118656,999680,6592,960,344448,44480,1408,1728,144768,75328,704,998592
444,1118656,329216,172096,4288,2624,1088,349312,113472,146560,126464,992192,6528,960,343936,44672,1472,2048,143744,74112,768,991104
445,1678656,331712,173184,4160,2624,416960,345344,116224,288448,268352,1410304,6528,896,339904,41536,1344,1920,139456,75520,704,993344
446,1117952,333184,174144,4288,2688,1088,308032,103872,190656,170816,947136,6464,1024,302464,1024,1280,1856,98240,78400,704,946048
447,1678336,332160,171648,4288,2816,1152,744128,105216,316928,297152,1381184,6464,1024,738496,2624,1408,1856,538304,76800,704,1380032
448,1117760,330624,171264,4288,2624,1088,351872,105920,150080,130560,987200,6272,960,346368,48704,1408,1792,145088,78208,704,986112
449,1678848,327552,173440,4288,2688,1024,891520,116288,162048,142720,1536128,6528,1088,886080,21824,1344,1920,660800,97472,896,1535104
450,1118464,328768,173568,4352,2752,1024,306240,117504,184256,164096,954368,6848,1024,300864,960,1280,2048,89728,85952,640,953344
451,1118080,329472,173632,4352,2752,960,307328,117568,182016,162496,955584,6720,1024,301760,960,1280,1792,92672,83136,704,954624
452,1118208,329984,173056,4160,2816,1024,392000,117184,97984,78208,1040000,6976,960,386688,1600,1408,1664,169280,91392,704,1038976
453,1118272,329984,173120,4288,2624,1024,335744,118016,153472,134016,984256,6400,960,330304,24256,1216,1856,116096,89536,832,983232
454,1117952,329344,174080,4160,2880,1024,354560,110144,141760,122368,995584,6528,960,349056,47936,1344,1856,140416,83136,704,994560
455,1118016,332416,172864,4288,2752,1088,346688,111232,146688,127040,990976,6464,1024,341312,41472,1216,1920,133952,83776,576,989888
456,2239040,307712,173824,4224,131136,1024,1077696,114944,428480,408448,1830592,6976,1024,1072320,32832,1408,1984,757888,186944,768,1829568
457,1118080,305472,173184,4288,5184,1024,351936,122496,154496,134784,983296,6400,1024,346496,43520,1280,1920,145216,71488,704,982272
458,1678784,302144,173760,4160,5184,418496,376896,121856,276288,255936,1422848,6464,1024,371200,59456,1344,1920,168128,75840,704,1004352
459,1118016,307712,173440,4224,2816,1024,379392,123008,126400,106752,1011264,6528,1024,373952,59584,1408,1856,172416,74816,704,1010240
460,1678272,304192,174208,4224,2816,1088,500352,122624,568768,549056,1129216,8192,1024,494848,60928,1344,1856,276288,89152,576,1128128
461,1117952,308608,173120,4224,2880,1088,401600,122880,103552,83968,1033984,8064,896,396032,60416,1344,1856,178048,88128,640,1032896
462,1118464,305600,171328,4160,2816,1024,423616,121664,88256,68544,1049920,10176,896,418048,60288,1472,1984,186496,99712,640,1048896
463,1117888,302912,173952,4288,2816,1088,410176,115840,106816,87488,1030400,8256,960,404736,59712,1408,2048,186688,87168,640,1029312
464,1118400,307200,173056,4288,5888,1152,445504,109952,71360,51520,1066880,8448,1024,440000,60352,1280,2048,223552,87488,768,1065728
465,1118336,302528,171648,4288,5248,1024,404032,110720,118848,99200,1019136,9728,960,398464,61056,1216,1920,172160,97728,768,1018112
466,1118528,301632,174016,4288,4096,70336,390144,113088,60928,40640,1077888,8064,896,384448,62848,1280,1984,170496,86912,704,1007552
467,1117824,306240,173440,4160,5184,960,379456,110144,138240,118720,999104,8704,1024,373952,64384,1344,1920,159808,87040,704,998144
