pc,all_instructions,all_total_cycles,marg_instructions,marg_total_cycles
0x8,1,3,0,0
0x18,3002,9006,856,2568
0x1ff81e8,54298,54298,5320,5320
0x1ff81ec,54298,162894,5320,15960
0x1ff81f8,54298,54298,5320,5320
0x1ff81fc,54298,63921,5320,6064
0x1ff8200,49128,49128,4915,4915
0x1ff8204,49128,49128,4915,4915
0x1ff8208,49128,49128,4915,4915
0x1ff820c,49128,147384,4915,14745
0x1ff8250,49129,49131,4916,4918
0x1ff8254,49128,49128,4915,4915
0x1ff8258,49128,49128,4915,4915
0x1ff825c,49128,49128,4915,4915
0x1ff8260,49128,49128,4915,4915
0x1ff8264,49128,49128,4915,4915
0x1ff8268,49128,49128,4915,4915
0x1ff826c,49128,49128,4915,4915
0x1ff8270,49128,49128,4915,4915
0x1ff8274,49128,49128,4915,4915
0x1ff8278,49128,49128,4915,4915
0x1ff827c,49128,49128,4915,4915
0x1ff8280,49128,49128,4915,4915
0x1ff8284,49128,49128,4915,4915
0x1ff8288,49128,49128,4915,4915
0x1ff828c,49128,49128,4915,4915
0x1ff8290,49128,49128,4915,4915
0x1ff8294,49128,98256,4915,9830
0x1ff8298,49128,98256,4915,9830
0x1ff829c,49128,49128,4915,4915
0x1ff82a0,49128,49128,4915,4915
0x1ff82a4,49128,98256,4915,9830
0x1ff82a8,49128,49128,4915,4915
0x1ff82ac,49128,123548,4915,12377
0x1ff82cc,1088300,1088302,114174,114174
0x1ff82d0,1088302,1088308,114174,114174
0x1ff82d4,1088299,1088299,114174,114174
0x1ff82d8,1088300,1088302,114174,114174
0x1ff82dc,1088299,1088299,114174,114174
0x1ff82e0,1088301,1771967,114174,185528
0x1ff82e4,746468,746468,78497,78497
0x1ff82e8,746469,746471,78497,78497
0x1ff82ec,746468,746468,78497,78497
0x1ff82f0,746468,746468,78497,78497
0x1ff82f4,746469,1286879,78497,136211
0x1ff82f8,476264,476264,49640,49640
0x1ff82fc,476264,476264,49640,49640
0x1ff8300,476264,476264,49640,49640
0x1ff8304,476264,952528,49640,99280
0x1ff8308,476266,476270,49640,49640
0x1ff830c,476264,476264,49640,49640
0x1ff8310,476264,476264,49640,49640
0x1ff8314,476266,476270,49641,49643
0x1ff8318,476265,476267,49640,49640
0x1ff831c,476264,476264,49640,49640
0x1ff8320,476264,476264,49640,49640
0x1ff8324,476264,476264,49640,49640
0x1ff8328,476264,476264,49640,49640
0x1ff832c,476264,476264,49640,49640
0x1ff8330,476265,476267,49640,49640
0x1ff8334,476265,476267,49640,49640
0x1ff8338,476265,1186288,49640,123193
0x1ff833c,270204,270204,28857,28857
0x1ff8340,270205,270207,28858,28860
0x1ff8344,270204,270204,28857,28857
0x1ff8348,270204,270204,28857,28857
0x1ff834c,270204,270204,28857,28857
0x1ff8350,270204,270204,28857,28857
0x1ff8354,270204,270204,28857,28857
0x1ff8358,270204,270204,28857,28857
0x1ff835c,270204,689145,28857,73684
0x1ff83e0,341833,341837,35677,35677
0x1ff83e4,341831,341831,35677,35677
0x1ff83e8,341831,341831,35677,35677
0x1ff83ec,341831,341831,35677,35677
0x1ff83f0,341831,341831,35677,35677
0x1ff83f4,341832,341834,35677,35677
0x1ff83f8,341831,341831,35677,35677
0x1ff83fc,345737,345737,36121,36121
0x1ff8400,345737,345737,36121,36121
0x1ff8404,345737,854923,36121,89472
0x1ff8464,125594,125596,13653,13653
0x1ff8468,125593,125593,13653,13653
0x1ff846c,125593,125593,13653,13653
0x1ff8470,125593,125593,13653,13653
0x1ff8474,125593,125593,13653,13653
0x1ff8478,125593,133405,13653,14541
0x1ff847c,121687,121687,13209,13209
0x1ff8480,121687,121687,13209,13209
0x1ff8484,121687,121687,13209,13209
0x1ff8488,121687,121687,13209,13209
0x1ff848c,121687,132601,13209,14241
0x1ff8490,116230,116230,12693,12693
0x1ff8494,116230,116230,12693,12693
0x1ff8498,116230,116230,12693,12693
0x1ff849c,116230,116230,12693,12693
0x1ff84a0,116230,116230,12693,12693
0x1ff84a4,116230,116230,12693,12693
0x1ff84a8,116230,116230,12693,12693
0x1ff84ac,116230,116230,12693,12693
0x1ff84b0,688521,688523,75157,75157
0x1ff84b4,688520,688520,75157,75157
0x1ff84b8,688520,688520,75157,75157
0x1ff84bc,688521,688523,75157,75157
0x1ff84c0,688521,688523,75157,75157
0x1ff84c4,688520,688520,75157,75157
0x1ff84c8,688522,688526,75157,75157
0x1ff84cc,688520,688520,75157,75157
0x1ff84d0,688520,688520,75157,75157
0x1ff84d4,688521,688523,75157,75157
0x1ff84d8,688520,688520,75157,75157
0x1ff84dc,688520,688520,75157,75157
0x1ff84e0,688520,688520,75157,75157
0x1ff84e4,688521,688523,75158,75160
0x1ff84e8,688520,1833100,75157,200085
0x1ff84ec,116231,116233,12693,12693
