region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
131,7808938,13445472,1.722,0,975271
536,7527725,12325622,1.637,0,375569
628,7370808,12325280,1.672,0,445135
585,7196015,12324224,1.713,0,985935
610,7277604,12324180,1.693,0,835013
480,6603684,11204592,1.697,0,653723
410,6485625,11204172,1.728,0,589929
341,6275645,11203528,1.785,0,677173
176,5523992,10084414,1.826,0,1083457
364,5560343,10083704,1.814,0,1023837
347,5540225,10081826,1.820,0,1063347
210,5489108,8963608,1.633,0,67027
446,4176448,8963444,2.146,0,1108239
80,4933412,8963438,1.817,0,797863
605,4685829,8963392,1.913,0,191243
44,4934039,8963268,1.817,0,483601
38,4552487,7844834,1.723,0,192271
623,4584662,7843702,1.711,0,217975
374,3958260,7843472,1.982,0,1058679
461,4121270,7842972,1.903,0,855003
509,4249485,7842758,1.846,0,746185
50,4605134,7842662,1.703,0,104941
452,3976875,7842560,1.972,0,1051243
475,4091787,7842546,1.917,0,953573
622,3981246,7842160,1.970,0,1085887
555,4648982,7842082,1.687,0,241637
359,3783610,7840762,2.072,0,1078327
195,2994356,6723348,2.245,0,1009295
470,3532867,6723280,1.903,0,673427
393,3690964,6723062,1.821,0,218833
373,3697153,6723028,1.818,0,162739
551,3758713,6722962,1.789,0,373165
309,3567266,6722888,1.885,0,450351
170,3332167,6722790,2.018,0,687909
160,3200233,6722780,2.101,0,1019923
162,3380803,6722630,1.988,0,593645
384,3645159,6722588,1.844,0,422851
243,3187696,6722534,2.109,0,993045
242,3255845,6722466,2.065,0,1023549
212,3191097,6722432,2.107,0,735231
358,3155821,6722350,2.130,0,1049037
370,3633167,6722222,1.850,0,453181
324,3315135,6722110,2.028,0,746605
426,3234653,6722102,2.078,0,1072053
273,3172773,6721972,2.119,0,989439
420,3802770,6721904,1.768,0,44596
394,3925928,6721870,1.712,0,27927
18,3063572,6721866,2.194,0,1087051
313,3149291,6721848,2.134,0,1095903
229,3356534,6721624,2.003,0,795223
299,3276218,6721540,2.052,0,949691
269,3352623,6721454,2.005,0,576491
590,3862983,6721328,1.740,0,182655
268,3051069,5602620,1.836,0,117463
237,2830585,5602278,1.979,0,527609
26,2648985,5602216,2.115,0,659203
144,2910550,5602212,1.925,0,359013
133,3111244,5602192,1.801,0,19085
104,2838046,5602136,1.974,0,324681
102,2771798,5602048,2.021,0,592365
111,3087669,5601886,1.814,0,49595
82,3005586,5601884,1.864,0,45604
33,2963173,5601650,1.890,0,235519
14,2998911,5601564,1.868,0,221757
181,2990595,5601522,1.873,0,65687
247,3031874,5601412,1.848,0,223351
392,3159520,5601382,1.773,0,27517
219,3013223,5600774,1.859,0,274047
561,939504,4482266,4.771,0,996793
66,694099,3362840,4.845,0,1093193
281,1014609,3362148,3.314,0,365169
223,936720,3362122,3.589,0,798267
148,800566,3362092,4.200,0,1067169
418,768319,3362082,4.376,0,1004259
458,754359,3362064,4.457,0,1079647
455,769784,3361980,4.367,0,713235
353,1092610,3361840,3.077,0,406197
405,919876,3361820,3.655,0,954719
152,938451,3361808,3.582,0,1041501
276,777468,3361766,4.324,0,1084087
106,782258,3361692,4.297,0,1028491
166,782679,3361636,4.295,0,980973
328,693215,3361622,4.849,0,1063545
155,729383,3361594,4.609,0,1105083
255,840814,3361562,3.998,0,968103
11,802431,3361552,4.189,0,857761
360,831703,3361498,4.042,0,1060163
407,907497,3361496,3.704,0,995653
15,730540,3361492,4.601,0,1110635
396,818180,3361480,4.108,0,758399
22,719473,3361472,4.672,0,1078809
293,748172,3361468,4.493,0,1055913
153,950593,3361444,3.536,0,975253
431,766282,3361442,4.387,0,931265
222,928122,3361400,3.622,0,884817
366,887694,3361388,3.787,0,894437
150,1246590,3361334,2.696,0,427525
521,879811,3361288,3.820,0,243199
493,748101,3361270,4.493,0,949561
539,877021,3361192,3.833,0,517043
625,796807,3361142,4.218,0,1005151
343,751282,3361136,4.474,0,1105667
404,784154,3361100,4.286,0,583281
438,715638,3361076,4.697,0,1077799
47,684247,3361064,4.912,0,1078391
2,800826,3361042,4.197,0,711651
168,853027,3361042,3.940,0,848195
406,973889,3360898,3.451,0,707407
138,797075,3360892,4.217,0,899631
151,939330,3360856,3.578,0,1034767
414,724680,3360844,4.638,0,1114489
529,715686,3360822,4.696,0,1088249
249,795607,3360800,4.224,0,980443
254,829750,3360782,4.050,0,1093167
154,917790,3360500,3.662,0,993941
227,890459,3360490,3.774,0,1052707
459,787082,3360484,4.270,0,995049
499,764994,3360484,4.393,0,1014789
147,731293,3360462,4.595,0,952799
311,693500,3360428,4.846,0,1115769
85,775227,3360356,4.335,0,1088677
354,1075308,3360338,3.125,0,658497
32,727305,3360308,4.620,0,1056447
408,929223,3360242,3.616,0,960331
149,981145,3360222,3.425,0,906283
437,853213,3360184,3.938,0,754169
612,561763,2247808,4.001,0,464477
335,620724,2242344,3.612,0,282221
495,665602,2242158,3.369,0,123807
322,640975,2242134,3.498,0,272641
638,549817,2242090,4.078,0,477853
602,612078,2242046,3.663,0,338995
578,602651,2242044,3.720,0,342181
218,620619,2242024,3.613,0,367995
245,646592,2242010,3.467,0,279721
346,697493,2242010,3.214,0,45604
518,562799,2241900,3.983,0,502049
435,716434,2241894,3.129,0,5699
312,674085,2241848,3.326,0,184301
257,639394,2241812,3.506,0,280937
53,643556,2241802,3.483,0,286175
563,559661,2241788,4.006,0,505443
378,665973,2241768,3.366,0,267411
8,632487,2241760,3.544,0,333105
235,588529,2241746,3.809,0,381979
248,627109,2241728,3.575,0,334031
530,662757,2241660,3.382,0,162127
230,601011,2241656,3.730,0,359061
58,599087,2241620,3.742,0,344895
543,587870,2241616,3.813,0,441289
35,605308,2241602,3.703,0,347533
31,664686,2241592,3.372,0,205575
298,750122,2241578,2.988,0,33579
338,627424,2241578,3.573,0,290639
598,667281,2241572,3.359,0,45582
203,613050,2241556,3.656,0,341261
174,575587,2241544,3.894,0,432847
178,632226,2241542,3.545,0,259651
508,655443,2241542,3.420,0,111935
141,629230,2241530,3.562,0,348201
547,576560,2241528,3.888,0,442941
40,591658,2241522,3.789,0,387347
568,636698,2241520,3.521,0,260453
516,563802,2241508,3.976,0,495275
118,728755,2241504,3.076,0,80865
567,629389,2241500,3.561,0,334175
296,711359,2241478,3.151,0,101079
388,683828,2241478,3.278,0,171953
457,653822,2241464,3.428,0,158059
439,635291,2241460,3.528,0,289979
128,601616,2241448,3.726,0,414917
520,587694,2241444,3.814,0,437157
182,604613,2241434,3.707,0,339635
464,593930,2241430,3.774,0,330289
252,646699,2241426,3.466,0,307799
390,690557,2241424,3.246,0,44596
286,624100,2241420,3.591,0,356899
93,636880,2241416,3.519,0,260993
556,546431,2241414,4.102,0,530747
77,553465,2241412,4.050,0,527565
113,620275,2241412,3.614,0,332439
88,648169,2241382,3.458,0,253725
125,696334,2241380,3.219,0,172025
595,521328,2241376,4.299,0,551767
616,561607,2241376,3.991,0,451767
200,584263,2241370,3.836,0,425029
565,504164,2241370,4.446,0,635421
355,628204,2241368,3.568,0,310389
363,801449,2241368,2.797,0,50235
487,587953,2241350,3.812,0,230219
186,547411,2241348,4.094,0,490969
278,619202,2241346,3.620,0,120763
75,641032,2241342,3.496,0,352543
20,676326,2241336,3.314,0,197591
559,546491,2241336,4.101,0,531879
524,600204,2241334,3.734,0,401131
409,651712,2241324,3.439,0,239867
97,597377,2241312,3.752,0,358941
340,597652,2241302,3.750,0,355587
207,657963,2241300,3.406,0,125029
84,644695,2241298,3.477,0,184517
382,621686,2241294,3.605,0,364783
433,701462,2241290,3.195,0,51345
357,800184,2241278,2.801,0,23559
215,641698,2241274,3.493,0,306369
402,597655,2241270,3.750,0,381289
478,673529,2241262,3.328,0,176497
232,578030,2241260,3.877,0,424629
165,726764,2241256,3.084,0,41425
320,615652,2241244,3.640,0,330737
98,600914,2241234,3.730,0,358599
593,533298,2241234,4.203,0,522071
189,552239,2241232,4.058,0,478397
316,644003,2241232,3.480,0,271941
305,650244,2241230,3.447,0,234877
491,574687,2241226,3.900,0,421353
422,608494,2241216,3.683,0,337119
70,663920,2241214,3.376,0,259943
271,655284,2241204,3.420,0,293135
465,593640,2241202,3.775,0,333491
95,623112,2241192,3.597,0,314829
221,626442,2241192,3.578,0,365325
288,606793,2241192,3.694,0,372033
331,610728,2241192,3.670,0,313957
367,598309,2241190,3.746,0,382097
398,627527,2241190,3.571,0,319799
504,546174,2241190,4.103,0,511279
158,633555,2241188,3.537,0,334301
120,564053,2241186,3.973,0,455961
193,683705,2241182,3.278,0,107313
259,579852,2241182,3.865,0,447681
541,497994,2241182,4.500,0,674075
413,721640,2241178,3.106,0,13313
620,666665,2241178,3.362,0,272367
448,610041,2241160,3.674,0,288683
326,608392,2241158,3.684,0,317779
581,555106,2241152,4.037,0,460665
226,630663,2241142,3.554,0,324859
633,549329,2241140,4.080,0,478583
211,587652,2241136,3.814,0,407223
345,624472,2241134,3.589,0,299857
307,653456,2241120,3.430,0,245205
325,609533,2241120,3.677,0,163591
1,635124,2241118,3.529,0,305463
549,543887,2241116,4.121,0,532507
631,544670,2241114,4.115,0,491045
349,638583,2241112,3.510,0,279397
294,698724,2241110,3.207,0,177365
589,578464,2241106,3.874,0,390117
48,566077,2241104,3.959,0,425763
46,654982,2241100,3.422,0,179041
513,585080,2241098,3.830,0,429325
114,599071,2241094,3.741,0,379211
180,589214,2241090,3.804,0,383277
17,676179,2241088,3.314,0,241445
468,635295,2241088,3.528,0,242139
576,590749,2241086,3.794,0,377255
483,580758,2241084,3.859,0,406227
507,544085,2241082,4.119,0,518287
451,700874,2241078,3.198,0,46551
333,622834,2241070,3.598,0,305739
560,542424,2241070,4.132,0,538263
498,630115,2241066,3.557,0,237389
397,631879,2241064,3.547,0,290879
440,613724,2241060,3.652,0,208221
