region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2836480,6723014,2.370,0,503467,1817819,1831862,1200313,828974,298147,16470,0,225968,503461,0,0
911,1743422,5601266,3.213,0,1059079,471953,1976400,1001799,168224,67051,16470,0,228546,1670823,0,0
1474,1019714,4482706,4.396,0,583651,590645,1237128,923572,175783,79074,17926,0,126768,1331810,0,0
446,977415,4482216,4.586,0,1111159,573820,1192489,871274,166314,83495,16470,0,140423,1437931,0,0
605,840209,4482112,5.335,0,1117663,508736,992546,843057,155811,76436,16502,0,118942,1770082,0,0
1103,1142744,4481918,3.922,0,926605,610333,1251612,836782,147828,78328,16470,0,149644,1390921,0,0
1193,1275504,4481750,3.514,0,665393,588542,1436046,945605,158114,75471,16470,0,177244,1084258,0,0
1441,1281050,4481160,3.498,0,1058749,606522,1384098,852958,166577,81100,17594,0,176987,1195324,0,0
458,754873,3362864,4.455,0,872063,490222,830763,615415,129206,86808,16470,0,106968,1087012,0,0
1258,744803,3362582,4.515,0,904029,485647,897704,660914,122787,75886,16470,0,104367,998807,0,0
1413,942465,3362512,3.568,0,192841,581078,1109120,797858,135220,77200,17370,0,123607,521059,0,0
644,805177,3362478,4.176,0,606503,519468,911722,679186,130077,75773,16470,0,94322,935460,0,0
148,801115,3362430,4.197,0,1059041,552667,850321,606411,100659,77186,16470,0,99681,1059035,0,0
1288,756638,3362418,4.444,0,1066447,473661,881169,636546,105642,74244,16470,0,108245,1066441,0,0
1202,1170722,3362380,2.872,0,51721,529532,1305443,876464,152994,74787,16470,0,168607,238083,0,0
276,774540,3362362,4.341,0,1082065,516360,857355,601474,113241,76324,16470,0,97135,1084003,0,0
153,943036,3362326,3.565,0,910695,593420,975753,599534,98904,74929,16470,0,92627,910689,0,0
106,777334,3362322,4.325,0,1012693,491422,909043,637887,114555,76076,16470,0,102164,1014705,0,0
628,813493,3362262,4.133,0,971035,510231,903133,665228,104347,74867,16470,0,116957,971029,0,0
311,706637,3362144,4.758,0,1074505,449742,833855,610361,114175,75164,16906,0,95448,1166493,0,0
718,947587,3362144,3.548,0,595311,698080,897965,632271,105815,82825,16470,0,102260,826458,0,0
1443,994719,3362122,3.380,0,378469,610483,1142954,764997,139490,83630,17774,0,128749,474045,0,0
354,1014897,3362112,3.313,0,621669,648086,1051833,642848,112894,74501,17782,0,98819,715349,0,0
249,793298,3362092,4.238,0,968153,511470,916182,648834,118081,76256,16518,0,104626,970125,0,0
195,777119,3362080,4.326,0,749083,513105,899630,691321,123220,75277,16470,0,107154,935903,0,0
418,770019,3362074,4.366,0,1001977,512319,885738,641712,123117,77425,17790,0,102002,1001971,0,0
720,906827,3362066,3.708,0,961617,679037,819008,605057,103429,81704,16470,0,95750,961611,0,0
658,857393,3362050,3.921,0,715499,520465,1004208,685645,127529,82466,16470,0,115850,809417,0,0
358,744522,3362042,4.516,0,1105799,479973,874279,603740,105621,74934,17782,0,99920,1105793,0,0
1498,748704,3362032,4.490,0,958785,490188,885243,622516,116944,77648,17870,0,98020,1053603,0,0
281,1002113,3362000,3.355,0,367139,568352,1135740,750086,137418,77921,16554,0,119714,556215,0,0
1438,730342,3361992,4.603,0,1053209,472120,866436,612422,119416,76165,17642,0,96675,1101116,0,0
