pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2828,664719206,16965,0,0,0,0,0,0,664702241,687,68006896,4119,0,0,0,0,0,0,68002777
0x02006fb4,49152,242788,-23482,4042,201241,60987,0,0,0,0,49152,242788,-23482,4042,201241,60987,0,0,0,0
0x01fff4f6,756494,8891244,742352,0,0,8148892,0,0,0,0,53108,643324,52427,0,0,590897,0,0,0,0
0x01fff4f4,756488,8692696,753776,0,0,7938920,0,0,0,0,53110,630651,52917,0,0,577734,0,0,0,0
0x01fff4f2,756484,8609371,754985,0,0,7854386,0,0,0,0,53108,626339,53030,0,0,573309,0,0,0,0
0x02006fb8,49152,157308,-43238,157354,0,43192,0,0,0,0,49152,157308,-43238,157354,0,43192,0,0,0,0
0x01fffb74,60353,4604009,-180657,0,4582693,201973,0,0,0,0,28145,2147381,-84297,0,2139570,92108,0,0,0,0
0x01fff4f0,756479,6615992,169807,0,0,6446185,0,0,0,0,53108,483436,12503,0,0,470933,0,0,0,0
0x01fff592,699165,3905914,3407805,0,0,442813,55296,0,0,0,60367,516485,404750,0,0,56439,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff590,699156,10266334,-595940,0,5636668,5225606,0,0,0,0,60367,1351912,-73330,0,634104,791138,0,0,0,0
0x01fff5be,91463,560496,493340,0,0,67156,0,0,0,0,18336,95162,90389,0,0,4773,0,0,0,0
0x01fff538,191559,1092596,1045910,0,0,46686,0,0,0,0,26289,138700,136075,0,0,2625,0,0,0,0
0x01fff560,191559,1116907,108140,0,946491,62276,0,0,0,0,26289,128106,7353,0,116304,4449,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,49152,49169,0,49169,0,0,0,0,0,0
0x02006fba,49153,49155,49155,0,0,0,0,0,0,0,49153,49155,49155,0,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006faa,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb0,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fb2,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff594,699157,4076283,-256702,0,2527438,1805547,0,0,0,0,60367,429550,9890,0,206236,213424,0,0,0,0
0x01fff544,191559,571261,571261,0,0,0,0,0,0,0,26289,75583,75583,0,0,0,0,0,0,0
0x01fff564,191561,523677,191565,332112,0,0,0,0,0,0,26289,74539,26289,48250,0,0,0,0,0,0
0x01fff59c,699157,872185,23138,0,809897,39150,0,0,0,0,60367,99399,30270,0,66921,2208,0,0,0,0
0x01fff598,699159,820643,27359,0,728732,64552,0,0,0,0,60367,131712,29245,0,73291,29176,0,0,0,0
0x01fff5a0,699157,729879,729879,0,0,0,0,0,0,0,60367,91087,91087,0,0,0,0,0,0,0
0x02048eca,12396,37204,12412,24792,0,0,0,0,0,0,12396,37204,12412,24792,0,0,0,0,0,0
0x01fff5bc,91459,1521382,-68930,0,614360,975952,0,0,0,0,18336,117931,-11715,0,76803,52843,0,0,0,0
0x02013010,9472,47991,0,29012,0,0,0,0,18979,0,9472,47991,0,29012,0,0,0,0,18979,0
0x02048eea,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x02048dd8,10354,31083,0,31083,0,0,0,0,0,0,10354,31083,0,31083,0,0,0,0,0,0
0x02048f10,10165,30533,0,30533,0,0,0,0,0,0,10165,30533,0,30533,0,0,0,0,0,0
0x02048d8e,10165,30507,10177,20330,0,0,0,0,0,0,10165,30507,10177,20330,0,0,0,0,0,0
0x01fff55c,191560,1207079,-47757,0,677835,337682,0,0,239319,0,26289,106092,-3235,0,58089,21714,0,0,29524,0
0x01fff596,699159,2917074,2330592,0,0,531186,55296,0,0,0,60367,257821,134595,0,0,67930,55296,0,0,0
0x01fff562,191563,553792,170674,0,191559,0,0,0,191559,0,26289,63938,11360,0,26289,0,0,0,26289,0
0x01fff540,191560,383121,182670,0,0,8892,0,0,191559,0,26289,52578,25772,0,0,517,0,0,26289,0
0x01fff54c,189485,376846,376846,0,0,0,0,0,0,0,25015,48246,48246,0,0,0,0,0,0,0
0x01fff59e,699158,1134247,390494,0,0,688457,55296,0,0,0,60367,128112,-6294,0,0,79110,55296,0,0,0
0x01fff59a,699157,989587,398682,0,0,535609,55296,0,0,0,60367,126521,2916,0,0,68309,55296,0,0,0
0x01fff57c,187777,209884,209884,0,0,0,0,0,0,0,23373,36762,36762,0,0,0,0,0,0,0
0x01fff5da,51115,102230,102230,0,0,0,0,0,0,0,15112,30224,30224,0,0,0,0,0,0,0
0x02048ee8,12396,24832,0,12396,0,0,0,0,12436,0,12396,24832,0,12396,0,0,0,0,12436,0
0x02048ee4,12396,24815,172,24643,0,0,0,0,0,0,12396,24815,172,24643,0,0,0,0,0,0
0x02048ec8,12396,24803,0,12397,0,0,0,0,12406,0,12396,24803,0,12397,0,0,0,0,12406,0
0x020bf77c,14,29779,0,29779,0,0,0,0,0,0,12,29550,0,29550,0,0,0,0,0,0
0x020132e8,9216,28623,0,9216,0,0,0,0,19407,0,9216,28623,0,9216,0,0,0,0,19407,0
0x0201bcd8,9472,28980,174,28806,0,0,0,0,0,0,9472,28980,174,28806,0,0,0,0,0,0
0x02013048,9216,27903,0,27903,0,0,0,0,0,0,9216,27903,0,27903,0,0,0,0,0,0
0x0201bc30,9216,27658,-118,18560,0,0,0,0,9216,0,9216,27658,-118,18560,0,0,0,0,9216,0
0x020132dc,9216,27658,0,9221,0,0,0,0,18437,0,9216,27658,0,9221,0,0,0,0,18437,0
0x0201bce4,9472,28416,0,28416,0,0,0,0,0,0,9472,28416,0,28416,0,0,0,0,0,0
0x02048dc8,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x02048dd0,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x02048dd6,10354,20708,10354,0,0,0,0,0,10354,0,10354,20708,10354,0,0,0,0,0,10354,0
0x01fffb78,60354,663730,263975,0,0,399755,0,0,0,0,28145,309551,122803,0,0,186748,0,0,0,0
0x02048d9c,10165,20381,0,10181,0,0,0,0,10200,0,10165,20381,0,10181,0,0,0,0,10200,0
0x02048d8c,10165,20361,0,10166,0,0,0,0,10195,0,10165,20361,0,10166,0,0,0,0,10195,0
0x02048da4,10165,20352,0,20352,0,0,0,0,0,0,10165,20352,0,20352,0,0,0,0,0,0
0x02048da2,10165,20330,10165,0,0,0,0,0,10165,0,10165,20330,10165,0,0,0,0,0,10165,0
0x01fff4fc,756479,1377102,1377102,0,0,0,0,0,0,0,53108,96995,96995,0,0,0,0,0,0,0
0x020c18c8,19861,323483,-4116,56942,246923,2682,0,0,21052,0,13593,181739,-2103,31365,137326,1057,0,0,14094,0
0x02001484,557287,14279890,-2354263,411329,15559386,663438,0,0,0,0,40704,821500,-132986,23579,891202,39705,0,0,0,0
0x0201321c,5875,24827,-95,13127,5911,4,0,0,5880,0,5875,24827,-95,13127,5911,4,0,0,5880,0
0x020b965c,98015,598470,-3686,205879,297838,124,0,0,98315,0,48447,296021,-1832,101732,147432,80,0,0,48609,0
0x0206b5cc,33098,1648121,-195868,32648,1662766,148575,0,0,0,0,7735,386964,-45990,7665,388951,36338,0,0,0,0
0x01ff90a0,52800,26779460,52800,0,0,0,369600,26357060,0,0,2640,1338992,2640,0,0,0,18480,1317872,0,0
0x0201bbf0,9216,18654,-134,9335,9445,8,0,0,0,0,9216,18654,-134,9335,9445,8,0,0,0,0
0x0201bbf8,9216,18517,-93,18610,0,0,0,0,0,0,9216,18517,-93,18610,0,0,0,0,0,0
0x0201bc18,9216,18512,0,18512,0,0,0,0,0,0,9216,18512,0,18512,0,0,0,0,0,0
0x0201bc64,9472,18961,0,9484,0,0,0,0,9477,0,9472,18961,0,9484,0,0,0,0,9477,0
0x0201bb70,9472,18954,0,9472,0,0,0,0,9482,0,9472,18954,0,9472,0,0,0,0,9482,0
0x0201bc0c,9216,18447,-65,18512,0,0,0,0,0,0,9216,18447,-65,18512,0,0,0,0,0,0
0x0201bb7c,9472,18956,0,9484,0,0,0,0,9472,0,9472,18956,0,9484,0,0,0,0,9472,0
0x0201bbb0,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbbc,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbc8,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbe0,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bc10,9217,18440,0,9224,0,0,0,0,9216,0,9217,18440,0,9224,0,0,0,0,9216,0
0x0201bbfc,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x0201bc34,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x020132f8,5875,18083,145,17938,0,0,0,0,0,0,5875,18083,145,17938,0,0,0,0,0,0
0x0201bc6c,9472,16356,0,16356,0,0,0,0,0,0,9472,16356,0,16356,0,0,0,0,0,0
0x020c1818,19861,172233,16031,149597,0,6605,0,0,0,0,13593,100732,4944,93021,0,2767,0,0,0,0
0x01fff5a6,699156,1232642,1232642,0,0,0,0,0,0,0,60367,110750,110750,0,0,0,0,0,0,0
0x01fff57a,187779,187783,187783,0,0,0,0,0,0,0,23374,23376,23376,0,0,0,0,0,0,0
0x01fff53a,191560,191562,191562,0,0,0,0,0,0,0,26289,26289,26289,0,0,0,0,0,0,0
0x01fff53c,191559,191559,191559,0,0,0,0,0,0,0,26289,26289,26289,0,0,0,0,0,0,0
0x01fff53e,191559,191559,191559,0,0,0,0,0,0,0,26289,26289,26289,0,0,0,0,0,0,0
0x01fff542,191559,191559,191559,0,0,0,0,0,0,0,26289,26289,26289,0,0,0,0,0,0,0
0x01fff548,189486,189488,189488,0,0,0,0,0,0,0,25015,25015,25015,0,0,0,0,0,0,0
0x01fff54a,189485,189485,189485,0,0,0,0,0,0,0,25015,25015,25015,0,0,0,0,0,0,0
0x01fff55e,191561,191565,191565,0,0,0,0,0,0,0,26290,26292,26292,0,0,0,0,0,0,0
0x01fff566,189851,189851,189851,0,0,0,0,0,0,0,24647,24647,24647,0,0,0,0,0,0,0
0x01fff568,189851,189851,189851,0,0,0,0,0,0,0,24647,24647,24647,0,0,0,0,0,0,0
0x01fff56a,189851,189851,189851,0,0,0,0,0,0,0,24647,24647,24647,0,0,0,0,0,0,0
0x01fff56c,189851,189851,189851,0,0,0,0,0,0,0,24647,24647,24647,0,0,0,0,0,0,0
0x01fff56e,189851,189851,189851,0,0,0,0,0,0,0,24647,24647,24647,0,0,0,0,0,0,0
0x01fff570,189851,189851,189851,0,0,0,0,0,0,0,24647,24647,24647,0,0,0,0,0,0,0
0x01fff572,189851,189851,189851,0,0,0,0,0,0,0,24647,24647,24647,0,0,0,0,0,0,0
0x01fff574,189851,191925,191925,0,0,0,0,0,0,0,24647,25921,25921,0,0,0,0,0,0,0
0x01fff576,187777,187777,187777,0,0,0,0,0,0,0,23373,23373,23373,0,0,0,0,0,0,0
0x01fff578,187777,187777,187777,0,0,0,0,0,0,0,23373,23373,23373,0,0,0,0,0,0,0
0x020c19a4,19861,289764,-8684,55399,212566,4991,0,0,25492,0,13593,146473,-4099,23596,108861,1930,0,0,16185,0
0x02048ee6,12397,12583,-37,0,12620,0,0,0,0,0,12397,12583,-37,0,12620,0,0,0,0,0
0x01fff5c6,91459,131803,131803,0,0,0,0,0,0,0,18336,21560,21560,0,0,0,0,0,0,0
0x01fff5c0,91460,91462,91462,0,0,0,0,0,0,0,18336,18336,18336,0,0,0,0,0,0,0
0x01fff5c2,91459,91459,91459,0,0,0,0,0,0,0,18336,18336,18336,0,0,0,0,0,0,0
0x01fff5c4,91459,91459,91459,0,0,0,0,0,0,0,18336,18336,18336,0,0,0,0,0,0,0
0x02048ec6,12396,12434,-10,0,12444,0,0,0,0,0,12396,12434,-10,0,12444,0,0,0,0,0
0x02048ece,12396,12428,32,0,12396,0,0,0,0,0,12396,12428,32,0,12396,0,0,0,0,0
0x01fff5c8,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5ca,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5cc,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5ce,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5d0,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5d2,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5d4,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5d6,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x01fff5d8,51115,51115,51115,0,0,0,0,0,0,0,15112,15112,15112,0,0,0,0,0,0,0
0x02048edc,12396,12413,0,12413,0,0,0,0,0,0,12396,12413,0,12413,0,0,0,0,0,0
0x02048ed6,12397,12399,12399,0,0,0,0,0,0,0,12397,12399,12399,0,0,0,0,0,0,0
0x02048ee0,12396,12398,0,12398,0,0,0,0,0,0,12396,12398,0,12398,0,0,0,0,0,0
0x02048ed0,12396,12396,0,12396,0,0,0,0,0,0,12396,12396,0,12396,0,0,0,0,0,0
0x02048ed2,12396,12396,12396,0,0,0,0,0,0,0,12396,12396,12396,0,0,0,0,0,0,0
0x02048ed4,12396,12396,-186,186,12396,0,0,0,0,0,12396,12396,-186,186,12396,0,0,0,0,0
0x02048ed8,12396,12396,0,12396,0,0,0,0,0,0,12396,12396,0,12396,0,0,0,0,0,0
0x02048eda,12396,12396,0,0,12396,0,0,0,0,0,12396,12396,0,0,12396,0,0,0,0,0
0x02048ede,12396,12396,12396,0,0,0,0,0,0,0,12396,12396,12396,0,0,0,0,0,0,0
0x02048ee2,12396,12396,12396,0,0,0,0,0,0,0,12396,12396,12396,0,0,0,0,0,0,0
0x020132ec,9216,15898,0,15898,0,0,0,0,0,0,9216,15898,0,15898,0,0,0,0,0,0
0x01fffc5c,62144,372864,372864,0,0,0,0,0,0,0,32704,196224,196224,0,0,0,0,0,0,0
0x02013038,3549,16199,-21,9122,3549,0,0,0,3549,0,3549,16199,-21,9122,3549,0,0,0,3549,0
0x020c1b08,19861,137724,-1007,38403,80329,12,0,0,19987,0,13593,90507,-635,22784,54711,12,0,0,13635,0
0x02039614,170773,7316627,-1015707,820765,6898324,326792,0,0,286453,0,11396,494361,-67348,54237,464416,24020,0,0,19036,0
0x0208e2fc,117174,3384957,-610618,197660,3578735,219180,0,0,0,0,15249,409574,-76714,20092,436165,30031,0,0,0,0
0x02048dc4,10165,10531,0,10531,0,0,0,0,0,0,10165,10531,0,10531,0,0,0,0,0,0
0x02048d9a,10165,10430,13,0,10417,0,0,0,0,0,10165,10430,13,0,10417,0,0,0,0,0
0x02048d8a,10165,10393,60,0,10333,0,0,0,0,0,10165,10393,60,0,10333,0,0,0,0,0
0x02048dcc,10354,10356,0,10356,0,0,0,0,0,0,10354,10356,0,10356,0,0,0,0,0,0
0x02048dd4,10354,10356,-156,158,10354,0,0,0,0,0,10354,10356,-156,158,10354,0,0,0,0,0
0x02048ec4,10354,10356,0,10356,0,0,0,0,0,0,10354,10356,0,10356,0,0,0,0,0,0
