region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2836453,6723140,2.370,0,505121,1817232,1834590,1197946,827792,298135,16470,0,225860,505115,0,0
911,1743355,5602090,3.213,0,1052111,474323,1976829,1007740,169081,67036,16470,0,228487,1662124,0,0
1474,1046911,4482532,4.282,0,540499,590066,1278310,922942,176384,79038,17926,0,127576,1290290,0,0
645,1350748,4482420,3.318,0,979247,631637,1549885,787314,125096,76621,16470,0,127292,1168105,0,0
446,1022842,4482322,4.382,0,1042127,573226,1241838,886206,165734,83466,16470,0,145829,1369553,0,0
1441,1280549,4481888,3.500,0,1050753,606176,1386440,858297,165764,81067,17594,0,177226,1189324,0,0
150,1460109,4481750,3.069,0,1118399,635559,1620119,693610,115601,75288,16470,0,112958,1212145,0,0
1207,966533,4481160,4.636,0,1113961,531728,1153338,813476,151763,77195,16470,0,133003,1604187,0,0
1103,1140649,4481128,3.929,0,1037449,604778,1244971,829122,148393,78150,16470,0,149171,1410073,0,0
1193,1278836,4480870,3.504,0,661615,588724,1439131,941750,156828,75428,16470,0,177279,1085260,0,0
1258,739971,3363136,4.545,0,916347,486975,893141,656434,117477,75893,16470,0,103514,1013232,0,0
1264,1107758,3362734,3.036,0,262627,577985,1232198,781698,126191,75248,16470,0,150222,402722,0,0
131,791050,3362718,4.251,0,924141,486167,894542,688779,120722,73997,16470,0,109863,972178,0,0
9,758960,3362660,4.431,0,1074937,491403,853785,632703,114586,75815,16470,0,102967,1074931,0,0
388,740690,3362450,4.540,0,1025631,453574,866095,615998,119323,75131,17762,0,97792,1116775,0,0
276,777928,3362412,4.322,0,1063669,518842,865888,606201,115640,76287,16486,0,97353,1065715,0,0
1408,722394,3362394,4.655,0,1020889,464405,862154,615700,113615,75626,17218,0,97927,1115749,0,0
1443,998616,3362378,3.367,0,360185,611017,1154494,771045,139037,83703,17774,0,128995,456313,0,0
798,977725,3362302,3.439,0,88494,539837,1205189,752880,138711,76907,16470,0,114344,517964,0,0
254,858771,3362298,3.915,0,995683,494221,971410,605568,107302,75896,16470,0,93312,998119,0,0
298,763373,3362290,4.405,0,1114355,500839,856870,595815,99512,75572,16802,0,102531,1114349,0,0
22,731200,3362250,4.598,0,1093887,491795,833976,601017,105652,76317,16470,0,95325,1141698,0,0
769,1018683,3362190,3.301,0,835817,520674,1119028,599666,96067,73279,16470,0,101195,835811,0,0
148,801111,3362176,4.197,0,1064833,551564,848216,604771,99441,77179,16470,0,99708,1064827,0,0
521,883005,3362154,3.808,0,184573,606612,978406,778093,142869,79371,16470,0,109906,650427,0,0
628,813446,3362100,4.133,0,973421,510171,899701,664713,105978,74842,16470,0,116810,973415,0,0
1498,748623,3362072,4.491,0,961271,490877,885567,621441,116329,77612,17870,0,97553,1054823,0,0
625,798320,3362068,4.211,0,993115,504952,864445,676100,116010,73767,16470,0,117215,993109,0,0
1219,767432,3362046,4.381,0,892653,475550,909719,698083,132325,76669,16470,0,112592,940638,0,0
458,754871,3362038,4.454,0,1083857,489082,828586,618045,131992,86822,16470,0,107190,1083851,0,0
1368,675464,3362038,4.977,0,838625,406098,843139,659848,143888,76151,19602,0,95668,1117644,0,0
1389,702238,3362036,4.788,0,1096183,462746,834032,621822,108900,74863,16802,0,98367,1144504,0,0
358,744953,3362008,4.513,0,1104265,482017,872327,605649,104888,74970,17782,0,100116,1104259,0,0
539,879382,3361986,3.823,0,396657,504442,1023365,720471,134786,76558,16470,0,114940,770954,0,0
431,768387,3361954,4.375,0,897457,476613,924563,714014,141823,75813,16802,0,112473,899853,0,0
125,755890,3361948,4.448,0,1030951,485549,823876,625322,111939,75128,16470,0,100629,1123035,0,0
362,948602,3361940,3.544,0,903591,497548,1074938,593847,102601,74021,17698,0,95448,905839,0,0
1468,717721,3361928,4.684,0,637943,466987,845401,606169,116558,75500,17866,0,94379,1139068,0,0
1528,747396,3361908,4.498,0,950297,501544,853209,616761,113170,75554,16782,0,96767,1088121,0,0
82,820008,3361904,4.100,0,642679,498035,929908,716664,138051,74947,16470,0,111757,876072,0,0
85,777160,3361886,4.326,0,1039029,560018,789365,586239,109181,78545,16470,0,88167,1133901,0,0
1102,790671,3361886,4.252,0,867407,570365,805432,630698,114464,79263,16470,0,92290,1052904,0,0
1556,746253,3361884,4.505,0,1008545,486344,837814,630148,110643,76103,16470,0,100929,1103433,0,0
1288,743936,3361874,4.519,0,1109661,467501,857113,627740,102515,74016,16518,0,106816,1109655,0,0
493,762751,3361862,4.408,0,468507,466999,933226,712113,138969,75964,16470,0,114251,903870,0,0
18,801939,3361858,4.192,0,743107,512243,906613,676422,122144,75251,16470,0,109325,943390,0,0
1202,1099113,3361858,3.059,0,361481,507648,1206333,806087,137180,74242,16470,0,159243,454655,0,0
605,840269,3361856,4.001,0,45604,509968,988654,838193,154385,76488,16470,0,118832,658866,0,0
