pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2817,663188614,16902,0,0,0,0,0,0,663171712,655,65565654,3930,0,0,0,0,0,0,65561724
0x02006fb4,49152,243047,-23480,4040,201882,60605,0,0,0,0,49152,243047,-23480,4040,201882,60605,0,0,0,0
0x01fff4f6,756486,8893960,742354,0,0,8151606,0,0,0,0,52054,638937,51369,0,0,587568,0,0,0,0
0x01fff4f4,756484,8695007,753818,0,0,7941189,0,0,0,0,52055,626809,51866,0,0,574943,0,0,0,0
0x01fff4f2,756484,8612171,754994,0,0,7857177,0,0,0,0,52054,622741,51974,0,0,570767,0,0,0,0
0x02006fb8,49152,157220,-43495,157259,0,43456,0,0,0,0,49152,157220,-43495,157259,0,43456,0,0,0,0
0x01fffb74,60656,4628829,-181638,0,4603108,207359,0,0,0,0,25712,1963487,-77040,0,1956527,84000,0,0,0,0
0x01fff4f0,756480,6619214,169735,0,0,6449479,0,0,0,0,52054,480536,11761,0,0,468775,0,0,0,0
0x01fff592,705379,3911019,3413154,0,0,442569,55296,0,0,0,63672,493382,385924,0,0,52162,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49153,68595,68595,0,0,0,0,0,0,0,49153,68595,68595,0,0,0,0,0,0,0
0x01fff590,705365,10275199,-595602,0,5637204,5233597,0,0,0,0,63672,1250422,-69230,0,599297,720355,0,0,0,0
0x01fff5be,94569,563862,495750,0,0,68112,0,0,0,0,20833,96802,92264,0,0,4538,0,0,0,0
0x01fff538,193111,1101725,1055455,0,0,46270,0,0,0,0,27732,145484,142716,0,0,2768,0,0,0,0
0x01fff560,193111,1121150,107417,0,951050,62683,0,0,0,0,27732,133723,7559,0,122244,3920,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,49152,49169,0,49169,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006faa,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb0,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fb2,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fba,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff594,705366,4080352,-257724,0,2535382,1802694,0,0,0,0,63672,384828,11315,0,195975,177538,0,0,0,0
0x01fff544,193111,575917,575917,0,0,0,0,0,0,0,27732,79926,79926,0,0,0,0,0,0,0
0x01fff564,193112,528330,193114,335216,0,0,0,0,0,0,27732,78577,27732,50845,0,0,0,0,0,0
0x01fff59c,705364,878696,23100,0,816528,39068,0,0,0,0,63672,102846,30275,0,70125,2446,0,0,0,0
0x01fff598,705371,827001,27296,0,735237,64468,0,0,0,0,63672,132369,29335,0,75754,27280,0,0,0,0
0x01fff5a0,705365,736087,736087,0,0,0,0,0,0,0,63673,94395,94395,0,0,0,0,0,0,0
0x02048eca,12396,37204,12412,24792,0,0,0,0,0,0,12396,37204,12412,24792,0,0,0,0,0,0
0x01fff5bc,94563,1524877,-68835,0,616747,976965,0,0,0,0,20832,119440,-11605,0,78606,52439,0,0,0,0
0x02013010,9472,47922,0,28938,0,0,0,0,18984,0,9472,47922,0,28938,0,0,0,0,18984,0
0x02048eea,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x02048dd8,10354,31083,0,31083,0,0,0,0,0,0,10354,31083,0,31083,0,0,0,0,0,0
0x02048f10,10165,30533,0,30533,0,0,0,0,0,0,10165,30533,0,30533,0,0,0,0,0,0
