frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1677952,339904,174464,4224,2880,1152,530688,95168,529472,509952,1168000,4672,1024,525120,121600,1280,1984,229760,211392,640,1166848
440,1117568,335168,175232,4224,4928,1024,308288,95680,193024,173568,944000,4672,1024,302784,38208,1152,2240,142016,76032,640,942976
441,1678016,338112,173888,4288,2880,1152,653952,130368,373376,353792,1324224,7104,960,648448,37952,1024,1984,434496,88064,704,1323072
442,1116928,334656,173952,4224,2688,1216,346048,128192,125952,106688,1010240,7296,1024,340672,38080,1408,1920,138752,76544,576,1009024
443,1117696,336704,172928,4224,2688,1088,354560,120512,124992,105600,1012096,7232,1024,348928,46784,1280,2112,148288,75840,576,1011008
444,1117568,339328,176128,4160,2688,1088,354304,120320,119552,100096,1017472,6720,1024,348736,46848,1280,2048,148608,76032,640,1016384
445,1117952,336064,172800,4160,2752,1152,350656,114240,136128,116288,1001664,6720,1024,345344,46336,1280,2112,146880,74624,640,1000512
446,1117248,335552,175168,4160,2688,1088,345984,114176,138432,118912,998336,6976,960,340416,43264,1344,1920,141248,75200,640,997248
447,1117568,337408,175552,4416,2688,1088,306688,105856,183872,164672,952896,7104,1088,301248,960,1216,1920,98816,77312,576,951808
448,1117440,339520,173632,4224,2752,1024,466368,107072,22848,3264,1114176,6848,1024,460736,2560,1408,2048,262976,76352,448,1113152
449,1118016,335424,175168,4288,2752,22016,357312,106432,114624,94784,1023232,6656,1088,351808,50688,1280,2176,149504,79808,640,1001216
450,1677504,338112,176640,4224,2816,1088,616448,117504,420672,401472,1276032,6784,1088,610880,23104,1472,2048,387712,98048,640,1274944
451,1117824,334592,175040,4224,2880,1088,305472,118656,175872,156096,961728,6848,1088,300096,832,1280,1856,90624,86016,640,960640
452,1117504,335488,176000,4352,2880,1088,305088,119104,173504,153856,963648,6912,1152,299648,832,1152,2112,92416,83456,512,962560
453,1117440,332864,174336,4160,2752,1088,394688,119424,88128,68608,1048832,6592,1024,389248,1472,1216,1984,173632,91136,512,1047744
454,1117952,335104,173504,4224,2688,1088,335488,119360,146496,126400,991552,6912,1024,329984,24960,1408,1920,118272,88576,704,990464
455,1117376,335616,172992,4224,2816,1024,356352,110080,134272,114240,1003136,6784,1024,350976,48320,1216,2048,142464,84544,704,1002112
456,1117568,336256,174400,4224,2752,1088,349568,112448,136832,117376,1000192,6720,1024,343936,43776,1344,1920,137472,83648,512,999104
457,1677952,313408,174784,4224,2880,1152,605248,116480,459776,440064,1237888,6976,1024,599808,33664,1216,1920,251904,220416,704,1236736
458,1677568,310656,174976,4416,132416,1024,357440,122496,574144,554368,1123200,7168,1088,351872,44416,1408,1984,149248,72640,576,1122176
459,1117440,309248,173824,4224,4032,1152,378560,122176,124224,104704,1012736,6784,1152,373056,61376,1344,2176,171712,74816,576,1011584
460,1117888,311872,174848,4224,2816,1024,384896,123712,114496,94592,1023296,6848,1088,379456,62208,1408,2176,177856,74816,576,1022272
461,1117632,307392,173248,4224,2880,1152,484800,123520,20416,832,1116800,8192,960,479424,61824,1408,1920,261056,89408,640,1115648
462,1117504,315136,175424,4288,3072,1152,401216,123904,93312,73984,1043520,8640,1088,395584,61376,1216,2048,180288,87936,640,1042368
463,1118080,309184,174912,4352,3136,22208,422912,122688,58688,38656,1079424,9728,1024,417408,60992,1152,1984,188160,100608,512,1057216
464,1117248,306752,174848,4288,4160,1152,412544,116544,96960,77248,1040000,8128,1088,407232,61248,1152,2048,190208,88384,704,1038848
465,1117504,310528,177024,4224,5440,1088,448768,110784,59648,40256,1077248,8640,1024,443264,61504,1216,2176,227648,87680,576,1076160
466,1117568,310016,175040,4160,5952,1152,407168,111168,102912,83328,1034240,9536,1088,401664,62464,1408,2112,175488,98432,640,1033088
467,1118016,309824,174912,4096,6016,72192,392384,113088,45504,24704,1093312,8320,1024,386944,64256,1344,1984,172288,88576,576,1021120
468,1117248,311872,176064,4288,5184,1152,381120,111104,126464,106880,1010368,8704,1024,375680,66048,1280,2112,162880,86912,576,1009216
469,1117184,307392,174592,4032,5952,1088,406848,112064,105216,85440,1031744,9984,1024,401408,65984,1216,2112,175488,98304,512,1030656
470,1117760,308224,173888,4224,5312,1152,394304,111936,118720,99264,1018496,8128,1152,388800,66240,1280,2048,176000,86848,576,1017344
471,1117376,313792,176064,4160,5184,1152,389888,110784,116352,96832,1020544,9024,1152,384448,65792,1280,2048,170752,87040,512,1019392
472,1117760,309888,172672,4224,5184,960,472064,82688,70080,50752,1067008,7616,1088,466752,74368,1152,2112,273664,99968,704,1066048
473,1117696,314496,174144,4224,5312,1088,345920,82240,190272,170432,947264,4736,1088,340352,69696,1152,1920,183232,74944,576,946176
474,1117248,314112,173184,4288,5248,1088,346368,82368,190592,171328,945920,4672,1088,340928,70400,1152,1920,185536,72768,640,944832
475,1117568,310784,172544,4160,5440,1152,349248,82176,192064,172352,945216,4544,1024,343872,70784,1280,2048,186240,74304,640,944064
476,1117504,309120,172608,4224,5440,1088,415232,81664,128128,108608,1008896,4800,1024,409856,70976,1152,1920,251584,75648,576,1007808
477,1118336,307840,173760,4160,4928,1088,463104,82560,80896,60544,1057792,4480,1088,457664,70272,1344,1984,297920,77120,704,1056704
478,1117120,308928,173696,4160,3328,1088,324160,82240,219520,199936,917184,4864,960,318784,70272,1408,2048,159616,76224,640,916096
479,1117952,308992,173312,4288,126336,22144,333248,82496,67136,46784,1071168,4800,1088,327680,73984,1088,1856,166080,78848,576,1049024
480,1117248,307136,173184,4224,1664,1088,338368,81920,209664,189824,927424,4608,1088,332992,74432,1280,2112,172544,77056,640,926336
481,1117056,309824,171968,4160,1600,1152,347712,82048,198592,179648,937408,4416,1088,342144,73856,1152,1856,180224,79552,640,936256
482,1118016,308800,174400,4224,1536,1088,379584,81408,166976,147008,971008,4992,1088,373888,118016,1152,2048,214656,76992,576,969920
483,1117248,307584,173696,4160,1536,1088,514368,82048,32768,13120,1104128,4800,1024,508864,118592,1344,1856,344512,81280,640,1103040
484,1117760,307456,173376,4288,1600,1152,376064,81920,171904,152256,965504,4608,1024,370560,115328,1216,1984,210304,77632,576,964352
485,1117248,309312,172864,4352,1600,1088,387008,84416,156608,137344,979904,4416,1152,381440,112000,1216,2048,220288,77952,640,978816
486,1117632,307392,174784,4224,2176,1024,442688,95040,90304,70912,1046720,4544,1024,437184,36032,1152,2048,152320,202560,640,1045696
487,1117632,310144,174592,4224,4800,1088,292480,96320,233984,214144,903488,4864,1024,287040,36352,1280,1920,144128,57728,704,902400
488,1117440,309760,175488,4224,4672,1024,295296,95360,231616,211968,905472,4800,1088,289664,36288,1344,2048,146944,57152,704,904448
489,1117440,307840,174784,4224,3392,1152,500672,95168,30208,10624,1106816,4928,1024,495232,120896,1344,2048,352064,57280,704,1105664
490,1117504,311936,172992,4288,1600,1024,445056,96384,84224,64512,1052992,4864,1088,439552,119296,1216,2048,296576,57216,704,1051968
491,1117440,309504,174848,4224,1664,1088,366912,95232,163968,144384,973056,4736,1024,361344,119744,1408,2048,218880,57152,640,971968
492,1117440,311552,174144,4224,1536,1088,367872,96768,160256,140928,976512,4736,1088,362368,119872,1216,2048,219968,57536,768,975424
493,1117760,310720,173568,4224,1600,1088,370624,95552,160384,140672,977088,4800,1024,365312,119424,1344,2048,222272,58496,704,976000
494,1117632,307328,174720,4160,1664,1088,368640,82368,177664,158016,959616,4544,1024,363200,118016,1280,2048,220160,56960,576,958528
495,1118208,310400,172672,4224,1472,21824,368960,81920,156736,136128,982080,4416,1088,363456,120512,1344,1984,224704,56384,512,960256
496,1117184,308480,172480,4352,1536,1152,280832,82496,265856,246272,870912,4416,1088,275328,35200,1344,2048,136256,56640,640,869760
497,1117632,311424,173120,4160,1664,72832,282048,83904,188480,168192,949440,4736,1088,276608,34624,1280,1984,136576,57536,704,876608
498,1117184,308736,174976,4160,1600,1024,284608,83136,258944,239552,877632,4672,1024,279232,34240,1280,1984,137856,58048,704,876608
499,1117632,308608,173888,4224,1536,1152,282880,83136,262208,242496,875136,4928,1088,277376,34432,1344,2112,138048,56704,512,873984
500,1117696,309760,172736,4288,1664,1152,282048,81472,264576,244800,872896,4864,1024,276544,34624,1280,2048,136320,57088,576,871744
501,1117504,308160,174912,4224,128256,1152,284672,81984,134144,114368,1003136,4544,1088,279232,35200,1280,2112,135488,56896,512,1001984
502,1117568,311808,172864,4160,1600,1152,285632,83200,257152,237824,879744,4672,1088,280064,34240,1408,1984,139392,57088,768,878592
503,1117760,310592,172864,4288,1536,1088,283904,82304,261184,241408,876352,4672,1024,278464,34432,1344,2048,137664,57600,640,875264
504,1117184,308352,173312,4288,1600,1152,284480,82624,261376,242112,875072,4928,1088,279040,36160,1280,1984,138112,57856,704,873920
505,1117952,309120,173248,4224,1600,1088,387328,81920,159424,139584,978368,4480,1024,382016,37440,1280,1920,241536,57472,576,977280
506,1117120,308928,173568,4288,1600,1088,472896,82176,72576,53248,1063872,4864,1088,467264,126912,1408,1984,314944,69056,640,1062784
507,1117696,307584,174080,4224,1536,1024,396736,82048,150464,130880,986816,4608,1088,391168,129152,1280,1920,230272,78528,576,985792
508,1117568,308736,173824,4096,1536,1152,398144,80960,149120,129344,988224,4608,960,392704,128384,1280,2048,231808,78208,640,987072
