frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1677888,338304,174464,4288,2752,1088,529280,95488,532224,512704,1165184,4608,1024,523776,121792,1280,1920,228992,210368,704,1164096
440,1117504,335680,174400,4160,4800,1024,305984,95744,195712,175936,941568,4672,1024,300480,37504,1088,2048,139840,76224,576,940544
441,1677824,336128,174080,4352,2688,1088,654528,129280,375680,356160,1321664,6976,1024,648960,38208,1152,1984,435712,87744,512,1320576
442,1116928,338112,175808,4096,2816,1088,342528,127616,124864,105728,1011200,7104,1088,337088,37952,1280,2112,137728,74816,576,1010112
443,1117504,336384,175872,4160,2688,1152,354816,120192,122240,102976,1014528,7296,1024,349504,47616,1472,1856,148224,75968,576,1013376
444,1117824,338048,173568,4160,2688,1088,354560,120448,123264,103616,1014208,6848,1088,349120,46400,1408,1984,148928,75904,576,1013120
445,1117696,335744,174400,4160,2688,1088,351680,115264,132672,113152,1004544,7104,1088,346368,47040,1280,1984,146816,75072,576,1003456
446,1117248,336320,174080,4096,2752,1088,347968,114112,136832,117504,999744,7168,960,342784,44224,1280,1920,143296,75904,704,998656
447,1118208,338112,174656,4224,2752,1152,305024,106368,185920,166272,951936,6912,1024,299520,896,1408,1984,97664,78080,640,950784
448,1117376,337472,173888,4352,2752,1152,466624,106496,24640,5248,1112128,6784,1088,461248,2432,1344,2048,262208,76416,640,1110976
449,1117696,335168,175488,4224,2688,22016,355072,106240,116800,96512,1021184,6656,1024,349632,51840,1216,1984,149376,79168,640,999168
450,1677504,335488,176384,4224,2560,1024,618496,119936,419392,399616,1277888,7104,1088,613120,23616,1280,1984,387648,99072,704,1276864
451,1117760,333952,174208,4224,2880,1024,306560,117632,177280,157440,960320,6720,1088,301248,768,1216,1984,91456,86080,448,959296
452,1117440,333696,174592,4224,2752,1088,304576,119104,177408,157760,959680,6656,1024,299200,768,1408,1984,91968,83392,640,958592
453,1117248,334784,174592,4160,2816,1088,391744,118272,89792,70656,1046592,6784,1088,386240,1472,1472,2048,170816,90688,576,1045504
454,1118016,335744,174720,4160,2752,1088,335872,119168,144512,124544,993472,6656,1024,330240,24832,1152,2048,118144,88960,704,992384
455,1117312,336384,173888,4288,2816,1024,356160,109824,132928,113024,1004288,6784,1152,350656,48704,1408,2112,142784,83520,640,1003264
456,1117696,337280,175360,4160,2752,1088,351744,112384,132928,113344,1004352,6784,1088,346240,44096,1216,1920,138304,84608,512,1003264
457,1677696,316928,174400,4288,3008,1088,604736,116672,456576,437184,1240512,6848,1024,599360,33088,1408,2112,250944,220736,768,1239424
