region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2836239,6722486,2.370,0,503665,1815202,1834146,1196806,832276,298244,16470,0,225683,503659,0,0
1474,1020494,4482568,4.393,0,601063,645347,1156919,923344,179237,81210,17926,0,125399,1353186,0,0
1441,1282893,4482418,3.494,0,735833,605187,1385338,858490,163453,81305,17626,0,177522,1193497,0,0
1207,969454,4482394,4.624,0,1019083,532691,1153344,817805,148643,77489,16470,0,133291,1602661,0,0
1193,1236650,4482300,3.625,0,397551,598382,1382304,930536,154014,76020,16470,0,171328,1153246,0,0
911,1673407,4482050,2.678,0,143391,476132,1870767,975456,170618,66915,38680,0,221516,661966,0,0
1103,1141793,4481570,3.925,0,975471,605576,1254614,836423,145721,78422,16470,0,149522,1394822,0,0
446,991968,4481482,4.518,0,1092167,585441,1197406,871825,165958,84092,17260,0,141329,1418171,0,0
1418,787181,3362908,4.272,0,933497,504769,875715,643041,118262,76727,17494,0,102377,1024523,0,0
1534,719711,3362758,4.672,0,1069021,482079,841907,621447,108492,75125,16470,0,98830,1118408,0,0
1172,797397,3362494,4.217,0,232917,532172,966589,769548,141403,77912,16470,0,107201,751199,0,0
131,805043,3362222,4.176,0,846693,491520,916297,691683,119233,74428,16470,0,111851,940740,0,0
152,939870,3362210,3.577,0,1039479,721715,760069,560502,96429,80392,16470,0,87160,1039473,0,0
86,893350,3362206,3.764,0,464051,637514,836170,610836,115845,81500,16470,0,93743,970128,0,0
658,856655,3362186,3.925,0,715607,517968,1000472,688643,129100,82561,16470,0,115928,811044,0,0
1443,995930,3362136,3.376,0,398125,616710,1121851,759128,139473,84022,17774,0,128289,494889,0,0
680,864970,3362130,3.887,0,680985,597468,925594,683022,128677,79104,16470,0,106711,825084,0,0
521,883583,3362108,3.805,0,141069,605485,974782,774800,146891,79551,16470,0,109725,654404,0,0
249,796490,3362064,4.221,0,976675,521138,900590,646166,117665,76651,16470,0,104731,978653,0,0
1498,748812,3362034,4.490,0,501983,487812,876588,623203,115191,77764,17870,0,97778,1065828,0,0
195,774714,3362030,4.340,0,809861,506605,893957,688200,124761,75207,16470,0,107176,949654,0,0
628,813232,3361990,4.134,0,979623,504628,902360,661813,105765,74939,16470,0,116398,979617,0,0
561,895902,3361982,3.753,0,88516,567997,1042111,788095,150804,78824,16470,0,116438,601243,0,0
106,783185,3361974,4.293,0,1022185,511554,885884,631400,114006,76689,16470,0,101970,1024001,0,0
645,1210390,3361952,2.778,0,105117,877178,1049726,756842,121942,82423,16470,0,119082,338289,0,0
1140,731727,3361948,4.595,0,744111,464160,890257,646657,122267,82253,16470,0,105306,1034578,0,0
718,947314,3361926,3.549,0,614497,698348,900191,631406,103727,82898,16470,0,101982,826904,0,0
