pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2846,661893054,17070,0,0,0,0,0,0,661875984,698,68095883,4185,0,0,0,0,0,0,68091698
0x02006fb4,49152,244112,-23456,4016,200195,63357,0,0,0,0,49152,244112,-23456,4016,200195,63357,0,0,0,0
0x01fff4f6,756484,8807032,742075,0,0,8064957,0,0,0,0,53822,651081,53105,0,0,597976,0,0,0,0
0x01fff4f4,756485,8621177,753617,0,0,7867560,0,0,0,0,53822,639183,53591,0,0,585592,0,0,0,0
0x01fff4f2,756482,8540006,754688,0,0,7785318,0,0,0,0,53822,635020,53727,0,0,581293,0,0,0,0
0x02006fb8,49152,157368,-42936,157416,0,42888,0,0,0,0,49152,157368,-42936,157416,0,42888,0,0,0,0
0x01fffb74,61184,4656078,-182763,0,4637221,201620,0,0,0,0,27936,2132666,-83479,0,2123552,92593,0,0,0,0
0x01fff4f0,756479,6557694,170640,0,0,6387054,0,0,0,0,53821,489779,12412,0,0,477367,0,0,0,0
0x01fff592,695285,3802156,3312797,0,0,434063,55296,0,0,0,57652,508383,399524,0,0,53563,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff590,695278,10111045,-576948,0,5488677,5199316,0,0,0,0,57651,1350703,-72765,0,627256,796212,0,0,0,0
0x01fff5be,91463,556094,489177,0,0,66917,0,0,0,0,18475,95234,90252,0,0,4982,0,0,0,0
0x01fff538,190267,1060764,1028885,0,0,31879,0,0,0,0,25522,133799,131876,0,0,1923,0,0,0,0
0x01fff560,190265,1031155,100581,0,871697,58877,0,0,0,0,25522,121974,7489,0,109792,4693,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,49152,49169,0,49169,0,0,0,0,0,0
0x02006fba,49153,49155,49155,0,0,0,0,0,0,0,49153,49155,49155,0,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006faa,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb0,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fb2,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff594,695277,4440307,-303361,0,2765763,1977905,0,0,0,0,57651,441797,7335,0,216414,218048,0,0,0,0
0x01fff544,190265,567379,567379,0,0,0,0,0,0,0,25522,73284,73284,0,0,0,0,0,0,0
0x01fff564,190265,521141,190265,330875,0,1,0,0,0,0,25522,73140,25522,47618,0,0,0,0,0,0
0x01fff5bc,91459,1585319,-68810,0,615610,1038519,0,0,0,0,18475,122078,-11725,0,77295,56508,0,0,0,0
0x01fff59c,695276,863353,23131,0,805929,34293,0,0,0,0,57651,96619,30265,0,64254,2100,0,0,0,0
0x01fff598,695279,818886,27235,0,725745,65906,0,0,0,0,57651,128287,29210,0,70756,28321,0,0,0,0
0x01fff5a0,695276,726000,726000,0,0,0,0,0,0,0,57652,88374,88374,0,0,0,0,0,0,0
0x02048eca,12396,37204,12412,24792,0,0,0,0,0,0,12396,37204,12412,24792,0,0,0,0,0,0
0x02013010,9472,47918,0,28934,0,0,0,0,18984,0,9472,47918,0,28934,0,0,0,0,18984,0
0x02048eea,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x02048dd8,10354,31083,0,31083,0,0,0,0,0,0,10354,31083,0,31083,0,0,0,0,0,0
0x02048f10,10165,30533,0,30533,0,0,0,0,0,0,10165,30533,0,30533,0,0,0,0,0,0
0x02048d8e,10165,30507,10177,20330,0,0,0,0,0,0,10165,30507,10177,20330,0,0,0,0,0,0
0x01fff55c,190265,1086020,-45505,0,633748,262007,0,0,235770,0,25522,98364,-3125,0,54570,18272,0,0,28647,0
0x01fff596,695279,3181694,2651597,0,0,474801,55296,0,0,0,57651,267241,149869,0,0,62076,55296,0,0,0
0x01fff562,190265,498064,117534,0,190265,0,0,0,190265,0,25522,59516,8472,0,25522,0,0,0,25522,0
0x01fff540,190265,380544,182562,0,0,7717,0,0,190265,0,25522,51044,25067,0,0,455,0,0,25522,0
0x01fff54c,188193,374264,374264,0,0,0,0,0,0,0,24222,46634,46634,0,0,0,0,0,0,0
0x01fff59e,695274,1091669,386026,0,0,650347,55296,0,0,0,57651,120499,-8793,0,0,73996,55296,0,0,0
0x01fff59a,695276,940030,402961,0,0,481773,55296,0,0,0,57652,119024,994,0,0,62734,55296,0,0,0
0x01fff57c,186483,208590,208590,0,0,0,0,0,0,0,22580,36024,36024,0,0,0,0,0,0,0
0x01fff5da,51115,102230,102230,0,0,0,0,0,0,0,15158,30316,30316,0,0,0,0,0,0,0
0x02048ee8,12396,24842,0,12396,0,0,0,0,12446,0,12396,24842,0,12396,0,0,0,0,12446,0
0x02048ee4,12396,24815,172,24643,0,0,0,0,0,0,12396,24815,172,24643,0,0,0,0,0,0
0x02048ec8,12396,24798,0,12397,0,0,0,0,12401,0,12396,24798,0,12397,0,0,0,0,12401,0
0x020132e8,9217,28626,2,9217,0,0,0,0,19407,0,9217,28626,2,9217,0,0,0,0,19407,0
0x020beac0,14,29581,-48,-15,0,0,98,29546,0,0,12,29378,-42,-12,0,0,84,29348,0,0
0x0201bcd8,9472,28980,174,28806,0,0,0,0,0,0,9472,28980,174,28806,0,0,0,0,0,0
0x02013048,9216,27903,0,27903,0,0,0,0,0,0,9216,27903,0,27903,0,0,0,0,0,0
0x020132dc,9216,27681,0,9219,0,0,0,0,18462,0,9216,27681,0,9219,0,0,0,0,18462,0
0x0201bc30,9216,27658,-107,18549,0,0,0,0,9216,0,9216,27658,-107,18549,0,0,0,0,9216,0
0x0201bce4,9472,28416,0,28416,0,0,0,0,0,0,9472,28416,0,28416,0,0,0,0,0,0
0x02048dc8,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x02048dd0,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x02048dd6,10354,20708,10354,0,0,0,0,0,10354,0,10354,20708,10354,0,0,0,0,0,10354,0
0x02048d9c,10165,20391,0,10181,0,0,0,0,10210,0,10165,20391,0,10181,0,0,0,0,10210,0
0x02048d8c,10165,20371,0,10166,0,0,0,0,10205,0,10165,20371,0,10166,0,0,0,0,10205,0
0x02048da4,10165,20352,0,20352,0,0,0,0,0,0,10165,20352,0,20352,0,0,0,0,0,0
0x02048da2,10165,20330,10165,0,0,0,0,0,10165,0,10165,20330,10165,0,0,0,0,0,10165,0
0x01fffb78,61188,672429,268990,0,0,403439,0,0,0,0,27940,307118,121946,0,0,185172,0,0,0,0
0x020c0c10,19798,316341,-4350,47852,248591,3058,0,0,21190,0,13603,182823,-2148,29753,139866,1176,0,0,14176,0
0x01fff4fc,756478,1377099,1377099,0,0,0,0,0,0,0,53821,98490,98490,0,0,0,0,0,0,0
0x02001484,557287,14235398,-2349454,410574,15520065,654213,0,0,0,0,40752,816693,-132682,23493,886814,39068,0,0,0,0
0x0201321c,5875,24837,-99,13096,5951,4,0,0,5885,0,5875,24837,-99,13096,5951,4,0,0,5885,0
0x020b89a4,102476,621971,-3829,212065,310846,116,0,0,102773,0,52515,318777,-1942,108675,159322,60,0,0,52662,0
0x0206b5cc,33099,1642086,-196373,32736,1663955,141768,0,0,0,0,7979,396892,-47490,7918,400961,35503,0,0,0,0
0x01ff90a0,52800,26779446,52800,0,0,0,369600,26357046,0,0,2640,1338848,2640,0,0,0,18480,1317728,0,0
0x01ff8338,1109303,2766883,1109305,1657578,0,0,0,0,0,0,126568,319712,126568,193144,0,0,0,0,0,0
0x0201bbf0,9216,18650,-118,9319,9441,8,0,0,0,0,9216,18650,-118,9319,9441,8,0,0,0,0
0x0201bbf8,9216,18517,-113,18630,0,0,0,0,0,0,9216,18517,-113,18630,0,0,0,0,0,0
0x0201bc18,9216,18512,0,18512,0,0,0,0,0,0,9216,18512,0,18512,0,0,0,0,0,0
0x0201bc64,9472,18969,0,9482,0,0,0,0,9487,0,9472,18969,0,9482,0,0,0,0,9487,0
0x0201bb70,9472,18954,0,9472,0,0,0,0,9482,0,9472,18954,0,9472,0,0,0,0,9482,0
0x0201bc0c,9216,18447,-57,18504,0,0,0,0,0,0,9216,18447,-57,18504,0,0,0,0,0,0
0x0201bb7c,9472,18956,0,9484,0,0,0,0,9472,0,9472,18956,0,9484,0,0,0,0,9472,0
0x0201bbb0,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbbc,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbc8,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbe0,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbfc,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x0201bc10,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x0201bc34,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x02067b62,8576,34313,8576,0,0,0,0,0,25737,0,1508,5394,1508,0,0,0,0,0,3886,0
0x020132f8,5875,18141,145,17996,0,0,0,0,0,0,5875,18141,145,17996,0,0,0,0,0,0
0x0201bc6c,9472,16353,0,16353,0,0,0,0,0,0,9472,16353,0,16353,0,0,0,0,0,0
0x020c0b60,19798,144070,6349,130628,0,7093,0,0,0,0,13603,96214,3390,89856,0,2968,0,0,0,0
0x01ff82e0,2603203,4255429,4255429,0,0,0,0,0,0,0,244677,387455,387455,0,0,0,0,0,0,0
