region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2836207,6722428,2.370,0,507435,1815651,1833671,1196241,829072,298244,16470,0,225650,507429,0,0
911,1731193,5602626,3.236,0,592525,489325,1945383,1035920,187537,67209,38680,0,228842,1609730,0,0
1207,969495,4482304,4.623,0,1019969,532441,1153196,818121,148076,77525,16470,0,133185,1603290,0,0
1193,1338518,4482022,3.348,0,263359,604976,1508342,1003725,171402,76145,16470,0,184408,916554,0,0
1474,1009808,4481990,4.438,0,604385,587027,1215124,924645,179575,79161,17926,0,126059,1352473,0,0
1103,1140764,4480664,3.928,0,979997,604331,1247936,834651,149187,78309,16470,0,149176,1400604,0,0
1441,1283840,4480612,3.490,0,1005391,605676,1385883,857719,164949,81403,17594,0,177535,1189853,0,0
195,774675,3362392,4.340,0,804569,507622,898203,688702,124528,75192,16470,0,107127,944548,0,0
605,836331,3362338,4.020,0,113649,503105,985265,835126,153153,76319,16470,0,118315,674585,0,0
418,769545,3362336,4.369,0,1016335,509764,874093,641624,123420,77441,17790,0,101875,1016329,0,0
1264,1107749,3362190,3.035,0,165219,574946,1233141,774656,127504,75356,16470,0,149872,410245,0,0
1202,1102058,3362108,3.051,0,261357,507268,1214753,807503,134071,74514,16470,0,159569,447960,0,0
1440,837806,3362102,4.013,0,591297,500028,996670,731480,139241,81643,17634,0,114723,780683,0,0
1546,705578,3362054,4.765,0,1025247,466755,819248,649396,117026,75069,16470,0,98961,1119129,0,0
458,754558,3362040,4.456,0,853323,487606,831456,611292,129209,86891,16502,0,106492,1092592,0,0
998,697954,3362026,4.817,0,1020703,433565,826778,668245,125163,73899,16502,0,105721,1112153,0,0
645,1185111,3361962,2.837,0,94617,725247,1205968,766088,124878,76777,16566,0,120001,326437,0,0
1172,797436,3361960,4.216,0,232665,531986,964144,771155,143592,77954,16470,0,107002,749657,0,0
1258,746133,3361934,4.506,0,858991,485898,900266,660462,119694,76117,16470,0,104423,998604,0,0
281,990061,3361920,3.396,0,346885,561102,1114552,751961,139756,77846,16554,0,118582,581567,0,0
561,880054,3361834,3.820,0,87508,549018,1041775,790488,155182,78358,16470,0,115441,615102,0,0
521,883599,3361822,3.805,0,137451,605876,979711,773812,144798,79551,16470,0,109772,651832,0,0
404,780130,3361786,4.309,0,625451,475908,907436,652770,125101,75516,17866,0,95136,1012053,0,0
106,778059,3361770,4.321,0,970749,489345,907129,634090,116688,76271,16470,0,102173,1019604,0,0
1102,791657,3361756,4.246,0,808937,570460,812552,634075,114911,79428,16470,0,92153,1041707,0,0
85,819358,3361738,4.103,0,558845,559476,839132,604923,112574,78796,16668,0,93663,1056506,0,0
420,757671,3361732,4.437,0,955723,446906,864245,678046,124867,74036,17698,0,105647,1050287,0,0
1527,781120,3361698,4.304,0,1019973,522135,873082,639534,109775,74452,16762,0,105991,1019967,0,0
1140,718934,3361696,4.676,0,1071015,457089,870297,638067,120222,81979,16470,0,103571,1074001,0,0
407,895330,3361670,3.755,0,948091,538973,980587,603108,103341,74927,17782,0,94867,948085,0,0
1295,624236,3361650,5.385,0,939279,426956,712436,620027,111103,74353,16470,0,86530,1313775,0,0
905,665031,3361616,5.055,0,484963,451670,745257,632476,111958,74069,16470,0,90631,1239085,0,0
1413,983016,3361614,3.420,0,98471,578707,1143263,807770,135970,77407,17370,0,128706,472421,0,0
249,792986,3361612,4.239,0,970891,508026,918800,647137,117338,76339,16470,0,104765,972737,0,0
835,690620,3361608,4.868,0,1040783,457631,800420,620893,114567,74096,16470,0,95801,1181730,0,0
717,849184,3361604,3.959,0,855397,583831,866242,648899,116893,79691,16470,0,99557,950021,0,0
1556,758861,3361604,4.430,0,967273,488478,863806,639224,113377,76456,16470,0,102552,1061241,0,0
276,774227,3361590,4.342,0,1079801,513303,853955,606694,115742,76410,16502,0,97363,1081621,0,0
628,825897,3361586,4.070,0,954311,510303,919499,661684,106167,75162,16470,0,117996,954305,0,0
718,947273,3361580,3.549,0,831563,696075,895505,630084,106786,82883,16470,0,102220,831557,0,0
1468,728990,3361578,4.611,0,1043031,469005,843150,611197,111724,75688,17866,0,95844,1137104,0,0
1389,702098,3361540,4.788,0,1068751,460675,828905,610687,107832,74965,16802,0,98132,1163542,0,0
1219,781347,3361528,4.302,0,804533,483069,937113,705851,128423,77103,16470,0,114040,899459,0,0
1408,709838,3361508,4.736,0,1052687,455260,846210,611972,111173,75458,17218,0,96396,1147821,0,0
798,937487,3361506,3.586,0,194201,557818,1094610,755769,136701,76973,16500,0,112103,611032,0,0
1442,749005,3361498,4.488,0,1003859,448783,860425,626621,131056,80571,17626,0,101461,1094955,0,0
401,722677,3361496,4.651,0,1036075,432531,837761,646496,124419,74036,17730,0,101096,1127427,0,0
148,801079,3361494,4.196,0,1064879,547210,849464,606922,99379,77344,16502,0,99800,1064873,0,0
455,756985,3361480,4.441,0,862627,441439,923415,676320,147763,86930,16470,0,112331,956812,0,0
1534,707023,3361472,4.754,0,1107579,474682,819013,612845,110290,74883,16470,0,97093,1156196,0,0
1122,935929,3361466,3.592,0,69831,535760,1100561,792020,136882,77679,16470,0,116900,585194,0,0
11,803218,3361452,4.185,0,862437,516142,876308,653342,117581,76906,16470,0,101760,1002943,0,0
1268,755028,3361452,4.452,0,1079817,502665,839031,629928,117187,74812,16470,0,101548,1079811,0,0
393,734221,3361446,4.578,0,1070423,464171,862681,638305,129897,76543,17750,0,99376,1072723,0,0
396,820490,3361430,4.097,0,713439,463324,956526,699052,131347,75383,17726,0,112883,905189,0,0
1443,954650,3361426,3.521,0,460849,606590,1091103,746464,134229,83680,17806,0,123327,558227,0,0
1482,765944,3361418,4.389,0,1114529,523388,832304,598609,100864,77038,17704,0,96988,1114523,0,0
2,811105,3361416,4.144,0,637903,549908,907097,697765,133594,78028,16470,0,103050,875494,0,0
166,771701,3361414,4.356,0,1023991,517630,849509,653561,120394,76559,16470,0,103306,1023985,0,0
493,763083,3361412,4.405,0,906757,463831,935161,708359,138368,76040,16470,0,114243,908940,0,0
1417,797205,3361402,4.216,0,987691,485183,915989,654438,113297,75933,17438,0,109025,990099,0,0
695,761397,3361388,4.415,0,986359,448396,917202,665015,134870,81171,16470,0,109780,988484,0,0
461,713673,3361348,4.710,0,1037357,435284,818849,639576,135120,80352,16470,0,102796,1132901,0,0
1269,752404,3361332,4.467,0,892681,496463,837269,646650,113651,75755,16470,0,95546,1079528,0,0
227,907889,3361330,3.702,0,886307,521974,959817,603472,108630,75133,16470,0,95581,980253,0,0
353,1113726,3361318,3.018,0,327361,658760,1154795,732112,133600,74643,17782,0,117915,471711,0,0
151,917810,3361316,3.662,0,1020287,570430,919408,571562,99690,74825,16470,0,88650,1020281,0,0
153,929055,3361302,3.618,0,969687,582512,938419,587815,100841,74770,16470,0,90794,969681,0,0
131,792342,3361300,4.242,0,884115,485629,892912,687907,115464,74169,16470,0,110361,978388,0,0
162,888135,3361296,3.785,0,777375,482396,1033895,706671,130031,77626,19644,0,121089,789944,0,0
152,917066,3361270,3.665,0,855149,569741,914121,571016,97407,74797,16470,0,88122,1029596,0,0
680,854350,3361252,3.934,0,676367,548637,975463,687113,129699,77574,16470,0,106794,819502,0,0
708,776424,3361252,4.329,0,809685,509088,882343,693285,126089,77303,16470,0,106034,950640,0,0
770,917362,3361242,3.664,0,1019511,566424,907238,585065,96555,73338,16470,0,96647,1019505,0,0
406,891612,3361222,3.770,0,953819,539704,975054,602529,103565,75243,17790,0,93524,953813,0,0
1029,1055104,3361196,3.186,0,474079,523630,1155642,781451,143411,73366,16470,0,147640,519586,0,0
