pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2852,652921560,17112,0,0,0,0,0,0,652904438,703,68020264,4218,0,0,0,0,0,0,68016036
0x02006fb4,49152,244125,-23469,4029,200196,63369,0,0,0,0,49152,244125,-23469,4029,200196,63369,0,0,0,0
0x01fff4f6,756484,8811069,742065,0,0,8069004,0,0,0,0,53475,646054,52763,0,0,593291,0,0,0,0
0x01fff4f4,756487,8623300,753614,0,0,7869686,0,0,0,0,53476,634413,53256,0,0,581157,0,0,0,0
0x01fff4f2,756483,8542341,754693,0,0,7787648,0,0,0,0,53474,630313,53379,0,0,576934,0,0,0,0
0x02006fb8,49152,157248,-42936,157296,0,42888,0,0,0,0,49152,157248,-42936,157296,0,42888,0,0,0,0
0x01fffb74,61120,4647067,-182633,0,4631158,198542,0,0,0,0,27008,2070197,-80805,0,2062492,88510,0,0,0,0
0x01fff4f0,756478,6558566,170336,0,0,6388230,0,0,0,0,53474,485998,12328,0,0,473670,0,0,0,0
0x01fff592,699168,3803401,3313491,0,0,434614,55296,0,0,0,59442,507832,400008,0,0,52528,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49153,68595,68595,0,0,0,0,0,0,0,49153,68595,68595,0,0,0,0,0,0,0
0x01fff590,699156,10119669,-576580,0,5491217,5205032,0,0,0,0,59440,1347381,-72555,0,627579,792357,0,0,0,0
0x01fff5be,91466,555929,489053,0,0,66876,0,0,0,0,18374,94822,89962,0,0,4860,0,0,0,0
0x01fff538,191563,1066639,1035035,0,0,31604,0,0,0,0,26221,137222,135258,0,0,1964,0,0,0,0
0x01fff560,191559,1032092,97920,0,877382,56790,0,0,0,0,26221,124268,7653,0,112473,4142,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,49152,49169,0,49169,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006faa,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb0,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fb2,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fba,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff594,699160,4447725,-303813,0,2769825,1981713,0,0,0,0,59441,419769,8113,0,211275,200381,0,0,0,0
0x01fff544,191559,571261,571261,0,0,0,0,0,0,0,26221,75389,75389,0,0,0,0,0,0,0
0x01fff564,191559,523671,191559,332112,0,0,0,0,0,0,26221,74458,26221,48237,0,0,0,0,0,0
0x01fff59c,699157,867487,23118,0,809953,34416,0,0,0,0,59440,98410,30265,0,66039,2106,0,0,0,0
0x01fff598,699160,819814,27337,0,728427,64050,0,0,0,0,59440,127324,29325,0,71241,26758,0,0,0,0
0x01fff5a0,699157,729879,729879,0,0,0,0,0,0,0,59440,90160,90160,0,0,0,0,0,0,0
0x01fff5bc,91459,1583175,-68810,0,616639,1035346,0,0,0,0,18374,120871,-11680,0,76661,55890,0,0,0,0
0x02048eca,12396,37204,12412,24792,0,0,0,0,0,0,12396,37204,12412,24792,0,0,0,0,0,0
0x02013010,9472,47926,0,28942,0,0,0,0,18984,0,9472,47926,0,28942,0,0,0,0,18984,0
0x02048eea,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x02048dd8,10354,31083,0,31083,0,0,0,0,0,0,10354,31083,0,31083,0,0,0,0,0,0
0x02048f10,10165,30533,0,30533,0,0,0,0,0,0,10165,30533,0,30533,0,0,0,0,0,0
0x02048d8e,10165,30507,10177,20330,0,0,0,0,0,0,10165,30507,10177,20330,0,0,0,0,0,0
0x01fff55c,191559,1089538,-44995,0,632855,265124,0,0,236554,0,26221,101335,-3210,0,56331,18783,0,0,29431,0
0x01fff596,699161,3188383,2658161,0,0,474926,55296,0,0,0,59440,263072,146796,0,0,60980,55296,0,0,0
0x01fff562,191559,501030,117912,0,191559,0,0,0,191559,0,26221,60472,8030,0,26221,0,0,0,26221,0
0x01fff540,191559,383132,183925,0,0,7648,0,0,191559,0,26221,52442,25751,0,0,470,0,0,26221,0
0x01fff54c,189485,376846,376846,0,0,0,0,0,0,0,24929,48056,48056,0,0,0,0,0,0,0
0x01fff59e,699157,1097436,389218,0,0,652922,55296,0,0,0,59440,121591,-6550,0,0,72845,55296,0,0,0
0x01fff59a,699156,942717,405709,0,0,481712,55296,0,0,0,59440,119373,2498,0,0,61579,55296,0,0,0
0x01fff57c,187777,209884,209884,0,0,0,0,0,0,0,23292,36710,36710,0,0,0,0,0,0,0
0x02048ee8,12396,24862,0,12396,0,0,0,0,12466,0,12396,24862,0,12396,0,0,0,0,12466,0
0x01fff5da,51116,102233,102233,0,0,0,0,0,0,0,15115,30230,30230,0,0,0,0,0,0,0
0x02048ee4,12396,24815,153,24662,0,0,0,0,0,0,12396,24815,153,24662,0,0,0,0,0,0
0x02048ec8,12396,24798,0,12397,0,0,0,0,12401,0,12396,24798,0,12397,0,0,0,0,12401,0
0x020b89a4,101540,615854,-3781,210338,307364,132,0,0,101801,0,48652,295087,-1775,100779,147203,108,0,0,48772,0
0x020132e8,9216,28623,0,9216,0,0,0,0,19407,0,9216,28623,0,9216,0,0,0,0,19407,0
0x020beac0,14,29581,-42,-21,0,0,98,29546,0,0,12,29378,-36,-18,0,0,84,29348,0,0
0x0201bcd8,9472,28980,174,28806,0,0,0,0,0,0,9472,28980,174,28806,0,0,0,0,0,0
0x02013048,9216,27903,0,27903,0,0,0,0,0,0,9216,27903,0,27903,0,0,0,0,0,0
0x020132dc,9216,27685,0,9218,0,0,0,0,18467,0,9216,27685,0,9218,0,0,0,0,18467,0
0x0201bc30,9216,27658,-103,18545,0,0,0,0,9216,0,9216,27658,-103,18545,0,0,0,0,9216,0
0x0201bce4,9472,28416,0,28416,0,0,0,0,0,0,9472,28416,0,28416,0,0,0,0,0,0
0x02048dd0,10355,20712,0,10358,0,0,0,0,10354,0,10355,20712,0,10358,0,0,0,0,10354,0
0x02048dc8,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x02048dd6,10354,20708,10354,0,0,0,0,0,10354,0,10354,20708,10354,0,0,0,0,0,10354,0
0x02048d8c,10165,20376,0,10166,0,0,0,0,10210,0,10165,20376,0,10166,0,0,0,0,10210,0
0x02048d9c,10165,20371,0,10181,0,0,0,0,10190,0,10165,20371,0,10181,0,0,0,0,10190,0
0x02048da4,10165,20352,0,20352,0,0,0,0,0,0,10165,20352,0,20352,0,0,0,0,0,0
0x02048da2,10165,20330,10165,0,0,0,0,0,10165,0,10165,20330,10165,0,0,0,0,0,10165,0
0x01fffb78,61122,671650,269320,0,0,402330,0,0,0,0,27009,296908,116577,0,0,180331,0,0,0,0
0x01fff4fc,756480,1377105,1377105,0,0,0,0,0,0,0,53474,97814,97814,0,0,0,0,0,0,0
0x020c0c10,19819,315056,-4313,47902,247278,2990,0,0,21199,0,13498,179939,-2125,29511,137336,1155,0,0,14062,0
0x0201321c,5875,24841,-104,13101,5959,0,0,0,5885,0,5875,24841,-104,13101,5959,0,0,0,5885,0
0x02001484,557287,14236306,-2349224,410496,15522588,652446,0,0,0,0,40631,820452,-132922,23552,890745,39077,0,0,0,0
0x0206b5cc,33098,1642034,-196224,32709,1662861,142688,0,0,0,0,7937,395651,-47274,7879,399260,35786,0,0,0,0
0x01ff90a0,52800,26781194,52800,0,0,0,369600,26358794,0,0,2640,1338986,2640,0,0,0,18480,1317866,0,0
0x0201bbf0,9216,18538,-103,9319,9306,16,0,0,0,0,9216,18538,-103,9319,9306,16,0,0,0,0
0x0201bbf8,9216,18517,-113,18630,0,0,0,0,0,0,9216,18517,-113,18630,0,0,0,0,0,0
0x0201bc18,9216,18512,0,18512,0,0,0,0,0,0,9216,18512,0,18512,0,0,0,0,0,0
0x0201bc64,9472,18971,0,9484,0,0,0,0,9487,0,9472,18971,0,9484,0,0,0,0,9487,0
0x0201bc0c,9216,18447,-58,18505,0,0,0,0,0,0,9216,18447,-58,18505,0,0,0,0,0,0
0x0201bb7c,9472,18956,0,9484,0,0,0,0,9472,0,9472,18956,0,9484,0,0,0,0,9472,0
0x0201bbb0,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbbc,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbc8,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbe0,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bb70,9472,18949,0,9472,0,0,0,0,9477,0,9472,18949,0,9472,0,0,0,0,9477,0
0x0201bbfc,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x0201bc10,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x0201bc34,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x02067b62,8576,34268,8576,0,0,0,0,0,25692,0,1507,5381,1507,0,0,0,0,0,3874,0
0x020132f8,5875,18083,145,17938,0,0,0,0,0,0,5875,18083,145,17938,0,0,0,0,0,0
0x0201bc6c,9472,16356,0,16356,0,0,0,0,0,0,9472,16356,0,16356,0,0,0,0,0,0
0x020c0b60,19819,144163,6396,130707,0,7060,0,0,0,0,13498,95383,3391,89081,0,2911,0,0,0,0
0x020c0cec,19819,284476,-8999,45391,217053,5377,0,0,25654,0,13498,145378,-4104,22376,108809,2213,0,0,16084,0
0x01fff5a6,699157,1232645,1232645,0,0,0,0,0,0,0,59440,109006,109006,0,0,0,0,0,0,0
0x02048ee6,12396,12734,-70,0,12800,4,0,0,0,0,12396,12734,-70,0,12800,4,0,0,0,0
0x01fff53a,191563,191571,191571,0,0,0,0,0,0,0,26221,26221,26221,0,0,0,0,0,0,0
0x01fff53c,191561,191565,191565,0,0,0,0,0,0,0,26221,26221,26221,0,0,0,0,0,0,0
0x01fff53e,191559,191559,191559,0,0,0,0,0,0,0,26221,26221,26221,0,0,0,0,0,0,0
0x01fff542,191559,191559,191559,0,0,0,0,0,0,0,26221,26221,26221,0,0,0,0,0,0,0
0x01fff548,189485,189485,189485,0,0,0,0,0,0,0,24929,24929,24929,0,0,0,0,0,0,0
0x01fff54a,189485,189485,189485,0,0,0,0,0,0,0,24929,24929,24929,0,0,0,0,0,0,0
0x01fff55e,191563,191571,191571,0,0,0,0,0,0,0,26221,26221,26221,0,0,0,0,0,0,0
0x01fff566,189853,189857,189857,0,0,0,0,0,0,0,24584,24584,24584,0,0,0,0,0,0,0
0x01fff568,189851,189851,189851,0,0,0,0,0,0,0,24584,24584,24584,0,0,0,0,0,0,0
0x01fff56a,189852,189854,189854,0,0,0,0,0,0,0,24584,24584,24584,0,0,0,0,0,0,0
0x01fff56c,189851,189851,189851,0,0,0,0,0,0,0,24584,24584,24584,0,0,0,0,0,0,0
0x01fff56e,189852,189854,189854,0,0,0,0,0,0,0,24584,24584,24584,0,0,0,0,0,0,0
0x01fff570,189851,189851,189851,0,0,0,0,0,0,0,24584,24584,24584,0,0,0,0,0,0,0
0x01fff572,189852,189854,189854,0,0,0,0,0,0,0,24584,24584,24584,0,0,0,0,0,0,0
0x01fff574,189851,191925,191925,0,0,0,0,0,0,0,24584,25876,25876,0,0,0,0,0,0,0
0x01fff576,187778,187780,187780,0,0,0,0,0,0,0,23292,23292,23292,0,0,0,0,0,0,0
0x01fff578,187778,187780,187780,0,0,0,0,0,0,0,23292,23292,23292,0,0,0,0,0,0,0
0x01fff57a,187777,187777,187777,0,0,0,0,0,0,0,23292,23292,23292,0,0,0,0,0,0,0
0x020b86a4,104370,314890,0,314890,0,0,0,0,0,0,51640,155840,0,155840,0,0,0,0,0,0
0x02048ece,12396,12481,1,0,12480,0,0,0,0,0,12396,12481,1,0,12480,0,0,0,0,0
0x01fff5c6,91459,131803,131803,0,0,0,0,0,0,0,18374,21633,21633,0,0,0,0,0,0,0
0x02048ed4,12396,12441,-213,258,12396,0,0,0,0,0,12396,12441,-213,258,12396,0,0,0,0,0
0x01fff5c0,91459,91459,91459,0,0,0,0,0,0,0,18374,18374,18374,0,0,0,0,0,0,0
0x01fff5c2,91460,91462,91462,0,0,0,0,0,0,0,18374,18374,18374,0,0,0,0,0,0,0
0x01fff5c4,91459,91459,91459,0,0,0,0,0,0,0,18374,18374,18374,0,0,0,0,0,0,0
0x01fff5c8,51115,51115,51115,0,0,0,0,0,0,0,15115,15115,15115,0,0,0,0,0,0,0
