region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2836486,6723466,2.370,0,514973,1822691,1832849,1182484,830657,298220,16502,0,225096,514967,0,0
911,1749242,5602002,3.203,0,932617,486489,1975684,1039372,188170,67416,38680,0,228253,1577938,0,0
1474,1020892,4482226,4.390,0,634069,650887,1151443,899321,172632,81186,17926,0,124927,1383904,0,0
281,1488092,4482164,3.012,0,662475,877306,1450195,857906,161481,83478,16554,0,138290,896954,0,0
353,1613641,4482112,2.778,0,675837,1046613,1431826,842011,153962,83184,17782,0,137325,769409,0,0
1207,925736,4482108,4.842,0,651485,537449,1100313,788317,149545,77521,16470,0,126791,1685702,0,0
1193,1277107,4481926,3.509,0,695017,598632,1417288,927753,154148,75779,16470,0,176396,1115460,0,0
1441,1282506,4481292,3.494,0,1014711,609994,1380647,846606,166608,81216,17594,0,176804,1201823,0,0
242,1117283,3362824,3.010,0,556319,649608,1151031,680945,121402,77216,16470,0,109839,556313,0,0
1443,995136,3362796,3.379,0,422463,621900,1112685,742621,136540,83894,17774,0,127645,519737,0,0
683,1094976,3362698,3.071,0,667299,659853,1093905,626345,118375,78951,16470,0,101506,667293,0,0
981,1049613,3362562,3.204,0,623783,604293,1129002,665949,136849,78785,19602,0,104305,623777,0,0
25,1167296,3362534,2.881,0,446779,697672,1200079,688395,120149,78924,16470,0,111023,449822,0,0
776,1115335,3362466,3.015,0,639035,649921,1105290,651940,113155,76288,16470,0,110373,639029,0,0
267,1084326,3362450,3.101,0,663305,636821,1101703,646543,116907,76883,16470,0,103824,663299,0,0
697,1109821,3362438,3.030,0,546407,636669,1160478,673991,133769,83752,16470,0,110908,546401,0,0
183,1059947,3362434,3.172,0,695655,623131,1090069,643223,113234,76832,16470,0,103826,695649,0,0
144,1129109,3362414,2.978,0,537689,654308,1158095,682997,124063,78204,16470,0,110594,537683,0,0
212,1187628,3362406,2.831,0,268001,700416,1222344,736376,129860,78245,16470,0,116802,361893,0,0
148,801348,3362398,4.196,0,1074231,555697,847580,591910,99833,77301,16470,0,99382,1074225,0,0
1172,796222,3362398,4.223,0,305623,536809,954915,752235,140481,77848,16470,0,106256,777384,0,0
1464,1114662,3362336,3.016,0,585453,653066,1145274,661065,115478,77017,17762,0,107227,585447,0,0
1492,1120612,3362316,3.000,0,547949,659547,1162641,667987,121277,78551,17698,0,106672,547943,0,0
1100,1040461,3362306,3.232,0,794701,598645,1040130,619246,115698,77460,16470,0,99962,794695,0,0
