pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2803,686539087,16818,0,0,0,0,0,0,686522269,417,41954671,2502,0,0,0,0,0,0,41952169
0x02006fb4,49152,244009,-23502,4062,200225,63224,0,0,0,0,49152,244009,-23502,4062,200225,63224,0,0,0,0
0x01fff4f6,756486,8894660,742606,0,0,8152054,0,0,0,0,51714,644334,51018,0,0,593316,0,0,0,0
0x01fff4f2,756482,8697460,754683,0,0,7942777,0,0,0,0,51713,632031,51618,0,0,580413,0,0,0,0
0x01fff4f4,756490,8745381,753029,0,0,7992352,0,0,0,0,51713,634422,51490,0,0,582932,0,0,0,0
0x02006fb8,49153,157283,-42941,157336,0,42888,0,0,0,0,49153,157283,-42941,157336,0,42888,0,0,0,0
0x01fffb74,61520,4697040,-184097,0,4679890,201247,0,0,0,0,15824,1195645,-47271,0,1191496,51420,0,0,0,0
0x01fff4f0,756478,6671878,162690,0,0,6509188,0,0,0,0,51713,486900,10602,0,0,476298,0,0,0,0
0x01fff592,767415,5122266,4600506,0,0,466464,55296,0,0,0,88356,1122823,1015958,0,0,51569,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff590,767396,12325551,-763425,0,6596681,6492295,0,0,0,0,88353,2139187,-159135,0,1085066,1213256,0,0,0,0
0x01fff5be,91490,563762,495696,0,0,68066,0,0,0,0,18044,93977,89806,0,0,4171,0,0,0,0
0x01fff538,192527,1037145,1002774,0,0,34371,0,0,0,0,26328,136041,134135,0,0,1906,0,0,0,0
0x01fff560,192526,1108212,89696,0,965963,52553,0,0,0,0,26327,130332,10369,0,116274,3689,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,49152,49169,0,49169,0,0,0,0,0,0
