region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2837059,6723266,2.370,0,510803,1821600,1838186,1184886,828011,298314,16470,0,225002,510797,0,0
1413,1452219,4482708,3.087,0,427941,812681,1550310,918517,153197,80516,17370,0,148966,801151,0,0
1441,1756362,4482620,2.552,0,186865,840658,1803207,979626,184752,84277,17594,0,197699,374807,0,0
1474,1010338,4482600,4.437,0,627013,591725,1209269,905655,177493,79162,17926,0,125152,1376218,0,0
1207,925699,4482478,4.842,0,1097543,536178,1097222,789263,150129,77524,16470,0,126946,1688746,0,0
341,1506387,4482348,2.976,0,543841,776378,1647539,973463,175772,79775,20796,0,169429,639196,0,0
2,1278678,4482260,3.505,0,1006015,784702,1316439,813177,153216,81048,16470,0,122461,1194747,0,0
1172,1264913,4482026,3.543,0,623259,762457,1358558,879535,163085,80915,16470,0,127184,1093822,0,0
1102,1256425,4482000,3.567,0,813183,806721,1218625,778030,151504,82441,16470,0,111981,1316228,0,0
1122,991836,4481680,4.519,0,989621,551993,1169002,834505,156762,77835,16470,0,123337,1551776,0,0
1193,1275202,4481560,3.514,0,691485,590315,1426824,927086,157105,75553,16470,0,176378,1111829,0,0
911,1646961,4481020,2.721,0,141045,469699,1847473,965401,172584,66973,38680,0,215376,704834,0,0
998,1149207,3363154,2.926,0,371397,650684,1219911,754713,133603,76661,16470,0,125710,385402,0,0
1443,995375,3363004,3.379,0,240039,613596,1126649,751301,140885,83849,17774,0,128285,500665,0,0
242,1118888,3362946,3.006,0,576113,647332,1141791,674971,119187,77181,16470,0,109907,576107,0,0
1116,1047583,3362886,3.210,0,485703,612714,1042664,628908,118032,77512,16470,0,99702,766884,0,0
1528,1217815,3362678,2.761,0,252735,729954,1256945,727436,135179,78687,16782,0,116943,300752,0,0
924,1153244,3362670,2.916,0,479351,702145,1190585,669014,126245,72247,16470,0,106619,479345,0,0
1342,935269,3362650,3.595,0,965231,540707,1009024,565187,116332,60142,19602,0,86431,965225,0,0
836,1077043,3362500,3.122,0,663305,642831,1105369,640616,115010,76615,16470,0,102290,663299,0,0
1468,716190,3362488,4.695,0,1083855,467487,823699,594852,111718,75420,17866,0,93885,1177561,0,0
793,1118008,3362456,3.008,0,627507,650024,1104583,660107,116510,76303,16470,0,110958,627501,0,0
281,990459,3362428,3.395,0,362159,569169,1111069,733722,139437,77898,16554,0,117799,596780,0,0
170,1206103,3362420,2.788,0,224965,672196,1243667,771540,141014,77567,16470,0,121640,318326,0,0
16,1163343,3362418,2.890,0,514177,708742,1152616,663146,122589,79501,16470,0,105183,514171,0,0
640,1080437,3362376,3.112,0,331970,618877,1129135,681505,122709,76316,16470,0,111037,606327,0,0
493,750194,3362362,4.482,0,960509,463125,904333,691686,135950,75771,16470,0,112274,962753,0,0
524,1064743,3362360,3.158,0,748555,622074,1069285,615830,113106,78409,16470,0,98637,748549,0,0
368,1220932,3362356,2.754,0,369365,699537,1274000,690568,122774,77316,17846,0,108750,371565,0,0
851,1049989,3362340,3.202,0,726991,613542,1080449,632198,114490,76032,16470,0,102174,726985,0,0
1228,1077006,3362324,3.122,0,656631,620816,1125269,640339,118211,77698,16470,0,106896,656625,0,0
910,1057563,3362298,3.179,0,642731,595473,1104527,640823,109870,58340,16470,0,101678,735117,0,0
1257,1162054,3362296,2.893,0,304925,690077,1195916,702451,118692,76907,16470,0,115591,446192,0,0
458,754787,3362278,4.455,0,1093527,492991,834334,599259,132396,86854,16502,0,106421,1093521,0,0
1385,1133882,3362272,2.965,0,271689,670420,1179678,692202,123379,77386,16782,0,112843,489582,0,0
582,1027275,3362270,3.273,0,762951,602707,1061294,625784,115957,76883,16470,0,100230,762945,0,0
1187,1073258,3362260,3.133,0,643885,610001,1109190,671956,124784,76479,16534,0,109437,643879,0,0
668,1143971,3362258,2.939,0,571513,676326,1130383,660560,117216,77631,16470,0,112165,571507,0,0
778,1210013,3362250,2.779,0,391999,693644,1226016,713835,117588,77378,16470,0,125326,391993,0,0
798,936650,3362248,3.590,0,260605,561076,1085020,742157,139011,76875,16470,0,111744,629895,0,0
866,1042268,3362236,3.226,0,746059,610012,1068023,631480,113458,75950,16470,0,100790,746053,0,0
718,947541,3362232,3.548,0,836257,701815,897575,618272,107510,82859,16470,0,101480,836251,0,0
1028,1055232,3362212,3.186,0,698555,613384,1099918,640319,112594,76865,16470,0,104113,698549,0,0
1072,1042790,3362210,3.224,0,714213,606268,1090737,639205,114647,76839,16470,0,103837,714207,0,0
612,1032698,3362172,3.256,0,767945,592069,1065294,629196,113865,76358,16470,0,100981,767939,0,0
765,1186264,3362172,2.834,0,467623,683103,1172956,703436,121275,76323,16470,0,120992,467617,0,0
735,1092011,3362160,3.079,0,587673,644009,1143643,666956,118781,77495,16470,0,107139,587667,0,0
249,793348,3362154,4.238,0,989683,512373,910096,633682,117529,76357,16470,0,104088,991559,0,0
74,1118383,3362132,3.006,0,637973,656819,1101439,649595,115073,76309,16470,0,108460,637967,0,0
223,925653,3362132,3.632,0,808023,581253,1006239,649288,115576,76286,16470,0,107119,809901,0,0
1357,1021677,3362124,3.291,0,564089,601317,1075100,632425,135011,78290,19602,0,98549,721830,0,0
1087,1103684,3362116,3.046,0,659945,646931,1086771,650118,115848,76288,16470,0,109751,659939,0,0
452,1126936,3362086,2.983,0,390405,649300,1174106,700888,141410,83502,16470,0,115642,480768,0,0
148,801364,3362080,4.195,0,1074093,552861,843942,595739,102276,77303,16470,0,99402,1074087,0,0
597,1077951,3362072,3.119,0,672301,636960,1093645,644932,118298,75986,16534,0,103422,672295,0,0
1507,681552,3362072,4.933,0,1113935,448725,819086,580948,95770,57376,17774,0,88649,1253744,0,0
1312,1145881,3362062,2.934,0,516021,694920,1170912,660642,125156,72295,16470,0,105652,516015,0,0
626,1135490,3362056,2.961,0,565743,669811,1135827,668854,114748,76889,16470,0,113720,565737,0,0
1013,1073850,3362042,3.131,0,669671,629469,1101809,644437,117023,76815,16470,0,106354,669665,0,0
658,855820,3362032,3.928,0,670493,521561,999483,675690,129813,82451,16470,0,115313,821251,0,0
1327,975295,3362028,3.447,0,894933,566840,1037535,577212,115506,61267,19602,0,89139,894927,0,0
1057,1054740,3362000,3.188,0,494867,618314,1111761,653561,118066,77818,16470,0,104714,661296,0,0
720,1383774,3361996,2.430,0,131901,916759,1246134,724310,125228,84965,16470,0,116235,131895,0,0
553,1047258,3361990,3.210,0,537699,600657,1051504,621032,113860,76147,16470,0,101400,780920,0,0
418,769940,3361958,4.367,0,1026817,516075,871800,629296,121782,77434,17790,0,100970,1026811,0,0
117,1052910,3361952,3.193,0,661017,609430,1081053,631055,118535,78095,16470,0,98424,728890,0,0
954,956325,3361952,3.515,0,902817,556480,1037033,580066,115792,60582,19602,0,89586,902811,0,0
1371,1039833,3361946,3.233,0,434327,594162,1127896,653976,135848,78859,19686,0,102483,649036,0,0
1400,1135974,3361944,2.960,0,489287,657626,1184665,699658,122255,76874,16978,0,114607,489281,0,0
1298,985405,3361942,3.412,0,943735,575628,1013644,570018,93108,57870,16470,0,91475,943729,0,0
28,770931,3361938,4.361,0,933427,490851,901483,632387,115313,76941,16470,0,102001,1026492,0,0
327,1084351,3361936,3.100,0,615629,637655,1137116,651991,121043,77301,17410,0,103797,615623,0,0
1498,748491,3361936,4.492,0,803519,490985,871396,611623,115110,77710,17870,0,97320,1079922,0,0
408,905028,3361932,3.715,0,950249,559229,971388,588553,106097,74729,17886,0,93807,950243,0,0
695,718438,3361906,4.679,0,1067287,453160,866512,639124,132128,81133,16470,0,103834,1069545,0,0
284,1070991,3361882,3.139,0,768967,646197,1051156,589848,114644,78508,16706,0,95862,768961,0,0
1144,1114312,3361880,3.017,0,489951,648285,1182887,689610,137644,84381,16470,0,112658,489945,0,0
680,854574,3361876,3.934,0,698507,555244,970448,665595,128111,77579,16502,0,105883,842514,0,0
561,878774,3361862,3.826,0,131621,553227,1033185,767606,154550,78224,16470,0,114342,644258,0,0
1543,1039870,3361860,3.233,0,760851,605305,1058395,628816,114661,76534,16470,0,100834,760845,0,0
1284,1149279,3361850,2.925,0,382901,652507,1187719,709648,130560,76356,16470,0,113155,475435,0,0
1201,1046972,3361836,3.211,0,777547,600107,1044443,627936,115344,76897,16470,0,103098,777541,0,0
152,972852,3361832,3.456,0,783189,588276,979666,617503,115830,75057,16470,0,94529,874501,0,0
