pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2820,694591530,16920,0,0,0,0,0,0,694574568,439,45707969,2634,0,0,0,0,0,0,45705335
0x02006fb4,49152,243231,-23473,4033,200584,62087,0,0,0,0,49152,243231,-23473,4033,200584,62087,0,0,0,0
0x01fff4f6,756487,8899820,742645,0,0,8157175,0,0,0,0,50486,628809,49822,0,0,578987,0,0,0,0
0x01fff4f4,756487,8749328,753003,0,0,7996325,0,0,0,0,50485,618515,50248,0,0,568267,0,0,0,0
0x01fff4f2,756484,8701242,754705,0,0,7946537,0,0,0,0,50485,615956,50397,0,0,565559,0,0,0,0
0x02006fb8,49152,157308,-43019,157351,0,42976,0,0,0,0,49152,157308,-43019,157351,0,42976,0,0,0,0
0x01fffb74,61440,4695904,-183857,0,4675332,204429,0,0,0,0,17200,1305151,-51354,0,1299705,56800,0,0,0,0
0x01fff4f0,756479,6676356,162446,0,0,6513910,0,0,0,0,50485,474742,10383,0,0,464359,0,0,0,0
0x01fff592,771937,5136585,4616411,0,0,464878,55296,0,0,0,89681,1129894,1021598,0,0,53000,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff590,771920,12325050,-765174,0,6603835,6486389,0,0,0,0,89678,2126797,-159695,0,1082668,1203824,0,0,0,0
0x01fff5be,91490,563014,495365,0,0,67649,0,0,0,0,17842,93108,89096,0,0,4012,0,0,0,0
0x01fff538,193839,1043771,1009307,0,0,34464,0,0,0,0,26535,137037,135176,0,0,1861,0,0,0,0
0x01fff560,193840,1117389,88922,0,973369,55098,0,0,0,0,26535,130575,10226,0,116858,3491,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,49152,49169,0,49169,0,0,0,0,0,0
0x02006faa,49153,49155,49155,0,0,0,0,0,0,0,49153,49155,49155,0,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006fb0,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fb2,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fba,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff594,771919,4351006,-265172,0,2702533,1913645,0,0,0,0,89678,389478,12215,0,216716,160547,0,0,0,0
0x01fff544,193839,578097,578097,0,0,0,0,0,0,0,26535,76331,76331,0,0,0,0,0,0,0
0x01fff564,193839,530507,193839,336668,0,0,0,0,0,0,26535,76417,26535,49882,0,0,0,0,0,0
0x01fff59c,771919,940723,23093,0,883108,34522,0,0,0,0,89678,127730,30315,0,95571,1844,0,0,0,0
0x01fff5bc,91489,1539484,-69080,0,611458,997106,0,0,0,0,17842,116064,-11525,0,74931,52658,0,0,0,0
0x01fff598,771922,891660,27337,0,801271,63052,0,0,0,0,89679,135764,30168,0,94434,11162,0,0,0,0
0x01fff5a0,771923,802653,802653,0,0,0,0,0,0,0,89678,120398,120398,0,0,0,0,0,0,0
0x02008282,1919651,3884491,1920493,1963998,0,0,0,0,0,0,1061850,2156748,1062330,1094418,0,0,0,0,0,0
0x020490b6,12396,37192,12400,24792,0,0,0,0,0,0,12396,37192,12400,24792,0,0,0,0,0,0
0x020131fc,9472,47738,0,28754,0,0,0,0,18984,0,8448,42552,0,25626,0,0,0,0,16926,0
0x020490d6,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x02048fc4,10354,31115,0,31115,0,0,0,0,0,0,10354,31115,0,31115,0,0,0,0,0,0
0x020490fc,10165,30579,29,30550,0,0,0,0,0,0,10165,30579,29,30550,0,0,0,0,0,0
0x02048f7a,10165,30512,10165,20347,0,0,0,0,0,0,10165,30512,10165,20347,0,0,0,0,0,0
0x01fff55c,193839,1073728,-43950,0,621828,258061,0,0,237789,0,26535,99810,-3530,0,56266,17009,0,0,30065,0
0x01fff596,771923,3030345,2446511,0,0,528538,55296,0,0,0,89679,259679,143890,0,0,60493,55296,0,0,0
0x01fff562,193841,576864,189186,0,193839,0,0,0,193839,0,26535,63376,10306,0,26535,0,0,0,26535,0
0x01fff540,193839,387696,186566,0,0,7291,0,0,193839,0,26535,53070,26132,0,0,403,0,0,26535,0
0x01fff54c,191765,381406,381406,0,0,0,0,0,0,0,25265,48754,48754,0,0,0,0,0,0,0
