frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1678016,331456,175872,4352,2752,1024,524800,96192,541568,521408,1156608,4544,960,519296,119744,1280,1856,225984,208128,704,1155584
440,1117504,327104,175424,4224,4928,960,305600,95680,203584,183424,934080,4160,960,300352,37888,1216,1984,139264,74944,512,933120
441,1678272,325952,178752,4352,2752,960,654912,130880,379712,359488,1318784,7424,960,649536,37312,1216,1856,434048,87232,640,1317824
442,1117120,330944,178048,4224,2752,1088,342720,127872,129472,110080,1007040,6912,960,337280,37632,1152,1920,137472,73792,640,1005952
443,1118016,328384,177088,4352,2880,1088,353344,121600,129280,109952,1008064,6784,1024,347712,46272,1280,1984,146496,74560,704,1006976
444,1678400,331712,175680,4288,2752,415168,350848,120768,277184,256896,1421504,6400,1024,345472,46016,1280,1856,147392,74176,704,1006336
445,1117184,329472,177152,4352,2816,1024,349952,116736,135680,116224,1000960,6272,1088,344448,46400,1216,1856,145984,73600,704,999936
446,1117632,328384,176832,4288,2880,1024,344832,115072,144320,124928,992704,6400,1024,339456,43456,1152,1920,141504,73600,640,991680
447,1117696,329536,175104,4288,2688,1024,304768,107456,192832,173312,944384,6528,960,299328,896,1216,1856,97344,76416,704,943360
448,1118016,333760,176832,4288,2816,1024,465472,107904,25920,5888,1112128,6528,896,460032,2624,1344,1856,260928,76288,640,1111104
449,1118144,326528,175168,4352,129024,1024,352384,107328,22336,2176,1115968,6336,1024,346944,48576,1152,1920,145984,77824,704,1114944
450,1677632,324032,176384,4352,2880,1024,556992,120512,491456,471744,1205888,6336,896,551616,22848,1344,2048,328832,96640,640,1204864
451,1117696,327552,177344,4288,2944,960,306304,118848,179456,159616,958080,6528,1024,301056,832,1152,1856,91008,84544,704,957120
452,1117632,323456,176064,4352,2816,960,304000,120192,185792,165632,952000,6208,960,298624,896,1344,1984,91968,82240,768,951040
453,1117376,324992,176064,4224,2880,1024,392128,119040,97024,77568,1039808,6464,1024,386752,1600,1216,1984,171008,89280,704,1038784
454,1117888,326912,174976,4288,2880,1088,335552,120192,152000,132352,985536,6400,1088,330048,25088,1408,2048,117248,88256,576,984448
455,1117952,327360,176512,4288,2880,960,354752,111808,139392,119488,998464,6272,1024,349312,48320,1280,1792,141824,82688,640,997504
456,1117504,329280,174784,4288,2816,1024,347008,112320,145984,126144,991360,6656,960,341568,43328,1216,2048,135808,82176,640,990336
457,1678016,305216,177024,4352,2816,1088,603392,117696,466432,446464,1231552,6528,960,598016,33792,1408,1856,252160,218240,640,1230464
458,1678400,302592,176576,4224,5312,416832,354688,122304,295872,275200,1403200,6272,1024,349184,44352,1216,1984,149184,70528,576,986368
459,1117696,304576,176640,4352,4160,1152,379072,123456,124288,103936,1013760,6592,1024,373568,61440,1280,1856,171968,74048,704,1012608
460,1117568,305024,176448,4288,2816,1088,382784,124160,120960,100800,1016768,6656,960,377344,61120,1280,1856,176320,74304,640,1015680
461,1677568,301696,176512,4288,3008,1024,497728,123328,569984,550400,1127168,7936,1024,492480,62016,1216,1856,275520,87808,704,1126144
462,1117760,305600,177408,4288,3008,1088,400768,124160,101440,81856,1035904,8256,1088,395264,61184,1280,1728,179648,86912,768,1034816
463,1117888,302144,177152,4352,4160,1024,422208,123712,83136,63488,1054400,9344,1024,416768,61504,1216,1856,187776,99840,640,1053376
464,1117760,300992,175936,4416,4224,960,413440,116992,100800,80960,1036800,7552,960,408192,62080,1408,1856,191168,87488,704,1035840
465,1117504,302528,176448,4352,5568,1024,446336,112640,68608,48704,1068800,8000,960,440896,61888,1344,1920,225344,86720,768,1067776
466,1117952,303680,177344,4352,5504,1088,407104,114240,104640,84800,1033152,9728,1024,401600,62848,1280,1920,175104,97280,704,1032064
467,1118080,298752,178048,4352,4352,69440,391744,113664,57728,37504,1080576,7744,960,386432,64832,1152,1856,173184,86848,640,1011136
468,1117504,301952,176448,4352,5184,960,379968,112320,136320,116416,1001088,8256,1024,374656,65344,1152,1984,162560,85760,576,1000128
469,1677888,303360,176000,4224,130176,1024,408512,112704,541888,522112,1155776,9536,960,403072,65280,1152,1792,177600,97152,640,1154752
470,1117632,300288,175040,4352,4096,960,395456,111936,125504,105728,1011904,7744,1024,390016,66496,1216,1920,177984,86080,640,1010944
471,1117824,305920,178304,4288,5056,960,389440,112256,121600,101824,1016000,8128,960,384000,65984,1152,1984,170048,86400,768,1015040
472,1678208,299712,174464,4224,3072,414400,471104,83328,227904,207552,1470656,7040,896,465728,73856,1280,1920,272832,98176,640,1056256
473,1117056,304320,175104,4288,5120,1088,343936,82880,200320,180224,936832,4288,960,338624,69760,1152,1920,180864,73984,768,935744
474,1118016,304320,175552,4224,5696,1024,343424,83072,200704,181184,936832,4096,1024,337984,70848,1088,1920,185024,69824,640,935808
475,1117568,302784,176128,4352,5056,1024,346368,82240,199616,180160,937408,4224,896,340928,70912,1152,1984,184448,72832,640,936384
476,1117632,301632,173952,4288,5632,1088,418624,82752,129664,109952,1007680,4224,960,413312,71744,1408,1792,253888,75200,704,1006592
477,1118144,297664,175936,4352,4992,960,462208,83072,88960,69056,1049088,4416,960,456768,70912,1280,2048,296320,76352,640,1048128
478,1117248,299264,176640,4224,3264,1024,324096,83136,225600,206016,911232,4544,1024,318592,70016,1024,1920,160256,74560,576,910208
479,1117888,301440,174464,4224,1600,960,332416,82880,219904,199872,918016,4288,960,327104,73472,1216,1856,165248,77824,576,917056
480,1118016,298752,174592,4352,1664,1088,335872,83008,218688,198656,919360,4288,960,330432,73408,1088,1792,170560,75712,704,918272
481,1117440,301632,173760,4352,1536,960,347136,83840,204224,184384,933056,4288,1024,341696,73664,1216,1856,178240,80192,640,932096
482,1117824,299776,175360,4352,1472,1024,376192,82496,177152,157120,960704,4480,1024,370688,115840,1088,1920,210560,76864,576,959680
483,1117696,298688,175168,4288,1600,1088,512064,82816,41984,22272,1095424,4096,896,506624,118144,1152,1984,341952,80576,768,1094336
484,1117760,297728,174336,4288,1600,960,375104,81920,181824,161984,955776,4160,960,369856,112320,1152,1792,208960,77824,576,954816
485,1117440,299840,175232,4224,1536,960,382336,81536,171776,151872,965568,4096,960,377088,109440,1152,1920,216320,76864,512,964608
486,1117888,299392,176448,4352,2112,960,439872,96704,98048,78144,1039744,4096,1024,434368,35136,1024,1792,149312,201856,576,1038784
487,1678208,303168,176512,4288,4928,414592,292160,95936,386624,366208,1312000,4352,1088,286592,35456,1088,1856,143808,56256,576,897408
488,1117312,304512,174272,4416,3328,1088,293248,97088,239360,219776,897536,4352,1024,287872,35392,1152,1856,145408,55232,640,896448
489,1117888,307392,173952,4288,1536,1088,493696,96640,39296,19520,1098368,4288,1088,488064,116352,1280,1920,345408,55872,704,1097280
490,1678016,301824,176000,4416,126720,1024,444544,97344,526144,505856,1172160,4352,896,438976,116992,1152,2048,295296,57152,640,1171136
491,1117696,302848,176704,4288,1472,960,364800,95680,170944,151040,966656,4480,1152,359168,116224,1216,1984,215552,56512,576,965696
492,1117824,302528,175360,4352,1600,960,363072,94720,175232,155520,962304,4416,960,357632,115392,1280,2048,214656,56768,576,961344
493,1117696,302912,175808,4352,1600,1088,366080,96064,169792,150016,967680,4416,1024,360640,115712,1216,1792,217728,56896,640,966592
494,1117952,302400,173888,4416,1472,1024,364416,81536,188800,168768,949184,4352,960,359168,113152,1088,1920,215552,56576,832,948160
495,1117696,301184,174976,4416,1600,1024,365248,82752,186496,166784,950912,4416,1024,359744,116096,1216,1984,220032,56320,640,949888
496,1117440,300608,174976,4416,1536,1088,279744,83136,271936,252416,865024,4288,1024,274432,34560,1408,1920,134976,56192,576,863936
497,1118400,300288,173632,4288,1472,70656,280384,85248,202432,181888,936512,4352,960,275008,35072,1216,2112,135424,55232,704,865856
498,1117184,302528,177280,4416,1536,896,282944,81280,266304,246720,870464,4544,960,277504,33920,1152,1920,137152,56384,704,869568
499,1117888,300352,174528,4288,1536,1088,281664,82496,271936,252096,865792,4416,960,276096,34816,1216,1920,137600,55680,576,864704
500,1118016,299328,175616,4288,1472,960,283072,82880,270400,250112,867904,4288,1024,277568,34944,1280,1920,137664,55936,640,866944
501,1678016,302144,174592,4288,1408,414208,280064,83456,417856,397376,1280640,4480,960,274624,34048,1088,1920,134976,56064,704,866432
502,1117376,301504,173632,4416,1600,1024,284416,82496,268288,248384,868992,4352,1024,279296,34752,1088,1920,139072,56192,704,867968
503,1117632,301632,174592,4352,1536,1024,283968,83584,266944,246976,870656,4416,1024,278464,34944,1280,1920,138560,56256,704,869632
504,1117632,302400,174272,4288,1472,1024,280576,83136,270464,250688,866944,4480,1024,275008,35008,1280,1856,135872,56256,576,865920
505,1117888,300288,174208,4288,1536,1024,386112,82048,168384,148352,969536,4352,960,380928,36864,1152,1920,242432,54912,576,968512
506,1117760,299584,176576,4416,1472,1024,466560,82944,85184,64960,1052800,4160,1088,460992,123200,1344,1792,309888,68480,640,1051776
507,1117568,303360,173952,4416,1600,1024,391424,82944,158848,138944,978624,4224,1088,385920,123648,1024,1984,224640,77696,640,977600
508,1117440,302976,175104,4288,1600,1024,393664,82240,156544,136960,980480,4416,960,388416,124160,1152,1792,227008,78080,576,979456
509,1118080,300224,174528,4352,1536,1088,387840,82880,165632,145984,972096,4352,960,382400,123584,1216,1792,221504,77376,576,971008
510,1117952,302016,174656,4288,1600,4416,388032,83264,159680,139520,978432,4160,1024,382656,129920,1216,1984,221120,77056,640,974016
511,1117568,300416,174656,4288,92160,1088,352512,82624,109824,89408,1028160,4480,1024,346816,88704,1216,1856,185344,77248,640,1027072
512,1117824,299904,175296,4352,1472,1024,356160,83264,196352,176320,941504,4416,896,350848,87936,1152,1984,182720,85312,704,940480
513,1117760,304320,175744,4288,1536,1024,351616,82816,196416,176832,940928,4160,1024,346176,88192,1216,1792,185792,77184,640,939904
514,1117696,302144,176704,4288,1600,960,348096,83200,200704,180864,936832,4160,1024,342784,83520,1344,1984,177728,82112,640,935872
515,1117632,302336,175680,4288,1600,1024,262336,82240,288128,268032,849600,3968,960,256768,896,1152,1920,96064,78336,512,848576
516,1678400,303616,175744,4288,1600,413504,260800,82432,436416,415552,1262848,4160,1024,255488,896,1216,1920,94784,77632,704,849344
517,1117120,301632,175104,4352,1664,1024,378432,97728,157184,137472,979648,4544,1024,373248,1856,1088,1856,206016,81408,640,978624
518,1118080,302400,176192,4288,1472,960,326400,96960,209408,189440,928640,4224,1024,320960,41536,1152,1792,161344,74688,640,927680
519,1117440,296768,174336,4288,1600,1088,459712,96896,82752,63168,1054272,4224,1088,454336,83328,1024,2048,293568,75200,640,1053184
520,1117952,302016,175680,4416,1536,1024,370176,95680,167424,147584,970368,4224,960,364736,96576,1152,1920,204352,74880,704,969344
521,1677952,300160,177152,4352,2688,1088,559104,110208,523200,503168,1174784,4288,896,553728,960,1216,1920,263552,200256,640,1173696
522,1117760,302272,176320,4352,2752,960,268032,111424,251648,231744,886016,4032,960,262592,960,1152,2048,96960,78912,704,885056
523,1117696,301376,175232,4352,2624,1088,273472,110400,249152,229312,888384,4032,960,268032,1024,1088,1920,99584,81216,704,887296
524,1678080,295424,176704,4288,2752,1024,513216,144448,540224,520128,1157952,83904,1024,507776,1344,1280,1856,199680,134464,704,1156928
525,1117376,296832,176768,4288,2688,960,443904,131136,60800,41408,1075968,164608,896,438464,1536,1408,2176,100096,77312,640,1075008
526,1117760,299648,177216,4352,2944,1088,331584,122624,178304,158208,959552,6784,1024,326208,49344,1152,2048,144832,80384,576,958464
527,1118080,301440,175424,4416,4992,69760,277568,124736,159744,139072,979008,6848,1024,272128,1664,1024,1984,95360,77440,640,909248
528,1117568,300032,177408,4352,4032,1088,282048,122880,225728,206080,911488,6912,960,276672,1472,1280,2112,98176,77760,640,910400
529,1117504,299968,176256,4352,2816,1024,304384,122432,206272,186432,931072,6976,1088,298944,24320,1280,1920,118720,79744,704,930048
530,1678464,301824,177024,4288,2752,414656,336640,134144,307136,286592,1391872,7232,1024,331200,47808,1344,2048,145088,77824,704,977216
531,1117248,299968,176832,4288,129536,1088,332800,128640,44096,24192,1093056,6784,1024,327424,46400,1280,2048,146304,75968,640,1091968
532,1117824,300800,177728,4352,2880,1024,323712,126656,180672,160768,957056,6912,960,318336,46656,1216,2048,143168,76800,640,956032
533,1118016,298944,175616,4288,2816,960,326208,128704,180480,160128,957888,6720,896,320896,46592,1280,1856,146752,76096,512,956928
534,1117440,300352,175552,4288,4800,1024,324672,129280,177472,157504,959936,6912,1024,319232,41664,1344,1920,143872,75968,768,958912
535,1117632,301312,175040,4352,3264,960,332160,110400,190144,170304,947328,6848,1088,326656,50176,1280,1984,150080,75968,576,946368
536,1117888,301824,175744,4352,1536,1024,325312,97728,210368,190720,927168,6464,960,319680,49216,1216,2048,145984,76288,704,926144
537,1118272,300800,175808,4352,1536,1024,332800,94912,207040,186752,931520,6656,960,327488,51008,1280,1856,151808,78848,832,930496
538,1117248,299776,178112,4352,1536,1024,331328,96768,204352,184576,932672,6656,1024,325952,50112,1152,1792,152064,77376,576,931648
539,1117568,299072,177216,4288,1472,960,466240,95872,72448,52672,1064896,7104,960,460672,97728,1152,1856,286144,76992,704,1063936
540,1118144,300032,174720,4288,1536,1024,335424,97216,203904,183872,934272,6784,1024,329984,49920,1280,1920,152768,80512,640,933248
541,1117504,302400,175680,4352,1600,960,373888,96640,161984,141952,975552,6464,960,368576,46336,1024,2048,195264,76416,704,974592
542,1117760,300160,178112,4352,1536,1088,281280,96128,255104,235584,882176,6848,1024,275648,960,1152,1920,95744,83456,640,881088
543,1117632,300160,175424,4288,1408,1088,361664,108096,165504,145472,972160,6848,960,356224,1664,1152,1984,175296,76416,640,971072
544,1117952,299840,175232,4352,1600,1152,302016,109248,224512,204416,913536,6976,1024,296576,23168,1344,1920,125120,75264,640,912384
545,1677952,304000,174976,4416,2176,477120,458560,121216,135488,114944,1563008,57344,1088,452992,832,1152,118528,103936,83264,704,1085888
546,1117440,301696,176512,4352,2752,1024,206656,124864,299584,279616,837824,9472,1024,201216,768,1216,1792,8064,66560,576,836800
547,1117760,303296,177088,4352,2816,1088,181888,124608,322624,302912,814848,9536,960,176448,1600,1088,1792,8512,64448,768,813760
548,1117504,299392,175296,4288,2944,1024,339456,130112,164992,145216,972288,9664,1024,334080,43520,1216,1920,140160,89216,640,971264
549,1117888,299264,176832,4416,2880,1024,303808,129408,200256,180800,937088,9536,960,298432,1408,1280,1920,102592,90880,704,936064
550,1117632,300352,176960,4224,2752,960,421696,148160,62528,42880,1074752,6656,1024,416128,40256,1152,1920,143872,167360,704,1073792
551,1117888,300800,174912,4416,4928,1024,265984,136576,229248,209088,908800,6784,1024,260544,1600,1280,1984,101504,55296,704,907776
552,1118016,300480,175744,4096,4992,1024,300672,135232,195776,175488,942528,6208,1152,295168,42240,1216,2048,138624,54400,640,941504
553,1117440,300608,177088,4352,129600,1024,269504,140544,94720,74240,1043200,6464,1024,264064,960,1216,1984,100416,58176,704,1042176
554,1117632,303168,177856,4352,2880,960,264576,130496,233344,213376,904256,7168,1024,259200,1024,1152,1856,99136,54784,576,903296
555,1117632,299584,175744,4416,2880,1024,258368,128960,246656,227072,890560,6720,896,253056,1536,1280,2048,98240,55936,640,889536
556,1118144,302336,176512,4352,2752,960,255232,129536,246464,226496,891648,6400,960,249920,1344,1152,2048,96000,55168,704,890688
557,1117696,302528,177600,4288,2752,70784,347840,130688,81216,60800,1056896,6848,896,342528,86912,1152,1984,187648,55104,640,986112
558,1117376,302912,175040,4288,2688,960,299584,129728,202176,182336,935040,6720,1024,294016,40320,1152,1920,139712,55296,640,934080
559,1117888,301632,175232,4288,2752,960,257216,117760,258048,238272,879616,6784,1024,251968,1024,1152,1984,97216,55296,640,878656
560,1678208,301760,176064,4288,2816,414976,262592,116928,398784,378368,1299840,6720,1024,257152,896,1216,1920,102592,55936,576,884864
561,1117184,301888,176512,4288,2816,1024,259840,115648,255168,235520,881664,6656,960,254592,1536,1024,1856,100928,55232,640,880640
562,1117568,300736,174784,4352,2880,960,269504,116864,247488,227712,889856,6592,896,264192,1920,960,1856,102144,55168,640,888896
563,1118016,299776,177344,4288,2880,1024,358144,115456,159104,139392,978624,7104,1024,352704,87488,1280,1728,185792,54848,704,977600
564,1117952,300480,180288,4416,2816,1088,404672,109760,114432,94656,1023296,6976,1024,399232,108736,1280,1920,208320,55616,640,1022208
565,1117568,304768,182656,4288,2816,1024,328128,96704,197184,177472,940096,6720,960,322560,41024,1216,1984,142144,55552,704,939072
566,1117440,300288,182592,4288,2624,1024,290112,96640,239872,220352,897088,6720,960,284672,1024,1216,1920,98880,55232,640,896064
567,1117440,302592,182912,4352,2816,960,294144,95744,233920,214336,903104,6464,960,288896,1664,1216,1984,100288,55872,640,902144
568,1118080,301760,182976,4160,2688,1024,292160,96448,236864,217152,900928,6720,1024,286720,1408,1216,2048,97344,54976,640,899904
569,1117696,300928,182848,4416,2752,1024,333888,96640,195200,175296,942400,6784,960,328512,40768,1216,1984,139648,58048,640,941376
570,1678016,303936,181696,4288,2880,960,619520,97664,467072,447168,1230848,6592,1152,614144,1344,1088,1856,422784,60416,704,1229888
571,1117760,301568,177408,4416,2944,1088,286656,97280,246400,226176,891584,6592,960,281280,1344,1280,2048,104320,56384,512,890496
572,1117632,301312,175552,4352,2944,960,473664,115584,43264,23232,1094400,6592,1024,468160,24512,1152,1792,268736,74880,768,1093440
573,1117952,301312,175552,4288,5184,960,420992,114816,94848,74560,1043392,6400,1024,415552,1600,1280,2112,221504,76736,768,1042432
574,1677952,300800,175616,4352,129664,413952,309696,117760,226112,205376,1472576,6912,960,304192,1408,1344,1920,102848,83520,704,1058624
575,1117440,301952,181824,4416,2880,1024,377536,116416,131392,111552,1005888,6784,1024,372096,43648,1216,1856,144448,82432,768,1004864
576,1117632,301440,181376,4352,2880,1024,324096,115136,187328,167616,950016,6272,960,318720,1024,1216,1984,112640,76864,640,948992
577,1117696,298112,182528,4288,2880,960,460032,122816,46080,26496,1091200,6592,960,454528,1408,1152,1856,110400,206144,704,1090240
578,1117888,302656,179584,4416,5696,960,310592,128128,185856,165824,952064,6592,1024,305280,1408,1280,1920,91584,71168,704,951104
579,1118144,299392,183168,4352,5632,960,345152,125440,154048,133568,984576,6592,960,339648,49152,1280,2048,137472,70080,640,983616
580,1117312,299584,182912,4288,4480,1024,299328,125248,200448,180608,936704,6720,960,293952,1088,1152,1792,90560,71680,640,935680
581,1117824,300480,182272,4352,2816,1024,280576,126656,219648,199808,918016,6656,960,275264,960,1152,1920,91072,69696,576,916992
582,1117696,299328,175680,4352,2752,960,274368,126528,233728,213888,903808,6656,1088,268736,896,1088,1920,96832,69824,576,902848
583,1118016,303168,175360,4288,2752,1024,356864,126336,148224,127936,990080,6720,1024,351552,1344,1152,1920,180224,68544,640,989056
584,1117568,302272,177280,4352,2816,1088,361088,126400,142272,122624,994944,6848,1024,355712,1472,1280,1856,183616,68160,576,993856
585,1118080,300928,176064,4480,3904,960,446400,127488,57856,37760,1080320,6400,1024,440960,43200,1152,1920,269248,67840,704,1079360
586,1677440,299008,176832,4288,5184,1024,566016,141888,483200,463424,1214016,13760,1024,560704,43072,1216,1984,317952,130688,768,1212992
587,1678656,297280,178752,4352,4160,70656,428992,134912,559552,538816,1139840,14528,1024,423488,89152,1216,2048,194304,117568,704,1069184
588,1677632,296128,177088,4288,2752,409152,586368,131904,69952,49536,1628096,182336,960,580928,45568,1152,2112,167680,134848,640,1218944
589,1677696,295424,176192,4352,2816,1024,838464,122240,237184,217216,1460480,350272,960,833024,1024,1152,2112,247104,138304,704,1459456
590,1677440,297088,176320,4224,2752,960,532288,121664,542144,522688,1154752,198784,960,526848,1536,1152,1984,110016,122304,640,1153792
591,1678080,298368,176192,4416,2752,1024,530496,121088,543744,524288,1153792,197568,1024,525056,1408,1344,1984,106368,125440,576,1152768
592,1678144,298880,176000,4288,2816,1024,574272,109312,511552,491776,1186368,195904,960,568768,44352,1280,1984,150464,125376,640,1185344
593,1677568,296320,176192,4352,131456,1024,553152,110464,404608,384256,1293312,167552,1024,547648,43840,1152,1984,154432,131392,704,1292288
594,1117760,296640,176000,4288,4800,1024,361216,105728,168064,147712,970048,7168,1024,355776,37440,1152,1792,142720,116352,640,969024
595,1117696,298432,176320,4416,3968,1088,349120,95680,188672,168832,948864,7040,1024,343680,31040,1216,1792,138368,115968,640,947776
596,1118144,299904,178496,4416,2880,1024,345408,96192,189824,169600,948544,7104,1024,340032,31296,1088,1984,135168,116224,576,947520
597,1117760,301696,175872,4352,2816,960,346688,94592,190784,170432,947328,3904,1024,341248,56640,1280,1856,162816,92480,640,946368
598,1117376,301952,176192,4352,2688,1024,366464,95168,169536,149952,967424,4288,960,360960,72512,1152,1856,182400,92544,640,966400
599,1117888,300672,176256,4288,2752,1024,462784,102912,67200,47616,1070272,4224,1024,457216,73664,1152,2048,179648,190400,704,1069248
600,1117824,301824,176896,4288,4928,1024,357824,103168,167872,148032,969792,4224,1024,352320,74688,1152,2048,187264,77568,704,968768
601,2238080,304960,180160,4352,2880,412544,499584,268992,564608,544256,1693824,4224,960,494400,64256,1216,1984,320384,85248,576,1281280
602,1117568,301312,179776,4288,2944,1024,427968,165120,35136,15296,1102272,4480,1024,422656,39488,1152,1856,250944,83264,576,1101248
603,1117632,302656,176960,4224,5120,960,422912,163648,41152,21696,1095936,4352,960,417536,39104,1216,1792,243712,86848,768,1094976
604,1117568,305792,177600,4224,4992,1088,417600,165888,40384,20864,1096704,4352,1088,412032,39360,1024,1792,242304,84032,704,1095616
605,1677952,304000,176448,4224,4224,1024,485184,165056,537792,518080,1159872,4032,1024,479872,39232,1216,1792,308800,84928,576,1158848
606,1117952,304768,176896,4352,2688,1088,398656,165376,64128,44096,1073856,4352,960,393280,39360,1216,1856,224512,82624,704,1072768
607,1678016,303488,176320,4288,2752,960,576832,165376,448000,427904,1250112,4480,1024,571328,56704,1152,1920,246784,237888,640,1249152
608,1117440,302720,176704,4288,5440,1024,346112,171200,109952,90176,1027264,4160,896,340800,960,1152,1920,190208,60608,704,1026240
609,1118080,306432,175296,4352,4224,1024,399232,104320,123200,102912,1015168,4224,1088,393856,1216,1088,1856,248320,58432,640,1014144
610,1117568,304064,175744,4352,2752,1024,260864,102336,266432,246528,871040,4288,1024,255424,8704,1152,1856,112704,56448,640,870016
611,1117824,304384,176192,4288,3776,1024,251584,103424,273152,253184,864640,4672,1152,246080,1280,1152,2048,102528,56576,704,863616
612,1117696,305152,176128,4352,131072,1024,250432,103296,146240,126272,991424,4224,1024,244672,1536,1216,2240,97024,57088,704,990400
613,1117696,301376,175360,4416,3328,960,284416,104192,243648,223744,893952,4288,1024,278912,36928,1088,2112,136064,55616,576,892992
614,1117952,303104,173696,4352,1472,1024,281088,103424,249792,229952,888000,4160,896,275904,37376,1152,1920,133760,55616,640,886976
615,1678016,304064,175936,4352,1536,411584,422272,104256,254016,233536,1444480,4480,960,416896,45248,1216,1856,272576,57472,704,1032896
616,1117376,301376,174976,4352,1600,1024,300928,103232,229888,209920,907456,4224,1088,295616,52992,1344,1984,152768,57024,640,906432
617,1117888,302848,175040,4352,1600,70720,294912,105856,162560,142464,975424,4416,1024,289472,44480,1024,1920,145024,57792,640,904704
618,1117184,301888,176128,4288,1600,1024,305600,103488,223168,203712,913472,4288,1088,300096,52480,1024,1856,157888,56000,704,912448
