frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1678016,329408,175424,4352,2752,1024,524160,96320,544576,524672,1153344,4288,1024,518784,118080,1216,1856,224704,209792,704,1152320
440,1117376,328768,174976,4224,4992,960,307456,96704,199296,179264,938112,4224,1024,302080,38080,1216,1856,140224,74944,704,937152
441,1678208,326528,177920,4288,2752,1024,653376,129984,382336,362560,1315648,7232,960,647936,37568,1088,1792,433792,87104,768,1314624
442,1117312,329344,177664,4224,2752,1088,343424,129152,129664,110016,1007296,7296,1024,337792,37376,1280,1920,137088,74176,640,1006208
443,1118016,328768,176128,4224,2944,960,352320,121216,131456,111808,1006208,6784,960,346944,46016,1152,1856,145984,75264,640,1005248
444,1678208,327168,175040,4224,2816,414464,352384,120704,281408,260992,1417216,6272,1024,347136,45952,1216,2048,148288,74368,704,1002752
445,1117504,329216,176192,4352,2752,960,350272,116096,137664,117952,999552,6336,1024,344768,47040,1280,1856,146368,73664,704,998592
446,1117184,329408,178432,4160,2688,960,344832,114432,142272,122752,994432,6528,1024,339392,42944,1152,1792,141184,74304,704,993472
447,1117952,327872,176768,4352,2752,1024,304064,105856,195264,175424,942528,6400,1024,298816,1024,1024,1920,97728,76352,640,941504
448,1117568,334528,177536,4288,2880,1024,466176,106944,24192,4608,1112960,6208,1024,460608,2496,1152,1984,261632,75712,512,1111936
449,1677888,329152,175744,4416,129728,1152,353152,106880,577664,557440,1120448,6720,1152,347520,48960,1216,1856,146240,76992,640,1119296
450,1677824,327040,175680,4352,2688,960,555584,118656,492864,473344,1204480,6336,896,550016,22848,1408,2048,328000,96512,640,1203520
451,1117760,328576,176896,4352,2880,1024,305088,120512,178432,158528,959232,6336,1152,299712,896,1280,1856,91968,83392,640,958208
452,1117632,325504,176320,4416,2880,1088,303744,120960,182720,162752,954880,6464,960,298368,896,1344,1792,91648,82240,704,953792
453,1117632,326784,175488,4224,2688,1024,391680,119168,96576,76992,1040640,6528,1024,386304,1472,1408,1792,171840,89216,704,1039616
454,1117696,328128,176128,4416,2816,960,333056,120256,151936,131776,985920,6208,1024,327552,25216,1344,1856,117056,87232,704,984960
455,1117824,328896,176448,4416,2880,1024,353344,111808,139008,119232,998592,6080,960,347904,47872,1024,1856,141184,82560,640,997568
456,1117440,328576,176000,4288,2880,1024,348672,112448,143552,123840,993600,6656,1024,343296,43840,1216,1920,136512,82304,640,992576
457,1678144,303488,175552,4352,2816,1088,601856,117888,471104,451136,1227008,6400,960,596352,33216,1536,1792,251648,217728,640,1225920
458,1678400,302720,177600,4224,5184,416512,354688,123520,293952,273408,1404992,6720,1088,349376,44288,1152,2112,147712,70976,640,988480
459,1117440,303488,176320,4416,4352,1088,378560,123264,125952,105600,1011840,6656,960,373184,61504,1344,1920,171776,74496,576,1010752
460,1117312,303168,175232,4416,2816,960,382208,124160,124352,104320,1012992,6784,960,376832,60864,1344,1728,175424,74432,640,1012032
461,1678080,302720,175616,4288,3008,960,499520,122432,569536,549440,1128640,7872,1024,494016,61760,1216,1792,275904,88960,640,1127680
462,1117568,306432,176064,4288,3072,1024,398720,123072,104896,85120,1032448,7936,1088,393216,61248,1216,1856,178688,86464,640,1031424
463,1117888,305280,175168,4288,2944,960,424576,124416,80256,59968,1057920,9728,960,419328,62144,1152,1920,190464,99712,768,1056960
464,1117632,302976,176448,4224,3008,1024,410944,118656,100352,80192,1037440,7936,1024,405440,60992,1280,1856,189376,86912,640,1036416
465,1117760,302976,176512,4288,5632,1024,446656,112896,67776,47680,1070080,8448,1024,441216,60992,1280,1792,226240,87232,576,1069056
466,1117824,301696,177536,4352,5312,1024,406528,111872,109504,89664,1028160,9408,960,401152,62400,1152,1792,176192,97088,640,1027136
467,1117888,299776,176768,4352,4288,69696,390272,114944,57792,37120,1080768,7552,1024,385024,64128,1344,1792,172288,86528,640,1011072
468,1117376,304640,180544,4288,5248,1024,380352,113344,127936,107776,1009600,8192,1024,374784,65152,1152,1920,163136,85056,640,1008576
469,1677632,301760,177472,4288,132160,1088,409152,112896,538816,519104,1158528,9408,1024,403584,66048,1216,2112,177600,97664,768,1157440
470,1117888,301120,176384,4352,4800,1024,394368,111744,124096,104064,1013824,7872,1024,388800,65344,1280,1856,176128,85952,704,1012800
471,1117824,308288,174720,4224,5120,1024,387648,112320,124480,104640,1013184,8384,960,382464,66304,1344,1984,169728,86080,640,1012160
