frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117376,294464,177472,4224,1600,1024,323584,96128,218880,199360,918016,4672,1024,318080,76928,1472,2048,175232,57344,704,916992
440,1117760,296832,177664,4160,1536,1088,278656,95296,262528,243072,874688,4800,1088,272960,29632,1472,1984,129152,57408,768,873600
441,1117696,294656,177856,4160,1600,1088,275328,96448,266560,246464,871232,4736,960,269952,29440,1344,1984,127296,56576,704,870144
442,1117824,295680,177344,4160,1600,1024,278656,95360,264000,243968,873856,4928,1024,273152,29120,1472,1984,130048,56640,576,872832
443,1117440,294272,178496,4224,1536,1024,279168,96128,262592,242880,874560,4736,1024,273600,29504,1472,2112,130688,57344,640,873536
444,1117696,296832,178560,4224,1600,1024,276096,95680,263680,244096,873600,4672,960,270656,29376,1408,1856,128384,56512,576,872576
445,1677888,295488,178368,4224,2624,417920,546496,119872,112896,93120,1584768,175232,896,540928,30720,1536,2752,172096,100096,640,1166848
446,1117504,295488,176960,4224,2688,1088,456576,106688,73792,54272,1063232,174848,1024,451136,27392,1600,2240,126208,56640,704,1062144
447,1677760,293760,182528,4160,2752,1152,603456,228608,361344,341568,1336192,93696,1024,597824,50176,1472,2176,341824,66048,640,1335040
448,1677568,295232,180928,4160,2688,1024,512512,197568,483456,463936,1213632,180608,1024,507200,10112,1472,2496,170304,58240,640,1212608
449,1678208,294016,180928,4288,2752,4096,452160,187392,552576,532352,1145856,186560,1024,446720,896,1536,2240,89088,57600,512,1141760
450,1678016,290048,178944,4288,127680,960,540800,324160,211136,191296,1486720,99968,1088,534848,1088,1408,161024,96000,56768,768,1485760
451,1677440,293056,179904,4224,2752,1024,450304,324736,421440,401728,1275712,169536,960,444928,1024,1472,2240,103744,58944,704,1274688
452,1678336,291456,179008,4224,2688,1088,448256,323328,428288,408768,1269568,168512,896,442560,896,1536,2112,105088,57984,640,1268480
453,1677376,293888,180032,4160,4736,1024,505088,325696,362752,342976,1334400,169728,960,499520,896,1472,2112,153280,58560,640,1333376
454,1677696,292800,179712,4288,3328,1024,438528,268800,489216,469504,1208192,169216,1024,433152,1024,1408,2240,94464,57152,576,1207168
455,1678016,290880,180416,4096,1600,1088,455232,270720,473984,454528,1223488,170880,1088,449728,1024,1600,2048,112704,56448,576,1222400
456,2238272,297152,178752,4160,2880,481536,1051648,199104,23040,2880,2235392,43840,1024,1046080,768,1536,572032,71040,56576,768,1753856
457,1117312,298560,179520,4096,2688,960,293056,202176,136256,116608,1000704,5056,1024,287296,1280,1152,1920,134720,54848,704,999744
458,1117696,297088,178176,4224,2880,1024,243136,196544,194624,174784,942912,5056,1024,237824,9024,1344,1920,74944,54592,384,941888
459,1117504,296640,179904,4032,2752,1024,228864,202176,202112,182720,934784,5056,960,223360,1472,1600,2112,72448,54848,576,933760
460,1117952,298624,179968,4096,2944,1024,309120,207168,115008,95232,1022720,4672,1024,303360,49984,1408,2176,148224,57600,640,1021696
461,1117440,296640,179200,4096,2752,1024,267968,207104,158656,139392,978048,4864,896,262336,1024,1728,2112,106880,58304,640,977024
462,1118144,296768,180736,4224,2944,1024,283840,213184,135424,115520,1002624,4672,960,278336,896,1536,2048,121344,59392,576,1001600
463,1117504,297536,175936,4288,2624,960,263232,132928,240000,220416,897088,4928,1088,257536,960,1472,2048,101376,58048,576,896128
464,1117440,297152,177472,4096,2752,960,288960,138944,207104,187456,929984,5056,1024,283328,1536,1472,2112,129920,59456,704,929024
465,1117824,297984,178624,4160,2880,1024,379584,138048,115520,95808,1022016,4800,1024,374016,8960,1408,2112,219776,59008,640,1020992
466,1117568,296768,178368,4096,2752,1088,325184,133120,176192,156416,961152,4992,1024,319808,1024,1472,2048,166336,58240,640,960064
467,1117760,297536,177088,4032,2816,72640,248704,134848,180096,159936,957824,4928,960,243392,960,1536,1920,93760,56704,704,885184
468,1117312,297024,177600,4032,127936,1024,248128,118464,143104,123648,993664,4672,1024,242624,832,1600,2048,93568,57280,640,992640
469,1117504,296192,179200,4096,2880,1024,247680,117760,268672,249664,867840,4608,960,242048,832,1472,2048,94016,58816,576,866816
470,1117824,296960,174656,4096,2752,1024,246272,102912,289152,269504,848320,4416,1088,240832,896,1344,2112,95424,57088,768,847296
