frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117376,299392,174976,4160,1600,1088,324736,96704,214720,195520,921856,4416,1024,319296,77504,1088,2048,177408,57472,640,920768
440,1678336,302592,177408,4096,1600,417984,278464,97472,398720,379136,1299200,4416,960,273024,29184,1344,2048,129728,58816,704,881216
441,1117376,301312,177344,4096,1472,1024,277952,97536,256640,237312,880064,4544,1024,272576,29568,1280,1920,129216,58688,576,879040
442,1118144,301184,176448,4224,1600,1024,278592,95808,259264,239936,878208,4672,1088,273344,28928,1216,1984,131136,57856,704,877184
443,1117632,303424,179008,4160,1664,1088,279552,96576,252160,232768,884864,4288,1088,274176,29376,1152,2048,131712,58432,576,883776
444,1117888,299904,175808,4096,1664,1088,277184,96448,261696,242112,875776,4480,960,272064,29632,1344,1984,129792,57536,576,874688
445,1677696,302592,180480,4096,2688,1088,551360,122048,513344,494080,1183616,175872,1088,545920,30336,1280,2176,175616,101504,704,1182528
446,1118144,296896,177344,4160,2624,1088,457408,109056,69568,50176,1067968,173952,1088,451968,26624,1344,2304,127168,57728,640,1066880
447,1677888,299712,183424,4096,2688,1088,605632,230464,350784,331392,1346496,92480,1088,600256,50752,1280,2176,345344,67136,512,1345408
448,1677504,300160,182336,4096,132224,1088,520576,200128,336896,317568,1359936,179904,1088,515200,9792,1280,2112,174336,59520,640,1358848
449,1677952,299520,175936,4096,2624,1152,451200,190144,553280,533824,1144128,185344,1024,446016,896,1280,2240,90560,57664,640,1142976
450,6432896,4492160,178048,4224,2688,415744,552704,326016,461312,441408,5991488,98944,1088,547008,832,1472,173248,97024,58368,512,5575744
451,1677632,297472,177408,4160,3264,1088,454400,326528,413312,393856,1283776,171968,1088,448896,768,1280,2112,105152,58496,704,1282688
452,1678144,296704,181056,4224,1536,1088,449024,327104,417408,397824,1280320,168640,960,443712,896,1472,2112,107456,58624,512,1279232
453,1678016,296960,179840,4096,1536,1152,507584,325696,361152,341568,1336448,168640,960,502272,896,1536,2240,156288,58624,512,1335296
454,1677824,298432,178880,4224,1600,1024,440192,272640,480832,461056,1216768,169408,960,434752,896,1408,2240,96512,58368,640,1215744
455,1677888,295744,179392,4032,1536,1088,454656,271808,469632,450048,1227840,168320,960,449408,896,1280,2240,113600,58496,576,1226752
456,2238144,306432,180672,4096,2752,73920,1056128,197184,416960,397184,1840960,43840,1088,1050496,896,1280,573120,72064,57408,512,1767040
457,1117440,303872,178176,4160,2752,1024,295296,202304,129856,110336,1007104,4864,1088,289856,1280,1280,1984,137408,56320,640,1006080
458,1117760,303360,177152,4160,2944,1152,242176,197312,189504,170496,947264,4800,1024,236544,8832,1216,2048,74752,54272,704,946112
459,1117568,301120,177024,4032,2880,1152,229120,203264,198976,180032,937536,4736,1152,223360,1344,1152,1920,73024,55616,512,936384
460,1117952,301888,179136,4224,2880,1088,308800,208128,111808,92288,1025664,4544,1088,303360,50368,1216,2048,149696,57408,640,1024576
461,1677952,300352,177216,4032,2816,416128,269248,209856,298304,278592,1399360,4544,960,263744,768,1536,2048,108672,59520,576,983232
462,1117952,302848,177216,4224,2688,1088,283200,214528,132160,112704,1005248,4544,1088,277632,896,1408,1984,122752,58560,640,1004160
463,1117440,301760,177600,4224,2816,1088,263104,134272,232576,213248,904192,4544,960,257728,960,1344,2048,102400,58880,640,903104
464,1117568,300352,177920,4032,128128,1088,292480,139520,74048,54528,1063040,4480,1024,287168,1280,1408,2112,130368,64192,640,1061952
465,1117952,299648,174976,4160,2816,1088,377024,139840,118400,99008,1018944,4864,1024,371328,8704,1344,2048,218560,58752,512,1017856
466,1117568,302592,177472,4032,2816,1088,338496,134720,156352,137152,980416,4416,1024,333248,896,1344,2240,180608,58688,640,979328
467,1117888,300096,177600,3968,2944,74560,250816,130816,177088,157632,960256,4544,960,245440,896,1280,2112,95232,57984,576,885696
468,1117248,301952,176384,4032,2752,1088,250688,119744,260608,241536,875712,4544,1024,245376,896,1344,2048,94976,59200,576,874624
469,1117888,300928,178496,4032,2816,1152,249152,117440,263872,244672,873216,4352,960,243904,960,1344,2048,95936,59648,640,872064
470,1117952,300800,177792,4032,2816,1088,248064,104320,279040,259520,858432,4672,960,242752,1024,1024,1984,97472,57408,512,857344
471,1117696,298176,176384,4032,2816,1024,373632,104512,157120,137600,980096,4544,1024,368256,1344,1216,2048,222784,59456,576,979072
472,1677760,296576,177024,4160,2688,1024,663808,116672,415808,396352,1281408,196096,960,658368,1600,1216,2240,273856,104576,512,1280384
473,1678144,295360,176192,4096,2816,1024,542976,108864,546816,527168,1150976,211200,1088,537408,51072,960,2240,151872,90752,512,1149952
474,1677760,298240,177280,4096,2944,1088,529408,107520,557184,537664,1140096,214848,1088,523904,1472,1152,2112,119488,108096,512,1139008
475,1678464,298560,177664,4096,2880,419008,545344,99008,131904,111616,1566848,195840,1024,539840,29312,1216,2304,149568,111360,512,1147840
476,1677440,296704,178944,4160,2880,1152,543680,99072,550848,531200,1146240,196928,1024,538432,32000,1216,2240,142784,117440,576,1145088
477,1118400,296448,176512,4096,4992,1152,505536,97344,32320,12096,1106304,168256,1024,500096,29632,1152,2240,140736,109696,640,1105152
478,1117120,298816,177728,4160,4096,1152,343040,97984,190144,170752,946368,7808,1152,337664,28352,1280,2048,136512,113344,576,945216
479,1117888,300096,175040,4160,2880,1024,344448,98176,192064,172800,945088,7744,1088,338816,28864,1216,2112,141568,109760,640,944064
480,1117632,299456,177152,4160,4928,1088,343872,96896,190080,170368,947264,7680,1024,338496,30144,1408,2048,138048,111552,576,946176
481,1118144,295872,175744,4096,5056,1152,452480,85824,97920,78336,1039808,7616,1024,447040,55424,1152,1984,249856,109568,576,1038656
