pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffc20,2782,690703409,16689,0,0,0,0,0,0,690686720,636,62244743,3813,0,0,0,0,0,0,62240930
0x02006fb8,49152,242278,-23463,4023,200673,61045,0,0,0,0,49152,242278,-23463,4023,200673,61045,0,0,0,0
0x01fffb98,59280,4541016,-177416,0,4514550,203882,0,0,0,0,25616,1964018,-76716,0,1956483,84251,0,0,0,0
0x01fff51a,737850,8701438,725303,0,0,7976135,0,0,0,0,54662,670219,54004,0,0,616215,0,0,0,0
0x01fff518,737849,8520734,734440,0,0,7786294,0,0,0,0,54661,658382,54425,0,0,603957,0,0,0,0
0x01fff516,737843,8468198,736243,0,0,7731955,0,0,0,0,54662,655562,54585,0,0,600977,0,0,0,0
0x02006fbc,49152,157355,-42995,157406,0,42944,0,0,0,0,49152,157355,-42995,157406,0,42944,0,0,0,0
0x01fff514,737839,6518375,157179,0,0,6361196,0,0,0,0,54661,506546,12044,0,0,494502,0,0,0,0
0x01fff5b6,694957,4990062,3424559,0,0,1510207,55296,0,0,0,56380,552944,388370,0,0,109278,55296,0,0,0
0x02006fb0,49152,98304,0,98304,0,0,0,0,0,0,49152,98304,0,98304,0,0,0,0,0,0
0x02006fc2,49152,98136,49176,48960,0,0,0,0,0,0,49152,98136,49176,48960,0,0,0,0,0,0
0x01fff5b4,694952,11134262,-626757,0,5786529,5974490,0,0,0,0,56379,1328084,-72450,0,613211,787323,0,0,0,0
0x02006fba,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff5e2,98509,574079,501016,0,0,73063,0,0,0,0,19452,97265,91819,0,0,5446,0,0,0,0
0x01fff55c,191921,1129422,1089950,0,0,39472,0,0,0,0,26225,140573,138149,0,0,2424,0,0,0,0
0x01fff584,191919,1072847,140380,0,881485,50982,0,0,0,0,26225,125998,10476,0,111750,3772,0,0,0,0
0x02006fc0,49153,49157,0,49157,0,0,0,0,0,0,49153,49157,0,49157,0,0,0,0,0,0
0x02006fac,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fae,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb4,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fb6,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fbe,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff5b8,694958,3913550,-206414,0,2357977,1761987,0,0,0,0,56381,401550,12956,0,189740,198854,0,0,0,0
0x01fff568,191919,572019,572019,0,0,0,0,0,0,0,26225,75065,75065,0,0,0,0,0,0,0
0x01fff588,191919,518668,191919,326749,0,0,0,0,0,0,26225,74419,26225,48194,0,0,0,0,0,0
0x01fff5c0,694955,857166,23447,0,800896,32823,0,0,0,0,56379,95390,30260,0,63087,2043,0,0,0,0
0x01fff5bc,694957,827511,26943,0,728085,72483,0,0,0,0,56379,105361,30030,0,62444,12887,0,0,0,0
0x01fff5c4,694958,725692,725692,0,0,0,0,0,0,0,56379,87099,87099,0,0,0,0,0,0,0
0x01fff5e0,98507,1515394,-70580,0,641526,944448,0,0,0,0,19452,121643,-11965,0,80700,52908,0,0,0,0
0x020493b2,12396,37196,12404,24792,0,0,0,0,0,0,12396,37196,12404,24792,0,0,0,0,0,0
0x020493d2,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x020492c0,10354,31115,0,31115,0,0,0,0,0,0,10354,31115,0,31115,0,0,0,0,0,0
0x020493f8,10165,30535,0,30535,0,0,0,0,0,0,10165,30535,0,30535,0,0,0,0,0,0
0x02049276,10165,30499,10169,20330,0,0,0,0,0,0,10165,30499,10169,20330,0,0,0,0,0,0
0x01fff580,191919,1387562,-49400,0,708312,487331,0,0,241319,0,26225,124155,-3440,0,60428,37502,0,0,29665,0
0x01fff5ba,694955,3689440,1708089,0,0,1926055,55296,0,0,0,56379,289472,96566,0,0,137610,55296,0,0,0
0x01fff5c2,694953,3124971,100425,0,0,2969250,55296,0,0,0,56380,227989,-23870,0,0,196563,55296,0,0,0
0x01fffb9c,59283,652011,258624,0,0,393387,0,0,0,0,25618,281785,110352,0,0,171433,0,0,0,0
0x01fff5be,694952,2129327,120888,0,0,1953143,55296,0,0,0,56379,175445,-19557,0,0,139706,55296,0,0,0
0x01fff586,191921,479787,95949,0,191919,0,0,0,191919,0,26225,58088,5638,0,26225,0,0,0,26225,0
0x01fff564,191919,384155,183897,0,0,8339,0,0,191919,0,26225,52465,25737,0,0,503,0,0,26225,0
0x01fff570,190092,377976,377976,0,0,0,0,0,0,0,24797,47581,47581,0,0,0,0,0,0,0
0x01fff5a0,188223,212042,212042,0,0,0,0,0,0,0,22992,36770,36770,0,0,0,0,0,0,0
0x01fff5fe,54204,108408,108408,0,0,0,0,0,0,0,15526,31052,31052,0,0,0,0,0,0,0
0x020493d0,12396,24837,0,12396,0,0,0,0,12441,0,12396,24837,0,12396,0,0,0,0,12441,0
0x020493cc,12396,24807,183,24624,0,0,0,0,0,0,12396,24807,183,24624,0,0,0,0,0,0
0x020493b0,12396,24803,0,12397,0,0,0,0,12406,0,12396,24803,0,12397,0,0,0,0,12406,0
0x020492b0,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x020492b8,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x020492be,10354,20708,10354,0,0,0,0,0,10354,0,10354,20708,10354,0,0,0,0,0,10354,0
0x02049284,10165,20376,0,10166,0,0,0,0,10210,0,10165,20376,0,10166,0,0,0,0,10210,0
0x02049274,10165,20366,0,10166,0,0,0,0,10200,0,10165,20366,0,10166,0,0,0,0,10200,0
0x0204928c,10165,20344,0,20344,0,0,0,0,0,0,10165,20344,0,20344,0,0,0,0,0,0
0x0204928a,10165,20330,10165,0,0,0,0,0,10165,0,10165,20330,10165,0,0,0,0,0,10165,0
0x01fff520,737839,1339058,1339058,0,0,0,0,0,0,0,54661,99537,99537,0,0,0,0,0,0,0
0x020c0b54,20812,332091,-4754,50407,260662,3341,0,0,22435,0,14284,183404,-2036,31219,138254,1179,0,0,14788,0
0x0206bff4,33561,1652780,-198649,33114,1679183,139132,0,0,0,0,5839,291044,-34848,5808,294107,25977,0,0,0,0
0x01fffc80,59264,355584,355584,0,0,0,0,0,0,0,29440,176640,176640,0,0,0,0,0,0,0
0x01ff90a0,52800,26779732,52800,0,0,0,369600,26357332,0,0,2640,1338898,2640,0,0,0,18480,1317778,0,0
0x02001484,567555,14410530,-2383190,416497,15715949,661274,0,0,0,0,37837,808500,-131288,23074,877234,39480,0,0,0,0
0x01ff8338,1213734,3025346,1213736,1811610,0,0,0,0,0,0,189155,480284,189155,291129,0,0,0,0,0,0
0x020ba798,4330,100475,50194,41592,4330,29,0,0,4330,0,3879,86535,43283,35494,3879,0,0,0,3879,0
0x01ff82e0,2756427,4435891,4435891,0,0,0,0,0,0,0,335392,509536,509536,0,0,0,0,0,0,0
0x01fff324,2890925,5420045,5420045,0,0,0,0,0,0,0,312313,550767,550767,0,0,0,0,0,0,0
0x020c63e8,4114,76190,0,76190,0,0,0,0,0,0,3773,71863,0,71863,0,0,0,0,0,0
0x01fffc64,89596,563532,537576,0,0,25956,0,0,0,0,21883,132670,131298,0,0,1372,0,0,0,0
0x020c0aa4,20812,150088,6485,135946,0,7657,0,0,0,0,14284,100690,3273,94795,0,2622,0,0,0,0
0x01fff5ca,694952,1225501,1225501,0,0,0,0,0,0,0,56379,103544,103544,0,0,0,0,0,0,0
0x020c0c30,20812,290357,-9157,40231,227066,5456,0,0,26761,0,14284,144560,-3666,22344,107203,2154,0,0,16525,0
0x01fff592,190051,190053,190053,0,0,0,0,0,0,0,24421,24423,24423,0,0,0,0,0,0,0
0x01fff55e,191919,191919,191919,0,0,0,0,0,0,0,26225,26225,26225,0,0,0,0,0,0,0
