pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffc20,2789,691035972,16728,0,0,0,0,0,0,691019244,629,62487311,3771,0,0,0,0,0,0,62483540
0x02006fb8,49152,243860,-23470,4030,200230,63070,0,0,0,0,49152,243860,-23470,4030,200230,63070,0,0,0,0
0x01fff51a,732424,8595622,719646,0,0,7875976,0,0,0,0,54678,665071,54001,0,0,611070,0,0,0,0
0x01fff518,732415,8417451,729018,0,0,7688433,0,0,0,0,54678,652990,54429,0,0,598561,0,0,0,0
0x01fff516,732417,8374141,730931,0,0,7643210,0,0,0,0,54678,650479,54605,0,0,595874,0,0,0,0
0x01fffb98,58880,4507925,-175951,0,4476925,206951,0,0,0,0,25136,1927212,-75142,0,1917980,84374,0,0,0,0
0x02006fbc,49152,157265,-42955,157316,0,42904,0,0,0,0,49152,157265,-42955,157316,0,42904,0,0,0,0
0x01fff514,732408,6439577,154214,0,0,6285363,0,0,0,0,54678,502374,12156,0,0,490218,0,0,0,0
0x01fff5b6,694833,4953966,3421593,0,0,1477077,55296,0,0,0,55946,548297,382007,0,0,110994,55296,0,0,0
0x02006fb0,49152,98304,0,98304,0,0,0,0,0,0,49152,98304,0,98304,0,0,0,0,0,0
0x02006fc2,49152,98136,49176,48960,0,0,0,0,0,0,49152,98136,49176,48960,0,0,0,0,0,0
0x01fff5b4,694819,11534049,-626819,0,5836312,6324556,0,0,0,0,55945,1317367,-71385,0,605301,783451,0,0,0,0
0x02006fba,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff5e2,98504,578524,506173,0,0,72351,0,0,0,0,19450,98099,92638,0,0,5461,0,0,0,0
0x01fff55c,191916,1130551,1096277,0,0,34274,0,0,0,0,26213,140498,138441,0,0,2057,0,0,0,0
0x01fff584,191915,1112362,120064,0,895466,96832,0,0,0,0,26213,127224,9304,0,111696,6224,0,0,0,0
0x02006fb4,49153,49155,0,49155,0,0,0,0,0,0,49153,49155,0,49155,0,0,0,0,0,0
0x02006fc0,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006fac,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fae,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb6,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fbe,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff5b8,694821,3924845,-207438,0,2383514,1748769,0,0,0,0,55945,388022,13510,0,186233,188279,0,0,0,0
0x01fff568,191914,572004,572004,0,0,0,0,0,0,0,26213,75033,75033,0,0,0,0,0,0,0
0x01fff588,191915,518657,191917,326740,0,0,0,0,0,0,26213,74404,26213,48191,0,0,0,0,0,0
0x01fff5c0,694819,856829,23456,0,800063,33310,0,0,0,0,55945,94825,30270,0,62489,2066,0,0,0,0
0x01fff5e0,98498,1531152,-70440,0,641057,960535,0,0,0,0,19449,122596,-11990,0,80692,53894,0,0,0,0
0x01fff5bc,694825,827964,26944,0,727779,73241,0,0,0,0,55948,105324,30014,0,62122,13188,0,0,0,0
0x01fff5c4,694824,725558,725558,0,0,0,0,0,0,0,55945,86665,86665,0,0,0,0,0,0,0
0x020493b2,12396,37196,12404,24792,0,0,0,0,0,0,12396,37196,12404,24792,0,0,0,0,0,0
0x020493d2,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x020492c0,10354,31115,0,31115,0,0,0,0,0,0,10354,31115,0,31115,0,0,0,0,0,0
0x020493f8,10165,30533,0,30533,0,0,0,0,0,0,10165,30533,0,30533,0,0,0,0,0,0
0x02049276,10165,30499,10169,20330,0,0,0,0,0,0,10165,30499,10169,20330,0,0,0,0,0,0
