region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2872470,6722578,2.340,0,201735,1828894,1905901,1274077,866230,300656,16470,0,233935,296415,0,0
489,1030534,4482666,4.350,0,827167,721304,1077173,816483,165375,84240,16470,0,119037,1482584,0,0
17,1200404,4482506,3.734,0,882771,627586,1372796,877342,176436,85314,16470,0,160521,1166041,0,0
1010,1089735,4482266,4.113,0,824001,742326,1140164,876508,156696,83525,16470,0,128385,1338192,0,0
1270,952676,4482190,4.705,0,331723,601353,1128180,971702,201248,81809,16470,0,125932,1355496,0,0
576,1320314,4481548,3.394,0,883815,662470,1374200,830628,163656,77511,16470,0,173550,1183063,0,0
1186,1188270,4481506,3.771,0,981829,587748,1353324,855689,166676,77395,16470,0,163415,1260789,0,0
391,1256616,4481384,3.566,0,858067,638573,1422224,886820,175872,77564,17910,0,167923,1094498,0,0
1447,1178335,4481362,3.803,0,1089205,560225,1392773,830012,164942,78258,20910,0,159516,1274726,0,0
1061,955487,4481070,4.690,0,885311,584706,1095509,870780,179119,81016,16470,0,124266,1529204,0,0
512,722343,3362718,4.655,0,929765,476646,899203,662102,142715,83442,16470,0,104188,977952,0,0
34,973574,3362476,3.454,0,456073,732431,797840,616067,118810,81751,16516,0,94588,904473,0,0
603,892028,3362350,3.769,0,213081,620411,995550,758386,147979,81143,16470,0,110403,632008,0,0
716,772988,3362332,4.350,0,1019603,523011,822448,636155,118093,76428,16470,0,102117,1067610,0,0
838,761023,3362288,4.418,0,946857,496303,889508,658263,123128,78182,16470,0,105446,994988,0,0
598,813285,3362232,4.134,0,511077,543495,902538,651446,127900,78564,16470,0,105463,936356,0,0
1493,1112482,3362188,3.022,0,622679,895708,835946,615481,111066,81655,16810,0,97748,707774,0,0
1536,1114192,3362104,3.018,0,161161,800170,1008139,756128,141726,83437,16470,0,115525,440509,0,0
1498,1254259,3362090,2.681,0,221315,956912,1023617,718252,130376,83898,16470,0,114615,317950,0,0
1257,1069131,3362038,3.145,0,782989,836695,815348,619172,109691,80573,16470,0,101106,782983,0,0
