region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2873044,6722602,2.340,0,199699,1828762,1905033,1275279,867196,300620,16470,0,234233,295009,0,0
1061,968147,4483018,4.631,0,870587,589140,1116932,867512,173071,81235,16470,0,125548,1513110,0,0
489,1030530,4482324,4.350,0,807451,721753,1083834,823605,172032,84303,16470,0,119440,1460887,0,0
1270,893721,4482100,5.015,0,580087,587458,1060113,915570,183976,81515,16470,0,118878,1518120,0,0
17,1200395,4482074,3.734,0,873867,627113,1382234,880194,174779,85321,16470,0,160498,1155465,0,0
1010,1090176,4481844,4.111,0,812603,742541,1143552,882862,158005,83520,16470,0,128543,1326351,0,0
1186,1188138,4481496,3.772,0,977473,586778,1355778,862333,162279,77445,16470,0,163890,1256523,0,0
1447,1177817,4481362,3.805,0,1074927,560850,1400554,835839,164901,78272,20942,0,159867,1260137,0,0
576,1320279,4481048,3.394,0,998371,660312,1377182,829366,165163,77527,16470,0,173631,1181397,0,0
391,1256584,4480816,3.566,0,878007,633787,1411532,887950,171668,77566,17910,0,168060,1112343,0,0
1498,1241588,3362558,2.708,0,242621,950418,1014279,716016,129541,83651,16470,0,113432,338751,0,0
1491,1150667,3362410,2.922,0,161925,915888,949613,718056,128630,83405,16830,0,105989,443999,0,0
308,1034405,3362260,3.250,0,319507,694889,1090502,788067,153272,82297,17336,0,119750,416147,0,0
1038,806579,3362192,4.168,0,835617,508174,896821,682745,142413,77289,16470,0,109166,929114,0,0
203,861373,3362154,3.903,0,865921,578513,928715,665704,115382,79582,16470,0,109633,868155,0,0
388,722354,3362096,4.654,0,1087033,476632,868499,618638,116759,77566,17654,0,99321,1087027,0,0
1500,1146740,3362080,2.932,0,653179,928603,849481,623611,109769,81990,16470,0,98983,653173,0,0
189,836424,3362072,4.020,0,771819,537083,926961,654985,128288,78889,16470,0,106944,912452,0,0
790,972696,3362068,3.456,0,553207,564773,1052411,728317,141872,79253,19644,0,127034,648764,0,0
241,765805,3362066,4.390,0,1032959,499201,819039,634354,113759,76578,16470,0,105584,1097081,0,0
438,744594,3362052,4.515,0,598307,477822,860268,651746,124165,76976,16470,0,101940,1052665,0,0
723,1134029,3362000,2.965,0,572437,867430,877236,634322,115185,84354,16470,0,101034,665969,0,0
815,915578,3361974,3.672,0,168199,582041,1039312,781891,151738,79889,16470,0,121570,589063,0,0
210,865184,3361958,3.886,0,955231,616360,865310,613017,111766,81822,16470,0,99783,957430,0,0
303,935560,3361956,3.594,0,715525,653358,971559,681757,129327,80117,17238,0,111079,717521,0,0
394,730226,3361950,4.604,0,1097353,462230,847950,640257,118891,75876,17806,0,101593,1097347,0,0
1541,893572,3361906,3.762,0,706565,691459,749590,581180,115539,82107,16470,0,86548,1039013,0,0
1173,715907,3361896,4.696,0,515769,467163,874736,652455,139284,82574,16470,0,103603,1025611,0,0
838,761109,3361888,4.417,0,945423,496534,892435,659030,120080,78149,16470,0,105594,993596,0,0
465,952129,3361874,3.531,0,101717,663363,1016195,793108,152058,81042,16470,0,117578,522060,0,0
197,787037,3361824,4.271,0,1037627,533206,862516,615403,113361,79211,16470,0,102048,1039609,0,0
1052,859743,3361824,3.910,0,552097,614336,873438,659967,119789,80337,16470,0,100985,896502,0,0
726,883484,3361776,3.805,0,795045,572085,943891,673679,117546,77327,16470,0,115222,845556,0,0
603,892000,3361760,3.769,0,214475,617904,990881,763676,149126,81135,16470,0,110489,632079,0,0
863,958202,3361748,3.508,0,530653,728946,898119,689506,126124,82406,16470,0,101814,718363,0,0
274,982073,3361732,3.423,0,250525,683468,1005177,735593,149329,83554,16774,0,110689,577148,0,0
200,865143,3361730,3.886,0,866293,584585,928535,660665,114638,79547,16470,0,109005,868285,0,0
1177,734588,3361730,4.576,0,1028793,462574,875922,658859,129331,82733,16470,0,107054,1028787,0,0
1501,1193244,3361726,2.817,0,330265,938416,898061,671986,122231,82134,16470,0,103949,528479,0,0
1467,734201,3361710,4.579,0,1096205,475901,835839,639406,119286,75866,17778,0,101435,1096199,0,0
1257,1068361,3361704,3.147,0,788403,834802,809858,620982,110036,80582,16470,0,100577,788397,0,0
33,926663,3361692,3.628,0,695099,689982,800892,634456,118366,82127,16470,0,91982,927417,0,0
13,905887,3361646,3.711,0,801527,663547,873721,648104,157515,97397,16470,0,103371,801521,0,0
1008,1002856,3361638,3.352,0,647693,749932,912248,675165,122676,83167,16470,0,106376,695604,0,0
